time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Mozgov (J. Teague gains possession),,,,Jump ball: A. Horford vs. T. Mozgov (J. Teague gains possession)
11:39.0,Personal foul by I. Shumpert (drawn by K. Korver),,0-0,,
11:27.0,,,0-0,,D. Carroll misses 2-pt shot from 12 ft
11:25.0,Defensive rebound by T. Thompson,,0-0,,
11:14.0,M. Dellavedova misses 3-pt shot from 25 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by K. Korver
10:58.0,,,0-0,,K. Korver misses 3-pt shot from 24 ft
10:57.0,,,0-0,,Offensive rebound by A. Horford
10:54.0,,,0-3,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
10:32.0,L. James makes 2-pt shot from 1 ft,2,2-3,,
10:26.0,,,2-3,,Turnover by A. Horford (step out of bounds)
10:15.0,Turnover by L. James (bad pass; steal by K. Korver),,2-3,,
10:02.0,,,2-3,,J. Teague misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by T. Thompson,,2-3,,
9:54.0,L. James makes 3-pt shot from 25 ft,3,5-3,,
9:33.0,,,5-3,,P. Millsap misses 2-pt shot from 14 ft
9:31.0,Defensive rebound by T. Mozgov,,5-3,,
9:10.0,L. James misses 2-pt shot from 21 ft,,5-3,,
9:10.0,,,5-3,,Defensive rebound by Team
8:56.0,,,5-5,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
8:40.0,Shooting foul by P. Millsap (drawn by T. Mozgov),,5-5,,
8:40.0,T. Mozgov makes free throw 1 of 2,1,6-5,,
8:40.0,T. Mozgov makes free throw 2 of 2,1,7-5,,
8:31.0,,,7-5,,P. Millsap misses 2-pt shot from 3 ft
8:30.0,Defensive rebound by L. James,,7-5,,
8:15.0,T. Thompson misses 2-pt shot at rim,,7-5,,
8:12.0,Offensive rebound by T. Thompson,,7-5,,
8:04.0,L. James makes 2-pt shot from 20 ft,2,9-5,,
7:50.0,,,9-5,,P. Millsap misses 2-pt shot from 17 ft
7:49.0,Defensive rebound by M. Dellavedova,,9-5,,
7:28.0,T. Mozgov makes 2-pt shot from 19 ft (assist by M. Dellavedova),2,11-5,,
7:13.0,,,11-5,,J. Teague misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by T. Thompson,,11-5,,
7:05.0,L. James misses 3-pt shot from 25 ft,,11-5,,
7:03.0,,,11-5,,Defensive rebound by J. Teague
6:57.0,,,11-5,,K. Korver misses 2-pt shot from 14 ft
6:54.0,Defensive rebound by T. Thompson,,11-5,,
6:48.0,Turnover by T. Thompson (3 sec),,11-5,,
6:48.0,,,11-5,,Atlanta full timeout
6:48.0,,,11-5,,P. Antic enters the game for P. Millsap
6:35.0,,,11-7,2,K. Korver makes 2-pt shot from 21 ft (assist by P. Antic)
6:09.0,T. Mozgov misses 2-pt shot from 17 ft,,11-7,,
6:06.0,,,11-7,,Defensive rebound by A. Horford
5:54.0,,,11-7,,J. Teague misses 2-pt shot from 4 ft
5:54.0,Defensive rebound by Team,,11-7,,
5:54.0,,,11-7,,Loose ball foul by P. Antic (drawn by T. Thompson)
5:47.0,Offensive charge foul by I. Shumpert,,11-7,,
5:47.0,Turnover by I. Shumpert (offensive foul),,11-7,,
5:47.0,J. Smith enters the game for I. Shumpert,,11-7,,
5:47.0,,,11-7,,P. Millsap enters the game for A. Horford
5:36.0,,,11-10,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
5:22.0,,,11-10,,Personal foul by P. Antic (drawn by L. James)
5:13.0,Turnover by L. James (bad pass; steal by P. Millsap),,11-10,,
5:08.0,Violation by T. Mozgov (def goaltending),,11-10,,
5:08.0,,,11-12,2,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague)
4:42.0,J. Smith misses 3-pt shot from 24 ft,,11-12,,
4:40.0,,,11-12,,Defensive rebound by P. Millsap
4:34.0,,,11-12,,K. Korver misses 2-pt shot from 19 ft
4:33.0,Defensive rebound by T. Mozgov,,11-12,,
4:12.0,T. Mozgov makes 2-pt shot from 14 ft (assist by M. Dellavedova),2,13-12,,
3:54.0,,,13-12,,K. Korver misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by M. Dellavedova,,13-12,,
