time,Sacramento,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. J. Thompson (D. Cousins gains possession),,,,Jump ball: T. Black vs. J. Thompson (D. Cousins gains possession)
11:44.0,J. Thompson misses 2-pt shot from 12 ft,,0-0,,
11:43.0,Offensive rebound by Team,,0-0,,
11:29.0,,,0-0,,Personal foul by D. Motiejunas (drawn by J. Thompson)
11:23.0,D. Cousins misses 2-pt shot from 19 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by J. Harden
11:12.0,,,0-0,,D. Motiejunas misses 2-pt shot from 2 ft (block by D. Cousins)
11:11.0,Defensive rebound by Team,,0-0,,
10:57.0,Turnover by R. Sessions (bad pass; steal by J. Harden),,0-0,,
10:38.0,,,0-2,2,D. Motiejunas makes 2-pt shot from 5 ft (assist by J. Harden)
10:21.0,B. McLemore misses 2-pt shot from 1 ft (block by J. Harden),,0-2,,
10:21.0,Offensive rebound by Team,,0-2,,
10:20.0,Turnover by O. Casspi (bad pass; steal by D. Motiejunas),,0-2,,
10:16.0,,,0-4,2,I. Canaan makes 2-pt shot at rim (assist by J. Harden)
10:04.0,Offensive foul by J. Thompson,,0-4,,
10:04.0,Turnover by J. Thompson (offensive foul),,0-4,,
9:46.0,,,0-4,,Shooting foul by O. Casspi (drawn by J. Harden)
9:46.0,,,0-5,1,J. Harden makes free throw 1 of 2
9:46.0,,,0-6,1,J. Harden makes free throw 2 of 2
9:32.0,Shooting foul by T. Black (drawn by D. Cousins),,0-6,,
9:32.0,D. Cousins makes free throw 1 of 2,1,1-6,,
9:32.0,D. Cousins makes free throw 2 of 2,1,2-6,,
9:25.0,Violation by J. Thompson (kicked ball),,2-6,,
9:14.0,,,2-6,,I. Canaan misses 3-pt shot from 22 ft
9:12.0,Defensive rebound by D. Cousins,,2-6,,
9:04.0,B. McLemore makes 3-pt shot from 23 ft (assist by D. Cousins),3,5-6,,
8:51.0,,,5-9,3,T. Ariza makes 3-pt shot from 24 ft (assist by T. Black)
8:36.0,B. McLemore misses 3-pt shot from 24 ft,,5-9,,
8:35.0,Offensive rebound by D. Cousins,,5-9,,
8:35.0,D. Cousins makes 2-pt shot from 1 ft,2,7-9,,
8:14.0,,,7-9,,J. Harden misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by J. Thompson,,7-9,,
8:00.0,J. Thompson makes 2-pt shot from 7 ft,2,9-9,,
7:36.0,,,9-9,,Shooting foul by B. McLemore (drawn by J. Harden)
7:36.0,,,9-10,1,J. Harden makes free throw 1 of 2
7:36.0,,,9-11,1,J. Harden makes free throw 2 of 2
7:30.0,,,9-11,,Personal foul by T. Ariza (drawn by O. Casspi)
7:14.0,Turnover by D. Cousins (bad pass; steal by D. Motiejunas),,9-11,,
7:06.0,,,9-13,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden)
6:48.0,Turnover by R. Sessions (lost ball; steal by I. Canaan),,9-13,,
6:43.0,,,9-13,,I. Canaan misses 2-pt shot from 1 ft (block by B. McLemore)
6:42.0,,,9-13,,Offensive rebound by I. Canaan
6:42.0,,,9-15,2,J. Harden makes 2-pt shot from 1 ft (assist by I. Canaan)
6:41.0,Sacramento full timeout,,9-15,,
6:20.0,B. McLemore misses 3-pt shot from 24 ft,,9-15,,
6:19.0,,,9-15,,Defensive rebound by T. Ariza
