time,Toronto,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: A. Horford vs. J. Valanciunas (K. Lowry gains possession)
11:40.0,D. DeRozan makes 2-pt shot from 20 ft,2,2-0,,
11:19.0,,,2-3,3,A. Horford makes 3-pt shot from 23 ft (assist by J. Teague)
11:02.0,D. DeRozan makes 2-pt shot from 5 ft,2,4-3,,
10:51.0,,,4-3,,A. Horford misses 2-pt shot from 3 ft
10:50.0,,,4-3,,Offensive rebound by A. Horford
10:46.0,,,4-5,2,K. Korver makes 2-pt shot from 18 ft (assist by A. Horford)
10:29.0,Shooting foul by D. Carroll (drawn by D. DeRozan),,4-5,,
10:29.0,D. DeRozan makes free throw 1 of 2,1,5-5,,
10:29.0,D. DeRozan makes free throw 2 of 2,1,6-5,,
10:22.0,,,6-5,,Turnover by A. Horford (bad pass; steal by J. Johnson)
10:16.0,J. Valanciunas misses 2-pt shot from 7 ft,,6-5,,
10:15.0,,,6-5,,Defensive rebound by A. Horford
10:07.0,,,6-5,,K. Korver misses 3-pt shot from 22 ft
10:05.0,Defensive rebound by D. DeRozan,,6-5,,
9:55.0,D. DeRozan misses 2-pt shot from 20 ft,,6-5,,
9:52.0,,,6-5,,Defensive rebound by K. Korver
9:36.0,,,6-5,,J. Teague misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by J. Valanciunas,,6-5,,
9:20.0,K. Lowry misses 2-pt shot from 21 ft,,6-5,,
9:19.0,,,6-5,,Defensive rebound by A. Horford
9:07.0,,,6-5,,P. Millsap misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by D. DeRozan,,6-5,,
8:52.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,8-5,,
8:40.0,,,8-7,2,D. Carroll makes 2-pt shot from 1 ft (assist by A. Horford)
8:17.0,K. Lowry makes 2-pt shot from 18 ft (assist by A. Johnson),2,10-7,,
8:03.0,,,10-7,,P. Millsap misses 2-pt shot from 1 ft
8:01.0,Defensive rebound by J. Valanciunas,,10-7,,
7:55.0,D. DeRozan misses 3-pt shot from 23 ft,,10-7,,
7:54.0,Offensive rebound by J. Valanciunas,,10-7,,
7:52.0,J. Valanciunas makes 2-pt shot at rim,2,12-7,,
7:47.0,,,12-7,,Turnover by J. Teague (bad pass)
7:31.0,D. DeRozan misses 2-pt shot from 18 ft (block by D. Carroll),,12-7,,
7:29.0,Offensive rebound by J. Valanciunas,,12-7,,
7:28.0,J. Valanciunas makes 2-pt shot at rim,2,14-7,,
7:26.0,,,14-7,,Atlanta full timeout
7:19.0,,,14-7,,K. Korver misses 2-pt shot from 19 ft
7:17.0,,,14-7,,Offensive rebound by A. Horford
7:05.0,,,14-7,,A. Horford misses 2-pt shot from 17 ft
7:03.0,,,14-7,,Offensive rebound by D. Carroll
7:00.0,,,14-10,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Carroll)
6:51.0,Turnover by D. DeRozan (traveling),,14-10,,
6:51.0,,,14-10,,K. Bazemore enters the game for D. Carroll
6:30.0,,,14-12,2,P. Millsap makes 2-pt shot from 15 ft
6:07.0,A. Johnson misses 2-pt shot from 7 ft,,14-12,,
6:05.0,,,14-12,,Defensive rebound by K. Korver
5:58.0,,,14-15,3,K. Bazemore makes 3-pt shot from 23 ft (assist by A. Horford)
5:38.0,J. Johnson makes 2-pt shot from 2 ft (assist by J. Valanciunas),2,16-15,,
5:38.0,Shooting foul by K. Korver (drawn by J. Johnson),,16-15,,
5:38.0,,,16-15,,P. Antic enters the game for A. Horford
5:38.0,J. Johnson makes free throw 1 of 1,1,17-15,,
5:14.0,,,17-15,,P. Antic misses 3-pt shot from 24 ft
5:12.0,,,17-15,,Offensive rebound by P. Millsap
5:12.0,,,17-15,,P. Millsap misses 2-pt shot from 16 ft
5:12.0,,,17-15,,Offensive rebound by Team
5:12.0,,,17-15,,Turnover by Team (shot clock)
5:02.0,Turnover by K. Lowry (bad pass),,17-15,,
4:55.0,,,17-15,,Turnover by P. Antic (bad pass; steal by D. DeRozan)
4:50.0,D. DeRozan makes 2-pt shot at rim,2,19-15,,
4:36.0,,,19-15,,Turnover by K. Bazemore (bad pass; steal by A. Johnson)
4:30.0,A. Johnson makes 2-pt shot at rim (assist by D. DeRozan),2,21-15,,
4:14.0,,,21-15,,J. Teague misses 3-pt shot from 24 ft
4:12.0,,,21-15,,Offensive rebound by P. Millsap
4:12.0,,,21-15,,P. Millsap misses 2-pt shot at rim
4:12.0,Defensive rebound by Team,,21-15,,
4:12.0,,,21-15,,Loose ball foul by P. Antic (drawn by J. Valanciunas)
4:12.0,,,21-15,,D. Carroll enters the game for K. Korver
4:03.0,A. Johnson makes 2-pt shot from 3 ft,2,23-15,,
3:55.0,Personal foul by K. Lowry (drawn by P. Antic),,23-15,,
3:50.0,,,23-17,2,J. Teague makes 2-pt shot from 11 ft
3:22.0,J. Valanciunas misses 2-pt shot from 15 ft,,23-17,,
3:19.0,,,23-17,,Defensive rebound by P. Millsap
3:16.0,,,23-19,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
3:16.0,,,23-19,,Shooting foul by J. Johnson (drawn by P. Millsap)
3:16.0,,,23-19,,D. Schroder enters the game for J. Teague
3:16.0,Toronto full timeout,,23-19,,
3:16.0,G. Vasquez enters the game for J. Johnson,,23-19,,
3:16.0,P. Patterson enters the game for A. Johnson,,23-19,,
3:16.0,,,23-19,,P. Millsap misses free throw 1 of 1
3:16.0,Defensive rebound by Team,,23-19,,
3:04.0,K. Lowry misses 2-pt shot from 19 ft,,23-19,,
3:03.0,,,23-19,,Defensive rebound by D. Carroll
2:46.0,Personal foul by P. Patterson (drawn by P. Millsap),,23-19,,
2:36.0,,,23-22,3,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder)
2:20.0,D. DeRozan misses 2-pt shot from 18 ft,,23-22,,
2:17.0,,,23-22,,Defensive rebound by D. Schroder
2:02.0,,,23-24,2,D. Schroder makes 2-pt shot from 2 ft
1:49.0,Turnover by K. Lowry (traveling),,23-24,,
1:49.0,L. Williams enters the game for K. Lowry,,23-24,,
1:49.0,T. Hansbrough enters the game for J. Valanciunas,,23-24,,
1:37.0,,,23-24,,Offensive foul by P. Antic
1:37.0,,,23-24,,Turnover by P. Antic (offensive foul)
