time,Miami,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. S. Dalembert (N. Cole gains possession),,,,Jump ball: C. Bosh vs. S. Dalembert (N. Cole gains possession)
11:43.0,C. Bosh misses 2-pt shot from 2 ft,,0-0,,
11:42.0,Offensive rebound by D. Wade,,0-0,,
11:42.0,D. Wade misses 2-pt shot from 2 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Calderon
11:17.0,,,0-0,,Turnover by Team (shot clock)
11:02.0,C. Bosh makes 2-pt shot from 21 ft (assist by D. Wade),2,2-0,,
10:43.0,,,2-0,,Turnover by J. Calderon (bad pass; steal by L. Deng)
10:35.0,C. Bosh misses 3-pt shot from 24 ft,,2-0,,
10:34.0,,,2-0,,Defensive rebound by J. Calderon
10:28.0,,,2-0,,C. Anthony misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by S. Williams,,2-0,,
10:17.0,Shooting foul by S. Dalembert (drawn by S. Williams),,2-0,,
10:17.0,S. Williams makes free throw 1 of 2,1,3-0,,
10:17.0,S. Williams makes free throw 2 of 2,1,4-0,,
10:03.0,,,4-0,,J. Calderon misses 2-pt shot from 13 ft
10:01.0,,,4-0,,Offensive rebound by S. Dalembert
10:01.0,,,4-0,,S. Dalembert misses 2-pt shot from 2 ft
9:59.0,Defensive rebound by C. Bosh,,4-0,,
9:47.0,L. Deng misses 3-pt shot from 25 ft,,4-0,,
9:46.0,,,4-0,,Defensive rebound by S. Dalembert
9:31.0,,,4-0,,I. Shumpert misses 2-pt shot from 14 ft
9:30.0,,,4-0,,Offensive rebound by S. Dalembert
9:30.0,,,4-0,,S. Dalembert misses 2-pt shot from 2 ft
9:29.0,Defensive rebound by S. Williams,,4-0,,
9:19.0,Turnover by D. Wade (bad pass; steal by S. Dalembert),,4-0,,
9:14.0,,,4-0,,Turnover by J. Calderon (bad pass; steal by N. Cole)
9:11.0,,,4-0,,Personal foul by C. Anthony (drawn by N. Cole)
8:55.0,C. Bosh misses 3-pt shot from 24 ft,,4-0,,
8:54.0,,,4-0,,Defensive rebound by C. Anthony
8:48.0,,,4-0,,I. Shumpert misses 2-pt shot from 1 ft
8:47.0,,,4-0,,Offensive rebound by Q. Acy
8:47.0,,,4-2,2,Q. Acy makes 2-pt shot at rim
8:23.0,D. Wade makes 2-pt shot from 3 ft (assist by S. Williams),2,6-2,,
8:08.0,,,6-2,,C. Anthony misses 2-pt shot from 22 ft
8:07.0,Defensive rebound by C. Bosh,,6-2,,
7:58.0,L. Deng misses 3-pt shot from 22 ft,,6-2,,
7:57.0,Offensive rebound by S. Williams,,6-2,,
7:48.0,D. Wade misses 3-pt shot from 24 ft,,6-2,,
7:47.0,Offensive rebound by L. Deng,,6-2,,
7:42.0,Shooting foul by S. Dalembert (drawn by L. Deng),,6-2,,
7:42.0,L. Deng makes free throw 1 of 2,1,7-2,,
7:42.0,,,7-2,,A. Stoudemire enters the game for S. Dalembert
7:42.0,L. Deng makes free throw 2 of 2,1,8-2,,
7:31.0,,,8-2,,Turnover by J. Calderon (bad pass; steal by C. Bosh)
7:17.0,Shooting foul by J. Calderon (drawn by L. Deng),,8-2,,
7:17.0,L. Deng makes free throw 1 of 2,1,9-2,,
7:17.0,,,9-2,,New York full timeout
7:17.0,L. Deng makes free throw 2 of 2,1,10-2,,
6:56.0,,,10-2,,Shooting foul by L. Deng (drawn by C. Anthony)
6:56.0,,,10-3,1,C. Anthony makes free throw 1 of 2
6:56.0,,,10-4,1,C. Anthony makes free throw 2 of 2
6:39.0,D. Wade misses 2-pt shot from 11 ft,,10-4,,
6:38.0,,,10-4,,Defensive rebound by Q. Acy
6:28.0,,,10-4,,A. Stoudemire misses 2-pt shot at rim
6:27.0,,,10-4,,Offensive rebound by A. Stoudemire
6:26.0,,,10-6,2,A. Stoudemire makes 2-pt shot at rim
6:13.0,Shooting foul by I. Shumpert (drawn by D. Wade),,10-6,,
6:13.0,D. Wade makes free throw 1 of 2,1,11-6,,
6:13.0,D. Wade makes free throw 2 of 2,1,12-6,,
6:00.0,,,12-8,2,A. Stoudemire makes 2-pt shot at rim
5:39.0,L. Deng misses 2-pt shot from 19 ft,,12-8,,
5:38.0,,,12-8,,Defensive rebound by Team
5:38.0,Loose ball foul by S. Williams (drawn by Q. Acy),,12-8,,
5:15.0,,,12-10,2,A. Stoudemire makes 2-pt shot at rim (assist by I. Shumpert)
5:12.0,Miami full timeout,,12-10,,
5:12.0,J. McRoberts enters the game for S. Williams,,12-10,,
5:00.0,C. Bosh misses 2-pt shot from 2 ft,,12-10,,
4:59.0,,,12-10,,Defensive rebound by J. Calderon
4:46.0,,,12-10,,Turnover by I. Shumpert (bad pass; steal by L. Deng)
4:37.0,J. McRoberts misses 2-pt shot from 2 ft,,12-10,,
4:36.0,Offensive rebound by L. Deng,,12-10,,
4:36.0,L. Deng makes 2-pt shot at rim,2,14-10,,
4:21.0,,,14-10,,C. Anthony misses 2-pt shot from 20 ft
4:19.0,Defensive rebound by J. McRoberts,,14-10,,
4:01.0,N. Cole misses 2-pt shot from 12 ft,,14-10,,
4:00.0,,,14-10,,Defensive rebound by C. Anthony
