time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Dorsey (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. J. Dorsey (D. Nowitzki gains possession)
11:38.0,Turnover by D. Nowitzki (bad pass),,0-0,,
11:29.0,,,0-0,,Turnover by J. Dorsey (offensive foul)
11:29.0,,,0-0,,Offensive foul by J. Dorsey
11:18.0,M. Ellis makes 2-pt shot from 6 ft (assist by D. Nowitzki),2,2-0,,
11:08.0,Violation by D. Nowitzki (kicked ball),,2-0,,
10:57.0,,,2-0,,D. Motiejunas misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by R. Rondo,,2-0,,
10:40.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Rondo),3,5-0,,
10:23.0,,,5-0,,D. Motiejunas misses 2-pt shot from 7 ft
10:22.0,Defensive rebound by T. Chandler,,5-0,,
10:15.0,M. Ellis misses 2-pt shot from 14 ft,,5-0,,
10:14.0,Offensive rebound by T. Chandler,,5-0,,
10:08.0,M. Ellis makes 2-pt shot from 7 ft,2,7-0,,
9:53.0,,,7-0,,J. Dorsey misses 2-pt shot from 4 ft
9:52.0,Defensive rebound by M. Ellis,,7-0,,
9:39.0,M. Ellis misses 2-pt shot from 9 ft,,7-0,,
9:38.0,,,7-0,,Defensive rebound by D. Motiejunas
9:34.0,,,7-0,,Shooting foul by M. Ellis (drawn by P. Beverley)
9:34.0,,,7-1,1,P. Beverley makes free throw 1 of 2
9:34.0,,,7-2,1,P. Beverley makes free throw 2 of 2
9:23.0,C. Parsons makes 3-pt shot from 25 ft,3,10-2,,
9:05.0,,,10-5,3,J. Harden makes 3-pt shot from 23 ft (assist by D. Motiejunas)
8:47.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,12-5,,
8:46.0,,,12-5,,Houston full timeout
8:30.0,,,12-7,2,D. Motiejunas makes 2-pt shot from 7 ft (assist by J. Harden)
8:14.0,Turnover by M. Ellis (lost ball; steal by J. Dorsey),,12-7,,
8:08.0,,,12-9,2,P. Beverley makes 2-pt shot from 2 ft
7:54.0,C. Parsons makes 2-pt shot from 1 ft,2,14-9,,
7:46.0,,,14-9,,T. Ariza misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by R. Rondo,,14-9,,
