time,Toronto,pts.away,score,pts.home,Oklahoma City
3:18.0,D. DeRozan misses 2-pt shot from 5 ft,,94-100,,
3:17.0,Offensive rebound by D. DeRozan,,94-100,,
3:09.0,D. DeRozan misses 2-pt shot from 17 ft,,94-100,,
3:08.0,Offensive rebound by Team,,94-100,,
3:08.0,,,94-100,,Loose ball foul by E. Kanter (drawn by J. Valanciunas)
2:56.0,T. Ross misses 3-pt shot from 24 ft,,94-100,,
2:56.0,,,94-100,,Defensive rebound by Team
2:56.0,Official timeout,,94-100,,
2:38.0,,,94-102,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
2:19.0,P. Patterson makes 2-pt shot from 5 ft,2,96-102,,
2:00.0,,,96-102,,Shooting foul by T. Ross (drawn by E. Kanter)
2:00.0,,,96-103,1,E. Kanter makes free throw 1 of 2
2:00.0,,,96-103,,E. Kanter misses free throw 2 of 2
1:59.0,Defensive rebound by P. Patterson,,96-103,,
1:43.0,D. DeRozan makes 2-pt shot from 9 ft,2,98-103,,
1:24.0,,,98-103,,Shooting foul by D. DeRozan (drawn by S. Ibaka)
1:24.0,,,98-103,,S. Ibaka misses free throw 1 of 2
1:24.0,,,98-103,,Offensive rebound by Team
1:24.0,,,98-103,,A. Roberson enters the game for D. Augustin
1:24.0,,,98-104,1,S. Ibaka makes free throw 2 of 2
1:06.0,D. DeRozan makes 2-pt shot from 1 ft,2,100-104,,
0:45.0,,,100-106,2,R. Westbrook makes 2-pt shot from 23 ft
0:45.0,Toronto full timeout,,100-106,,
0:45.0,G. Vasquez enters the game for J. Valanciunas,,100-106,,
0:45.0,,,100-106,,D. Augustin enters the game for E. Kanter
0:42.0,D. DeRozan makes 2-pt shot from 1 ft (assist by G. Vasquez),2,102-106,,
0:22.0,,,102-106,,R. Westbrook misses 2-pt shot from 18 ft
0:21.0,Defensive rebound by T. Ross,,102-106,,
0:15.0,D. DeRozan makes 2-pt shot at rim,2,104-106,,
0:15.0,,,104-106,,Oklahoma City full timeout
0:15.0,,,104-106,,A. Morrow enters the game for A. Roberson
0:15.0,,,104-106,,Oklahoma City full timeout
0:14.0,Personal foul by G. Vasquez (drawn by R. Westbrook),,104-106,,
0:14.0,,,104-107,1,R. Westbrook makes free throw 1 of 2
0:14.0,,,104-107,,A. Roberson enters the game for A. Morrow
0:14.0,,,104-108,1,R. Westbrook makes free throw 2 of 2
0:08.0,D. DeRozan misses 3-pt shot from 24 ft,,104-108,,
0:07.0,,,104-108,,Defensive rebound by S. Ibaka
0:02.0,Personal take foul by T. Ross (drawn by D. Augustin),,104-108,,
0:02.0,,,104-108,,D. Augustin misses free throw 1 of 2
0:02.0,,,104-108,,Offensive rebound by Team
0:02.0,,,104-108,,D. Augustin misses free throw 2 of 2
0:02.0,Defensive rebound by P. Patterson,,104-108,,
0:02.0,Toronto full timeout,,104-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
