time,Toronto,pts.away,score,pts.home,Oklahoma City
10:17.0,,,31-36,3,N. Collison makes 3-pt shot from 24 ft (assist by D. Augustin)
10:04.0,J. Johnson misses 2-pt shot from 16 ft,,31-36,,
10:03.0,,,31-36,,Defensive rebound by D. Waiters
9:53.0,,,31-36,,A. Morrow misses 2-pt shot from 14 ft
9:52.0,Defensive rebound by G. Vasquez,,31-36,,
9:45.0,G. Vasquez misses 2-pt shot from 4 ft,,31-36,,
9:45.0,,,31-36,,Defensive rebound by S. Adams
9:34.0,,,31-36,,S. Adams misses 2-pt shot from 1 ft
9:33.0,,,31-36,,Offensive rebound by S. Adams
9:20.0,,,31-36,,D. Waiters misses 3-pt shot from 23 ft
9:19.0,Defensive rebound by P. Patterson,,31-36,,
9:00.0,L. Williams makes 3-pt shot from 24 ft,3,34-36,,
8:48.0,,,34-36,,Oklahoma City full timeout
8:48.0,,,34-36,,R. Westbrook enters the game for A. Morrow
8:44.0,,,34-36,,Turnover by R. Westbrook (bad pass; steal by J. Johnson)
8:38.0,G. Vasquez misses 3-pt shot from 24 ft,,34-36,,
8:36.0,Offensive rebound by J. Johnson,,34-36,,
8:33.0,K. Lowry makes 2-pt shot from 2 ft (assist by J. Johnson),2,36-36,,
8:14.0,,,36-38,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
7:51.0,J. Johnson misses 3-pt shot from 22 ft,,36-38,,
7:50.0,,,36-38,,Defensive rebound by R. Westbrook
7:45.0,,,36-38,,Turnover by R. Westbrook (bad pass; steal by J. Johnson)
7:39.0,L. Williams misses 3-pt shot from 24 ft,,36-38,,
7:38.0,Offensive rebound by G. Vasquez,,36-38,,
7:30.0,J. Johnson makes 2-pt shot from 1 ft (assist by P. Patterson),2,38-38,,
7:12.0,Personal foul by J. Johnson (drawn by D. Augustin),,38-38,,
7:12.0,,,38-38,,S. Ibaka enters the game for S. Adams
7:08.0,,,38-40,2,R. Westbrook makes 2-pt shot from 13 ft
6:55.0,Turnover by G. Vasquez (bad pass; steal by R. Westbrook),,38-40,,
6:54.0,Personal foul by G. Vasquez (drawn by R. Westbrook),,38-40,,
6:54.0,,,38-40,,Technical foul by Team
6:54.0,K. Lowry makes technical free throw,1,39-40,,
6:54.0,D. DeRozan enters the game for G. Vasquez,,39-40,,
6:45.0,,,39-43,3,D. Augustin makes 3-pt shot from 24 ft (assist by N. Collison)
6:24.0,J. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,41-43,,
6:01.0,,,41-43,,Turnover by D. Waiters (traveling)
6:01.0,,,41-43,,E. Kanter enters the game for N. Collison
6:01.0,T. Ross enters the game for L. Williams,,41-43,,
5:51.0,D. DeRozan makes 2-pt shot from 13 ft (assist by K. Lowry),2,43-43,,
5:38.0,,,43-43,,Turnover by R. Westbrook (bad pass; steal by J. Johnson)
5:31.0,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan),3,46-43,,
5:26.0,,,46-43,,Oklahoma City full timeout
5:23.0,Official timeout,,46-43,,
5:23.0,A. Johnson enters the game for P. Patterson,,46-43,,
5:23.0,,,46-43,,A. Roberson enters the game for D. Augustin
5:13.0,,,46-45,2,R. Westbrook makes 2-pt shot at rim
4:56.0,D. DeRozan makes 2-pt shot at rim,2,48-45,,
4:56.0,Shooting foul by A. Roberson (drawn by D. DeRozan),,48-45,,
4:56.0,D. DeRozan makes free throw 1 of 1,1,49-45,,
4:45.0,,,49-47,2,R. Westbrook makes 2-pt shot from 1 ft
4:45.0,,,49-47,,Shooting foul by D. DeRozan (drawn by R. Westbrook)
4:45.0,J. Valanciunas enters the game for J. Johnson,,49-47,,
4:45.0,,,49-48,1,R. Westbrook makes free throw 1 of 1
4:30.0,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan),3,52-48,,
4:12.0,,,52-48,,D. Waiters misses 2-pt shot from 1 ft
4:11.0,Defensive rebound by K. Lowry,,52-48,,
4:06.0,,,52-48,,Technical foul by D. Waiters
4:06.0,D. DeRozan makes technical free throw,1,53-48,,
3:59.0,D. DeRozan makes 2-pt shot from 12 ft (assist by T. Ross),2,55-48,,
3:44.0,,,55-48,,Turnover by R. Westbrook (lost ball; steal by K. Lowry)
3:39.0,Turnover by D. DeRozan (bad pass; steal by D. Waiters),,55-48,,
3:33.0,,,55-48,,Shooting foul by J. Valanciunas (drawn by R. Westbrook)
3:33.0,,,55-49,1,R. Westbrook makes free throw 1 of 2
3:33.0,,,55-50,1,R. Westbrook makes free throw 2 of 2
3:13.0,D. DeRozan makes 2-pt shot from 13 ft,2,57-50,,
2:51.0,,,57-50,,R. Westbrook misses 2-pt shot from 5 ft
2:51.0,,,57-50,,Offensive rebound by Team
2:51.0,Toronto full timeout,,57-50,,
2:49.0,,,57-50,,D. Waiters misses 2-pt shot from 2 ft
2:48.0,,,57-50,,Offensive rebound by R. Westbrook
2:40.0,,,57-52,2,S. Ibaka makes 2-pt shot from 6 ft (assist by R. Westbrook)
2:16.0,T. Ross misses 3-pt shot from 24 ft,,57-52,,
2:15.0,,,57-52,,Defensive rebound by Team
2:15.0,Loose ball foul by J. Valanciunas (drawn by E. Kanter),,57-52,,
2:15.0,,,57-53,1,E. Kanter makes free throw 1 of 2
2:15.0,G. Vasquez enters the game for K. Lowry,,57-53,,
2:15.0,P. Patterson enters the game for J. Valanciunas,,57-53,,
2:15.0,,,57-53,,E. Kanter misses free throw 2 of 2
2:14.0,Defensive rebound by A. Johnson,,57-53,,
1:57.0,A. Johnson makes 2-pt shot from 1 ft (assist by D. DeRozan),2,59-53,,
1:47.0,Personal block foul by G. Vasquez (drawn by R. Westbrook),,59-53,,
1:47.0,,,59-53,,R. Westbrook misses free throw 1 of 2
