time,Dallas,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Gasol (J. Nelson gains possession),,,,Jump ball: T. Chandler vs. M. Gasol (J. Nelson gains possession)
11:32.0,M. Ellis misses 2-pt shot from 20 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by M. Conley
11:09.0,,,0-0,,M. Conley misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by C. Parsons,,0-0,,
11:04.0,Shooting foul by C. Lee (drawn by J. Nelson),,0-0,,
11:04.0,J. Nelson makes free throw 1 of 2,1,1-0,,
11:04.0,J. Nelson makes free throw 2 of 2,1,2-0,,
10:48.0,,,2-0,,Technical foul by Team
10:48.0,D. Nowitzki makes technical free throw,1,3-0,,
10:41.0,,,3-0,,Z. Randolph misses 2-pt shot from 17 ft
10:40.0,Defensive rebound by M. Ellis,,3-0,,
10:30.0,C. Parsons makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,6-0,,
10:18.0,,,6-3,3,M. Conley makes 3-pt shot from 24 ft
9:52.0,J. Nelson makes 3-pt shot from 25 ft,3,9-3,,
9:30.0,,,9-3,,Shooting foul by M. Ellis (drawn by M. Gasol)
9:30.0,,,9-4,1,M. Gasol makes free throw 1 of 2
9:30.0,,,9-4,,M. Gasol misses free throw 2 of 2
9:30.0,Defensive rebound by C. Parsons,,9-4,,
9:18.0,Turnover by T. Chandler (offensive goaltending),,9-4,,
9:04.0,,,9-4,,Shooting foul by D. Nowitzki (drawn by M. Gasol)
9:04.0,,,9-5,1,M. Gasol makes free throw 1 of 2
9:04.0,,,9-6,1,M. Gasol makes free throw 2 of 2
8:54.0,M. Ellis misses 3-pt shot from 23 ft,,9-6,,
8:53.0,Offensive rebound by C. Parsons,,9-6,,
8:50.0,M. Ellis makes 2-pt shot from 2 ft (assist by C. Parsons),2,11-6,,
8:32.0,,,11-8,2,M. Gasol makes 2-pt shot from 14 ft (assist by C. Lee)
8:15.0,D. Nowitzki misses 2-pt shot from 20 ft,,11-8,,
8:14.0,,,11-8,,Defensive rebound by M. Conley
8:05.0,,,11-8,,Shooting foul by J. Nelson (drawn by M. Gasol)
8:05.0,,,11-9,1,M. Gasol makes free throw 1 of 2
8:05.0,,,11-10,1,M. Gasol makes free throw 2 of 2
7:51.0,C. Parsons makes 2-pt shot from 7 ft,2,13-10,,
7:38.0,,,13-10,,Z. Randolph misses 2-pt shot from 2 ft
7:36.0,Defensive rebound by D. Nowitzki,,13-10,,
7:17.0,C. Parsons makes 3-pt shot from 25 ft,3,16-10,,
7:03.0,,,16-10,,Z. Randolph misses 2-pt shot from 3 ft (block by C. Parsons)
7:01.0,,,16-10,,Offensive rebound by Z. Randolph
6:59.0,,,16-12,2,Z. Randolph makes 2-pt shot from 1 ft
6:51.0,,,16-12,,Personal foul by Z. Randolph (drawn by D. Nowitzki)
6:51.0,B. Wright enters the game for D. Nowitzki,,16-12,,
6:41.0,J. Nelson makes 3-pt shot from 25 ft (assist by M. Ellis),3,19-12,,
6:22.0,,,19-14,2,M. Conley makes 2-pt shot from 12 ft
6:00.0,Turnover by M. Ellis (lost ball; steal by C. Lee),,19-14,,
5:57.0,Violation by C. Parsons (def goaltending),,19-14,,
5:57.0,,,19-16,2,T. Allen makes 2-pt shot from 2 ft (assist by C. Lee)
5:45.0,J. Nelson makes 2-pt shot from 22 ft,2,21-16,,
5:29.0,,,21-18,2,M. Gasol makes 2-pt shot from 1 ft
5:29.0,,,21-18,,Shooting foul by B. Wright (drawn by M. Gasol)
5:29.0,,,21-18,,Memphis full timeout
5:29.0,,,21-19,1,M. Gasol makes free throw 1 of 1
5:19.0,J. Nelson makes 3-pt shot from 27 ft,3,24-19,,
5:00.0,,,24-19,,C. Lee misses 2-pt shot from 18 ft
5:00.0,Defensive rebound by C. Parsons,,24-19,,
4:50.0,C. Parsons misses 2-pt shot from 4 ft,,24-19,,
4:49.0,Offensive rebound by B. Wright,,24-19,,
4:49.0,B. Wright makes 2-pt shot from 1 ft,2,26-19,,
4:31.0,,,26-21,2,M. Conley makes 2-pt shot from 19 ft (assist by M. Gasol)
4:17.0,C. Parsons makes 3-pt shot from 25 ft (assist by B. Wright),3,29-21,,
3:58.0,,,29-21,,M. Conley misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by B. Wright,,29-21,,
3:46.0,B. Wright makes 2-pt shot from 1 ft (assist by J. Nelson),2,31-21,,
3:31.0,,,31-23,2,C. Lee makes 2-pt shot from 12 ft
3:16.0,Turnover by J. Nelson (bad pass; steal by M. Gasol),,31-23,,
3:11.0,,,31-25,2,C. Lee makes 2-pt shot at rim (assist by T. Allen)
3:10.0,Dallas full timeout,,31-25,,
3:10.0,,,31-25,,T. Prince enters the game for C. Lee
3:10.0,D. Harris enters the game for T. Chandler,,31-25,,
3:10.0,D. Nowitzki enters the game for M. Ellis,,31-25,,
2:52.0,Shooting foul by T. Allen (drawn by B. Wright),,31-25,,
2:52.0,B. Wright misses free throw 1 of 2,,31-25,,
2:52.0,Offensive rebound by Team,,31-25,,
2:52.0,J. Crowder enters the game for C. Parsons,,31-25,,
2:52.0,B. Wright makes free throw 2 of 2,1,32-25,,
2:40.0,,,32-25,,M. Gasol misses 2-pt shot from 1 ft (block by J. Crowder)
2:38.0,,,32-25,,Offensive rebound by Z. Randolph
2:33.0,,,32-27,2,M. Gasol makes 2-pt shot from 19 ft (assist by T. Prince)
2:17.0,J. Crowder makes 3-pt shot from 25 ft (assist by J. Nelson),3,35-27,,
2:05.0,,,35-27,,Turnover by M. Conley (bad pass; steal by J. Crowder)
2:05.0,,,35-27,,Loose ball foul by Z. Randolph (drawn by J. Crowder)
2:05.0,,,35-27,,J. Leuer enters the game for Z. Randolph
1:56.0,J. Nelson misses 3-pt shot from 24 ft,,35-27,,
1:56.0,,,35-27,,Defensive rebound by J. Leuer
1:47.0,,,35-29,2,M. Conley makes 2-pt shot from 2 ft
1:26.0,D. Nowitzki makes 2-pt shot from 14 ft,2,37-29,,
1:15.0,,,37-29,,T. Prince misses 2-pt shot from 22 ft
1:13.0,Defensive rebound by J. Nelson,,37-29,,
0:58.0,D. Nowitzki misses 2-pt shot from 14 ft,,37-29,,
0:55.0,,,37-29,,Defensive rebound by J. Leuer
0:37.0,,,37-31,2,T. Allen makes 2-pt shot from 7 ft (assist by M. Conley)
0:37.0,,,37-31,,Shooting foul by D. Harris (drawn by T. Allen)
0:37.0,J. Barea enters the game for J. Nelson,,37-31,,
0:37.0,,,37-31,,B. Udrih enters the game for M. Conley
0:37.0,,,37-32,1,T. Allen makes free throw 1 of 1
0:29.0,D. Nowitzki misses 3-pt shot from 25 ft,,37-32,,
0:29.0,,,37-32,,Defensive rebound by T. Prince
0:08.0,,,37-34,2,M. Gasol makes 2-pt shot at rim (assist by T. Allen)
0:00.0,J. Barea misses 3-pt shot from 27 ft,,37-34,,
0:00.0,Offensive rebound by Team,,37-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,37-36,2,M. Gasol makes 2-pt shot at rim (assist by B. Udrih)
11:28.0,D. Harris misses 3-pt shot from 24 ft,,37-36,,
11:26.0,,,37-36,,Defensive rebound by M. Gasol
11:21.0,,,37-36,,Turnover by M. Gasol (bad pass)
10:58.0,J. Barea makes 3-pt shot from 25 ft,3,40-36,,
10:37.0,,,40-36,,M. Gasol misses 2-pt shot from 4 ft
10:34.0,Defensive rebound by D. Nowitzki,,40-36,,
10:29.0,J. Barea misses 2-pt shot from 2 ft,,40-36,,
10:22.0,,,40-36,,Defensive rebound by T. Prince
10:19.0,,,40-36,,V. Carter misses 3-pt shot from 25 ft
10:17.0,,,40-36,,Offensive rebound by T. Prince
10:14.0,,,40-39,3,T. Prince makes 3-pt shot from 23 ft (assist by B. Udrih)
9:54.0,D. Nowitzki misses 2-pt shot from 13 ft,,40-39,,
9:53.0,,,40-39,,Defensive rebound by V. Carter
9:43.0,Personal foul by J. Crowder (drawn by M. Gasol),,40-39,,
9:43.0,,,40-39,,K. Koufos enters the game for M. Gasol
9:33.0,,,40-39,,Shooting foul by D. Nowitzki (drawn by B. Udrih)
9:33.0,,,40-39,,B. Udrih misses free throw 1 of 2
9:33.0,,,40-39,,Offensive rebound by Team
9:33.0,,,40-40,1,B. Udrih makes free throw 2 of 2
9:20.0,Turnover by D. Harris (bad pass; steal by T. Prince),,40-40,,
9:14.0,,,40-43,3,V. Carter makes 3-pt shot from 24 ft (assist by B. Udrih)
9:13.0,Dallas full timeout,,40-43,,
9:13.0,T. Chandler enters the game for B. Wright,,40-43,,
8:59.0,D. Harris makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,42-43,,
8:45.0,,,42-46,3,J. Leuer makes 3-pt shot from 22 ft (assist by B. Udrih)
8:26.0,D. Nowitzki makes 2-pt shot from 13 ft,2,44-46,,
8:07.0,,,44-46,,T. Prince misses 3-pt shot from 22 ft
8:06.0,Defensive rebound by D. Nowitzki,,44-46,,
7:46.0,J. Barea makes 2-pt shot from 1 ft,2,46-46,,
7:28.0,,,46-46,,V. Carter misses 2-pt shot from 1 ft
7:25.0,Defensive rebound by T. Chandler,,46-46,,
7:20.0,J. Barea misses 3-pt shot from 24 ft,,46-46,,
7:19.0,Offensive rebound by Team,,46-46,,
7:19.0,C. Parsons enters the game for D. Nowitzki,,46-46,,
7:19.0,M. Ellis enters the game for J. Barea,,46-46,,
7:12.0,J. Crowder makes 3-pt shot from 23 ft (assist by D. Harris),3,49-46,,
6:52.0,,,49-46,,J. Leuer misses 2-pt shot from 9 ft
6:50.0,Defensive rebound by T. Chandler,,49-46,,
6:35.0,T. Chandler misses 2-pt shot from 1 ft (block by K. Koufos),,49-46,,
6:35.0,Offensive rebound by Team,,49-46,,
6:35.0,Technical foul by T. Chandler,,49-46,,
6:35.0,,,49-47,1,T. Prince makes technical free throw
6:27.0,C. Parsons misses 3-pt shot from 25 ft,,49-47,,
6:27.0,Offensive rebound by Team,,49-47,,
6:27.0,,,49-47,,Loose ball foul by K. Koufos (drawn by T. Chandler)
6:14.0,M. Ellis misses 2-pt shot from 2 ft,,49-47,,
6:12.0,,,49-47,,Defensive rebound by B. Udrih
6:06.0,,,49-47,,V. Carter misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by J. Crowder,,49-47,,
6:02.0,Turnover by J. Crowder (bad pass),,49-47,,
6:02.0,,,49-47,,Memphis full timeout
6:02.0,,,49-47,,T. Allen enters the game for T. Prince
5:50.0,,,49-47,,B. Udrih misses 2-pt shot from 4 ft (block by T. Chandler)
5:47.0,Defensive rebound by T. Chandler,,49-47,,
5:33.0,M. Ellis misses 2-pt shot from 14 ft,,49-47,,
5:32.0,,,49-47,,Defensive rebound by B. Udrih
5:23.0,,,49-47,,V. Carter misses 2-pt shot from 14 ft
5:22.0,Defensive rebound by T. Chandler,,49-47,,
5:18.0,M. Ellis misses 2-pt shot from 1 ft,,49-47,,
5:15.0,Offensive rebound by J. Crowder,,49-47,,
5:07.0,C. Parsons misses 2-pt shot from 4 ft,,49-47,,
5:02.0,,,49-47,,Defensive rebound by K. Koufos
4:56.0,,,49-47,,B. Udrih misses 2-pt shot from 21 ft
4:55.0,Defensive rebound by Team,,49-47,,
4:55.0,,,49-47,,M. Conley enters the game for B. Udrih
4:55.0,,,49-47,,C. Lee enters the game for V. Carter
4:36.0,M. Ellis misses 2-pt shot from 10 ft,,49-47,,
4:33.0,,,49-47,,Defensive rebound by K. Koufos
4:23.0,,,49-47,,J. Leuer misses 2-pt shot from 5 ft
4:23.0,Defensive rebound by T. Chandler,,49-47,,
4:20.0,Turnover by T. Chandler (bad pass; steal by T. Allen),,49-47,,
4:17.0,,,49-47,,Shooting foul by D. Harris (drawn by K. Koufos)
4:17.0,,,49-47,,K. Koufos misses free throw 1 of 2
4:17.0,,,49-47,,Offensive rebound by Team
4:17.0,J. Nelson enters the game for D. Harris,,49-47,,
4:17.0,,,49-48,1,K. Koufos makes free throw 2 of 2
4:03.0,,,49-48,,Violation by K. Koufos (def goaltending)
4:03.0,J. Crowder makes 2-pt shot from 1 ft (assist by C. Parsons),2,51-48,,
3:48.0,,,51-48,,J. Leuer misses 2-pt shot from 3 ft (block by T. Chandler)
3:46.0,Defensive rebound by J. Nelson,,51-48,,
3:39.0,Shooting foul by K. Koufos (drawn by C. Parsons),,51-48,,
3:39.0,C. Parsons makes free throw 1 of 2,1,52-48,,
3:39.0,,,52-48,,Z. Randolph enters the game for J. Leuer
3:39.0,,,52-48,,M. Gasol enters the game for K. Koufos
3:39.0,C. Parsons makes free throw 2 of 2,1,53-48,,
3:23.0,,,53-48,,T. Allen misses 2-pt shot from 2 ft
3:20.0,Defensive rebound by J. Crowder,,53-48,,
3:08.0,Turnover by C. Parsons (bad pass; steal by C. Lee),,53-48,,
2:56.0,,,53-48,,Shooting foul by J. Crowder (drawn by M. Gasol)
2:56.0,Official timeout,,53-48,,
2:56.0,D. Nowitzki enters the game for T. Chandler,,53-48,,
2:56.0,B. Wright enters the game for J. Crowder,,53-48,,
2:56.0,,,53-49,1,M. Gasol makes free throw 1 of 2
2:56.0,,,53-50,1,M. Gasol makes free throw 2 of 2
2:34.0,Turnover by M. Ellis (bad pass; steal by Z. Randolph),,53-50,,
2:30.0,,,53-52,2,T. Allen makes 2-pt shot at rim
2:12.0,J. Nelson makes 2-pt shot from 4 ft,2,55-52,,
1:57.0,,,55-52,,Turnover by Z. Randolph (bad pass; steal by C. Parsons)
1:53.0,C. Parsons makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,57-52,,
1:26.0,,,57-52,,Turnover by C. Lee (bad pass; steal by C. Parsons)
1:22.0,,,57-52,,Personal foul by C. Lee (drawn by C. Parsons)
1:11.0,C. Parsons makes 2-pt shot from 2 ft (assist by J. Nelson),2,59-52,,
0:46.0,,,59-52,,C. Lee misses 2-pt shot from 15 ft
0:46.0,,,59-52,,Offensive rebound by Z. Randolph
0:46.0,Loose ball foul by J. Nelson (drawn by Z. Randolph),,59-52,,
0:46.0,,,59-53,1,Z. Randolph makes free throw 1 of 2
