time,Oklahoma City,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:59.0,Jump ball: S. Adams vs. G. Dieng (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. G. Dieng (S. Ibaka gains possession)
11:39.0,A. Roberson misses 2-pt shot from 3 ft (block by G. Dieng),,0-0,,
11:37.0,Offensive rebound by A. Roberson,,0-0,,
11:35.0,A. Roberson misses 2-pt shot from 1 ft (block by G. Dieng),,0-0,,
11:34.0,Offensive rebound by Team,,0-0,,
11:34.0,Turnover by Team (shot clock),,0-0,,
11:21.0,,,0-0,,Turnover by T. Young (lost ball; steal by A. Roberson)
11:16.0,S. Adams makes 2-pt shot at rim (assist by A. Roberson),2,2-0,,
11:05.0,,,2-0,,A. Wiggins misses 2-pt shot from 22 ft
11:04.0,Defensive rebound by A. Roberson,,2-0,,
10:52.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,4-0,,
10:42.0,,,4-0,,Z. LaVine misses 2-pt shot from 15 ft
10:40.0,Defensive rebound by S. Ibaka,,4-0,,
10:19.0,R. Westbrook makes 2-pt shot at rim,2,6-0,,
10:00.0,,,6-0,,Z. LaVine misses 2-pt shot from 1 ft (block by A. Roberson)
9:59.0,Defensive rebound by S. Ibaka,,6-0,,
9:57.0,Turnover by S. Ibaka (lost ball; steal by G. Dieng),,6-0,,
9:53.0,,,6-2,2,Z. LaVine makes 2-pt shot from 2 ft (assist by G. Dieng)
9:39.0,K. Durant misses 2-pt shot from 15 ft,,6-2,,
9:38.0,,,6-2,,Defensive rebound by C. Brewer
9:32.0,,,6-4,2,T. Young makes 2-pt shot from 14 ft (assist by C. Brewer)
9:10.0,S. Adams makes 2-pt shot from 12 ft (assist by K. Durant),2,8-4,,
8:55.0,,,8-4,,Turnover by A. Wiggins (lost ball)
8:35.0,S. Ibaka makes 2-pt shot from 13 ft (assist by K. Durant),2,10-4,,
8:34.0,,,10-4,,Minnesota full timeout
8:20.0,,,10-4,,A. Wiggins misses 2-pt shot from 21 ft
8:18.0,Defensive rebound by S. Adams,,10-4,,
8:10.0,R. Westbrook misses 2-pt shot from 19 ft,,10-4,,
