time,San Antonio,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. T. Duncan (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. T. Duncan (T. Parker gains possession)
11:42.0,D. Green makes 3-pt shot from 23 ft (assist by T. Splitter),3,3-0,,
11:28.0,,,3-0,,V. Oladipo misses 2-pt shot from 20 ft
11:26.0,Defensive rebound by K. Leonard,,3-0,,
11:15.0,D. Green misses 3-pt shot from 22 ft,,3-0,,
11:15.0,,,3-0,,Defensive rebound by N. Vucevic
11:07.0,,,3-0,,N. Vucevic misses 2-pt shot from 19 ft
11:06.0,Defensive rebound by K. Leonard,,3-0,,
10:57.0,K. Leonard makes 2-pt shot from 19 ft,2,5-0,,
10:37.0,,,5-2,2,T. Harris makes 2-pt shot from 15 ft (assist by V. Oladipo)
10:23.0,T. Parker misses 2-pt shot from 18 ft,,5-2,,
10:22.0,,,5-2,,Defensive rebound by N. Vucevic
10:12.0,,,5-2,,N. Vucevic misses 2-pt shot from 17 ft
10:12.0,Defensive rebound by D. Green,,5-2,,
10:06.0,Shooting foul by T. Harris (drawn by K. Leonard),,5-2,,
10:06.0,K. Leonard makes free throw 1 of 2,1,6-2,,
10:06.0,K. Leonard makes free throw 2 of 2,1,7-2,,
9:51.0,,,7-4,2,N. Vucevic makes 2-pt shot from 8 ft
9:24.0,Turnover by Team (shot clock),,7-4,,
9:12.0,,,7-6,2,V. Oladipo makes 2-pt shot from 18 ft (assist by N. Vucevic)
8:56.0,T. Splitter misses 2-pt shot from 4 ft (block by T. Harris),,7-6,,
8:55.0,,,7-6,,Defensive rebound by E. Payton
8:50.0,,,7-8,2,E. Payton makes 2-pt shot from 2 ft
8:28.0,D. Green misses 3-pt shot from 26 ft,,7-8,,
8:28.0,Offensive rebound by T. Splitter,,7-8,,
8:19.0,Turnover by D. Green (bad pass; steal by T. Harris),,7-8,,
8:12.0,,,7-8,,T. Harris misses 2-pt shot from 16 ft
8:11.0,,,7-8,,Offensive rebound by T. Harris
7:55.0,,,7-8,,N. Vucevic misses 2-pt shot at rim (block by T. Duncan)
7:55.0,,,7-8,,Offensive rebound by D. Dedmon
7:55.0,,,7-10,2,D. Dedmon makes 2-pt shot from 1 ft
7:55.0,San Antonio full timeout,,7-10,,
7:28.0,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker),3,10-10,,
7:17.0,,,10-10,,V. Oladipo misses 2-pt shot from 22 ft
