time,Cleveland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Varejao (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Varejao (R. Westbrook gains possession)
11:47.0,,,0-0,,K. Durant misses 2-pt shot from 18 ft
11:46.0,Defensive rebound by K. Love,,0-0,,
11:26.0,K. Love misses 2-pt shot from 21 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by R. Westbrook
11:16.0,,,0-0,,Turnover by R. Westbrook (lost ball; steal by A. Varejao)
11:14.0,Shooting foul by A. Roberson (drawn by K. Irving),,0-0,,
11:14.0,K. Irving makes free throw 1 of 2,1,1-0,,
11:14.0,K. Irving makes free throw 2 of 2,1,2-0,,
11:01.0,,,2-0,,Turnover by K. Durant (bad pass)
10:48.0,A. Varejao misses 2-pt shot from 11 ft,,2-0,,
10:47.0,,,2-0,,Defensive rebound by K. Durant
10:35.0,,,2-0,,S. Ibaka misses 3-pt shot from 25 ft
10:34.0,,,2-0,,Offensive rebound by S. Adams
10:32.0,,,2-0,,S. Adams misses 2-pt shot from 5 ft
10:30.0,Defensive rebound by K. Love,,2-0,,
10:17.0,K. Irving makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,5-0,,
9:57.0,Personal block foul by M. Dellavedova (drawn by R. Westbrook),,5-0,,
9:51.0,,,5-2,2,R. Westbrook makes 2-pt shot from 2 ft
9:31.0,A. Varejao misses 2-pt shot from 3 ft,,5-2,,
9:30.0,,,5-2,,Defensive rebound by S. Adams
9:24.0,,,5-4,2,R. Westbrook makes 2-pt shot from 17 ft
9:07.0,S. Marion misses 3-pt shot from 23 ft,,5-4,,
9:06.0,,,5-4,,Defensive rebound by A. Roberson
9:00.0,,,5-6,2,R. Westbrook makes 2-pt shot from 17 ft
8:40.0,A. Varejao makes 2-pt shot at rim (assist by K. Irving),2,7-6,,
8:23.0,,,7-6,,Turnover by K. Durant (lost ball; steal by K. Irving)
8:19.0,K. Irving makes 2-pt shot from 2 ft,2,9-6,,
8:06.0,,,9-6,,K. Durant misses 2-pt shot from 17 ft
8:05.0,,,9-6,,Offensive rebound by S. Adams
8:04.0,,,9-6,,S. Adams misses 2-pt shot from 4 ft
8:02.0,Defensive rebound by K. Love,,9-6,,
7:48.0,A. Varejao misses 2-pt shot from 16 ft,,9-6,,
7:47.0,,,9-6,,Defensive rebound by K. Durant
7:39.0,,,9-6,,S. Ibaka misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by A. Varejao,,9-6,,
7:20.0,K. Love misses 2-pt shot from 5 ft,,9-6,,
7:20.0,,,9-6,,Defensive rebound by S. Adams
7:14.0,,,9-6,,R. Westbrook misses 2-pt shot from 15 ft
7:12.0,Defensive rebound by K. Love,,9-6,,
6:59.0,S. Marion makes 2-pt shot from 2 ft (assist by A. Varejao),2,11-6,,
6:53.0,,,11-6,,Oklahoma City full timeout
6:53.0,,,11-6,,J. Lamb enters the game for K. Durant
6:48.0,,,11-6,,Turnover by R. Westbrook (lost ball)
6:37.0,K. Love makes 2-pt shot from 3 ft,2,13-6,,
6:17.0,,,13-6,,Turnover by S. Ibaka (traveling)
6:17.0,D. Waiters enters the game for M. Dellavedova,,13-6,,
6:08.0,K. Love makes 2-pt shot from 17 ft,2,15-6,,
5:54.0,,,15-6,,A. Roberson misses 3-pt shot from 23 ft
5:53.0,,,15-6,,Offensive rebound by S. Adams
5:51.0,,,15-8,2,S. Adams makes 2-pt shot at rim
5:38.0,K. Love misses 3-pt shot from 24 ft,,15-8,,
5:37.0,,,15-8,,Defensive rebound by Team
5:36.0,,,15-8,,R. Jackson enters the game for A. Roberson
5:27.0,,,15-8,,R. Westbrook misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by Team,,15-8,,
5:25.0,T. Thompson enters the game for A. Varejao,,15-8,,
5:01.0,D. Waiters makes 3-pt shot from 22 ft,3,18-8,,
4:44.0,,,18-8,,J. Lamb misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by S. Marion,,18-8,,
4:38.0,K. Love misses 2-pt shot at rim (block by S. Ibaka),,18-8,,
4:36.0,,,18-8,,Defensive rebound by J. Lamb
4:33.0,,,18-10,2,R. Westbrook makes 2-pt shot from 1 ft (assist by J. Lamb)
4:10.0,T. Thompson makes 2-pt shot from 10 ft (assist by K. Irving),2,20-10,,
3:58.0,,,20-10,,Oklahoma City full timeout
3:58.0,,,20-10,,K. Perkins enters the game for S. Adams
3:58.0,,,20-10,,N. Collison enters the game for S. Ibaka
3:58.0,J. Jones enters the game for S. Marion,,20-10,,
3:52.0,,,20-10,,Turnover by R. Westbrook (lost ball; steal by K. Love)
3:47.0,D. Waiters misses 2-pt shot from 1 ft (block by J. Lamb),,20-10,,
3:46.0,,,20-10,,Defensive rebound by Team
3:33.0,,,20-10,,Shooting foul by K. Love (drawn by J. Lamb)
3:33.0,,,20-11,1,J. Lamb makes free throw 1 of 2
3:33.0,,,20-12,1,J. Lamb makes free throw 2 of 2
3:21.0,K. Love makes 2-pt shot from 21 ft (assist by J. Jones),2,22-12,,
3:09.0,,,22-14,2,R. Westbrook makes 2-pt shot at rim
2:43.0,Turnover by T. Thompson (3 sec),,22-14,,
2:43.0,Cleveland full timeout,,22-14,,
2:43.0,,,22-14,,A. Morrow enters the game for R. Westbrook
2:35.0,,,22-14,,J. Lamb misses 2-pt shot from 5 ft (block by T. Thompson)
2:34.0,Defensive rebound by T. Thompson,,22-14,,
2:34.0,,,22-14,,Personal foul by J. Lamb (drawn by T. Thompson)
2:24.0,J. Jones misses 3-pt shot from 22 ft,,22-14,,
2:23.0,,,22-14,,Defensive rebound by J. Lamb
