time,Washington,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. C. Zeller (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. C. Zeller (N. Hilario gains possession)
11:43.0,P. Pierce misses 3-pt shot from 23 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by M. Kidd-Gilchrist
11:30.0,,,0-2,2,A. Jefferson makes 2-pt shot at rim (assist by M. Williams)
11:16.0,B. Beal misses 3-pt shot from 24 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by C. Zeller
11:03.0,,,0-2,,C. Zeller misses 2-pt shot from 19 ft
11:01.0,Defensive rebound by P. Pierce,,0-2,,
10:47.0,M. Gortat misses 2-pt shot from 2 ft (block by C. Zeller),,0-2,,
10:45.0,Offensive rebound by M. Gortat,,0-2,,
10:45.0,M. Gortat makes 2-pt shot at rim,2,2-2,,
10:32.0,,,2-2,,A. Jefferson misses 2-pt shot from 17 ft
10:31.0,Defensive rebound by P. Pierce,,2-2,,
10:25.0,J. Wall makes 2-pt shot at rim,2,4-2,,
10:14.0,,,4-2,,M. Williams misses 3-pt shot from 27 ft
10:13.0,,,4-2,,Offensive rebound by A. Jefferson
10:13.0,,,4-4,2,A. Jefferson makes 2-pt shot at rim
9:57.0,P. Pierce makes 2-pt shot from 13 ft,2,6-4,,
9:44.0,,,6-6,2,A. Jefferson makes 2-pt shot at rim (assist by M. Williams)
9:31.0,B. Beal makes 2-pt shot from 18 ft,2,8-6,,
9:21.0,,,8-8,2,M. Williams makes 2-pt shot from 1 ft
9:21.0,,,8-8,,Shooting foul by N. Hilario (drawn by M. Williams)
9:21.0,,,8-9,1,M. Williams makes free throw 1 of 1
9:07.0,N. Hilario makes 2-pt shot from 7 ft,2,10-9,,
9:07.0,Shooting foul by C. Zeller (drawn by N. Hilario),,10-9,,
9:07.0,N. Hilario makes free throw 1 of 1,1,11-9,,
8:52.0,,,11-9,,G. Henderson misses 2-pt shot from 18 ft
8:51.0,Defensive rebound by N. Hilario,,11-9,,
8:38.0,M. Gortat makes 2-pt shot from 9 ft,2,13-9,,
8:24.0,,,13-9,,M. Kidd-Gilchrist misses 2-pt shot from 13 ft
8:23.0,Defensive rebound by M. Gortat,,13-9,,
8:13.0,J. Wall makes 2-pt shot from 18 ft,2,15-9,,
8:00.0,,,15-9,,Turnover by M. Williams (lost ball; steal by N. Hilario)
7:54.0,B. Beal misses 2-pt shot at rim (block by C. Zeller),,15-9,,
7:52.0,,,15-9,,Defensive rebound by G. Henderson
7:47.0,,,15-9,,Turnover by M. Kidd-Gilchrist (bad pass; steal by N. Hilario)
7:44.0,B. Beal misses 2-pt shot at rim (block by M. Kidd-Gilchrist),,15-9,,
7:41.0,Offensive rebound by B. Beal,,15-9,,
7:29.0,J. Wall makes 3-pt shot from 25 ft (assist by P. Pierce),3,18-9,,
7:22.0,,,18-9,,Charlotte full timeout
7:12.0,,,18-9,,A. Jefferson misses 2-pt shot from 13 ft
7:11.0,Defensive rebound by J. Wall,,18-9,,
7:07.0,J. Wall makes 2-pt shot at rim,2,20-9,,
6:51.0,,,20-11,2,G. Henderson makes 2-pt shot from 1 ft
6:33.0,P. Pierce makes 2-pt shot from 14 ft,2,22-11,,
6:21.0,,,22-13,2,M. Williams makes 2-pt shot from 18 ft
6:07.0,Turnover by B. Beal (lost ball; steal by A. Jefferson),,22-13,,
5:59.0,,,22-15,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
5:41.0,M. Gortat makes 2-pt shot from 5 ft (assist by B. Beal),2,24-15,,
5:30.0,,,24-15,,Turnover by M. Williams (lost ball; steal by J. Wall)
5:25.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,26-15,,
5:09.0,,,26-15,,G. Henderson misses 2-pt shot from 18 ft
5:08.0,Defensive rebound by Team,,26-15,,
5:08.0,,,26-15,,Loose ball foul by C. Zeller (drawn by M. Gortat)
5:08.0,,,26-15,,M. Williams enters the game for C. Zeller
4:54.0,Offensive foul by N. Hilario,,26-15,,
4:54.0,Turnover by N. Hilario (offensive foul),,26-15,,
4:54.0,D. Gooden enters the game for N. Hilario,,26-15,,
4:36.0,,,26-15,,M. Williams misses 3-pt shot from 26 ft
4:34.0,,,26-15,,Offensive rebound by A. Jefferson
4:26.0,,,26-15,,Turnover by G. Henderson (traveling)
4:10.0,P. Pierce misses 2-pt shot from 16 ft,,26-15,,
4:08.0,,,26-15,,Defensive rebound by G. Henderson
3:52.0,,,26-18,3,M. Williams makes 3-pt shot from 25 ft
3:31.0,M. Gortat makes 2-pt shot from 8 ft,2,28-18,,
3:02.0,,,28-18,,A. Jefferson misses 2-pt shot from 7 ft
3:00.0,Defensive rebound by D. Gooden,,28-18,,
2:55.0,J. Wall makes 2-pt shot from 2 ft,2,30-18,,
2:48.0,,,30-18,,Charlotte full timeout
2:48.0,Washington full timeout,,30-18,,
2:48.0,,,30-18,,B. Roberts enters the game for A. Jefferson
2:48.0,,,30-18,,B. Biyombo enters the game for G. Henderson
2:48.0,O. Porter enters the game for P. Pierce,,30-18,,
2:48.0,G. Temple enters the game for B. Beal,,30-18,,
2:42.0,,,30-18,,M. Williams misses 3-pt shot from 25 ft
2:40.0,,,30-18,,Offensive rebound by M. Kidd-Gilchrist
2:27.0,,,30-21,3,M. Williams makes 3-pt shot from 26 ft (assist by B. Roberts)
2:15.0,Shooting foul by M. Kidd-Gilchrist (drawn by M. Gortat),,30-21,,
2:15.0,M. Gortat makes free throw 1 of 2,1,31-21,,
2:15.0,,,31-21,,L. Stephenson enters the game for M. Williams
2:15.0,M. Gortat makes free throw 2 of 2,1,32-21,,
1:56.0,,,32-21,,B. Roberts misses 2-pt shot from 16 ft
1:55.0,Defensive rebound by M. Gortat,,32-21,,
1:47.0,J. Wall misses 3-pt shot from 25 ft,,32-21,,
1:46.0,,,32-21,,Defensive rebound by B. Biyombo
1:44.0,,,32-21,,Turnover by B. Biyombo (lost ball; steal by J. Wall)
1:39.0,Turnover by J. Wall (lost ball; steal by B. Biyombo),,32-21,,
1:32.0,,,32-21,,M. Williams misses 2-pt shot from 1 ft (block by D. Gooden)
1:30.0,Defensive rebound by M. Gortat,,32-21,,
1:25.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,34-21,,
1:03.0,,,34-21,,B. Biyombo misses 2-pt shot from 4 ft (block by O. Porter)
1:01.0,Defensive rebound by J. Wall,,34-21,,
0:57.0,K. Seraphin enters the game for M. Gortat,,34-21,,
0:57.0,,,34-21,,M. Williams enters the game for M. Kidd-Gilchrist
0:57.0,R. Sessions enters the game for J. Wall,,34-21,,
0:52.0,K. Seraphin makes 2-pt shot from 4 ft (assist by R. Sessions),2,36-21,,
0:37.0,,,36-21,,M. Williams misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by O. Porter,,36-21,,
0:26.0,Turnover by R. Sessions (lost ball),,36-21,,
0:06.0,Personal foul by R. Sessions (drawn by M. Williams),,36-21,,
0:01.0,,,36-21,,M. Williams misses 3-pt shot from 25 ft
0:00.0,,,36-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,36-21,,B. Biyombo misses 2-pt shot from 3 ft
11:43.0,Defensive rebound by K. Seraphin,,36-21,,
11:27.0,D. Gooden misses 3-pt shot from 25 ft,,36-21,,
11:26.0,,,36-21,,Defensive rebound by B. Biyombo
11:13.0,,,36-21,,L. Stephenson misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by R. Sessions,,36-21,,
11:02.0,D. Gooden makes 2-pt shot from 18 ft (assist by R. Sessions),2,38-21,,
10:35.0,Personal foul by G. Temple (drawn by B. Roberts),,38-21,,
10:24.0,,,38-23,2,L. Stephenson makes 2-pt shot from 17 ft
10:17.0,,,38-23,,Personal foul by L. Stephenson (drawn by G. Temple)
10:02.0,O. Porter makes 2-pt shot from 9 ft (assist by D. Gooden),2,40-23,,
9:41.0,,,40-23,,B. Roberts misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by G. Temple,,40-23,,
9:28.0,K. Seraphin makes 2-pt shot from 17 ft (assist by D. Gooden),2,42-23,,
9:07.0,,,42-23,,Shooting foul by D. Gooden (drawn by L. Stephenson)
9:07.0,,,42-24,1,L. Stephenson makes free throw 1 of 2
9:07.0,,,42-24,,L. Stephenson misses free throw 2 of 2
9:05.0,Defensive rebound by K. Seraphin,,42-24,,
8:53.0,O. Porter misses 2-pt shot from 5 ft,,42-24,,
8:51.0,,,42-24,,Defensive rebound by L. Stephenson
8:50.0,,,42-24,,Turnover by L. Stephenson (palming)
8:50.0,Official timeout,,42-24,,
8:34.0,K. Seraphin misses 2-pt shot from 8 ft,,42-24,,
8:33.0,,,42-24,,Defensive rebound by M. Williams
8:23.0,,,42-24,,B. Roberts misses 3-pt shot from 25 ft
8:22.0,,,42-24,,Offensive rebound by Team
8:14.0,,,42-26,2,B. Biyombo makes 2-pt shot at rim (assist by L. Stephenson)
8:14.0,,,42-26,,Shooting foul by D. Gooden (drawn by B. Biyombo)
8:14.0,,,42-26,,B. Biyombo misses free throw 1 of 1
8:12.0,Defensive rebound by D. Gooden,,42-26,,
7:58.0,R. Sessions misses 2-pt shot from 6 ft,,42-26,,
7:57.0,,,42-26,,Defensive rebound by M. Kidd-Gilchrist
7:45.0,,,42-28,2,L. Stephenson makes 2-pt shot from 13 ft
7:25.0,O. Porter misses 3-pt shot from 25 ft,,42-28,,
7:24.0,,,42-28,,Defensive rebound by M. Williams
7:15.0,,,42-28,,L. Stephenson misses 2-pt shot from 6 ft
7:14.0,,,42-28,,Offensive rebound by B. Biyombo
7:09.0,,,42-31,3,M. Williams makes 3-pt shot from 25 ft (assist by L. Stephenson)
7:04.0,Washington full timeout,,42-31,,
7:04.0,M. Gortat enters the game for D. Gooden,,42-31,,
7:04.0,N. Hilario enters the game for O. Porter,,42-31,,
7:04.0,J. Wall enters the game for K. Seraphin,,42-31,,
7:04.0,B. Beal enters the game for R. Sessions,,42-31,,
7:04.0,,,42-31,,G. Henderson enters the game for M. Kidd-Gilchrist
7:04.0,,,42-31,,A. Jefferson enters the game for M. Williams
7:04.0,,,42-31,,J. Maxiell enters the game for B. Biyombo
6:47.0,B. Beal makes 2-pt shot from 17 ft,2,44-31,,
6:24.0,,,44-33,2,A. Jefferson makes 2-pt shot from 14 ft
6:09.0,N. Hilario makes 2-pt shot from 17 ft (assist by J. Wall),2,46-33,,
5:46.0,,,46-33,,B. Roberts misses 2-pt shot from 15 ft
5:45.0,Defensive rebound by B. Beal,,46-33,,
5:32.0,M. Gortat makes 2-pt shot from 14 ft (assist by J. Wall),2,48-33,,
5:12.0,,,48-33,,B. Roberts misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by B. Beal,,48-33,,
5:04.0,Turnover by J. Wall (bad pass),,48-33,,
5:04.0,,,48-33,,M. Williams enters the game for B. Roberts
