time,LA Clippers,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: B. Bass vs. D. Jordan (B. Griffin gains possession)
11:41.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,3-0,,
11:24.0,,,3-0,,Turnover by B. Bass (bad pass; steal by C. Paul)
11:18.0,M. Barnes makes 3-pt shot from 22 ft (assist by J. Redick),3,6-0,,
10:56.0,,,6-2,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
10:44.0,D. Jordan misses 2-pt shot from 4 ft,,6-2,,
10:43.0,,,6-2,,Defensive rebound by T. Zeller
10:35.0,,,6-2,,T. Zeller misses 2-pt shot from 19 ft
10:34.0,Defensive rebound by D. Jordan,,6-2,,
10:23.0,C. Paul misses 2-pt shot from 13 ft,,6-2,,
10:22.0,,,6-2,,Defensive rebound by T. Zeller
10:09.0,,,6-2,,M. Smart misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by J. Redick,,6-2,,
9:52.0,Shooting foul by T. Zeller (drawn by D. Jordan),,6-2,,
9:52.0,D. Jordan misses free throw 1 of 2,,6-2,,
9:52.0,Offensive rebound by Team,,6-2,,
9:52.0,D. Jordan misses free throw 2 of 2,,6-2,,
9:52.0,,,6-2,,Defensive rebound by M. Smart
9:42.0,,,6-2,,Turnover by E. Turner (bad pass; steal by D. Jordan)
9:40.0,Shooting foul by M. Smart (drawn by B. Griffin),,6-2,,
9:40.0,B. Griffin misses free throw 1 of 2,,6-2,,
9:40.0,Offensive rebound by Team,,6-2,,
9:40.0,B. Griffin makes free throw 2 of 2,1,7-2,,
9:23.0,,,7-4,2,E. Turner makes 2-pt shot from 9 ft
9:11.0,B. Griffin makes 2-pt shot from 2 ft (assist by J. Redick),2,9-4,,
8:54.0,,,9-4,,T. Zeller misses 2-pt shot from 5 ft
8:53.0,Defensive rebound by D. Jordan,,9-4,,
8:46.0,D. Jordan makes 2-pt shot at rim (assist by M. Barnes),2,11-4,,
8:24.0,,,11-7,3,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner)
8:08.0,B. Griffin misses 2-pt shot from 18 ft,,11-7,,
8:07.0,,,11-7,,Defensive rebound by E. Turner
8:03.0,,,11-7,,E. Turner misses 2-pt shot from 2 ft (block by M. Barnes)
8:02.0,,,11-7,,Offensive rebound by Team
7:56.0,,,11-7,,M. Smart misses 2-pt shot from 17 ft
7:55.0,Defensive rebound by B. Griffin,,11-7,,
7:48.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,13-7,,
7:48.0,Shooting foul by B. Bass (drawn by B. Griffin),,13-7,,
7:48.0,,,13-7,,I. Thomas enters the game for M. Smart
7:48.0,,,13-7,,J. Crowder enters the game for B. Bass
7:48.0,B. Griffin makes free throw 1 of 1,1,14-7,,
7:35.0,,,14-9,2,J. Crowder makes 2-pt shot from 19 ft (assist by I. Thomas)
7:19.0,,,14-9,,Violation by J. Crowder (kicked ball)
7:18.0,,,14-9,,Personal foul by J. Crowder (drawn by B. Griffin)
7:08.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,16-9,,
7:08.0,Shooting foul by A. Bradley (drawn by D. Jordan),,16-9,,
7:08.0,D. Jordan misses free throw 1 of 1,,16-9,,
7:07.0,,,16-9,,Defensive rebound by E. Turner
6:53.0,,,16-11,2,I. Thomas makes 2-pt shot from 18 ft
6:41.0,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul),2,18-11,,
6:27.0,,,18-11,,T. Zeller misses 2-pt shot from 2 ft (block by C. Paul)
6:26.0,Defensive rebound by D. Jordan,,18-11,,
6:19.0,Turnover by C. Paul (lost ball; steal by I. Thomas),,18-11,,
6:11.0,,,18-13,2,T. Zeller makes 2-pt shot from 6 ft (assist by I. Thomas)
5:58.0,J. Redick misses 2-pt shot from 21 ft,,18-13,,
5:55.0,Offensive rebound by B. Griffin,,18-13,,
5:48.0,M. Barnes misses 3-pt shot from 25 ft,,18-13,,
5:46.0,Offensive rebound by D. Jordan,,18-13,,
5:25.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,21-13,,
5:24.0,,,21-13,,Boston full timeout
5:12.0,,,21-13,,J. Crowder misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by J. Redick,,21-13,,
5:04.0,M. Barnes misses 2-pt shot from 2 ft (block by A. Bradley),,21-13,,
5:02.0,Offensive rebound by B. Griffin,,21-13,,
5:01.0,B. Griffin misses 2-pt shot from 2 ft,,21-13,,
5:00.0,,,21-13,,Defensive rebound by J. Crowder
4:57.0,,,21-15,2,E. Turner makes 2-pt shot at rim (assist by A. Bradley)
4:35.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,23-15,,
4:19.0,,,23-15,,J. Crowder misses 2-pt shot from 13 ft
4:18.0,Defensive rebound by M. Barnes,,23-15,,
4:04.0,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin),2,25-15,,
3:42.0,,,25-15,,T. Zeller misses 2-pt shot from 16 ft
3:41.0,Defensive rebound by M. Barnes,,25-15,,
3:28.0,,,25-15,,Personal foul by I. Thomas (drawn by C. Paul)
3:28.0,C. Paul makes free throw 1 of 2,1,26-15,,
3:28.0,C. Paul makes free throw 2 of 2,1,27-15,,
3:14.0,,,27-18,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Bradley)
2:57.0,J. Redick misses 3-pt shot from 25 ft,,27-18,,
2:56.0,Offensive rebound by D. Jordan,,27-18,,
2:53.0,Turnover by D. Jordan (bad pass; steal by E. Turner),,27-18,,
2:53.0,Personal foul by M. Barnes (drawn by E. Turner),,27-18,,
2:53.0,LA Clippers full timeout,,27-18,,
2:53.0,,,27-18,,K. Olynyk enters the game for T. Zeller
2:53.0,,,27-18,,L. Datome enters the game for E. Turner
2:53.0,A. Rivers enters the game for J. Redick,,27-18,,
2:42.0,,,27-18,,A. Bradley misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by B. Griffin,,27-18,,
2:21.0,,,27-18,,Personal foul by J. Crowder (drawn by C. Paul)
2:21.0,C. Paul makes free throw 1 of 2,1,28-18,,
2:21.0,C. Paul makes free throw 2 of 2,1,29-18,,
2:08.0,,,29-18,,L. Datome misses 3-pt shot from 26 ft
2:06.0,,,29-18,,Offensive rebound by J. Crowder
2:00.0,,,29-20,2,A. Bradley makes 2-pt shot from 1 ft (assist by K. Olynyk)
1:44.0,Offensive foul by C. Paul,,29-20,,
1:44.0,Turnover by C. Paul (offensive foul),,29-20,,
1:44.0,S. Hawes enters the game for M. Barnes,,29-20,,
1:44.0,H. Turkoglu enters the game for B. Griffin,,29-20,,
1:33.0,,,29-20,,K. Olynyk misses 3-pt shot from 22 ft
1:31.0,Defensive rebound by S. Hawes,,29-20,,
1:19.0,C. Paul makes 2-pt shot from 14 ft,2,31-20,,
0:59.0,,,31-20,,J. Crowder misses 3-pt shot from 23 ft
0:56.0,Defensive rebound by H. Turkoglu,,31-20,,
0:49.0,,,31-20,,Personal foul by J. Crowder (drawn by S. Hawes)
0:49.0,S. Hawes misses free throw 1 of 2,,31-20,,
0:49.0,Offensive rebound by Team,,31-20,,
0:49.0,,,31-20,,J. Jerebko enters the game for J. Crowder
0:49.0,G. Davis enters the game for D. Jordan,,31-20,,
0:49.0,S. Hawes makes free throw 2 of 2,1,32-20,,
0:37.0,Personal foul by A. Rivers (drawn by A. Bradley),,32-20,,
0:27.0,,,32-20,,J. Jerebko misses 2-pt shot from 13 ft
0:26.0,Defensive rebound by A. Rivers,,32-20,,
0:04.0,C. Paul makes 2-pt shot from 11 ft,2,34-20,,
0:00.0,,,34-20,,A. Bradley misses 3-pt shot from 35 ft
0:00.0,,,34-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,34-20,,L. Datome misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by A. Rivers,,34-20,,
11:32.0,G. Davis makes 2-pt shot from 3 ft (assist by A. Rivers),2,36-20,,
11:12.0,,,36-20,,I. Thomas misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by S. Hawes,,36-20,,
11:01.0,J. Redick makes 2-pt shot from 22 ft (assist by S. Hawes),2,38-20,,
10:44.0,,,38-20,,J. Jerebko misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by J. Redick,,38-20,,
10:32.0,A. Rivers misses 2-pt shot from 17 ft,,38-20,,
10:31.0,,,38-20,,Defensive rebound by J. Jerebko
10:25.0,,,38-20,,Shooting foul by S. Hawes (drawn by I. Thomas)
10:25.0,,,38-21,1,I. Thomas makes free throw 1 of 2
10:25.0,,,38-21,,B. Bass enters the game for K. Olynyk
10:25.0,,,38-22,1,I. Thomas makes free throw 2 of 2
10:08.0,H. Turkoglu misses 3-pt shot from 26 ft,,38-22,,
10:06.0,Offensive rebound by G. Davis,,38-22,,
10:05.0,G. Davis makes 2-pt shot from 2 ft,2,40-22,,
9:52.0,,,40-22,,M. Smart misses 2-pt shot from 3 ft
9:51.0,Defensive rebound by J. Redick,,40-22,,
9:46.0,A. Rivers misses 3-pt shot from 23 ft,,40-22,,
9:45.0,,,40-22,,Defensive rebound by Team
9:44.0,Loose ball foul by S. Hawes (drawn by L. Datome),,40-22,,
9:24.0,,,40-25,3,J. Jerebko makes 3-pt shot from 23 ft (assist by L. Datome)
9:06.0,J. Redick makes 2-pt shot from 21 ft (assist by A. Rivers),2,42-25,,
8:55.0,Personal foul by J. Redick (drawn by M. Smart),,42-25,,
8:55.0,Official timeout,,42-25,,
8:39.0,,,42-25,,I. Thomas misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by J. Redick,,42-25,,
8:38.0,,,42-25,,E. Turner enters the game for I. Thomas
8:38.0,,,42-25,,P. Pressey enters the game for L. Datome
8:38.0,Jump ball: J. Redick vs. M. Smart (S. Hawes gains possession),,,,Jump ball: J. Redick vs. M. Smart (S. Hawes gains possession)
8:25.0,G. Davis misses 2-pt shot from 4 ft,,42-25,,
8:24.0,,,42-25,,Defensive rebound by M. Smart
8:14.0,,,42-25,,J. Jerebko misses 2-pt shot from 5 ft
8:13.0,,,42-25,,Offensive rebound by J. Jerebko
8:12.0,,,42-27,2,J. Jerebko makes 2-pt shot at rim
7:50.0,J. Redick makes 2-pt shot from 11 ft (assist by A. Rivers),2,44-27,,
7:42.0,,,44-27,,B. Bass misses 2-pt shot from 1 ft (block by G. Davis)
7:39.0,,,44-27,,Offensive rebound by P. Pressey
7:31.0,,,44-27,,P. Pressey misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by H. Turkoglu,,44-27,,
7:16.0,A. Rivers makes 2-pt shot from 5 ft (assist by H. Turkoglu),2,46-27,,
7:03.0,,,46-27,,J. Jerebko misses 2-pt shot from 22 ft
7:02.0,Defensive rebound by A. Rivers,,46-27,,
6:48.0,H. Turkoglu makes 3-pt shot from 23 ft (assist by S. Hawes),3,49-27,,
6:47.0,,,49-27,,Boston full timeout
6:47.0,,,49-27,,A. Bradley enters the game for M. Smart
6:47.0,,,49-27,,T. Zeller enters the game for J. Jerebko
6:33.0,,,49-27,,Shooting foul by J. Redick (drawn by B. Bass)
6:33.0,,,49-28,1,B. Bass makes free throw 1 of 2
6:33.0,,,49-29,1,B. Bass makes free throw 2 of 2
6:18.0,Turnover by S. Hawes (3 sec),,49-29,,
6:18.0,C. Paul enters the game for A. Rivers,,49-29,,
6:18.0,D. Jordan enters the game for S. Hawes,,49-29,,
6:18.0,B. Griffin enters the game for H. Turkoglu,,49-29,,
6:18.0,M. Barnes enters the game for G. Davis,,49-29,,
6:06.0,,,49-29,,A. Bradley misses 2-pt shot from 19 ft
6:05.0,Defensive rebound by M. Barnes,,49-29,,
5:52.0,B. Griffin misses 2-pt shot from 18 ft,,49-29,,
5:51.0,,,49-29,,Defensive rebound by E. Turner
5:42.0,,,49-31,2,B. Bass makes 2-pt shot from 18 ft (assist by E. Turner)
5:27.0,M. Barnes makes 3-pt shot from 24 ft (assist by C. Paul),3,52-31,,
5:14.0,,,52-31,,T. Zeller misses 2-pt shot from 18 ft
5:13.0,Defensive rebound by D. Jordan,,52-31,,
4:54.0,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin),3,55-31,,
4:39.0,,,55-31,,E. Turner misses 2-pt shot from 15 ft
4:38.0,Defensive rebound by B. Griffin,,55-31,,
4:23.0,M. Barnes misses 3-pt shot from 27 ft,,55-31,,
4:22.0,,,55-31,,Defensive rebound by E. Turner
4:12.0,,,55-33,2,P. Pressey makes 2-pt shot from 18 ft (assist by E. Turner)
