time,LA Clippers,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Jordan (J. Wall gains possession),,,,Jump ball: M. Gortat vs. D. Jordan (J. Wall gains possession)
11:45.0,,,0-2,2,P. Pierce makes 2-pt shot from 19 ft (assist by J. Wall)
11:29.0,M. Barnes makes 2-pt shot from 6 ft,2,2-2,,
11:14.0,,,2-2,,Offensive foul by K. Humphries
11:14.0,,,2-2,,Turnover by K. Humphries (offensive foul)
10:52.0,M. Barnes misses 3-pt shot from 26 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by M. Gortat
10:40.0,,,2-4,2,M. Gortat makes 2-pt shot from 17 ft (assist by K. Humphries)
10:14.0,C. Paul misses 3-pt shot from 23 ft,,2-4,,
10:12.0,,,2-4,,Defensive rebound by P. Pierce
10:06.0,,,2-4,,P. Pierce misses 2-pt shot at rim
10:05.0,,,2-4,,Offensive rebound by K. Humphries
10:05.0,,,2-4,,K. Humphries misses 2-pt shot from 2 ft
10:05.0,,,2-4,,Offensive rebound by Team
10:05.0,Loose ball foul by B. Griffin (drawn by M. Gortat),,2-4,,
9:59.0,,,2-6,2,K. Humphries makes 2-pt shot from 21 ft (assist by B. Beal)
9:41.0,B. Griffin misses 2-pt shot from 20 ft,,2-6,,
9:40.0,,,2-6,,Defensive rebound by J. Wall
9:28.0,,,2-8,2,K. Humphries makes 2-pt shot at rim (assist by J. Wall)
8:58.0,D. Jordan makes 2-pt shot at rim (assist by M. Barnes),2,4-8,,
8:35.0,,,4-8,,Shooting foul by D. Jordan (drawn by M. Gortat)
8:35.0,,,4-9,1,M. Gortat makes free throw 1 of 2
8:35.0,,,4-10,1,M. Gortat makes free throw 2 of 2
8:25.0,M. Barnes misses 3-pt shot from 23 ft,,4-10,,
8:23.0,Offensive rebound by D. Jordan,,4-10,,
8:19.0,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin),3,7-10,,
8:06.0,,,7-12,2,B. Beal makes 2-pt shot from 6 ft (assist by J. Wall)
7:53.0,C. Paul misses 2-pt shot from 11 ft (block by M. Gortat),,7-12,,
7:51.0,Offensive rebound by D. Jordan,,7-12,,
7:45.0,Turnover by D. Jordan (lost ball; steal by K. Humphries),,7-12,,
7:41.0,,,7-12,,K. Humphries misses 2-pt shot from 14 ft
7:41.0,Defensive rebound by Team,,7-12,,
7:41.0,,,7-12,,Loose ball foul by M. Gortat (drawn by B. Griffin)
7:41.0,LA Clippers full timeout,,7-12,,
7:26.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,9-12,,
7:11.0,,,9-12,,B. Beal misses 2-pt shot from 15 ft
7:10.0,Defensive rebound by M. Barnes,,9-12,,
7:05.0,Offensive foul by M. Barnes,,9-12,,
7:05.0,Turnover by M. Barnes (offensive foul),,9-12,,
6:49.0,,,9-12,,B. Beal misses 3-pt shot from 26 ft
6:48.0,,,9-12,,Offensive rebound by P. Pierce
6:44.0,,,9-14,2,M. Gortat makes 2-pt shot at rim (assist by P. Pierce)
6:16.0,C. Paul misses 3-pt shot from 28 ft,,9-14,,
