time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. N. Noel (R. Covington gains possession),,,,Jump ball: C. Andersen vs. N. Noel (R. Covington gains possession)
11:42.0,M. Carter-Williams misses 3-pt shot from 23 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by C. Andersen
11:35.0,,,0-0,,D. Wade misses 2-pt shot from 17 ft
11:34.0,Defensive rebound by R. Covington,,0-0,,
11:22.0,R. Covington makes 2-pt shot from 10 ft,2,2-0,,
11:02.0,,,2-0,,C. Andersen misses 2-pt shot from 1 ft (block by L. Mbah a Moute)
11:01.0,Defensive rebound by L. Mbah a Moute,,2-0,,
10:53.0,N. Noel misses 2-pt shot from 19 ft,,2-0,,
10:52.0,,,2-0,,Defensive rebound by Team
10:40.0,,,2-2,2,M. Chalmers makes 2-pt shot from 5 ft
10:31.0,Turnover by N. Noel (lost ball; steal by M. Chalmers),,2-2,,
10:19.0,,,2-5,3,S. Williams makes 3-pt shot from 23 ft (assist by M. Chalmers)
10:02.0,J. Sampson misses 3-pt shot from 23 ft,,2-5,,
10:01.0,,,2-5,,Defensive rebound by S. Williams
9:49.0,,,2-7,2,D. Wade makes 2-pt shot from 16 ft
9:32.0,R. Covington misses 2-pt shot from 19 ft,,2-7,,
9:31.0,,,2-7,,Defensive rebound by C. Andersen
9:25.0,,,2-7,,S. Williams misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by J. Sampson,,2-7,,
9:11.0,N. Noel misses 2-pt shot from 6 ft,,2-7,,
9:10.0,Offensive rebound by N. Noel,,2-7,,
9:07.0,N. Noel misses 2-pt shot from 9 ft,,2-7,,
9:06.0,,,2-7,,Defensive rebound by S. Williams
8:51.0,,,2-7,,Turnover by L. Deng (traveling)
8:33.0,Shooting foul by C. Andersen (drawn by J. Sampson),,2-7,,
8:33.0,J. Sampson makes free throw 1 of 2,1,3-7,,
8:33.0,J. Sampson makes free throw 2 of 2,1,4-7,,
8:21.0,,,4-9,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
8:03.0,L. Mbah a Moute misses 2-pt shot at rim (block by C. Andersen),,4-9,,
8:02.0,Offensive rebound by N. Noel,,4-9,,
8:01.0,N. Noel misses 2-pt shot at rim,,4-9,,
8:00.0,Offensive rebound by N. Noel,,4-9,,
7:59.0,R. Covington makes 2-pt shot from 5 ft,2,6-9,,
7:49.0,,,6-11,2,L. Deng makes 2-pt shot from 1 ft (assist by M. Chalmers)
7:38.0,Turnover by J. Sampson (bad pass; steal by C. Andersen),,6-11,,
7:36.0,,,6-13,2,C. Andersen makes 2-pt shot at rim
7:36.0,,,6-13,,Shooting foul by J. Sampson (drawn by C. Andersen)
7:36.0,,,6-14,1,C. Andersen makes free throw 1 of 1
7:36.0,Philadelphia full timeout,,6-14,,
7:23.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,8-14,,
7:03.0,,,8-16,2,D. Wade makes 2-pt shot from 16 ft
6:45.0,,,8-16,,Personal foul by S. Williams (drawn by R. Covington)
6:36.0,Turnover by M. Carter-Williams (bad pass; steal by L. Deng),,8-16,,
6:28.0,,,8-16,,S. Williams misses 2-pt shot from 20 ft
6:27.0,,,8-16,,Offensive rebound by D. Wade
6:09.0,,,8-16,,M. Chalmers misses 2-pt shot from 1 ft (block by M. Carter-Williams)
6:08.0,,,8-16,,Offensive rebound by D. Wade
6:06.0,,,8-18,2,D. Wade makes 2-pt shot from 12 ft
5:49.0,Shooting foul by C. Andersen (drawn by L. Mbah a Moute),,8-18,,
5:49.0,L. Mbah a Moute makes free throw 1 of 2,1,9-18,,
5:49.0,,,9-18,,U. Haslem enters the game for C. Andersen
5:49.0,K. McDaniels enters the game for J. Sampson,,9-18,,
5:49.0,L. Mbah a Moute makes free throw 2 of 2,1,10-18,,
5:33.0,,,10-18,,D. Wade misses 2-pt shot from 16 ft
5:32.0,,,10-18,,Offensive rebound by Team
5:14.0,,,10-21,3,M. Chalmers makes 3-pt shot from 25 ft (assist by D. Wade)
5:03.0,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,13-21,,
4:48.0,,,13-23,2,L. Deng makes 2-pt shot from 17 ft (assist by D. Wade)
4:33.0,Offensive charge foul by K. McDaniels,,13-23,,
4:33.0,Turnover by K. McDaniels (offensive foul),,13-23,,
4:33.0,,,13-23,,N. Cole enters the game for D. Wade
4:33.0,H. Sims enters the game for N. Noel,,13-23,,
4:14.0,,,13-23,,L. Deng misses 2-pt shot from 14 ft
4:13.0,Defensive rebound by L. Mbah a Moute,,13-23,,
4:04.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,13-23,,
4:03.0,,,13-23,,Defensive rebound by U. Haslem
3:46.0,,,13-25,2,M. Chalmers makes 2-pt shot from 9 ft
3:29.0,K. McDaniels misses 3-pt shot from 23 ft,,13-25,,
3:28.0,,,13-25,,Defensive rebound by U. Haslem
3:21.0,,,13-25,,L. Deng misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by M. Carter-Williams,,13-25,,
3:06.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,15-25,,
3:05.0,,,15-25,,Miami full timeout
3:05.0,J. Grant enters the game for L. Mbah a Moute,,15-25,,
3:05.0,,,15-25,,D. Granger enters the game for S. Williams
3:02.0,,,15-25,,Turnover by D. Granger (bad pass; steal by M. Carter-Williams)
2:55.0,R. Covington misses 3-pt shot from 23 ft,,15-25,,
2:54.0,,,15-25,,Defensive rebound by D. Granger
2:30.0,,,15-28,3,D. Granger makes 3-pt shot from 24 ft (assist by U. Haslem)
2:21.0,Offensive foul by R. Covington,,15-28,,
2:21.0,Turnover by R. Covington (offensive foul),,15-28,,
2:21.0,,,15-28,,J. Ennis enters the game for L. Deng
2:21.0,J. Sampson enters the game for M. Carter-Williams,,15-28,,
2:00.0,,,15-28,,N. Cole misses 2-pt shot from 1 ft (block by J. Sampson)
1:59.0,Defensive rebound by H. Sims,,15-28,,
1:52.0,Turnover by H. Sims (bad pass; steal by U. Haslem),,15-28,,
1:50.0,,,15-28,,N. Cole misses 2-pt shot from 1 ft (block by K. McDaniels)
1:49.0,,,15-28,,Offensive rebound by M. Chalmers
1:47.0,,,15-30,2,M. Chalmers makes 2-pt shot from 8 ft
1:18.0,K. McDaniels misses 2-pt shot from 21 ft,,15-30,,
1:17.0,,,15-30,,Defensive rebound by Team
1:11.0,Shooting block foul by J. Grant (drawn by U. Haslem),,15-30,,
1:11.0,,,15-30,,U. Haslem misses free throw 1 of 2
1:11.0,,,15-30,,Offensive rebound by Team
1:11.0,N. Noel enters the game for R. Covington,,15-30,,
1:11.0,,,15-30,,U. Haslem misses free throw 2 of 2
1:10.0,Defensive rebound by H. Sims,,15-30,,
0:59.0,J. Sampson makes 2-pt shot from 1 ft,2,17-30,,
0:42.0,,,17-32,2,U. Haslem makes 2-pt shot from 1 ft
0:29.0,H. Sims makes 2-pt shot from 16 ft (assist by N. Noel),2,19-32,,
0:06.0,,,19-32,,J. Ennis misses 2-pt shot from 1 ft (block by J. Grant)
0:05.0,,,19-32,,Offensive rebound by Team
0:05.0,,,19-32,,Turnover by Team (shot clock)
0:01.0,H. Sims misses 2-pt shot from 16 ft,,19-32,,
0:00.0,Offensive rebound by Team,,19-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,19-34,2,J. Ennis makes 2-pt shot from 19 ft (assist by U. Haslem)
11:24.0,Shooting foul by U. Haslem (drawn by K. McDaniels),,19-34,,
11:24.0,K. McDaniels makes free throw 1 of 2,1,20-34,,
11:24.0,,,20-34,,H. Whiteside enters the game for M. Chalmers
11:24.0,K. McDaniels makes free throw 2 of 2,1,21-34,,
11:07.0,,,21-34,,D. Granger misses 2-pt shot from 7 ft (block by N. Noel)
11:06.0,,,21-34,,Offensive rebound by U. Haslem
10:58.0,,,21-37,3,N. Cole makes 3-pt shot from 24 ft
10:45.0,Turnover by N. Noel (lost ball; steal by U. Haslem),,21-37,,
10:40.0,Personal block foul by H. Sims (drawn by N. Cole),,21-37,,
10:40.0,M. Carter-Williams enters the game for J. Sampson,,21-37,,
10:29.0,,,21-37,,Turnover by H. Whiteside (offensive goaltending)
10:28.0,L. Mbah a Moute enters the game for H. Sims,,21-37,,
10:08.0,N. Noel misses 2-pt shot from 8 ft (block by H. Whiteside),,21-37,,
10:07.0,,,21-37,,Defensive rebound by D. Granger
9:52.0,,,21-37,,D. Granger misses 2-pt shot from 2 ft (block by K. McDaniels)
9:51.0,,,21-37,,Offensive rebound by U. Haslem
9:43.0,,,21-37,,D. Granger misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by J. Grant,,21-37,,
9:34.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,21-37,,
9:33.0,,,21-37,,Defensive rebound by J. Ennis
9:24.0,,,21-39,2,N. Cole makes 2-pt shot from 8 ft
9:21.0,Philadelphia full timeout,,21-39,,
9:21.0,R. Covington enters the game for J. Grant,,21-39,,
9:08.0,R. Covington misses 2-pt shot from 2 ft,,21-39,,
9:07.0,,,21-39,,Defensive rebound by U. Haslem
9:00.0,,,21-39,,Turnover by D. Granger (lost ball; steal by R. Covington)
8:50.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,23-39,,
8:35.0,,,23-39,,Offensive foul by U. Haslem
8:35.0,,,23-39,,Turnover by U. Haslem (offensive foul)
8:35.0,,,23-39,,D. Wade enters the game for U. Haslem
8:12.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by H. Whiteside),,23-39,,
8:11.0,,,23-39,,Defensive rebound by J. Ennis
8:07.0,,,23-39,,H. Whiteside misses 2-pt shot at rim
8:06.0,Defensive rebound by L. Mbah a Moute,,23-39,,
8:02.0,Shooting foul by D. Wade (drawn by N. Noel),,23-39,,
8:02.0,N. Noel misses free throw 1 of 2,,23-39,,
8:02.0,Offensive rebound by Team,,23-39,,
8:02.0,J. Grant enters the game for K. McDaniels,,23-39,,
8:02.0,N. Noel misses free throw 2 of 2,,23-39,,
8:01.0,Offensive rebound by L. Mbah a Moute,,23-39,,
7:46.0,M. Carter-Williams makes 2-pt shot from 18 ft,2,25-39,,
7:29.0,,,25-39,,Turnover by H. Whiteside (3 sec)
7:13.0,L. Mbah a Moute makes 2-pt shot from 20 ft,2,27-39,,
7:11.0,,,27-39,,Miami full timeout
7:11.0,,,27-39,,L. Deng enters the game for D. Granger
7:11.0,,,27-39,,S. Williams enters the game for J. Ennis
7:03.0,,,27-39,,Shooting foul by R. Covington (drawn by N. Cole)
7:03.0,,,27-40,1,N. Cole makes free throw 1 of 2
7:03.0,,,27-41,1,N. Cole makes free throw 2 of 2
6:53.0,Shooting foul by L. Deng (drawn by N. Noel),,27-41,,
6:53.0,N. Noel misses free throw 1 of 2,,27-41,,
6:53.0,Offensive rebound by Team,,27-41,,
6:53.0,N. Noel makes free throw 2 of 2,1,28-41,,
6:35.0,,,28-41,,H. Whiteside misses 2-pt shot from 6 ft (block by N. Noel)
6:34.0,,,28-41,,Offensive rebound by N. Cole
6:29.0,,,28-41,,N. Cole misses 2-pt shot from 20 ft
6:28.0,Defensive rebound by L. Mbah a Moute,,28-41,,
6:12.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,30-41,,
6:06.0,Shooting block foul by N. Noel (drawn by D. Wade),,30-41,,
6:06.0,,,30-42,1,D. Wade makes free throw 1 of 2
6:06.0,,,30-42,,M. Chalmers enters the game for N. Cole
6:06.0,,,30-42,,C. Andersen enters the game for H. Whiteside
6:06.0,,,30-42,,D. Wade misses free throw 2 of 2
6:05.0,Defensive rebound by N. Noel,,30-42,,
5:49.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,32-42,,
5:35.0,,,32-44,2,D. Wade makes 2-pt shot from 10 ft
5:18.0,M. Carter-Williams misses 2-pt shot from 18 ft,,32-44,,
5:17.0,Offensive rebound by N. Noel,,32-44,,
5:13.0,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by N. Noel),2,34-44,,
4:58.0,,,34-44,,L. Deng misses 2-pt shot from 1 ft (block by J. Grant)
4:57.0,Defensive rebound by Team,,34-44,,
4:57.0,K. McDaniels enters the game for N. Noel,,34-44,,
4:43.0,J. Grant makes 2-pt shot from 1 ft,2,36-44,,
4:43.0,,,36-44,,Miami full timeout
4:24.0,,,36-47,3,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade)
4:08.0,R. Covington misses 3-pt shot from 24 ft,,36-47,,
4:07.0,,,36-47,,Defensive rebound by C. Andersen
3:57.0,,,36-47,,D. Wade misses 2-pt shot from 12 ft (block by R. Covington)
3:56.0,Defensive rebound by J. Grant,,36-47,,
3:49.0,M. Carter-Williams makes 2-pt shot from 15 ft,2,38-47,,
3:37.0,Personal foul by J. Grant (drawn by M. Chalmers),,38-47,,
3:37.0,J. Sampson enters the game for J. Grant,,38-47,,
3:25.0,Personal foul by J. Sampson (drawn by D. Wade),,38-47,,
3:25.0,,,38-47,,D. Wade misses free throw 1 of 2
3:25.0,,,38-47,,Offensive rebound by Team
3:25.0,,,38-48,1,D. Wade makes free throw 2 of 2
3:08.0,R. Covington misses 3-pt shot from 24 ft,,38-48,,
3:07.0,,,38-48,,Defensive rebound by L. Deng
2:59.0,,,38-50,2,D. Wade makes 2-pt shot from 17 ft
2:29.0,L. Mbah a Moute misses 2-pt shot from 12 ft,,38-50,,
2:28.0,,,38-50,,Defensive rebound by M. Chalmers
2:23.0,,,38-50,,L. Deng misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by Team,,38-50,,
2:22.0,Official timeout,,38-50,,
2:22.0,H. Sims enters the game for L. Mbah a Moute,,38-50,,
2:09.0,Shooting foul by C. Andersen (drawn by K. McDaniels),,38-50,,
2:09.0,K. McDaniels makes free throw 1 of 2,1,39-50,,
2:09.0,,,39-50,,U. Haslem enters the game for C. Andersen
2:09.0,K. McDaniels makes free throw 2 of 2,1,40-50,,
1:56.0,,,40-52,2,D. Wade makes 2-pt shot from 2 ft
1:56.0,,,40-52,,Shooting foul by J. Sampson (drawn by D. Wade)
1:56.0,,,40-53,1,D. Wade makes free throw 1 of 1
1:42.0,,,40-53,,Violation by U. Haslem (kicked ball)
1:42.0,L. Mbah a Moute enters the game for J. Sampson,,40-53,,
1:27.0,H. Sims makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,42-53,,
1:06.0,,,42-55,2,D. Wade makes 2-pt shot from 12 ft (assist by L. Deng)
0:52.0,K. McDaniels misses 3-pt shot from 25 ft,,42-55,,
0:51.0,,,42-55,,Defensive rebound by Team
0:37.0,,,42-55,,Turnover by Team (back court)
0:37.0,Philadelphia full timeout,,42-55,,
0:37.0,,,42-55,,D. Granger enters the game for U. Haslem
0:21.0,Offensive charge foul by H. Sims,,42-55,,
0:21.0,Turnover by H. Sims (offensive foul),,42-55,,
