time,New York,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:35.0,T. Hardaway misses 3-pt shot from 24 ft,,0-0,,
12:00.0,Jump ball: C. Aldrich vs. J. Freeland (J. Calderon gains possession),,,,Jump ball: C. Aldrich vs. J. Freeland (J. Calderon gains possession)
11:34.0,,,0-0,,Defensive rebound by T. Robinson
11:16.0,,,0-0,,W. Matthews misses 3-pt shot from 24 ft
11:15.0,Defensive rebound by C. Aldrich,,0-0,,
10:59.0,T. Hardaway misses 2-pt shot from 1 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by Team
10:43.0,,,0-3,3,N. Batum makes 3-pt shot from 24 ft (assist by W. Matthews)
10:25.0,,,0-3,,Violation by T. Robinson (def goaltending)
10:25.0,C. Aldrich makes 2-pt shot from 3 ft (assist by T. Hardaway),2,2-3,,
10:09.0,,,2-6,3,D. Lillard makes 3-pt shot from 25 ft (assist by W. Matthews)
9:52.0,C. Anthony misses 2-pt shot from 18 ft,,2-6,,
9:51.0,,,2-6,,Defensive rebound by W. Matthews
9:41.0,,,2-8,2,T. Robinson makes 2-pt shot from 20 ft (assist by W. Matthews)
9:28.0,Shooting foul by W. Matthews (drawn by T. Hardaway),,2-8,,
9:28.0,T. Hardaway misses free throw 1 of 2,,2-8,,
9:28.0,Offensive rebound by Team,,2-8,,
9:28.0,T. Hardaway misses free throw 2 of 2,,2-8,,
9:27.0,,,2-8,,Defensive rebound by J. Freeland
9:17.0,,,2-11,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Lillard)
8:59.0,T. Hardaway makes 2-pt shot from 4 ft (assist by J. Smith),2,4-11,,
8:43.0,,,4-11,,Shooting foul by T. Hardaway (drawn by T. Robinson)
8:43.0,,,4-11,,T. Robinson misses free throw 1 of 2
8:43.0,,,4-11,,Offensive rebound by Team
8:43.0,,,4-12,1,T. Robinson makes free throw 2 of 2
8:24.0,C. Anthony makes 2-pt shot from 17 ft (assist by C. Aldrich),2,6-12,,
8:04.0,,,6-14,2,J. Freeland makes 2-pt shot from 3 ft (assist by D. Lillard)
7:52.0,J. Calderon misses 3-pt shot from 25 ft,,6-14,,
7:50.0,Offensive rebound by C. Aldrich,,6-14,,
7:41.0,C. Anthony misses 2-pt shot from 5 ft,,6-14,,
7:40.0,Offensive rebound by C. Aldrich,,6-14,,
7:39.0,C. Aldrich misses 2-pt shot from 1 ft,,6-14,,
7:37.0,,,6-14,,Defensive rebound by J. Freeland
7:27.0,,,6-16,2,W. Matthews makes 2-pt shot from 15 ft
7:22.0,New York full timeout,,6-16,,
7:22.0,Q. Acy enters the game for C. Aldrich,,6-16,,
7:16.0,C. Anthony makes 2-pt shot from 2 ft (assist by Q. Acy),2,8-16,,
6:56.0,,,8-18,2,T. Robinson makes 2-pt shot at rim (assist by N. Batum)
6:37.0,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Smith),3,11-18,,
6:15.0,,,11-21,3,W. Matthews makes 3-pt shot from 24 ft (assist by J. Freeland)
5:50.0,C. Anthony makes 2-pt shot from 19 ft,2,13-21,,
5:34.0,,,13-24,3,W. Matthews makes 3-pt shot from 26 ft (assist by N. Batum)
5:25.0,T. Hardaway misses 3-pt shot from 24 ft,,13-24,,
5:25.0,,,13-24,,Defensive rebound by Team
5:25.0,Loose ball foul by Q. Acy (drawn by J. Freeland),,13-24,,
5:25.0,,,13-24,,S. Blake enters the game for J. Freeland
5:25.0,,,13-24,,C. Kaman enters the game for W. Matthews
5:25.0,S. Larkin enters the game for J. Calderon,,13-24,,
5:25.0,P. Prigioni enters the game for T. Hardaway,,13-24,,
5:11.0,,,13-24,,Turnover by T. Robinson (bad pass)
4:52.0,J. Smith misses 2-pt shot from 16 ft,,13-24,,
4:52.0,,,13-24,,Defensive rebound by S. Blake
4:45.0,Violation by J. Smith (kicked ball),,13-24,,
4:40.0,,,13-24,,T. Robinson misses 2-pt shot at rim
4:39.0,Defensive rebound by Q. Acy,,13-24,,
4:33.0,C. Anthony misses 3-pt shot from 25 ft,,13-24,,
4:32.0,,,13-24,,Defensive rebound by S. Blake
4:20.0,,,13-27,3,N. Batum makes 3-pt shot from 24 ft (assist by S. Blake)
4:03.0,J. Smith misses 2-pt shot from 19 ft,,13-27,,
4:02.0,Offensive rebound by S. Larkin,,13-27,,
3:57.0,Q. Acy misses 2-pt shot from 20 ft,,13-27,,
3:57.0,,,13-27,,Defensive rebound by N. Batum
3:45.0,,,13-27,,C. Kaman misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by S. Larkin,,13-27,,
3:40.0,,,13-27,,Violation by C. Kaman (def goaltending)
3:40.0,Q. Acy makes 2-pt shot at rim (assist by S. Larkin),2,15-27,,
3:40.0,,,15-27,,Portland full timeout
3:40.0,,,15-27,,D. Wright enters the game for T. Robinson
3:40.0,T. Wear enters the game for C. Anthony,,15-27,,
3:40.0,C. Aldrich enters the game for J. Smith,,15-27,,
3:24.0,,,15-29,2,C. Kaman makes 2-pt shot at rim
3:10.0,C. Aldrich misses 2-pt shot from 7 ft,,15-29,,
3:09.0,Offensive rebound by Team,,15-29,,
3:09.0,,,15-29,,Loose ball foul by D. Wright (drawn by Q. Acy)
3:00.0,S. Larkin makes 2-pt shot from 21 ft,2,17-29,,
2:43.0,,,17-29,,A. Crabbe enters the game for D. Lillard
2:43.0,,,17-29,,W. Matthews enters the game for N. Batum
2:34.0,,,17-29,,C. Kaman misses 2-pt shot from 2 ft
2:33.0,Defensive rebound by C. Aldrich,,17-29,,
2:15.0,P. Prigioni makes 3-pt shot from 24 ft,3,20-29,,
1:58.0,,,20-31,2,W. Matthews makes 2-pt shot from 7 ft
1:48.0,,,20-31,,Personal foul by D. Wright (drawn by P. Prigioni)
1:36.0,Q. Acy makes 2-pt shot from 16 ft (assist by P. Prigioni),2,22-31,,
1:17.0,,,22-31,,A. Crabbe misses 3-pt shot from 23 ft
1:16.0,Defensive rebound by C. Aldrich,,22-31,,
0:58.0,Turnover by P. Prigioni (bad pass; steal by D. Wright),,22-31,,
0:53.0,,,22-31,,Turnover by S. Blake (bad pass; steal by P. Prigioni)
0:33.0,S. Larkin misses 2-pt shot from 20 ft,,22-31,,
0:32.0,,,22-31,,Defensive rebound by C. Kaman
0:24.0,,,22-31,,W. Matthews misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by S. Larkin,,22-31,,
0:01.0,C. Aldrich misses 2-pt shot from 9 ft,,22-31,,
0:01.0,,,22-31,,Defensive rebound by C. Kaman
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,22-31,,A. Crabbe misses 2-pt shot at rim
11:48.0,Defensive rebound by T. Wear,,22-31,,
11:40.0,T. Wear misses 2-pt shot from 22 ft,,22-31,,
11:40.0,Offensive rebound by Q. Acy,,22-31,,
11:40.0,Turnover by Q. Acy (lost ball),,22-31,,
11:33.0,Personal foul by S. Larkin (drawn by S. Blake),,22-31,,
11:28.0,,,22-34,3,W. Matthews makes 3-pt shot from 22 ft (assist by C. Kaman)
11:10.0,P. Prigioni misses 3-pt shot from 24 ft,,22-34,,
11:09.0,,,22-34,,Defensive rebound by D. Wright
10:53.0,,,22-34,,Shooting foul by P. Prigioni (drawn by C. Kaman)
10:53.0,,,22-35,1,C. Kaman makes free throw 1 of 2
10:53.0,C. Anthony enters the game for Q. Acy,,22-35,,
10:53.0,T. Hardaway enters the game for T. Wear,,22-35,,
10:53.0,,,22-35,,C. Kaman misses free throw 2 of 2
10:52.0,Defensive rebound by S. Larkin,,22-35,,
10:34.0,T. Hardaway misses 3-pt shot from 24 ft,,22-35,,
10:32.0,,,22-35,,Defensive rebound by W. Matthews
10:19.0,,,22-38,3,W. Matthews makes 3-pt shot from 24 ft (assist by C. Kaman)
10:06.0,S. Larkin misses 3-pt shot from 24 ft,,22-38,,
10:05.0,,,22-38,,Defensive rebound by C. Kaman
9:56.0,,,22-38,,Shooting foul by S. Larkin (drawn by C. Kaman)
9:56.0,,,22-39,1,C. Kaman makes free throw 1 of 2
9:56.0,J. Calderon enters the game for P. Prigioni,,22-39,,
9:56.0,J. Smith enters the game for C. Aldrich,,22-39,,
9:56.0,,,22-40,1,C. Kaman makes free throw 2 of 2
9:45.0,,,22-40,,Def 3 sec tech foul by C. Kaman
9:45.0,C. Anthony makes technical free throw,1,23-40,,
9:39.0,J. Calderon misses 2-pt shot from 19 ft,,23-40,,
9:38.0,,,23-40,,Defensive rebound by C. Kaman
9:26.0,,,23-40,,W. Matthews misses 3-pt shot from 25 ft
9:25.0,,,23-40,,Offensive rebound by D. Wright
9:23.0,,,23-40,,D. Wright misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by J. Smith,,23-40,,
9:02.0,C. Anthony misses 2-pt shot from 14 ft,,23-40,,
9:01.0,Offensive rebound by J. Smith,,23-40,,
8:57.0,J. Calderon makes 3-pt shot from 25 ft (assist by T. Hardaway),3,26-40,,
