time,Orlando,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. N. Vucevic (R. Kelly gains possession),,,,Jump ball: J. Hill vs. N. Vucevic (R. Kelly gains possession)
11:40.0,,,0-0,,R. Kelly misses 2-pt shot from 10 ft (block by T. Harris)
11:38.0,Defensive rebound by K. O'Quinn,,0-0,,
11:22.0,E. Payton misses 2-pt shot from 2 ft (block by E. Davis),,0-0,,
11:20.0,Offensive rebound by Team,,0-0,,
11:13.0,Shooting foul by R. Kelly (drawn by T. Harris),,0-0,,
11:13.0,T. Harris makes free throw 1 of 2,1,1-0,,
11:13.0,T. Harris makes free throw 2 of 2,1,2-0,,
10:59.0,,,2-0,,W. Ellington misses 2-pt shot from 20 ft
10:57.0,Defensive rebound by N. Vucevic,,2-0,,
10:49.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,4-0,,
10:26.0,,,4-2,2,J. Hill makes 2-pt shot from 1 ft (assist by R. Price)
10:08.0,T. Harris misses 2-pt shot from 2 ft (block by E. Davis),,4-2,,
10:06.0,,,4-2,,Defensive rebound by R. Kelly
9:56.0,,,4-4,2,J. Hill makes 2-pt shot from 18 ft (assist by R. Price)
9:39.0,Turnover by V. Oladipo (lost ball; steal by E. Davis),,4-4,,
9:31.0,,,4-4,,W. Ellington misses 2-pt shot from 21 ft
9:29.0,,,4-4,,Offensive rebound by E. Davis
9:08.0,,,4-7,3,R. Price makes 3-pt shot from 24 ft
9:01.0,,,4-7,,Personal foul by R. Price (drawn by E. Payton)
8:55.0,Turnover by T. Harris (lost ball),,4-7,,
8:38.0,,,4-7,,R. Price misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by T. Harris,,4-7,,
8:28.0,T. Harris misses 2-pt shot from 10 ft,,4-7,,
8:27.0,,,4-7,,Defensive rebound by J. Hill
8:13.0,,,4-7,,J. Hill misses 2-pt shot from 18 ft
8:12.0,Defensive rebound by E. Payton,,4-7,,
8:00.0,V. Oladipo makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,6-7,,
7:41.0,,,6-7,,W. Ellington misses 2-pt shot from 2 ft (block by K. O'Quinn)
7:39.0,Defensive rebound by K. O'Quinn,,6-7,,
7:30.0,K. O'Quinn misses 2-pt shot from 12 ft,,6-7,,
7:28.0,,,6-7,,Defensive rebound by J. Hill
7:21.0,Personal foul by K. O'Quinn (drawn by J. Hill),,6-7,,
7:17.0,,,6-7,,R. Kelly misses 2-pt shot from 1 ft
7:14.0,,,6-7,,Offensive rebound by E. Davis
7:12.0,,,6-9,2,E. Davis makes 2-pt shot at rim
7:02.0,K. O'Quinn misses 3-pt shot from 24 ft,,6-9,,
7:01.0,,,6-9,,Defensive rebound by J. Hill
6:51.0,,,6-12,3,R. Kelly makes 3-pt shot from 22 ft (assist by W. Ellington)
6:35.0,V. Oladipo misses 2-pt shot from 1 ft (block by E. Davis),,6-12,,
6:34.0,,,6-12,,Defensive rebound by E. Davis
6:31.0,,,6-14,2,R. Price makes 2-pt shot from 1 ft
6:31.0,,,6-14,,Shooting foul by E. Payton (drawn by R. Price)
6:31.0,,,6-14,,R. Price misses free throw 1 of 1
6:29.0,Defensive rebound by N. Vucevic,,6-14,,
6:17.0,N. Vucevic makes 2-pt shot from 8 ft (assist by K. O'Quinn),2,8-14,,
6:04.0,,,8-17,3,R. Kelly makes 3-pt shot from 24 ft (assist by R. Price)
5:46.0,T. Harris misses 2-pt shot from 13 ft,,8-17,,
5:45.0,,,8-17,,Defensive rebound by R. Kelly
5:29.0,,,8-17,,E. Davis misses 2-pt shot from 5 ft (block by K. O'Quinn)
5:28.0,Defensive rebound by N. Vucevic,,8-17,,
5:11.0,T. Harris misses 2-pt shot from 5 ft,,8-17,,
5:10.0,,,8-17,,Defensive rebound by J. Hill
5:03.0,,,8-17,,R. Kelly misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by Team,,8-17,,
5:02.0,,,8-17,,Loose ball foul by E. Davis (drawn by N. Vucevic)
5:02.0,,,8-17,,LA Lakers full timeout
5:02.0,,,8-17,,C. Boozer enters the game for E. Davis
5:02.0,,,8-17,,N. Young enters the game for W. Ellington
5:02.0,L. Ridnour enters the game for K. O'Quinn,,8-17,,
5:02.0,C. Frye enters the game for E. Payton,,8-17,,
4:46.0,V. Oladipo misses 2-pt shot from 2 ft,,8-17,,
4:45.0,,,8-17,,Defensive rebound by J. Hill
4:35.0,,,8-19,2,C. Boozer makes 2-pt shot from 1 ft (assist by J. Hill)
4:20.0,,,8-19,,Personal foul by R. Price (drawn by V. Oladipo)
4:20.0,,,8-19,,J. Lin enters the game for R. Price
4:20.0,E. Fournier enters the game for T. Harris,,8-19,,
4:13.0,V. Oladipo makes 2-pt shot at rim,2,10-19,,
3:58.0,,,10-21,2,J. Hill makes 2-pt shot from 18 ft
3:41.0,L. Ridnour makes 3-pt shot from 22 ft (assist by E. Fournier),3,13-21,,
3:26.0,,,13-21,,Turnover by J. Lin (lost ball; steal by N. Vucevic)
3:19.0,L. Ridnour misses 2-pt shot from 2 ft,,13-21,,
3:15.0,Offensive rebound by N. Vucevic,,13-21,,
