time,Golden State,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Favors (E. Kanter gains possession),,,,Jump ball: A. Bogut vs. D. Favors (E. Kanter gains possession)
11:40.0,,,0-2,2,G. Hayward makes 2-pt shot from 13 ft
11:27.0,A. Bogut misses 2-pt shot from 10 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by E. Kanter
11:04.0,,,0-2,,D. Favors misses 2-pt shot from 14 ft
11:03.0,Defensive rebound by K. Thompson,,0-2,,
10:51.0,S. Curry misses 2-pt shot from 2 ft (block by D. Favors),,0-2,,
10:49.0,,,0-2,,Defensive rebound by D. Exum
10:34.0,,,0-2,,E. Kanter misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by D. Green,,0-2,,
10:22.0,Turnover by K. Thompson (lost ball; steal by D. Favors),,0-2,,
10:16.0,,,0-2,,G. Hayward misses 2-pt shot from 2 ft
10:14.0,,,0-2,,Offensive rebound by E. Kanter
10:09.0,,,0-4,2,E. Kanter makes 2-pt shot from 2 ft
10:00.0,K. Thompson makes 2-pt shot from 1 ft,2,2-4,,
9:38.0,,,2-6,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
9:17.0,K. Thompson misses 3-pt shot from 24 ft,,2-6,,
9:16.0,,,2-6,,Defensive rebound by J. Ingles
9:09.0,,,2-8,2,J. Ingles makes 2-pt shot from 21 ft
9:01.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,4-8,,
8:41.0,,,4-8,,Turnover by E. Kanter (lost ball; steal by H. Barnes)
8:30.0,S. Curry makes 2-pt shot from 22 ft (assist by A. Bogut),2,6-8,,
8:08.0,,,6-8,,D. Favors misses 2-pt shot from 4 ft
8:06.0,Defensive rebound by H. Barnes,,6-8,,
8:01.0,H. Barnes makes 2-pt shot from 1 ft,2,8-8,,
7:42.0,,,8-8,,G. Hayward misses 2-pt shot at rim
7:41.0,,,8-8,,Offensive rebound by G. Hayward
7:41.0,,,8-8,,G. Hayward misses 2-pt shot at rim
7:39.0,,,8-8,,Offensive rebound by G. Hayward
7:39.0,,,8-8,,G. Hayward misses 2-pt shot at rim
7:39.0,Defensive rebound by Team,,8-8,,
7:39.0,,,8-8,,Loose ball foul by D. Favors (drawn by K. Thompson)
7:22.0,Turnover by S. Curry (bad pass; steal by D. Favors),,8-8,,
7:22.0,Personal foul by H. Barnes (drawn by J. Ingles),,8-8,,
7:08.0,,,8-8,,E. Kanter misses 2-pt shot from 2 ft (block by D. Green)
7:08.0,,,8-8,,Offensive rebound by Team
7:02.0,,,8-8,,D. Exum misses 3-pt shot from 37 ft
7:00.0,,,8-8,,Offensive rebound by G. Hayward
6:59.0,,,8-10,2,G. Hayward makes 2-pt shot from 1 ft
6:46.0,Turnover by D. Green (bad pass),,8-10,,
6:36.0,,,8-13,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Favors)
6:28.0,S. Curry misses 3-pt shot from 25 ft,,8-13,,
6:27.0,,,8-13,,Defensive rebound by G. Hayward
6:08.0,,,8-13,,J. Ingles misses 2-pt shot from 21 ft
6:07.0,Defensive rebound by S. Curry,,8-13,,
5:56.0,D. Green misses 3-pt shot from 24 ft,,8-13,,
5:55.0,,,8-13,,Defensive rebound by D. Favors
5:50.0,,,8-13,,Utah full timeout
5:50.0,,,8-13,,R. Gobert enters the game for E. Kanter
