time,Milwaukee,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. H. Whiteside (E. Ilyasova gains possession),,,,Jump ball: Z. Pachulia vs. H. Whiteside (E. Ilyasova gains possession)
11:42.0,K. Middleton makes 3-pt shot from 24 ft (assist by B. Knight),3,3-0,,
11:26.0,,,3-0,,Turnover by D. Wade (bad pass; steal by B. Knight)
11:24.0,B. Knight misses 2-pt shot from 1 ft (block by M. Chalmers),,3-0,,
11:23.0,Offensive rebound by Team,,3-0,,
11:21.0,Turnover by Z. Pachulia (bad pass; steal by D. Wade),,3-0,,
11:10.0,Def 3 sec tech foul by Z. Pachulia,,3-0,,
11:10.0,,,3-1,1,C. Bosh makes technical free throw
10:56.0,,,3-3,2,D. Wade makes 2-pt shot from 4 ft (assist by M. Chalmers)
10:33.0,Turnover by K. Middleton (bad pass; steal by D. Wade),,3-3,,
10:28.0,,,3-5,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
10:13.0,B. Knight misses 2-pt shot from 20 ft,,3-5,,
10:12.0,,,3-5,,Defensive rebound by H. Whiteside
9:56.0,,,3-5,,H. Whiteside misses 2-pt shot from 7 ft
9:55.0,Defensive rebound by G. Antetokounmpo,,3-5,,
9:36.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,6-5,,
9:15.0,,,6-7,2,C. Bosh makes 2-pt shot from 20 ft (assist by D. Wade)
8:55.0,B. Knight makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,9-7,,
8:28.0,,,9-9,2,C. Bosh makes 2-pt shot from 9 ft
8:11.0,E. Ilyasova misses 2-pt shot from 1 ft,,9-9,,
8:10.0,Offensive rebound by Z. Pachulia,,9-9,,
8:09.0,Z. Pachulia misses 2-pt shot at rim,,9-9,,
8:08.0,Offensive rebound by Z. Pachulia,,9-9,,
8:06.0,Z. Pachulia makes 2-pt shot from 1 ft,2,11-9,,
7:48.0,,,11-9,,Shooting foul by K. Middleton (drawn by D. Wade)
7:48.0,,,11-10,1,D. Wade makes free throw 1 of 2
