time,Chicago,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. B. Lopez (K. Garnett gains possession),,,,Jump ball: P. Gasol vs. B. Lopez (K. Garnett gains possession)
11:41.0,,,0-0,,D. Williams misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by D. Rose,,0-0,,
11:33.0,Turnover by D. Rose (lost ball),,0-0,,
11:21.0,,,0-2,2,B. Lopez makes 2-pt shot from 18 ft (assist by J. Johnson)
11:04.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol),2,2-2,,
10:42.0,,,2-2,,B. Lopez misses 2-pt shot from 12 ft
10:41.0,Defensive rebound by D. Rose,,2-2,,
10:31.0,Turnover by D. Rose (bad pass; steal by K. Garnett),,2-2,,
10:22.0,,,2-5,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by K. Garnett)
10:00.0,D. Rose misses 3-pt shot from 26 ft,,2-5,,
9:59.0,,,2-5,,Defensive rebound by Team
9:44.0,,,2-5,,B. Bogdanovic misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by P. Gasol,,2-5,,
9:30.0,M. Dunleavy makes 2-pt shot from 2 ft,2,4-5,,
9:15.0,,,4-5,,D. Williams misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by D. Rose,,4-5,,
9:12.0,,,4-5,,Personal foul by B. Bogdanovic (drawn by D. Rose)
9:00.0,P. Gasol makes 2-pt shot from 17 ft (assist by M. Dunleavy),2,6-5,,
8:49.0,,,6-7,2,B. Lopez makes 2-pt shot from 6 ft (assist by K. Garnett)
8:49.0,,,6-7,,Shooting foul by J. Noah (drawn by B. Lopez)
8:49.0,,,6-8,1,B. Lopez makes free throw 1 of 1
8:31.0,J. Butler misses 2-pt shot from 19 ft,,6-8,,
8:30.0,Offensive rebound by J. Noah,,6-8,,
8:18.0,Turnover by D. Rose (bad pass),,6-8,,
8:11.0,,,6-8,,Turnover by J. Johnson (back court)
7:47.0,P. Gasol misses 2-pt shot from 16 ft,,6-8,,
7:46.0,,,6-8,,Defensive rebound by D. Williams
7:38.0,,,6-8,,K. Garnett misses 2-pt shot from 16 ft
7:37.0,Defensive rebound by J. Butler,,6-8,,
7:26.0,D. Rose misses 3-pt shot from 24 ft,,6-8,,
7:25.0,,,6-8,,Defensive rebound by B. Bogdanovic
7:15.0,,,6-8,,B. Bogdanovic misses 2-pt shot from 1 ft (block by P. Gasol)
7:14.0,Defensive rebound by J. Noah,,6-8,,
7:08.0,M. Dunleavy misses 2-pt shot from 20 ft,,6-8,,
7:06.0,,,6-8,,Defensive rebound by J. Johnson
7:04.0,,,6-8,,Brooklyn full timeout
7:04.0,,,6-8,,M. Plumlee enters the game for K. Garnett
6:46.0,,,6-8,,M. Plumlee misses 2-pt shot from 9 ft
6:45.0,Defensive rebound by P. Gasol,,6-8,,
6:28.0,Turnover by P. Gasol (bad pass; steal by B. Bogdanovic),,6-8,,
6:17.0,,,6-10,2,M. Plumlee makes 2-pt shot at rim (assist by D. Williams)
6:05.0,M. Dunleavy misses 2-pt shot from 19 ft,,6-10,,
6:04.0,,,6-10,,Defensive rebound by J. Johnson
5:57.0,,,6-10,,B. Lopez misses 2-pt shot from 7 ft
5:56.0,,,6-10,,Offensive rebound by B. Bogdanovic
5:55.0,,,6-10,,B. Bogdanovic misses 2-pt shot from 2 ft
5:54.0,,,6-10,,Offensive rebound by M. Plumlee
5:48.0,Personal foul by D. Rose (drawn by D. Williams),,6-10,,
5:35.0,,,6-12,2,B. Bogdanovic makes 2-pt shot from 11 ft
5:18.0,Shooting foul by J. Johnson (drawn by D. Rose),,6-12,,
5:18.0,D. Rose makes 2-pt shot from 2 ft (assist by J. Noah),2,8-12,,
5:18.0,D. Rose makes free throw 1 of 1,1,9-12,,
5:00.0,,,9-12,,D. Williams misses 2-pt shot from 18 ft
4:59.0,Defensive rebound by P. Gasol,,9-12,,
4:43.0,M. Dunleavy misses 3-pt shot from 27 ft,,9-12,,
4:42.0,,,9-12,,Defensive rebound by J. Johnson
4:33.0,,,9-12,,J. Johnson misses 2-pt shot from 10 ft
4:32.0,Defensive rebound by J. Butler,,9-12,,
4:22.0,Turnover by J. Noah (bad pass),,9-12,,
4:22.0,K. Hinrich enters the game for D. Rose,,9-12,,
4:22.0,N. Mirotic enters the game for J. Noah,,9-12,,
4:13.0,Personal foul by M. Dunleavy (drawn by B. Bogdanovic),,9-12,,
3:59.0,,,9-12,,B. Bogdanovic misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by J. Butler,,9-12,,
3:42.0,P. Gasol makes 2-pt shot from 7 ft,2,11-12,,
3:31.0,,,11-12,,Turnover by M. Plumlee (lost ball; steal by J. Butler)
3:26.0,J. Butler makes 3-pt shot from 24 ft,3,14-12,,
3:05.0,,,14-12,,B. Lopez misses 2-pt shot from 13 ft
3:04.0,Defensive rebound by M. Dunleavy,,14-12,,
2:58.0,Shooting foul by B. Lopez (drawn by P. Gasol),,14-12,,
2:58.0,Chicago full timeout,,14-12,,
2:58.0,,,14-12,,J. Jack enters the game for D. Williams
2:58.0,P. Gasol makes free throw 1 of 2,1,15-12,,
2:58.0,,,15-12,,Violation by B. Bogdanovic (lane)
2:58.0,P. Gasol makes free throw 2 of 2,1,16-12,,
2:43.0,,,16-12,,M. Teletovic enters the game for B. Lopez
2:43.0,A. Brooks enters the game for M. Dunleavy,,16-12,,
2:40.0,Personal foul by A. Brooks (drawn by J. Jack),,16-12,,
2:34.0,,,16-12,,Shooting foul by K. Hinrich (drawn by M. Plumlee)
2:34.0,,,16-13,1,M. Plumlee makes free throw 1 of 2
2:34.0,,,16-13,,M. Plumlee misses free throw 2 of 2
2:33.0,Defensive rebound by P. Gasol,,16-13,,
2:14.0,,,16-13,,Personal foul by M. Plumlee (drawn by P. Gasol)
2:03.0,K. Hinrich misses 2-pt shot from 19 ft,,16-13,,
2:01.0,Offensive rebound by N. Mirotic,,16-13,,
1:57.0,K. Hinrich makes 3-pt shot from 25 ft (assist by N. Mirotic),3,19-13,,
1:45.0,,,19-15,2,J. Jack makes 2-pt shot from 20 ft
1:31.0,A. Brooks makes 2-pt shot from 3 ft,2,21-15,,
1:12.0,,,21-15,,J. Johnson misses 2-pt shot from 5 ft
1:11.0,Defensive rebound by N. Mirotic,,21-15,,
1:06.0,J. Butler makes 2-pt shot at rim (assist by A. Brooks),2,23-15,,
0:45.0,,,23-17,2,J. Jack makes 2-pt shot from 18 ft
0:35.0,A. Brooks misses 2-pt shot from 3 ft,,23-17,,
0:34.0,,,23-17,,Defensive rebound by M. Teletovic
0:30.0,,,23-17,,Shooting foul by K. Hinrich (drawn by M. Plumlee)
0:30.0,,,23-18,1,M. Plumlee makes free throw 1 of 2
0:30.0,,,23-18,,A. Anderson enters the game for J. Johnson
0:30.0,,,23-19,1,M. Plumlee makes free throw 2 of 2
0:20.0,,,23-19,,Personal foul by A. Anderson (drawn by J. Butler)
0:20.0,J. Butler makes free throw 1 of 2,1,24-19,,
0:20.0,J. Butler makes free throw 2 of 2,1,25-19,,
0:01.0,,,25-22,3,A. Anderson makes 3-pt shot from 24 ft (assist by J. Jack)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,Turnover by Team (shot clock),,25-22,,
11:22.0,,,25-22,,Turnover by M. Teletovic (bad pass; steal by N. Mirotic)
11:16.0,A. Brooks misses 2-pt shot from 7 ft,,25-22,,
11:15.0,Offensive rebound by N. Mirotic,,25-22,,
11:06.0,,,25-22,,Violation by M. Plumlee (def goaltending)
11:06.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Noah),2,27-22,,
10:55.0,,,27-22,,J. Jack misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by N. Mirotic,,27-22,,
10:44.0,J. Noah misses 2-pt shot from 6 ft,,27-22,,
10:43.0,,,27-22,,Defensive rebound by M. Plumlee
10:28.0,,,27-24,2,B. Bogdanovic makes 2-pt shot from 12 ft
10:15.0,J. Noah makes 2-pt shot from 17 ft (assist by K. Hinrich),2,29-24,,
10:09.0,Personal foul by A. Brooks (drawn by J. Jack),,29-24,,
9:56.0,,,29-24,,M. Plumlee misses 2-pt shot from 11 ft
9:55.0,Defensive rebound by J. Noah,,29-24,,
9:55.0,,,29-24,,Personal foul by A. Anderson (drawn by J. Noah)
9:30.0,K. Hinrich makes 2-pt shot from 2 ft,2,31-24,,
9:10.0,,,31-26,2,B. Bogdanovic makes 2-pt shot from 8 ft
8:56.0,Turnover by A. Brooks (bad pass),,31-26,,
8:56.0,Official timeout,,31-26,,
8:56.0,J. Butler enters the game for D. McDermott,,31-26,,
8:56.0,,,31-26,,K. Garnett enters the game for M. Plumlee
8:56.0,,,31-26,,J. Johnson enters the game for A. Anderson
8:56.0,,,31-26,,D. Williams enters the game for B. Bogdanovic
8:38.0,,,31-26,,Turnover by J. Johnson (lost ball; steal by K. Hinrich)
8:21.0,A. Brooks misses 3-pt shot from 26 ft,,31-26,,
8:20.0,,,31-26,,Defensive rebound by K. Garnett
8:10.0,,,31-26,,K. Garnett misses 2-pt shot from 7 ft
8:09.0,Defensive rebound by J. Noah,,31-26,,
8:01.0,Shooting foul by J. Johnson (drawn by J. Butler),,31-26,,
8:01.0,J. Butler makes free throw 1 of 2,1,32-26,,
8:01.0,,,32-26,,B. Lopez enters the game for M. Teletovic
8:01.0,J. Butler makes free throw 2 of 2,1,33-26,,
7:46.0,,,33-26,,J. Johnson misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by Team,,33-26,,
7:45.0,,,33-26,,Loose ball foul by K. Garnett (drawn by N. Mirotic)
7:34.0,Offensive foul by J. Noah,,33-26,,
7:34.0,Turnover by J. Noah (offensive foul),,33-26,,
7:22.0,Personal foul by N. Mirotic (drawn by B. Lopez),,33-26,,
7:19.0,,,33-26,,D. Williams misses 2-pt shot from 20 ft
7:18.0,Defensive rebound by Team,,33-26,,
7:18.0,,,33-26,,Loose ball foul by B. Lopez (drawn by J. Noah)
7:08.0,Turnover by J. Noah (bad pass; steal by J. Johnson),,33-26,,
6:59.0,,,33-26,,J. Jack misses 2-pt shot from 11 ft
6:56.0,Defensive rebound by N. Mirotic,,33-26,,
6:55.0,J. Butler makes 2-pt shot from 2 ft (assist by A. Brooks),2,35-26,,
6:55.0,Violation by Team (delay of game),,35-26,,
6:55.0,,,35-26,,Brooklyn full timeout
6:55.0,P. Gasol enters the game for J. Noah,,35-26,,
6:33.0,,,35-26,,J. Jack misses 2-pt shot from 9 ft
6:32.0,Defensive rebound by N. Mirotic,,35-26,,
6:17.0,A. Brooks misses 3-pt shot from 24 ft,,35-26,,
6:16.0,,,35-26,,Defensive rebound by B. Lopez
5:54.0,,,35-28,2,B. Lopez makes 2-pt shot from 2 ft
5:28.0,J. Butler misses 2-pt shot from 22 ft,,35-28,,
5:27.0,,,35-28,,Defensive rebound by K. Garnett
5:15.0,,,35-30,2,J. Johnson makes 2-pt shot from 2 ft
5:00.0,Turnover by A. Brooks (bad pass; steal by D. Williams),,35-30,,
4:57.0,,,35-30,,Shooting foul by K. Hinrich (drawn by D. Williams)
4:57.0,,,35-31,1,D. Williams makes free throw 1 of 2
4:57.0,D. Rose enters the game for K. Hinrich,,35-31,,
4:57.0,M. Dunleavy enters the game for A. Brooks,,35-31,,
4:57.0,,,35-32,1,D. Williams makes free throw 2 of 2
4:42.0,P. Gasol makes 2-pt shot from 5 ft,2,37-32,,
4:30.0,,,37-34,2,B. Lopez makes 2-pt shot from 12 ft (assist by D. Williams)
4:16.0,Turnover by N. Mirotic (bad pass),,37-34,,
4:00.0,,,37-34,,Turnover by J. Johnson (traveling)
3:53.0,,,37-34,,Personal foul by J. Johnson (drawn by J. Butler)
3:53.0,J. Noah enters the game for N. Mirotic,,37-34,,
3:53.0,,,37-34,,A. Anderson enters the game for J. Johnson
3:53.0,J. Butler makes free throw 1 of 2,1,38-34,,
3:53.0,,,38-34,,B. Bogdanovic enters the game for J. Jack
3:53.0,J. Butler makes free throw 2 of 2,1,39-34,,
3:33.0,,,39-34,,D. Williams misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by D. Rose,,39-34,,
3:27.0,D. Rose makes 2-pt shot from 2 ft,2,41-34,,
3:09.0,,,41-34,,B. Lopez misses 2-pt shot from 19 ft
3:08.0,Defensive rebound by P. Gasol,,41-34,,
2:56.0,,,41-34,,Personal foul by A. Anderson (drawn by J. Butler)
2:56.0,Chicago full timeout,,41-34,,
2:56.0,,,41-34,,C. Jefferson enters the game for A. Anderson
2:56.0,J. Butler makes free throw 1 of 2,1,42-34,,
2:56.0,J. Butler misses free throw 2 of 2,,42-34,,
2:54.0,,,42-34,,Defensive rebound by B. Lopez
2:42.0,,,42-36,2,D. Williams makes 2-pt shot from 12 ft
2:25.0,Shooting foul by C. Jefferson (drawn by J. Butler),,42-36,,
2:25.0,J. Butler makes free throw 1 of 2,1,43-36,,
2:25.0,J. Butler makes free throw 2 of 2,1,44-36,,
2:10.0,,,44-38,2,B. Lopez makes 2-pt shot from 5 ft (assist by K. Garnett)
1:51.0,P. Gasol makes 2-pt shot from 7 ft,2,46-38,,
1:39.0,,,46-38,,B. Lopez misses 2-pt shot from 9 ft
1:37.0,,,46-38,,Offensive rebound by B. Bogdanovic
1:36.0,,,46-40,2,B. Bogdanovic makes 2-pt shot from 2 ft
1:09.0,D. Rose misses 2-pt shot from 11 ft,,46-40,,
1:08.0,,,46-40,,Defensive rebound by K. Garnett
1:02.0,,,46-42,2,D. Williams makes 2-pt shot from 19 ft
0:55.0,Shooting foul by B. Lopez (drawn by P. Gasol),,46-42,,
0:55.0,P. Gasol makes free throw 1 of 2,1,47-42,,
0:55.0,,,47-42,,M. Plumlee enters the game for B. Lopez
0:55.0,P. Gasol misses free throw 2 of 2,,47-42,,
0:54.0,,,47-42,,Defensive rebound by B. Bogdanovic
0:38.0,,,47-42,,Shooting foul by P. Gasol (drawn by M. Plumlee)
0:38.0,,,47-42,,M. Plumlee misses free throw 1 of 2
0:38.0,,,47-42,,Offensive rebound by Team
0:38.0,,,47-42,,M. Plumlee misses free throw 2 of 2
0:37.0,Defensive rebound by P. Gasol,,47-42,,
0:27.0,D. Rose misses 3-pt shot from 25 ft,,47-42,,
0:26.0,,,47-42,,Defensive rebound by Team
0:26.0,,,47-42,,Brooklyn full timeout
0:26.0,,,47-42,,M. Teletovic enters the game for M. Plumlee
0:03.0,,,47-42,,C. Jefferson misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by J. Noah,,47-42,,
0:01.0,J. Noah misses 3-pt shot from 52 ft,,47-42,,
0:00.0,Offensive rebound by Team,,47-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,P. Gasol misses 2-pt shot from 13 ft,,47-42,,
11:38.0,Offensive rebound by D. Rose,,47-42,,
11:37.0,Shooting foul by B. Lopez (drawn by D. Rose),,47-42,,
11:37.0,D. Rose misses free throw 1 of 2,,47-42,,
11:37.0,Offensive rebound by Team,,47-42,,
11:37.0,D. Rose makes free throw 2 of 2,1,48-42,,
11:19.0,,,48-42,,D. Williams misses 2-pt shot from 7 ft (block by P. Gasol)
11:17.0,Defensive rebound by J. Noah,,48-42,,
11:10.0,Turnover by D. Rose (lost ball; steal by K. Garnett),,48-42,,
11:02.0,,,48-44,2,K. Garnett makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
10:38.0,J. Butler misses 3-pt shot from 24 ft,,48-44,,
10:37.0,,,48-44,,Defensive rebound by K. Garnett
10:20.0,,,48-46,2,K. Garnett makes 2-pt shot from 4 ft
