time,Portland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. H. Whiteside (U. Haslem gains possession),,,,Jump ball: R. Lopez vs. H. Whiteside (U. Haslem gains possession)
11:44.0,,,0-2,2,L. Deng makes 2-pt shot from 16 ft
11:24.0,N. Batum makes 2-pt shot from 17 ft,2,2-2,,
11:06.0,,,2-2,,D. Wade misses 2-pt shot from 6 ft
11:05.0,,,2-2,,Offensive rebound by H. Whiteside
11:03.0,,,2-2,,H. Whiteside misses 2-pt shot from 1 ft (block by L. Aldridge)
11:02.0,Defensive rebound by D. Lillard,,2-2,,
10:53.0,A. Afflalo makes 3-pt shot from 24 ft (assist by N. Batum),3,5-2,,
10:32.0,,,5-4,2,U. Haslem makes 2-pt shot from 17 ft (assist by G. Dragic)
10:18.0,Turnover by R. Lopez (traveling),,5-4,,
10:08.0,,,5-4,,D. Wade misses 2-pt shot from 2 ft
10:07.0,Defensive rebound by A. Afflalo,,5-4,,
9:54.0,L. Aldridge makes 2-pt shot from 15 ft,2,7-4,,
9:30.0,,,7-6,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
9:12.0,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Lillard),2,9-6,,
8:52.0,,,9-6,,G. Dragic misses 2-pt shot from 12 ft
8:51.0,Defensive rebound by L. Aldridge,,9-6,,
8:48.0,Turnover by D. Lillard (bad pass),,9-6,,
8:35.0,,,9-6,,U. Haslem misses 2-pt shot from 18 ft
8:34.0,,,9-6,,Offensive rebound by Team
8:34.0,Loose ball foul by R. Lopez (drawn by H. Whiteside),,9-6,,
8:30.0,,,9-6,,Turnover by G. Dragic (bad pass; steal by D. Lillard)
8:26.0,Turnover by D. Lillard (traveling),,9-6,,
8:08.0,,,9-8,2,L. Deng makes 2-pt shot from 19 ft (assist by G. Dragic)
7:47.0,N. Batum makes 2-pt shot at rim (assist by L. Aldridge),2,11-8,,
7:32.0,,,11-10,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
7:20.0,Turnover by Team (back court),,11-10,,
7:05.0,,,11-10,,L. Deng misses 2-pt shot from 13 ft
7:04.0,Defensive rebound by L. Aldridge,,11-10,,
6:52.0,N. Batum misses 3-pt shot from 24 ft,,11-10,,
6:51.0,Offensive rebound by R. Lopez,,11-10,,
6:47.0,L. Aldridge makes 3-pt shot from 25 ft (assist by R. Lopez),3,14-10,,
6:46.0,,,14-10,,Miami full timeout
6:31.0,,,14-13,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
6:09.0,,,14-13,,Violation by H. Whiteside (def goaltending)
6:09.0,D. Lillard makes 2-pt shot from 1 ft,2,16-13,,
5:54.0,,,16-15,2,G. Dragic makes 2-pt shot from 7 ft
