time,Portland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,,,0-0,,D. Favors misses 2-pt shot from 17 ft
12:00.0,Jump ball: R. Gobert vs. R. Lopez (T. Burke gains possession),,,,Jump ball: R. Gobert vs. R. Lopez (T. Burke gains possession)
11:39.0,Defensive rebound by A. Afflalo,,0-0,,
11:30.0,L. Aldridge misses 2-pt shot from 21 ft,,0-0,,
11:28.0,Offensive rebound by R. Lopez,,0-0,,
11:25.0,Turnover by R. Lopez (lost ball; steal by E. Millsap),,0-0,,
11:09.0,,,0-0,,D. Favors misses 2-pt shot from 4 ft
11:08.0,Defensive rebound by L. Aldridge,,0-0,,
10:57.0,D. Lillard makes 2-pt shot from 2 ft,2,2-0,,
10:36.0,,,2-0,,Turnover by R. Gobert (step out of bounds)
10:15.0,A. Crabbe makes 3-pt shot from 24 ft (assist by A. Afflalo),3,5-0,,
10:04.0,,,5-2,2,T. Burke makes 2-pt shot from 22 ft
9:40.0,L. Aldridge misses 2-pt shot from 18 ft,,5-2,,
9:38.0,,,5-2,,Defensive rebound by D. Favors
9:32.0,,,5-2,,Turnover by T. Burke (bad pass)
9:29.0,R. Lopez makes 2-pt shot from 1 ft (assist by D. Lillard),2,7-2,,
9:05.0,,,7-4,2,D. Favors makes 2-pt shot at rim (assist by E. Millsap)
8:52.0,,,7-4,,Personal foul by D. Favors (drawn by D. Lillard)
8:42.0,A. Afflalo misses 3-pt shot from 24 ft,,7-4,,
8:40.0,,,7-4,,Defensive rebound by T. Burke
8:25.0,,,7-4,,E. Millsap misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by A. Crabbe,,7-4,,
8:18.0,Turnover by D. Lillard (bad pass),,7-4,,
7:57.0,,,7-6,2,D. Favors makes 2-pt shot from 5 ft (assist by D. Exum)
7:41.0,,,7-6,,Personal foul by D. Exum (drawn by D. Lillard)
7:32.0,R. Lopez misses 2-pt shot from 6 ft,,7-6,,
7:30.0,,,7-6,,Defensive rebound by R. Gobert
7:09.0,,,7-8,2,D. Favors makes 2-pt shot from 16 ft (assist by E. Millsap)
6:54.0,R. Lopez makes 2-pt shot from 10 ft (assist by D. Lillard),2,9-8,,
6:34.0,,,9-8,,Shooting foul by A. Afflalo (drawn by E. Millsap)
6:34.0,,,9-8,,E. Millsap misses free throw 1 of 2
6:34.0,,,9-8,,Offensive rebound by Team
6:34.0,,,9-8,,E. Millsap misses free throw 2 of 2
6:34.0,Defensive rebound by L. Aldridge,,9-8,,
6:14.0,Turnover by L. Aldridge (lost ball; steal by E. Millsap),,9-8,,
6:09.0,,,9-8,,E. Millsap misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by A. Crabbe,,9-8,,
5:48.0,A. Crabbe misses 3-pt shot from 25 ft,,9-8,,
5:47.0,,,9-8,,Defensive rebound by T. Burke
5:33.0,,,9-8,,D. Favors misses 2-pt shot from 15 ft
5:32.0,,,9-8,,Offensive rebound by D. Favors
5:23.0,,,9-10,2,T. Burke makes 2-pt shot from 2 ft
5:08.0,Turnover by R. Lopez (bad pass; steal by D. Favors),,9-10,,
5:02.0,,,9-10,,R. Gobert misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by L. Aldridge,,9-10,,
4:50.0,L. Aldridge misses 2-pt shot from 2 ft,,9-10,,
4:49.0,,,9-10,,Defensive rebound by D. Favors
4:39.0,,,9-10,,Shooting foul by D. Lillard (drawn by T. Burke)
4:39.0,,,9-10,,Utah full timeout
4:39.0,J. Freeland enters the game for R. Lopez,,9-10,,
4:39.0,C. McCollum enters the game for A. Crabbe,,9-10,,
4:39.0,,,9-11,1,T. Burke makes free throw 1 of 2
4:39.0,,,9-12,1,T. Burke makes free throw 2 of 2
4:26.0,C. McCollum misses 3-pt shot from 24 ft,,9-12,,
4:24.0,,,9-12,,Defensive rebound by D. Favors
4:18.0,Personal foul by C. McCollum (drawn by E. Millsap),,9-12,,
4:18.0,,,9-12,,J. Ingles enters the game for D. Exum
4:18.0,D. Wright enters the game for A. Afflalo,,9-12,,
4:06.0,,,9-14,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
3:49.0,D. Wright misses 3-pt shot from 22 ft,,9-14,,
3:48.0,Offensive rebound by J. Freeland,,9-14,,
3:39.0,L. Aldridge misses 3-pt shot from 22 ft,,9-14,,
3:36.0,,,9-14,,Defensive rebound by E. Millsap
3:19.0,,,9-16,2,D. Favors makes 2-pt shot from 2 ft
3:08.0,D. Lillard misses 2-pt shot from 2 ft,,9-16,,
3:05.0,,,9-16,,Defensive rebound by D. Favors
2:46.0,,,9-16,,Shooting foul by J. Freeland (drawn by D. Favors)
2:46.0,Portland full timeout,,9-16,,
2:46.0,S. Blake enters the game for D. Lillard,,9-16,,
2:46.0,,,9-16,,I. Clark enters the game for E. Millsap
2:46.0,,,9-17,1,D. Favors makes free throw 1 of 2
2:46.0,,,9-18,1,D. Favors makes free throw 2 of 2
2:25.0,Turnover by L. Aldridge (lost ball; steal by I. Clark),,9-18,,
2:06.0,,,9-18,,R. Gobert misses 2-pt shot from 3 ft (block by L. Aldridge)
2:04.0,Defensive rebound by D. Wright,,9-18,,
1:58.0,D. Wright misses 2-pt shot from 20 ft,,9-18,,
1:57.0,Offensive rebound by J. Freeland,,9-18,,
1:48.0,C. McCollum misses 2-pt shot from 3 ft,,9-18,,
1:48.0,,,9-18,,Defensive rebound by R. Gobert
1:48.0,Personal foul by J. Freeland (drawn by R. Gobert),,9-18,,
1:48.0,,,9-19,1,R. Gobert makes free throw 1 of 2
1:48.0,,,9-19,,T. Booker enters the game for D. Favors
1:48.0,,,9-19,,D. Exum enters the game for T. Burke
1:48.0,,,9-19,,R. Gobert misses free throw 2 of 2
1:47.0,Defensive rebound by J. Freeland,,9-19,,
1:27.0,D. Wright misses 2-pt shot from 5 ft (block by T. Booker),,9-19,,
1:24.0,,,9-19,,Defensive rebound by D. Exum
1:14.0,,,9-19,,J. Ingles misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by Team,,9-19,,
1:14.0,,,9-19,,Personal foul by T. Booker (drawn by J. Freeland)
0:59.0,L. Aldridge misses 2-pt shot from 17 ft,,9-19,,
0:58.0,,,9-19,,Defensive rebound by R. Gobert
0:34.0,,,9-19,,J. Ingles misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by C. McCollum,,9-19,,
0:25.0,D. Wright makes 3-pt shot from 25 ft (assist by S. Blake),3,12-19,,
0:03.0,,,12-19,,D. Exum misses 2-pt shot from 7 ft
0:02.0,,,12-19,,Offensive rebound by R. Gobert
0:02.0,,,12-21,2,R. Gobert makes 2-pt shot from 2 ft
0:00.0,S. Blake misses 3-pt shot from 47 ft,,12-21,,
0:00.0,Offensive rebound by Team,,12-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,D. Wright makes 2-pt shot from 1 ft,2,14-21,,
11:23.0,,,14-21,,J. Ingles misses 2-pt shot from 5 ft
11:23.0,Defensive rebound by Team,,14-21,,
11:23.0,,,14-21,,Loose ball foul by J. Cooley (drawn by C. McCollum)
11:02.0,C. McCollum makes 2-pt shot from 17 ft (assist by D. Lillard),2,16-21,,
10:38.0,,,16-23,2,J. Cooley makes 2-pt shot from 1 ft (assist by J. Ingles)
10:24.0,D. Lillard misses 2-pt shot from 19 ft,,16-23,,
10:22.0,,,16-23,,Defensive rebound by T. Booker
10:09.0,,,16-23,,D. Exum misses 3-pt shot from 24 ft
10:07.0,,,16-23,,Offensive rebound by J. Ingles
10:01.0,,,16-23,,I. Clark misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by S. Blake,,16-23,,
9:43.0,D. Wright misses 3-pt shot from 24 ft,,16-23,,
9:42.0,,,16-23,,Defensive rebound by J. Ingles
9:21.0,,,16-23,,T. Booker misses 2-pt shot from 3 ft
9:20.0,Defensive rebound by J. Freeland,,16-23,,
9:14.0,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard),2,18-23,,
9:07.0,,,18-23,,Utah full timeout
9:07.0,,,18-23,,T. Burke enters the game for D. Exum
9:07.0,,,18-23,,E. Millsap enters the game for I. Clark
9:07.0,,,18-23,,D. Favors enters the game for J. Cooley
8:57.0,,,18-23,,Turnover by E. Millsap (lost ball; steal by C. McCollum)
8:52.0,Turnover by C. McCollum (bad pass; steal by T. Burke),,18-23,,
8:48.0,,,18-23,,Shooting foul by D. Wright (drawn by E. Millsap)
8:48.0,,,18-23,,E. Millsap misses free throw 1 of 2
8:48.0,,,18-23,,Offensive rebound by Team
8:48.0,,,18-23,,E. Millsap misses free throw 2 of 2
8:46.0,Defensive rebound by C. McCollum,,18-23,,
8:24.0,D. Wright makes 2-pt shot from 20 ft,2,20-23,,
8:15.0,,,20-23,,Turnover by D. Favors (traveling)
7:57.0,S. Blake makes 3-pt shot from 23 ft (assist by D. Wright),3,23-23,,
7:40.0,,,23-25,2,D. Favors makes 2-pt shot from 11 ft
7:16.0,J. Freeland makes 2-pt shot from 5 ft,2,25-25,,
7:03.0,,,25-27,2,T. Burke makes 2-pt shot from 17 ft
6:45.0,C. McCollum makes 2-pt shot from 21 ft,2,27-27,,
6:25.0,Personal block foul by D. Lillard (drawn by E. Millsap),,27-27,,
6:25.0,R. Lopez enters the game for J. Freeland,,27-27,,
6:25.0,A. Crabbe enters the game for D. Lillard,,27-27,,
6:11.0,,,27-27,,E. Millsap misses 2-pt shot from 5 ft (block by A. Crabbe)
6:05.0,Defensive rebound by D. Wright,,27-27,,
6:02.0,D. Wright misses 2-pt shot from 3 ft (block by D. Favors),,27-27,,
5:59.0,,,27-27,,Defensive rebound by E. Millsap
5:54.0,,,27-27,,T. Burke misses 2-pt shot from 1 ft
5:50.0,,,27-27,,Offensive rebound by D. Favors
5:48.0,,,27-29,2,D. Favors makes 2-pt shot at rim
5:33.0,C. McCollum misses 2-pt shot from 20 ft,,27-29,,
5:31.0,,,27-29,,Defensive rebound by T. Burke
5:16.0,,,27-32,3,E. Millsap makes 3-pt shot from 24 ft (assist by T. Booker)
5:15.0,Portland full timeout,,27-32,,
5:15.0,L. Aldridge enters the game for D. Wright,,27-32,,
5:15.0,A. Afflalo enters the game for C. McCollum,,27-32,,
5:15.0,,,27-32,,R. Gobert enters the game for T. Booker
5:15.0,,,27-32,,D. Exum enters the game for J. Ingles
4:57.0,A. Afflalo makes 2-pt shot from 1 ft,2,29-32,,
4:36.0,Personal foul by R. Lopez (drawn by E. Millsap),,29-32,,
4:22.0,,,29-32,,D. Favors misses 2-pt shot from 16 ft
4:20.0,Defensive rebound by L. Aldridge,,29-32,,
4:06.0,L. Aldridge makes 2-pt shot from 12 ft,2,31-32,,
3:48.0,,,31-34,2,E. Millsap makes 2-pt shot from 7 ft
3:31.0,A. Afflalo makes 2-pt shot from 21 ft (assist by S. Blake),2,33-34,,
3:07.0,Personal foul by A. Afflalo (drawn by E. Millsap),,33-34,,
3:07.0,D. Lillard enters the game for S. Blake,,33-34,,
3:07.0,,,33-34,,J. Ingles enters the game for D. Exum
2:53.0,,,33-36,2,D. Favors makes 2-pt shot from 3 ft
2:34.0,L. Aldridge misses 2-pt shot from 5 ft,,33-36,,
2:33.0,,,33-36,,Defensive rebound by E. Millsap
2:20.0,,,33-36,,Turnover by E. Millsap (lost ball; steal by D. Lillard)
2:15.0,A. Crabbe makes 2-pt shot at rim (assist by D. Lillard),2,35-36,,
2:00.0,,,35-36,,Turnover by J. Ingles (offensive foul)
2:00.0,,,35-36,,Offensive foul by J. Ingles
2:00.0,Official timeout,,35-36,,
2:00.0,,,35-36,,D. Exum enters the game for E. Millsap
1:44.0,L. Aldridge misses 2-pt shot from 15 ft,,35-36,,
1:44.0,Offensive rebound by Team,,35-36,,
1:44.0,,,35-36,,Loose ball foul by R. Gobert (drawn by R. Lopez)
1:39.0,D. Lillard misses 3-pt shot from 24 ft,,35-36,,
1:38.0,,,35-36,,Defensive rebound by D. Favors
1:25.0,,,35-36,,Shooting foul by A. Afflalo (drawn by D. Favors)
1:25.0,,,35-38,2,D. Favors makes 2-pt shot from 11 ft
1:25.0,C. McCollum enters the game for A. Afflalo,,35-38,,
1:25.0,,,35-39,1,D. Favors makes free throw 1 of 1
1:11.0,Shooting foul by D. Favors (drawn by L. Aldridge),,35-39,,
1:11.0,L. Aldridge makes free throw 1 of 2,1,36-39,,
1:11.0,,,36-39,,T. Booker enters the game for D. Favors
1:11.0,L. Aldridge makes free throw 2 of 2,1,37-39,,
0:51.0,,,37-39,,T. Burke misses 2-pt shot from 7 ft
0:46.0,Defensive rebound by R. Lopez,,37-39,,
0:39.0,A. Crabbe misses 3-pt shot from 23 ft,,37-39,,
0:35.0,,,37-39,,Defensive rebound by J. Ingles
0:29.0,,,37-39,,D. Exum misses 3-pt shot from 22 ft
0:27.0,Defensive rebound by C. McCollum,,37-39,,
0:20.0,Portland full timeout,,37-39,,
0:20.0,D. Wright enters the game for R. Lopez,,37-39,,
