time,Washington,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. Z. Pachulia (P. Pierce gains possession),,,,Jump ball: M. Gortat vs. Z. Pachulia (P. Pierce gains possession)
11:44.0,Shooting foul by E. Ilyasova (drawn by N. Hilario),,0-0,,
11:44.0,N. Hilario misses free throw 1 of 2,,0-0,,
11:44.0,Offensive rebound by Team,,0-0,,
11:44.0,N. Hilario makes free throw 2 of 2,1,1-0,,
11:27.0,,,1-3,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
11:13.0,P. Pierce misses 3-pt shot from 25 ft,,1-3,,
11:13.0,,,1-3,,Defensive rebound by Team
10:57.0,,,1-3,,E. Ilyasova misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by M. Gortat,,1-3,,
10:52.0,,,1-3,,Shooting block foul by M. Carter-Williams (drawn by J. Wall)
10:52.0,J. Wall misses free throw 1 of 2,,1-3,,
10:52.0,Offensive rebound by Team,,1-3,,
10:52.0,J. Wall makes free throw 2 of 2,1,2-3,,
10:36.0,,,2-6,3,K. Middleton makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
10:13.0,M. Gortat makes 2-pt shot from 15 ft (assist by O. Porter),2,4-6,,
9:54.0,,,4-6,,Turnover by Z. Pachulia (lost ball; steal by O. Porter)
9:47.0,N. Hilario misses 2-pt shot at rim,,4-6,,
9:45.0,,,4-6,,Defensive rebound by E. Ilyasova
9:27.0,,,4-6,,G. Antetokounmpo misses 2-pt shot from 5 ft
9:26.0,Defensive rebound by P. Pierce,,4-6,,
9:20.0,Turnover by M. Gortat (offensive foul),,4-6,,
9:20.0,Offensive foul by M. Gortat,,4-6,,
9:08.0,,,4-8,2,K. Middleton makes 2-pt shot at rim (assist by M. Carter-Williams)
9:08.0,,,4-8,,Shooting foul by O. Porter (drawn by K. Middleton)
9:08.0,,,4-8,,K. Middleton misses free throw 1 of 1
9:07.0,Defensive rebound by P. Pierce,,4-8,,
8:46.0,J. Wall misses 3-pt shot from 22 ft,,4-8,,
8:45.0,,,4-8,,Defensive rebound by G. Antetokounmpo
8:26.0,,,4-11,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
8:07.0,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall),2,6-11,,
8:01.0,,,6-13,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
7:43.0,Turnover by O. Porter (step out of bounds),,6-13,,
7:30.0,,,6-16,3,K. Middleton makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
7:22.0,Washington full timeout,,6-16,,
7:22.0,R. Butler enters the game for O. Porter,,6-16,,
7:12.0,R. Butler misses 3-pt shot from 27 ft,,6-16,,
7:11.0,,,6-16,,Defensive rebound by Z. Pachulia
6:58.0,,,6-16,,G. Antetokounmpo misses 2-pt shot from 19 ft
6:57.0,Defensive rebound by J. Wall,,6-16,,
6:44.0,Shooting foul by Z. Pachulia (drawn by P. Pierce),,6-16,,
6:44.0,P. Pierce makes free throw 1 of 2,1,7-16,,
