time,Philadelphia,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Noel (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. N. Noel (B. Jennings gains possession)
11:45.0,,,0-0,,Turnover by B. Jennings (bad pass; steal by M. Carter-Williams)
11:38.0,R. Covington misses 3-pt shot from 24 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by A. Drummond
11:28.0,,,0-3,3,K. Singler makes 3-pt shot from 23 ft (assist by B. Jennings)
11:06.0,M. Carter-Williams makes 2-pt shot at rim,2,2-3,,
10:57.0,,,2-5,2,K. Caldwell-Pope makes 2-pt shot from 11 ft (assist by B. Jennings)
10:38.0,Turnover by M. Carter-Williams (lost ball),,2-5,,
10:22.0,,,2-8,3,B. Jennings makes 3-pt shot from 26 ft
10:05.0,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams),2,4-8,,
9:50.0,,,4-11,3,B. Jennings makes 3-pt shot from 27 ft (assist by G. Monroe)
9:36.0,,,4-11,,Personal foul by B. Jennings (drawn by M. Carter-Williams)
9:26.0,N. Noel misses 2-pt shot from 8 ft,,4-11,,
9:25.0,,,4-11,,Defensive rebound by K. Caldwell-Pope
9:16.0,,,4-13,2,B. Jennings makes 2-pt shot from 20 ft (assist by K. Singler)
9:16.0,Philadelphia full timeout,,4-13,,
8:59.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by G. Monroe),,4-13,,
8:59.0,,,4-13,,Defensive rebound by Team
8:47.0,,,4-15,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
8:30.0,N. Noel misses 2-pt shot at rim (block by A. Drummond),,4-15,,
8:27.0,Offensive rebound by R. Covington,,4-15,,
8:23.0,R. Covington misses 2-pt shot from 2 ft,,4-15,,
8:22.0,Offensive rebound by N. Noel,,4-15,,
8:20.0,N. Noel makes 2-pt shot at rim,2,6-15,,
8:02.0,,,6-15,,A. Drummond misses 2-pt shot from 1 ft
