time,Oklahoma City,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Olynyk (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. K. Olynyk (S. Ibaka gains possession)
11:48.0,J. Lamb misses 2-pt shot from 19 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by R. Rondo
11:33.0,,,0-2,2,J. Sullinger makes 2-pt shot from 17 ft (assist by A. Bradley)
11:21.0,,,0-2,,Personal foul by K. Olynyk (drawn by S. Adams)
11:13.0,J. Lamb misses 2-pt shot from 12 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by J. Sullinger
11:03.0,,,0-4,2,J. Sullinger makes 2-pt shot from 20 ft (assist by R. Rondo)
10:44.0,S. Adams misses 2-pt shot from 5 ft,,0-4,,
10:43.0,,,0-4,,Defensive rebound by J. Sullinger
10:32.0,,,0-4,,Turnover by R. Rondo (lost ball)
10:23.0,S. Ibaka makes 3-pt shot from 25 ft (assist by L. Thomas),3,3-4,,
10:04.0,,,3-6,2,R. Rondo makes 2-pt shot from 10 ft (assist by K. Olynyk)
9:45.0,S. Ibaka misses 3-pt shot from 24 ft,,3-6,,
9:44.0,,,3-6,,Defensive rebound by R. Rondo
9:34.0,,,3-8,2,K. Olynyk makes 2-pt shot from 2 ft
9:14.0,Turnover by L. Thomas (bad pass; steal by R. Rondo),,3-8,,
9:13.0,Personal foul by J. Lamb (drawn by R. Rondo),,3-8,,
9:05.0,,,3-8,,J. Green misses 2-pt shot from 13 ft
9:04.0,,,3-8,,Offensive rebound by J. Sullinger
9:04.0,,,3-10,2,J. Sullinger makes 2-pt shot at rim
8:57.0,Oklahoma City full timeout,,3-10,,
8:48.0,,,3-10,,Personal block foul by K. Olynyk (drawn by S. Adams)
8:48.0,,,3-10,,T. Zeller enters the game for K. Olynyk
8:42.0,R. Jackson misses 3-pt shot from 25 ft,,3-10,,
8:41.0,,,3-10,,Defensive rebound by R. Rondo
8:23.0,,,3-12,2,A. Bradley makes 2-pt shot from 20 ft
8:02.0,S. Adams misses 2-pt shot from 3 ft,,3-12,,
8:01.0,,,3-12,,Defensive rebound by R. Rondo
7:54.0,Personal foul by L. Thomas (drawn by J. Sullinger),,3-12,,
7:42.0,,,3-15,3,R. Rondo makes 3-pt shot from 24 ft (assist by J. Sullinger)
7:25.0,J. Lamb misses 3-pt shot from 24 ft,,3-15,,
7:24.0,Offensive rebound by Team,,3-15,,
7:24.0,,,3-15,,Loose ball foul by T. Zeller (drawn by S. Adams)
7:13.0,J. Lamb misses 3-pt shot from 24 ft,,3-15,,
7:11.0,,,3-15,,Defensive rebound by A. Bradley
6:58.0,,,3-15,,J. Sullinger misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by Team,,3-15,,
6:35.0,J. Lamb misses 2-pt shot from 10 ft,,3-15,,
6:34.0,,,3-15,,Defensive rebound by R. Rondo
6:26.0,Def 3 sec tech foul by S. Adams,,3-15,,
6:26.0,,,3-16,1,J. Green makes technical free throw
6:26.0,A. Morrow enters the game for J. Lamb,,3-16,,
6:11.0,,,3-18,2,J. Green makes 2-pt shot from 15 ft
6:04.0,Oklahoma City full timeout,,3-18,,
5:54.0,Turnover by R. Jackson (bad pass; steal by A. Bradley),,3-18,,
5:46.0,,,3-18,,A. Bradley misses 3-pt shot from 23 ft
5:45.0,Defensive rebound by S. Ibaka,,3-18,,
5:38.0,R. Jackson misses 2-pt shot from 2 ft (block by A. Bradley),,3-18,,
5:37.0,,,3-18,,Defensive rebound by A. Bradley
5:33.0,,,3-18,,Turnover by T. Zeller (lost ball)
5:19.0,L. Thomas makes 2-pt shot from 6 ft,2,5-18,,
5:00.0,,,5-18,,J. Green misses 2-pt shot from 16 ft
4:59.0,Defensive rebound by Team,,5-18,,
4:59.0,,,5-18,,E. Turner enters the game for J. Sullinger
4:46.0,A. Morrow makes 2-pt shot from 17 ft (assist by S. Adams),2,7-18,,
4:30.0,,,7-20,2,A. Bradley makes 2-pt shot from 1 ft
4:18.0,,,7-20,,Personal foul by R. Rondo (drawn by S. Ibaka)
4:18.0,K. Perkins enters the game for S. Adams,,7-20,,
4:18.0,,,7-20,,B. Bass enters the game for A. Bradley
4:04.0,K. Perkins misses 2-pt shot from 3 ft,,7-20,,
4:03.0,Offensive rebound by Team,,7-20,,
4:03.0,,,7-20,,Personal foul by E. Turner (drawn by R. Jackson)
4:03.0,R. Jackson makes free throw 1 of 2,1,8-20,,
4:03.0,R. Jackson makes free throw 2 of 2,1,9-20,,
3:52.0,,,9-20,,J. Green misses 2-pt shot at rim
3:51.0,,,9-20,,Offensive rebound by Team
3:39.0,,,9-20,,J. Green misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by L. Thomas,,9-20,,
3:27.0,R. Jackson misses 2-pt shot from 16 ft,,9-20,,
3:26.0,,,9-20,,Defensive rebound by R. Rondo
3:12.0,,,9-22,2,B. Bass makes 2-pt shot from 17 ft (assist by R. Rondo)
2:52.0,S. Ibaka makes 2-pt shot from 2 ft,2,11-22,,
2:33.0,,,11-22,,J. Green misses 2-pt shot from 20 ft
2:32.0,Defensive rebound by L. Thomas,,11-22,,
2:24.0,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Jackson),2,13-22,,
1:58.0,,,13-22,,Boston full timeout
1:58.0,,,13-22,,P. Pressey enters the game for R. Rondo
1:58.0,N. Collison enters the game for L. Thomas,,13-22,,
1:58.0,S. Telfair enters the game for R. Jackson,,13-22,,
1:55.0,,,13-22,,Turnover by Team (shot clock)
1:34.0,A. Morrow misses 2-pt shot from 15 ft,,13-22,,
1:32.0,,,13-22,,Defensive rebound by E. Turner
1:22.0,,,13-22,,P. Pressey misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by N. Collison,,13-22,,
1:06.0,S. Ibaka misses 2-pt shot from 19 ft,,13-22,,
1:04.0,,,13-22,,Defensive rebound by J. Green
1:00.0,,,13-24,2,T. Zeller makes 2-pt shot from 1 ft (assist by J. Green)
0:38.0,A. Morrow makes 2-pt shot from 13 ft,2,15-24,,
0:30.0,,,15-24,,P. Pressey misses 3-pt shot from 23 ft
0:29.0,,,15-24,,Offensive rebound by T. Zeller
0:18.0,,,15-24,,J. Green misses 3-pt shot from 23 ft
0:17.0,Defensive rebound by K. Perkins,,15-24,,
0:01.0,A. Morrow misses 2-pt shot from 15 ft,,15-24,,
0:01.0,,,15-24,,Defensive rebound by E. Turner
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Jump ball: L. Thomas vs. G. Wallace (J. Sullinger gains possession),,,,Jump ball: L. Thomas vs. G. Wallace (J. Sullinger gains possession)
11:37.0,,,15-24,,E. Turner misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by S. Telfair,,15-24,,
11:20.0,S. Telfair misses 2-pt shot from 20 ft,,15-24,,
11:19.0,Offensive rebound by K. Perkins,,15-24,,
11:18.0,K. Perkins makes 2-pt shot at rim,2,17-24,,
11:01.0,,,17-24,,Turnover by E. Turner (bad pass)
10:45.0,,,17-24,,Personal foul by G. Wallace (drawn by L. Thomas)
10:35.0,K. Perkins makes 2-pt shot from 5 ft (assist by S. Telfair),2,19-24,,
10:18.0,,,19-24,,E. Turner misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by K. Perkins,,19-24,,
10:01.0,K. Perkins makes 2-pt shot from 2 ft,2,21-24,,
9:51.0,,,21-24,,Shooting foul by N. Collison (drawn by K. Olynyk)
9:51.0,,,21-25,1,K. Olynyk makes free throw 1 of 2
9:51.0,,,21-25,,K. Olynyk misses free throw 2 of 2
9:50.0,Defensive rebound by A. Morrow,,21-25,,
9:34.0,A. Morrow misses 3-pt shot from 24 ft,,21-25,,
9:32.0,,,21-25,,Defensive rebound by G. Wallace
9:26.0,,,21-25,,Turnover by J. Sullinger (bad pass)
9:14.0,Shooting foul by J. Sullinger (drawn by S. Telfair),,21-25,,
9:14.0,S. Telfair misses free throw 1 of 2,,21-25,,
9:14.0,Offensive rebound by Team,,21-25,,
9:14.0,,,21-25,,A. Bradley enters the game for P. Pressey
9:14.0,S. Telfair makes free throw 2 of 2,1,22-25,,
9:03.0,,,22-25,,A. Bradley misses 3-pt shot from 22 ft
