time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. R. Lopez (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. R. Lopez (B. Griffin gains possession)
11:40.0,,,0-0,,D. Jordan misses 2-pt shot from 6 ft
11:37.0,Defensive rebound by N. Batum,,0-0,,
11:26.0,W. Matthews misses 2-pt shot from 10 ft,,0-0,,
11:25.0,Offensive rebound by R. Lopez,,0-0,,
11:20.0,L. Aldridge makes 3-pt shot from 26 ft (assist by R. Lopez),3,3-0,,
11:08.0,,,3-2,2,B. Griffin makes 2-pt shot from 5 ft
10:42.0,L. Aldridge misses 2-pt shot from 19 ft,,3-2,,
10:41.0,Offensive rebound by R. Lopez,,3-2,,
10:41.0,R. Lopez makes 2-pt shot from 1 ft,2,5-2,,
10:28.0,,,5-2,,C. Paul misses 2-pt shot from 16 ft
10:24.0,Defensive rebound by N. Batum,,5-2,,
10:13.0,D. Lillard makes 3-pt shot from 26 ft (assist by N. Batum),3,8-2,,
10:00.0,,,8-4,2,J. Redick makes 2-pt shot from 15 ft (assist by C. Paul)
10:00.0,,,8-4,,Shooting foul by W. Matthews (drawn by J. Redick)
10:00.0,,,8-5,1,J. Redick makes free throw 1 of 1
9:39.0,Shooting foul by J. Redick (drawn by R. Lopez),,8-5,,
9:39.0,R. Lopez makes free throw 1 of 2,1,9-5,,
9:39.0,R. Lopez makes free throw 2 of 2,1,10-5,,
9:30.0,,,10-5,,J. Crawford misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by W. Matthews,,10-5,,
9:17.0,L. Aldridge misses 2-pt shot from 6 ft,,10-5,,
9:15.0,,,10-5,,Defensive rebound by D. Jordan
9:10.0,,,10-7,2,J. Redick makes 2-pt shot at rim (assist by C. Paul)
8:55.0,R. Lopez makes 2-pt shot from 11 ft (assist by W. Matthews),2,12-7,,
8:39.0,,,12-9,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
8:23.0,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Lillard),2,14-9,,
8:03.0,,,14-9,,J. Crawford misses 2-pt shot from 10 ft
8:02.0,Defensive rebound by Team,,14-9,,
7:38.0,W. Matthews makes 3-pt shot from 25 ft (assist by N. Batum),3,17-9,,
7:24.0,,,17-9,,Shooting foul by W. Matthews (drawn by J. Redick)
7:24.0,,,17-10,1,J. Redick makes free throw 1 of 3
7:24.0,C. McCollum enters the game for W. Matthews,,17-10,,
7:24.0,,,17-11,1,J. Redick makes free throw 2 of 3
7:24.0,,,17-12,1,J. Redick makes free throw 3 of 3
7:08.0,,,17-12,,Personal foul by C. Paul (drawn by D. Lillard)
6:58.0,R. Lopez makes 2-pt shot from 1 ft (assist by D. Lillard),2,19-12,,
6:58.0,Shooting foul by B. Griffin (drawn by R. Lopez),,19-12,,
6:58.0,R. Lopez makes free throw 1 of 1,1,20-12,,
6:40.0,,,20-12,,B. Griffin misses 2-pt shot from 17 ft
6:39.0,Defensive rebound by D. Lillard,,20-12,,
6:33.0,,,20-12,,Personal foul by D. Jordan (drawn by D. Lillard)
6:25.0,R. Lopez makes 2-pt shot from 1 ft (assist by N. Batum),2,22-12,,
6:20.0,,,22-12,,LA Clippers full timeout
6:20.0,,,22-12,,M. Barnes enters the game for J. Crawford
6:03.0,,,22-14,2,B. Griffin makes 2-pt shot from 5 ft (assist by C. Paul)
5:39.0,D. Lillard makes 3-pt shot from 28 ft,3,25-14,,
5:35.0,,,25-14,,Shooting foul by C. McCollum (drawn by B. Griffin)
5:35.0,,,25-15,1,B. Griffin makes free throw 1 of 2
5:35.0,C. Kaman enters the game for R. Lopez,,25-15,,
5:35.0,S. Blake enters the game for C. McCollum,,25-15,,
5:35.0,,,25-16,1,B. Griffin makes free throw 2 of 2
5:22.0,Turnover by D. Lillard (lost ball; steal by D. Jordan),,25-16,,
5:11.0,,,25-18,2,C. Paul makes 2-pt shot from 16 ft
4:52.0,L. Aldridge misses 2-pt shot from 12 ft,,25-18,,
4:50.0,Offensive rebound by C. Kaman,,25-18,,
4:46.0,N. Batum makes 3-pt shot from 25 ft (assist by D. Lillard),3,28-18,,
