time,LA Clippers,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Mozgov (C. Paul gains possession),,,,Jump ball: D. Jordan vs. T. Mozgov (C. Paul gains possession)
11:43.0,J. Crawford makes 2-pt shot from 21 ft (assist by C. Paul),2,2-0,,
11:23.0,,,2-2,2,K. Love makes 2-pt shot from 6 ft (assist by L. James)
11:11.0,B. Griffin misses 2-pt shot from 7 ft,,2-2,,
11:10.0,,,2-2,,Defensive rebound by T. Mozgov
11:01.0,,,2-5,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
10:46.0,J. Crawford makes 2-pt shot from 9 ft (assist by C. Paul),2,4-5,,
10:30.0,,,4-8,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
10:10.0,C. Paul misses 3-pt shot from 25 ft,,4-8,,
10:09.0,,,4-8,,Defensive rebound by K. Love
10:01.0,,,4-10,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
9:52.0,C. Paul makes 2-pt shot from 17 ft,2,6-10,,
9:42.0,,,6-10,,K. Love misses 3-pt shot from 27 ft
9:40.0,Defensive rebound by D. Jordan,,6-10,,
9:36.0,,,6-10,,Violation by K. Irving (kicked ball)
9:27.0,M. Barnes misses 3-pt shot from 24 ft,,6-10,,
9:26.0,,,6-10,,Defensive rebound by T. Mozgov
9:13.0,,,6-10,,L. James misses 3-pt shot from 23 ft
9:12.0,Defensive rebound by B. Griffin,,6-10,,
9:07.0,Turnover by M. Barnes (lost ball),,6-10,,
8:49.0,,,6-12,2,K. Love makes 2-pt shot from 7 ft (assist by J. Smith)
8:35.0,B. Griffin misses 2-pt shot from 6 ft,,6-12,,
8:32.0,,,6-12,,Defensive rebound by L. James
8:28.0,,,6-14,2,T. Mozgov makes 2-pt shot at rim
8:28.0,LA Clippers full timeout,,6-14,,
8:19.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,8-14,,
8:00.0,,,8-14,,Turnover by K. Love (lost ball)
7:48.0,B. Griffin makes 2-pt shot from 16 ft (assist by M. Barnes),2,10-14,,
7:34.0,Personal foul by M. Barnes (drawn by L. James),,10-14,,
7:24.0,,,10-14,,K. Irving misses 2-pt shot from 4 ft (block by D. Jordan)
7:22.0,Defensive rebound by M. Barnes,,10-14,,
7:17.0,C. Paul misses 3-pt shot from 24 ft,,10-14,,
7:14.0,,,10-14,,Defensive rebound by K. Love
7:13.0,Violation by M. Barnes (kicked ball),,10-14,,
6:58.0,,,10-16,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
6:40.0,B. Griffin misses 2-pt shot from 16 ft,,10-16,,
6:39.0,Offensive rebound by D. Jordan,,10-16,,
6:33.0,Turnover by D. Jordan (lost ball; steal by J. Smith),,10-16,,
6:25.0,,,10-18,2,J. Smith makes 2-pt shot from 14 ft
6:12.0,M. Barnes misses 3-pt shot from 22 ft,,10-18,,
6:11.0,,,10-18,,Defensive rebound by K. Love
5:55.0,,,10-18,,L. James misses 2-pt shot at rim
5:54.0,Defensive rebound by B. Griffin,,10-18,,
5:49.0,C. Paul makes 2-pt shot from 5 ft (assist by B. Griffin),2,12-18,,
5:31.0,,,12-20,2,L. James makes 2-pt shot at rim (assist by T. Mozgov)
5:18.0,J. Crawford misses 2-pt shot from 5 ft,,12-20,,
5:16.0,,,12-20,,Defensive rebound by K. Irving
5:03.0,,,12-20,,K. Irving misses 2-pt shot from 17 ft
5:02.0,,,12-20,,Offensive rebound by T. Mozgov
5:00.0,,,12-20,,Turnover by T. Mozgov (lost ball; steal by C. Paul)
4:48.0,Shooting foul by T. Mozgov (drawn by B. Griffin),,12-20,,
4:48.0,B. Griffin makes free throw 1 of 2,1,13-20,,
4:48.0,,,13-20,,I. Shumpert enters the game for L. James
4:48.0,B. Griffin misses free throw 2 of 2,,13-20,,
4:46.0,,,13-20,,Defensive rebound by T. Mozgov
4:24.0,,,13-20,,K. Love misses 2-pt shot from 7 ft
4:20.0,Defensive rebound by C. Paul,,13-20,,
4:19.0,,,13-20,,Personal foul by J. Smith (drawn by B. Griffin)
4:19.0,A. Rivers enters the game for M. Barnes,,13-20,,
4:19.0,,,13-20,,T. Thompson enters the game for T. Mozgov
4:06.0,C. Paul misses 2-pt shot from 10 ft,,13-20,,
4:05.0,,,13-20,,Defensive rebound by J. Smith
3:57.0,,,13-20,,Shooting foul by A. Rivers (drawn by K. Irving)
3:57.0,,,13-21,1,K. Irving makes free throw 1 of 2
3:57.0,,,13-22,1,K. Irving makes free throw 2 of 2
3:41.0,J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin),3,16-22,,
3:20.0,,,16-22,,K. Love misses 2-pt shot from 6 ft
3:17.0,Defensive rebound by D. Jordan,,16-22,,
3:11.0,J. Crawford makes 2-pt shot from 19 ft,2,18-22,,
2:56.0,,,18-22,,I. Shumpert misses 3-pt shot from 24 ft
2:55.0,,,18-22,,Offensive rebound by T. Thompson
2:48.0,,,18-22,,J. Smith misses 3-pt shot from 27 ft
2:47.0,Defensive rebound by B. Griffin,,18-22,,
2:41.0,J. Crawford misses 2-pt shot from 1 ft,,18-22,,
2:39.0,,,18-22,,Defensive rebound by K. Love
2:31.0,,,18-25,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
2:13.0,J. Crawford misses 3-pt shot from 23 ft,,18-25,,
2:12.0,,,18-25,,Defensive rebound by K. Love
2:06.0,Personal foul by A. Rivers (drawn by K. Irving),,18-25,,
2:06.0,,,18-25,,Cleveland full timeout
2:06.0,Technical foul by Team,,18-25,,
2:06.0,S. Hawes enters the game for B. Griffin,,18-25,,
2:06.0,,,18-25,,L. James enters the game for K. Love
2:06.0,,,18-25,,T. Mozgov enters the game for J. Smith
2:06.0,,,18-26,1,K. Irving makes technical free throw
1:54.0,,,18-28,2,T. Thompson makes 2-pt shot from 5 ft (assist by L. James)
1:26.0,A. Rivers makes 2-pt shot from 4 ft (assist by C. Paul),2,20-28,,
1:26.0,,,20-28,,Violation by T. Mozgov (def goaltending)
1:11.0,,,20-28,,Turnover by L. James (traveling)
1:11.0,M. Barnes enters the game for J. Crawford,,20-28,,
1:11.0,,,20-28,,M. Dellavedova enters the game for K. Irving
1:01.0,C. Paul misses 2-pt shot from 11 ft,,20-28,,
1:00.0,,,20-28,,Defensive rebound by L. James
0:54.0,,,20-28,,L. James misses 2-pt shot from 9 ft
0:52.0,Defensive rebound by D. Jordan,,20-28,,
0:45.0,Turnover by A. Rivers (lost ball; steal by I. Shumpert),,20-28,,
0:41.0,,,20-30,2,I. Shumpert makes 2-pt shot at rim
0:26.0,C. Paul misses 2-pt shot from 18 ft,,20-30,,
0:25.0,Offensive rebound by D. Jordan,,20-30,,
0:23.0,Jump ball: M. Dellavedova vs. D. Jordan (M. Barnes gains possession),,,,Jump ball: M. Dellavedova vs. D. Jordan (M. Barnes gains possession)
0:00.0,M. Barnes misses 2-pt shot from 11 ft,,20-30,,
0:00.0,Offensive rebound by Team,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,20-32,2,L. James makes 2-pt shot from 10 ft
11:13.0,J. Crawford misses 3-pt shot from 28 ft,,20-32,,
11:12.0,,,20-32,,Defensive rebound by I. Shumpert
11:02.0,,,20-32,,L. James misses 2-pt shot at rim
11:02.0,,,20-32,,Offensive rebound by Team
11:02.0,Loose ball foul by A. Rivers (drawn by T. Thompson),,20-32,,
11:02.0,D. Jones enters the game for A. Rivers,,20-32,,
10:48.0,,,20-32,,I. Shumpert misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by S. Hawes,,20-32,,
10:32.0,S. Hawes makes 2-pt shot at rim (assist by J. Crawford),2,22-32,,
10:16.0,,,22-32,,T. Mozgov misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by S. Hawes,,22-32,,
10:06.0,J. Crawford misses 2-pt shot from 19 ft,,22-32,,
10:05.0,Offensive rebound by S. Hawes,,22-32,,
10:00.0,,,22-32,,Personal foul by M. Dellavedova (drawn by J. Crawford)
10:00.0,,,22-32,,K. Love enters the game for T. Thompson
10:00.0,,,22-32,,K. Irving enters the game for I. Shumpert
