time,Brooklyn,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. R. Lopez (K. Garnett gains possession),,,,Jump ball: B. Lopez vs. R. Lopez (K. Garnett gains possession)
11:43.0,B. Bogdanovic misses 2-pt shot from 14 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by W. Matthews
11:34.0,,,0-0,,W. Matthews misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by K. Garnett,,0-0,,
11:23.0,D. Williams misses 2-pt shot from 3 ft (block by R. Lopez),,0-0,,
11:22.0,,,0-0,,Defensive rebound by R. Lopez
11:10.0,,,0-0,,R. Lopez misses 2-pt shot from 6 ft
11:09.0,Defensive rebound by D. Williams,,0-0,,
10:56.0,J. Johnson misses 2-pt shot from 7 ft (block by W. Matthews),,0-0,,
10:55.0,,,0-0,,Defensive rebound by R. Lopez
10:36.0,,,0-0,,R. Lopez misses 2-pt shot from 18 ft
10:35.0,Defensive rebound by K. Garnett,,0-0,,
10:23.0,B. Bogdanovic misses 3-pt shot from 23 ft,,0-0,,
10:22.0,,,0-0,,Defensive rebound by M. Leonard
10:14.0,,,0-0,,D. Lillard misses 2-pt shot from 22 ft
10:13.0,,,0-0,,Offensive rebound by M. Leonard
10:06.0,,,0-2,2,M. Leonard makes 2-pt shot from 19 ft (assist by A. Crabbe)
9:47.0,D. Williams misses 2-pt shot from 21 ft,,0-2,,
9:46.0,,,0-2,,Defensive rebound by M. Leonard
9:38.0,,,0-2,,D. Lillard misses 2-pt shot from 2 ft
9:38.0,,,0-2,,Offensive rebound by R. Lopez
9:38.0,Personal foul by D. Williams (drawn by R. Lopez),,0-2,,
9:26.0,,,0-2,,R. Lopez misses 2-pt shot from 20 ft
9:25.0,Defensive rebound by K. Garnett,,0-2,,
9:13.0,K. Garnett makes 2-pt shot from 20 ft (assist by J. Johnson),2,2-2,,
8:55.0,,,2-4,2,D. Lillard makes 2-pt shot from 12 ft
8:55.0,,,2-4,,Shooting foul by B. Lopez (drawn by D. Lillard)
8:55.0,,,2-4,,D. Lillard misses free throw 1 of 1
8:55.0,Defensive rebound by K. Garnett,,2-4,,
8:40.0,B. Lopez makes 2-pt shot from 16 ft,2,4-4,,
8:25.0,,,4-7,3,D. Lillard makes 3-pt shot from 26 ft (assist by W. Matthews)
8:04.0,B. Lopez misses 2-pt shot from 5 ft,,4-7,,
8:04.0,,,4-7,,Defensive rebound by M. Leonard
7:54.0,,,4-7,,D. Lillard misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by K. Garnett,,4-7,,
7:38.0,B. Lopez makes 2-pt shot from 6 ft,2,6-7,,
7:25.0,,,6-7,,Turnover by W. Matthews (bad pass)
7:25.0,M. Plumlee enters the game for K. Garnett,,6-7,,
7:05.0,B. Lopez makes 2-pt shot from 3 ft,2,8-7,,
6:50.0,,,8-9,2,D. Lillard makes 2-pt shot at rim
6:32.0,Turnover by D. Williams (bad pass; steal by A. Crabbe),,8-9,,
6:28.0,,,8-11,2,A. Crabbe makes 2-pt shot from 1 ft
6:09.0,Turnover by B. Lopez (bad pass; steal by R. Lopez),,8-11,,
6:08.0,Personal foul by D. Williams (drawn by W. Matthews),,8-11,,
6:08.0,,,8-11,,Portland full timeout
6:08.0,J. Jack enters the game for D. Williams,,8-11,,
5:54.0,,,8-13,2,M. Leonard makes 2-pt shot from 21 ft (assist by W. Matthews)
5:37.0,Shooting foul by W. Matthews (drawn by J. Johnson),,8-13,,
5:37.0,J. Johnson makes free throw 1 of 2,1,9-13,,
5:37.0,J. Johnson makes free throw 2 of 2,1,10-13,,
5:24.0,,,10-13,,A. Crabbe misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by M. Plumlee,,10-13,,
5:04.0,B. Lopez misses 2-pt shot from 16 ft,,10-13,,
5:02.0,,,10-13,,Defensive rebound by D. Lillard
4:58.0,,,10-13,,W. Matthews misses 2-pt shot from 2 ft
4:56.0,,,10-13,,Offensive rebound by W. Matthews
4:36.0,,,10-13,,M. Leonard misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by Team,,10-13,,
4:35.0,,,10-13,,C. Kaman enters the game for M. Leonard
4:35.0,,,10-13,,J. Freeland enters the game for R. Lopez
4:35.0,,,10-13,,Technical foul by R. Lopez
4:35.0,J. Jack makes technical free throw,1,11-13,,
4:35.0,A. Anderson enters the game for B. Bogdanovic,,11-13,,
4:29.0,,,11-13,,Personal foul by A. Crabbe (drawn by A. Anderson)
4:20.0,,,11-13,,S. Blake enters the game for A. Crabbe
