time,LA Clippers,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Horford vs. D. Jordan (C. Paul gains possession)
11:45.0,C. Paul makes 2-pt shot from 17 ft,2,2-0,,
11:26.0,,,2-3,3,K. Korver makes 3-pt shot from 25 ft (assist by P. Millsap)
11:12.0,J. Redick makes 3-pt shot from 24 ft (assist by M. Barnes),3,5-3,,
10:51.0,,,5-3,,K. Korver misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by D. Jordan,,5-3,,
10:31.0,M. Barnes makes 3-pt shot from 24 ft (assist by B. Griffin),3,8-3,,
10:11.0,,,8-5,2,A. Horford makes 2-pt shot from 14 ft
9:58.0,C. Paul misses 2-pt shot from 18 ft,,8-5,,
9:57.0,,,8-5,,Defensive rebound by D. Carroll
9:44.0,,,8-5,,A. Horford misses 2-pt shot at rim
9:43.0,,,8-5,,Offensive rebound by Team
9:37.0,,,8-5,,Shooting foul by M. Barnes (drawn by A. Horford)
9:37.0,,,8-6,1,A. Horford makes free throw 1 of 2
9:37.0,,,8-7,1,A. Horford makes free throw 2 of 2
9:25.0,J. Redick misses 3-pt shot from 25 ft,,8-7,,
9:24.0,,,8-7,,Defensive rebound by D. Carroll
9:11.0,,,8-9,2,D. Schroder makes 2-pt shot from 3 ft
8:57.0,Shooting foul by P. Millsap (drawn by M. Barnes),,8-9,,
8:57.0,M. Barnes makes free throw 1 of 2,1,9-9,,
8:57.0,M. Barnes makes free throw 2 of 2,1,10-9,,
8:41.0,,,10-12,3,D. Carroll makes 3-pt shot from 23 ft (assist by P. Millsap)
8:30.0,M. Barnes misses 2-pt shot from 2 ft,,10-12,,
8:29.0,,,10-12,,Defensive rebound by P. Millsap
8:22.0,,,10-14,2,P. Millsap makes 2-pt shot at rim
8:00.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,12-14,,
7:39.0,,,12-14,,A. Horford misses 2-pt shot from 16 ft
7:37.0,Defensive rebound by B. Griffin,,12-14,,
7:28.0,B. Griffin makes 2-pt shot from 19 ft (assist by M. Barnes),2,14-14,,
7:13.0,,,14-16,2,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap)
7:08.0,Turnover by C. Paul (bad pass; steal by D. Schroder),,14-16,,
6:59.0,,,14-19,3,K. Korver makes 3-pt shot from 22 ft (assist by P. Millsap)
6:46.0,LA Clippers full timeout,,14-19,,
6:46.0,,,14-19,,E. Brand enters the game for P. Millsap
6:37.0,D. Jordan misses 2-pt shot at rim,,14-19,,
6:36.0,,,14-19,,Defensive rebound by D. Carroll
6:30.0,,,14-19,,K. Korver misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by D. Jordan,,14-19,,
6:21.0,B. Griffin makes 2-pt shot at rim,2,16-19,,
6:06.0,,,16-19,,D. Schroder misses 2-pt shot from 5 ft (block by D. Jordan)
6:05.0,,,16-19,,Offensive rebound by D. Carroll
5:59.0,,,16-19,,A. Horford misses 2-pt shot from 18 ft
5:57.0,Defensive rebound by D. Jordan,,16-19,,
5:50.0,C. Paul makes 2-pt shot from 8 ft,2,18-19,,
5:34.0,,,18-21,2,A. Horford makes 2-pt shot from 4 ft (assist by D. Schroder)
5:17.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,20-21,,
5:02.0,,,20-21,,E. Brand misses 2-pt shot from 9 ft
5:00.0,Defensive rebound by J. Redick,,20-21,,
4:52.0,B. Griffin misses 2-pt shot from 19 ft,,20-21,,
4:51.0,Offensive rebound by D. Jordan,,20-21,,
4:51.0,,,20-21,,Personal foul by D. Carroll (drawn by D. Jordan)
4:51.0,G. Davis enters the game for D. Jordan,,20-21,,
4:51.0,,,20-21,,T. Sefolosha enters the game for D. Carroll
