time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. T. Mozgov (M. Dellavedova gains possession),,,,Jump ball: B. Bass vs. T. Mozgov (M. Dellavedova gains possession)
11:42.0,T. Mozgov misses 2-pt shot from 5 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by E. Turner
11:34.0,,,0-2,2,T. Zeller makes 2-pt shot from 15 ft (assist by E. Turner)
11:10.0,M. Dellavedova misses 2-pt shot from 8 ft,,0-2,,
11:08.0,Offensive rebound by T. Thompson,,0-2,,
10:55.0,M. Dellavedova misses 2-pt shot from 13 ft,,0-2,,
10:54.0,Offensive rebound by M. Dellavedova,,0-2,,
10:44.0,S. Marion misses 3-pt shot from 24 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by T. Zeller
10:34.0,,,0-5,3,A. Bradley makes 3-pt shot from 27 ft
10:22.0,I. Shumpert misses 2-pt shot from 11 ft,,0-5,,
10:20.0,,,0-5,,Defensive rebound by T. Zeller
10:09.0,,,0-5,,A. Bradley misses 2-pt shot from 20 ft
10:08.0,Defensive rebound by T. Mozgov,,0-5,,
9:56.0,S. Marion misses 3-pt shot from 23 ft,,0-5,,
9:56.0,,,0-5,,Defensive rebound by T. Zeller
9:32.0,,,0-5,,B. Bass misses 2-pt shot from 5 ft (block by T. Mozgov)
9:29.0,Defensive rebound by I. Shumpert,,0-5,,
9:19.0,T. Mozgov misses 2-pt shot from 1 ft,,0-5,,
9:18.0,,,0-5,,Defensive rebound by T. Zeller
9:07.0,,,0-7,2,A. Bradley makes 2-pt shot from 15 ft
8:50.0,Turnover by T. Thompson (lost ball; steal by M. Smart),,0-7,,
8:45.0,,,0-7,,E. Turner misses 2-pt shot at rim
8:44.0,Defensive rebound by S. Marion,,0-7,,
8:35.0,T. Mozgov misses 2-pt shot from 9 ft,,0-7,,
8:34.0,Offensive rebound by S. Marion,,0-7,,
8:32.0,Turnover by S. Marion (bad pass; steal by E. Turner),,0-7,,
8:26.0,,,0-9,2,T. Zeller makes 2-pt shot at rim (assist by M. Smart)
8:25.0,Cleveland full timeout,,0-9,,
8:04.0,T. Mozgov makes 2-pt shot from 12 ft (assist by M. Dellavedova),2,2-9,,
7:41.0,,,2-9,,E. Turner misses 2-pt shot from 15 ft
7:40.0,Defensive rebound by S. Marion,,2-9,,
7:31.0,T. Thompson makes 2-pt shot at rim (assist by T. Mozgov),2,4-9,,
7:31.0,Shooting foul by T. Zeller (drawn by T. Thompson),,4-9,,
7:31.0,T. Thompson makes free throw 1 of 1,1,5-9,,
7:22.0,,,5-9,,B. Bass misses 2-pt shot from 18 ft
7:21.0,Defensive rebound by T. Mozgov,,5-9,,
7:12.0,,,5-9,,Personal foul by E. Turner (drawn by T. Mozgov)
6:55.0,T. Thompson makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,7-9,,
6:43.0,,,7-9,,M. Smart misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by T. Mozgov,,7-9,,
6:30.0,I. Shumpert misses 2-pt shot from 2 ft,,7-9,,
6:29.0,Offensive rebound by T. Mozgov,,7-9,,
6:25.0,I. Shumpert misses 3-pt shot from 27 ft,,7-9,,
6:24.0,,,7-9,,Defensive rebound by E. Turner
