time,Atlanta,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Horford (J. Teague gains possession),,,,Jump ball: A. Bogut vs. A. Horford (J. Teague gains possession)
11:44.0,D. Carroll misses 2-pt shot from 18 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by A. Bogut
11:30.0,,,0-0,,A. Bogut misses 2-pt shot from 6 ft
11:29.0,Defensive rebound by D. Carroll,,0-0,,
11:19.0,J. Teague makes 2-pt shot from 12 ft,2,2-0,,
11:09.0,,,2-0,,Turnover by S. Curry (bad pass; steal by A. Horford)
11:00.0,A. Horford misses 2-pt shot from 20 ft,,2-0,,
10:59.0,Offensive rebound by P. Millsap,,2-0,,
10:59.0,P. Millsap misses 2-pt shot from 1 ft (block by A. Bogut),,2-0,,
10:57.0,,,2-0,,Defensive rebound by A. Bogut
10:45.0,,,2-0,,J. Holiday misses 3-pt shot from 26 ft
10:44.0,Defensive rebound by K. Bazemore,,2-0,,
10:38.0,K. Bazemore makes 2-pt shot from 1 ft (assist by A. Horford),2,4-0,,
10:32.0,,,4-2,2,J. Holiday makes 2-pt shot from 1 ft (assist by S. Curry)
10:18.0,P. Millsap misses 2-pt shot from 8 ft,,4-2,,
10:16.0,,,4-2,,Defensive rebound by A. Bogut
10:07.0,,,4-5,3,D. Green makes 3-pt shot from 26 ft (assist by J. Holiday)
9:42.0,K. Bazemore misses 3-pt shot from 27 ft,,4-5,,
9:41.0,,,4-5,,Defensive rebound by A. Bogut
9:33.0,,,4-5,,S. Curry misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by D. Carroll,,4-5,,
9:11.0,D. Carroll misses 2-pt shot from 14 ft,,4-5,,
9:10.0,Offensive rebound by A. Horford,,4-5,,
9:05.0,K. Bazemore misses 3-pt shot from 23 ft,,4-5,,
9:03.0,,,4-5,,Defensive rebound by Team
8:55.0,,,4-5,,Turnover by J. Holiday (bad pass; steal by J. Teague)
8:50.0,Turnover by J. Teague (bad pass),,4-5,,
8:45.0,,,4-8,3,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
8:27.0,J. Teague makes 2-pt shot from 9 ft,2,6-8,,
8:23.0,,,6-8,,Turnover by A. Bogut (bad pass; steal by J. Teague)
8:17.0,P. Millsap makes 3-pt shot from 26 ft (assist by D. Carroll),3,9-8,,
8:00.0,,,9-8,,Turnover by H. Barnes (bad pass; steal by J. Teague)
7:57.0,J. Teague makes 2-pt shot from 1 ft,2,11-8,,
7:41.0,,,11-8,,Turnover by A. Bogut (bad pass; steal by A. Horford)
7:32.0,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap),2,13-8,,
7:07.0,,,13-10,2,H. Barnes makes 2-pt shot from 11 ft
6:46.0,,,13-10,,Personal foul by D. Green (drawn by J. Teague)
6:32.0,J. Teague misses 2-pt shot from 21 ft,,13-10,,
6:31.0,,,13-10,,Defensive rebound by A. Bogut
6:19.0,,,13-12,2,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes)
6:00.0,,,13-12,,Violation by D. Green (kicked ball)
6:00.0,Atlanta full timeout,,13-12,,
6:00.0,,,13-12,,A. Iguodala enters the game for H. Barnes
6:00.0,,,13-12,,L. Barbosa enters the game for J. Holiday
5:50.0,A. Horford misses 2-pt shot from 17 ft,,13-12,,
5:49.0,,,13-12,,Defensive rebound by A. Iguodala
5:40.0,,,13-15,3,S. Curry makes 2-pt shot from 21 ft (assist by L. Barbosa)
5:26.0,A. Horford misses 2-pt shot from 8 ft,,13-15,,
5:25.0,,,13-15,,Defensive rebound by A. Iguodala
5:12.0,,,13-17,2,A. Iguodala makes 2-pt shot from 3 ft (assist by S. Curry)
4:59.0,A. Horford misses 2-pt shot from 21 ft,,13-17,,
4:58.0,,,13-17,,Defensive rebound by A. Bogut
4:47.0,,,13-17,,S. Curry misses 2-pt shot from 23 ft
4:45.0,,,13-17,,Offensive rebound by D. Green
4:40.0,,,13-20,3,L. Barbosa makes 3-pt shot from 25 ft (assist by A. Iguodala)
4:25.0,P. Millsap makes 2-pt shot from 11 ft,2,15-20,,
4:25.0,Shooting foul by A. Iguodala (drawn by P. Millsap),,15-20,,
4:25.0,P. Antic enters the game for A. Horford,,15-20,,
4:25.0,D. Schroder enters the game for K. Bazemore,,15-20,,
4:25.0,P. Millsap makes free throw 1 of 1,1,16-20,,
4:16.0,Personal foul by D. Schroder (drawn by D. Green),,16-20,,
4:16.0,,,16-20,,H. Barnes enters the game for A. Bogut
4:10.0,,,16-20,,D. Green misses 3-pt shot from 26 ft
4:09.0,Defensive rebound by D. Carroll,,16-20,,
3:54.0,Turnover by P. Millsap (lost ball),,16-20,,
3:47.0,S. Mack enters the game for J. Teague,,16-20,,
3:45.0,,,16-20,,L. Barbosa misses 2-pt shot from 13 ft
3:43.0,Defensive rebound by P. Millsap,,16-20,,
3:40.0,,,16-20,,Personal foul by H. Barnes (drawn by P. Antic)
3:34.0,D. Carroll misses 2-pt shot from 2 ft,,16-20,,
3:33.0,,,16-20,,Defensive rebound by H. Barnes
3:20.0,,,16-20,,H. Barnes misses 3-pt shot from 23 ft
3:19.0,Defensive rebound by D. Carroll,,16-20,,
3:08.0,P. Millsap makes 2-pt shot from 8 ft (assist by D. Schroder),2,18-20,,
2:55.0,,,18-20,,A. Iguodala misses 3-pt shot from 25 ft
2:54.0,,,18-20,,Offensive rebound by Team
2:54.0,,,18-20,,Golden State full timeout
2:53.0,,,18-22,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
2:53.0,,,18-22,,Shooting foul by S. Mack (drawn by H. Barnes)
2:53.0,,,18-22,,H. Barnes misses free throw 1 of 1
2:53.0,Defensive rebound by P. Antic,,18-22,,
2:37.0,D. Schroder misses 2-pt shot from 2 ft,,18-22,,
2:36.0,,,18-22,,Defensive rebound by S. Curry
2:30.0,,,18-24,2,H. Barnes makes 2-pt shot at rim (assist by L. Barbosa)
2:03.0,P. Millsap makes 2-pt shot from 6 ft (assist by S. Mack),2,20-24,,
1:40.0,,,20-24,,A. Iguodala misses 3-pt shot from 23 ft
1:39.0,Defensive rebound by P. Millsap,,20-24,,
1:33.0,Shooting foul by H. Barnes (drawn by D. Schroder),,20-24,,
1:33.0,D. Schroder makes free throw 1 of 2,1,21-24,,
1:33.0,K. Bazemore enters the game for D. Carroll,,21-24,,
1:33.0,,,21-24,,M. Speights enters the game for H. Barnes
1:33.0,D. Schroder makes free throw 2 of 2,1,22-24,,
1:23.0,Personal foul by D. Schroder (drawn by S. Curry),,22-24,,
1:17.0,,,22-26,2,M. Speights makes 2-pt shot at rim (assist by A. Iguodala)
1:00.0,S. Mack misses 3-pt shot from 25 ft,,22-26,,
1:00.0,,,22-26,,Defensive rebound by D. Green
0:51.0,,,22-26,,Turnover by D. Green (bad pass; steal by S. Mack)
0:45.0,Offensive foul by P. Millsap,,22-26,,
0:45.0,Turnover by P. Millsap (offensive foul),,22-26,,
0:45.0,J. Jenkins enters the game for D. Schroder,,22-26,,
0:45.0,A. Horford enters the game for P. Millsap,,22-26,,
0:29.0,,,22-26,,Turnover by S. Curry (bad pass; steal by P. Antic)
0:25.0,J. Jenkins makes 2-pt shot at rim (assist by P. Antic),2,24-26,,
0:05.0,Personal foul by K. Bazemore (drawn by S. Curry),,24-26,,
0:05.0,,,24-27,1,S. Curry makes free throw 1 of 2
0:05.0,,,24-27,,J. McAdoo enters the game for D. Green
0:05.0,J. Teague enters the game for K. Bazemore,,24-27,,
0:05.0,,,24-28,1,S. Curry makes free throw 2 of 2
0:02.0,J. Teague misses 2-pt shot at rim (block by J. McAdoo),,24-28,,
0:01.0,,,24-28,,Defensive rebound by M. Speights
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-30,2,M. Speights makes 2-pt shot from 13 ft (assist by A. Iguodala)
11:32.0,S. Mack makes 2-pt shot from 18 ft,2,26-30,,
11:13.0,,,26-32,2,S. Livingston makes 2-pt shot from 11 ft
11:01.0,A. Horford misses 2-pt shot from 7 ft,,26-32,,
11:00.0,,,26-32,,Defensive rebound by J. McAdoo
10:53.0,,,26-32,,Turnover by A. Iguodala (bad pass; steal by J. Jenkins)
10:45.0,Shooting foul by M. Speights (drawn by P. Antic),,26-32,,
10:45.0,P. Antic makes free throw 1 of 3,1,27-32,,
10:45.0,P. Antic makes free throw 2 of 3,1,28-32,,
10:45.0,P. Antic makes free throw 3 of 3,1,29-32,,
10:27.0,,,29-32,,M. Speights misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by J. Jenkins,,29-32,,
10:14.0,A. Horford misses 2-pt shot from 7 ft,,29-32,,
10:13.0,,,29-32,,Defensive rebound by J. McAdoo
10:02.0,,,29-32,,J. McAdoo misses 2-pt shot from 16 ft
10:01.0,Defensive rebound by J. Jenkins,,29-32,,
9:42.0,,,29-32,,Shooting block foul by J. McAdoo (drawn by S. Mack)
9:42.0,S. Mack makes free throw 1 of 2,1,30-32,,
9:42.0,,,30-32,,H. Barnes enters the game for J. McAdoo
9:42.0,S. Mack makes free throw 2 of 2,1,31-32,,
9:29.0,,,31-34,2,A. Iguodala makes 2-pt shot at rim
9:12.0,A. Horford makes 2-pt shot from 1 ft (assist by S. Mack),2,33-34,,
8:50.0,,,33-36,2,H. Barnes makes 2-pt shot from 16 ft
8:41.0,S. Mack misses 3-pt shot from 25 ft,,33-36,,
8:39.0,,,33-36,,Defensive rebound by J. Holiday
8:30.0,,,33-36,,M. Speights misses 2-pt shot from 10 ft (block by P. Antic)
8:29.0,,,33-36,,Offensive rebound by Team
8:29.0,Official timeout,,33-36,,
8:29.0,E. Brand enters the game for P. Antic,,33-36,,
8:29.0,J. Teague enters the game for S. Mack,,33-36,,
8:25.0,,,33-38,2,M. Speights makes 2-pt shot from 16 ft (assist by J. Holiday)
8:00.0,Turnover by J. Teague (bad pass; steal by M. Speights),,33-38,,
7:59.0,Personal foul by J. Teague (drawn by M. Speights),,33-38,,
7:43.0,,,33-40,2,A. Iguodala makes 2-pt shot from 17 ft (assist by S. Livingston)
7:22.0,A. Horford misses 2-pt shot from 10 ft,,33-40,,
7:21.0,,,33-40,,Defensive rebound by M. Speights
7:17.0,,,33-42,2,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston)
7:17.0,Atlanta full timeout,,33-42,,
7:17.0,P. Millsap enters the game for A. Horford,,33-42,,
7:17.0,D. Schroder enters the game for K. Bazemore,,33-42,,
7:17.0,D. Carroll enters the game for J. Jenkins,,33-42,,
6:59.0,,,33-42,,Personal foul by J. Holiday (drawn by P. Millsap)
6:49.0,D. Schroder misses 2-pt shot from 4 ft,,33-42,,
6:48.0,,,33-42,,Defensive rebound by H. Barnes
6:31.0,,,33-42,,Turnover by S. Livingston (bad pass; steal by P. Millsap)
6:10.0,D. Carroll makes 2-pt shot from 21 ft (assist by P. Millsap),2,35-42,,
5:51.0,,,35-42,,Shooting foul by J. Teague (drawn by S. Livingston)
5:51.0,,,35-42,,S. Livingston misses free throw 1 of 2
5:51.0,,,35-42,,Offensive rebound by Team
5:51.0,,,35-42,,A. Bogut enters the game for M. Speights
5:51.0,,,35-42,,S. Curry enters the game for A. Iguodala
5:51.0,,,35-42,,S. Livingston misses free throw 2 of 2
5:48.0,Defensive rebound by D. Carroll,,35-42,,
5:39.0,Shooting foul by J. Holiday (drawn by J. Teague),,35-42,,
5:39.0,J. Teague makes free throw 1 of 2,1,36-42,,
5:39.0,,,36-42,,D. Green enters the game for H. Barnes
5:39.0,J. Teague makes free throw 2 of 2,1,37-42,,
5:15.0,,,37-42,,S. Curry misses 3-pt shot from 23 ft (block by D. Carroll)
5:15.0,,,37-42,,Offensive rebound by Team
5:13.0,,,37-44,2,D. Green makes 2-pt shot from 18 ft (assist by S. Curry)
4:59.0,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague),3,40-44,,
4:44.0,,,40-46,2,S. Livingston makes 2-pt shot at rim (assist by S. Curry)
4:25.0,D. Schroder misses 2-pt shot from 19 ft,,40-46,,
4:24.0,,,40-46,,Defensive rebound by D. Green
4:22.0,,,40-49,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
4:22.0,,,40-49,,Shooting foul by J. Teague (drawn by S. Curry)
4:22.0,K. Bazemore enters the game for J. Teague,,40-49,,
4:22.0,,,40-49,,L. Barbosa enters the game for J. Holiday
4:22.0,,,40-50,1,S. Curry makes free throw 1 of 1
4:14.0,,,40-50,,Personal foul by S. Curry (drawn by D. Schroder)
4:14.0,D. Schroder makes free throw 1 of 2,1,41-50,,
4:14.0,A. Horford enters the game for E. Brand,,41-50,,
4:14.0,D. Schroder makes free throw 2 of 2,1,42-50,,
4:07.0,,,42-50,,Offensive foul by A. Bogut
4:07.0,,,42-50,,Turnover by A. Bogut (offensive foul)
3:53.0,A. Horford misses 3-pt shot from 23 ft,,42-50,,
3:52.0,Offensive rebound by D. Carroll,,42-50,,
3:46.0,P. Millsap misses 3-pt shot from 26 ft,,42-50,,
3:44.0,,,42-50,,Defensive rebound by D. Green
3:26.0,,,42-50,,S. Curry misses 2-pt shot from 22 ft
3:24.0,,,42-50,,Offensive rebound by A. Bogut
3:22.0,,,42-50,,Turnover by A. Bogut (bad pass)
3:01.0,K. Bazemore misses 2-pt shot from 7 ft,,42-50,,
2:59.0,,,42-50,,Defensive rebound by D. Green
2:56.0,Shooting block foul by P. Millsap (drawn by D. Green),,42-50,,
2:56.0,,,42-50,,Golden State full timeout
2:56.0,,,42-50,,A. Iguodala enters the game for S. Livingston
2:56.0,,,42-50,,D. Green misses free throw 1 of 2
2:56.0,,,42-50,,Offensive rebound by Team
2:56.0,,,42-50,,D. Green misses free throw 2 of 2
2:55.0,Defensive rebound by K. Bazemore,,42-50,,
2:45.0,D. Schroder misses 2-pt shot from 2 ft (block by A. Bogut),,42-50,,
2:43.0,Offensive rebound by P. Millsap,,42-50,,
2:39.0,D. Schroder makes 3-pt shot from 23 ft (assist by K. Bazemore),3,45-50,,
2:17.0,,,45-53,3,D. Green makes 3-pt shot from 25 ft (assist by A. Bogut)
1:50.0,P. Millsap misses 2-pt shot from 8 ft,,45-53,,
1:49.0,,,45-53,,Defensive rebound by Team
1:37.0,,,45-53,,D. Green misses 2-pt shot from 6 ft
1:36.0,Defensive rebound by P. Millsap,,45-53,,
1:21.0,A. Horford misses 2-pt shot from 9 ft,,45-53,,
1:19.0,,,45-53,,Defensive rebound by A. Bogut
1:14.0,,,45-55,2,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Curry)
1:14.0,,,45-55,,Shooting foul by P. Millsap (drawn by A. Iguodala)
1:14.0,,,45-56,1,A. Iguodala makes free throw 1 of 1
1:03.0,D. Schroder misses 3-pt shot from 26 ft,,45-56,,
1:02.0,Offensive rebound by Team,,45-56,,
1:02.0,,,45-56,,Loose ball foul by L. Barbosa (drawn by D. Carroll)
1:02.0,D. Carroll makes free throw 1 of 2,1,46-56,,
1:02.0,P. Antic enters the game for P. Millsap,,46-56,,
1:02.0,D. Carroll makes free throw 2 of 2,1,47-56,,
0:58.0,,,47-56,,Golden State full timeout
0:58.0,,,47-56,,J. Holiday enters the game for L. Barbosa
0:58.0,J. Jenkins enters the game for P. Antic,,47-56,,
0:45.0,,,47-59,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
