time,Utah,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. D. Favors (J. Smith gains possession),,,,Jump ball: S. Dalembert vs. D. Favors (J. Smith gains possession)
11:38.0,,,0-2,2,C. Anthony makes 2-pt shot from 9 ft
11:24.0,Turnover by E. Kanter (lost ball; steal by S. Larkin),,0-2,,
11:18.0,,,0-2,,S. Larkin misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by E. Kanter,,0-2,,
11:15.0,Turnover by E. Kanter (lost ball; steal by I. Shumpert),,0-2,,
11:05.0,,,0-2,,New York full timeout
11:05.0,,,0-2,,T. Hardaway enters the game for I. Shumpert
10:56.0,,,0-2,,J. Smith misses 2-pt shot from 20 ft
10:55.0,Defensive rebound by D. Favors,,0-2,,
10:32.0,D. Favors misses 2-pt shot from 5 ft,,0-2,,
10:31.0,,,0-2,,Defensive rebound by J. Smith
10:24.0,,,0-2,,C. Anthony misses 2-pt shot from 13 ft
10:23.0,Defensive rebound by E. Kanter,,0-2,,
10:17.0,G. Hayward makes 2-pt shot from 17 ft (assist by T. Burke),2,2-2,,
10:00.0,,,2-2,,S. Dalembert misses 2-pt shot from 12 ft
9:59.0,Defensive rebound by A. Burks,,2-2,,
9:40.0,T. Burke makes 3-pt shot from 24 ft (assist by D. Favors),3,5-2,,
9:28.0,,,5-4,2,T. Hardaway makes 2-pt shot from 2 ft (assist by S. Dalembert)
9:28.0,,,5-4,,Shooting foul by D. Favors (drawn by T. Hardaway)
9:28.0,,,5-5,1,T. Hardaway makes free throw 1 of 1
9:12.0,A. Burks makes 3-pt shot from 24 ft (assist by G. Hayward),3,8-5,,
8:55.0,,,8-7,2,S. Larkin makes 2-pt shot at rim
8:32.0,T. Burke makes 2-pt shot from 1 ft,2,10-7,,
8:22.0,,,10-7,,J. Smith misses 2-pt shot from 15 ft
8:21.0,Defensive rebound by D. Favors,,10-7,,
8:04.0,Turnover by T. Burke (lost ball),,10-7,,
7:49.0,,,10-9,2,J. Smith makes 2-pt shot from 19 ft (assist by S. Larkin)
7:32.0,E. Kanter makes 2-pt shot from 1 ft,2,12-9,,
7:19.0,,,12-9,,C. Anthony misses 2-pt shot from 14 ft
7:18.0,Defensive rebound by A. Burks,,12-9,,
7:06.0,A. Burks misses 2-pt shot from 20 ft,,12-9,,
7:05.0,,,12-9,,Defensive rebound by C. Anthony
6:56.0,,,12-9,,C. Anthony misses 2-pt shot from 17 ft
6:55.0,Defensive rebound by G. Hayward,,12-9,,
6:48.0,G. Hayward makes 2-pt shot from 1 ft,2,14-9,,
6:48.0,Shooting foul by J. Smith (drawn by G. Hayward),,14-9,,
6:48.0,G. Hayward misses free throw 1 of 1,,14-9,,
6:48.0,Offensive rebound by E. Kanter,,14-9,,
6:30.0,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke),3,17-9,,
6:09.0,,,17-9,,S. Larkin misses 2-pt shot from 21 ft
6:08.0,Defensive rebound by E. Kanter,,17-9,,
5:59.0,G. Hayward misses 3-pt shot from 23 ft,,17-9,,
5:58.0,,,17-9,,Defensive rebound by S. Dalembert
5:45.0,,,17-9,,T. Hardaway misses 2-pt shot from 22 ft
5:44.0,Defensive rebound by D. Favors,,17-9,,
5:32.0,E. Kanter misses 2-pt shot from 4 ft,,17-9,,
5:31.0,,,17-9,,Defensive rebound by S. Dalembert
5:15.0,,,17-9,,T. Hardaway misses 2-pt shot from 2 ft
5:14.0,Defensive rebound by E. Kanter,,17-9,,
5:04.0,D. Favors makes 2-pt shot from 1 ft (assist by A. Burks),2,19-9,,
5:04.0,Shooting foul by S. Dalembert (drawn by D. Favors),,19-9,,
5:04.0,,,19-9,,New York full timeout
5:04.0,,,19-9,,Q. Acy enters the game for J. Smith
5:04.0,,,19-9,,C. Aldrich enters the game for S. Larkin
5:04.0,,,19-9,,P. Prigioni enters the game for T. Hardaway
5:04.0,,,19-9,,J. Smith enters the game for S. Dalembert
5:04.0,D. Favors misses free throw 1 of 1,,19-9,,
5:03.0,Offensive rebound by G. Hayward,,19-9,,
4:52.0,,,19-9,,Personal foul by C. Aldrich (drawn by G. Hayward)
4:52.0,J. Ingles enters the game for G. Hayward,,19-9,,
4:43.0,Shooting foul by Q. Acy (drawn by D. Favors),,19-9,,
4:43.0,D. Favors makes free throw 1 of 2,1,20-9,,
4:43.0,D. Favors makes free throw 2 of 2,1,21-9,,
