time,Dallas,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Len (M. Ellis gains possession),,,,Jump ball: T. Chandler vs. A. Len (M. Ellis gains possession)
11:37.0,D. Nowitzki makes 2-pt shot from 10 ft (assist by R. Rondo),2,2-0,,
11:11.0,,,2-0,,M. Morris misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by T. Chandler,,2-0,,
11:07.0,Turnover by R. Rondo (bad pass; steal by M. Morris),,2-0,,
11:02.0,,,2-2,2,M. Morris makes 2-pt shot from 1 ft (assist by G. Dragic)
10:48.0,R. Rondo makes 2-pt shot from 17 ft (assist by M. Ellis),2,4-2,,
10:36.0,,,4-4,2,G. Dragic makes 2-pt shot from 19 ft (assist by E. Bledsoe)
10:27.0,C. Parsons misses 3-pt shot from 25 ft,,4-4,,
10:26.0,,,4-4,,Defensive rebound by M. Morris
10:15.0,,,4-4,,M. Morris misses 2-pt shot from 7 ft
10:14.0,,,4-4,,Offensive rebound by E. Bledsoe
10:14.0,,,4-4,,E. Bledsoe misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by C. Parsons,,4-4,,
10:10.0,R. Rondo makes 2-pt shot from 1 ft,2,6-4,,
9:58.0,,,6-6,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
9:52.0,C. Parsons makes 3-pt shot from 24 ft (assist by R. Rondo),3,9-6,,
9:42.0,,,9-6,,A. Len misses 2-pt shot from 21 ft
9:41.0,Defensive rebound by T. Chandler,,9-6,,
9:28.0,R. Rondo misses 2-pt shot from 6 ft,,9-6,,
9:28.0,,,9-6,,Defensive rebound by G. Dragic
9:22.0,,,9-8,2,G. Dragic makes 2-pt shot from 1 ft
9:09.0,D. Nowitzki makes 2-pt shot from 17 ft,2,11-8,,
9:00.0,,,11-8,,Phoenix full timeout
8:47.0,,,11-8,,P. Tucker misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by Team,,11-8,,
8:34.0,M. Ellis misses 2-pt shot from 1 ft (block by A. Len),,11-8,,
8:32.0,,,11-8,,Defensive rebound by A. Len
8:26.0,,,11-8,,Offensive foul by M. Morris
8:26.0,,,11-8,,Turnover by M. Morris (offensive foul)
8:12.0,,,11-8,,Personal foul by M. Morris (drawn by D. Nowitzki)
8:12.0,,,11-8,,M. Morris enters the game for M. Morris
7:59.0,R. Rondo misses 2-pt shot from 4 ft,,11-8,,
7:58.0,,,11-8,,Defensive rebound by P. Tucker
7:46.0,,,11-8,,P. Tucker misses 2-pt shot from 19 ft
7:45.0,Defensive rebound by C. Parsons,,11-8,,
7:36.0,Shooting foul by A. Len (drawn by T. Chandler),,11-8,,
7:36.0,T. Chandler makes free throw 1 of 2,1,12-8,,
7:36.0,C. Villanueva enters the game for D. Nowitzki,,12-8,,
7:36.0,T. Chandler makes free throw 2 of 2,1,13-8,,
