time,Brooklyn,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Mozgov (K. Love gains possession),,,,Jump ball: B. Lopez vs. T. Mozgov (K. Love gains possession)
11:35.0,,,0-0,,L. James misses 3-pt shot from 25 ft
11:33.0,,,0-0,,Offensive rebound by Team
11:33.0,,,0-0,,Turnover by Team (shot clock)
11:19.0,T. Young makes 2-pt shot at rim (assist by J. Johnson),2,2-0,,
11:05.0,,,2-0,,Turnover by K. Love (lost ball)
10:53.0,J. Johnson makes 2-pt shot from 15 ft (assist by B. Lopez),2,4-0,,
10:43.0,,,4-0,,K. Love misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by M. Brown,,4-0,,
10:36.0,Turnover by M. Brown (bad pass),,4-0,,
10:26.0,,,4-2,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
10:14.0,T. Young makes 3-pt shot from 25 ft (assist by D. Williams),3,7-2,,
9:58.0,,,7-4,2,K. Irving makes 2-pt shot from 9 ft
9:47.0,D. Williams makes 2-pt shot at rim,2,9-4,,
9:36.0,,,9-6,2,K. Love makes 2-pt shot from 8 ft (assist by K. Irving)
9:22.0,T. Young misses 2-pt shot from 3 ft,,9-6,,
9:21.0,Offensive rebound by Team,,9-6,,
9:13.0,T. Young makes 2-pt shot at rim (assist by D. Williams),2,11-6,,
8:56.0,,,11-6,,Shooting foul by T. Young (drawn by T. Mozgov)
8:56.0,,,11-6,,T. Mozgov misses free throw 1 of 2
8:56.0,,,11-6,,Offensive rebound by Team
8:56.0,,,11-7,1,T. Mozgov makes free throw 2 of 2
8:38.0,Turnover by T. Young (traveling),,11-7,,
8:25.0,,,11-7,,Turnover by K. Love (bad pass)
8:08.0,B. Lopez misses 2-pt shot from 12 ft,,11-7,,
8:06.0,,,11-7,,Defensive rebound by K. Love
7:58.0,,,11-7,,Turnover by L. James (bad pass; steal by M. Brown)
7:51.0,J. Johnson makes 2-pt shot from 17 ft (assist by M. Brown),2,13-7,,
7:37.0,,,13-7,,Turnover by L. James (bad pass; steal by M. Brown)
7:35.0,Shooting foul by K. Irving (drawn by M. Brown),,13-7,,
7:35.0,M. Brown misses free throw 1 of 2,,13-7,,
7:35.0,Offensive rebound by Team,,13-7,,
