time,New York,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. A. Bogut (D. Green gains possession),,,,Jump ball: L. Amundson vs. A. Bogut (D. Green gains possession)
11:41.0,,,0-0,,A. Bogut misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by A. Shved,,0-0,,
11:27.0,Turnover by A. Shved (bad pass; steal by D. Green),,0-0,,
11:23.0,,,0-0,,Turnover by D. Green (bad pass; steal by A. Shved)
11:15.0,L. Thomas misses 3-pt shot from 22 ft,,0-0,,
11:14.0,Offensive rebound by L. Amundson,,0-0,,
11:10.0,A. Shved makes 3-pt shot from 27 ft (assist by L. Amundson),3,3-0,,
11:02.0,,,3-0,,Shooting foul by L. Amundson (drawn by K. Thompson)
11:02.0,,,3-1,1,K. Thompson makes free throw 1 of 2
11:02.0,,,3-2,1,K. Thompson makes free throw 2 of 2
10:46.0,L. Amundson misses 2-pt shot from 3 ft,,3-2,,
10:45.0,,,3-2,,Defensive rebound by H. Barnes
10:40.0,,,3-2,,K. Thompson misses 2-pt shot from 7 ft
10:39.0,Defensive rebound by L. Galloway,,3-2,,
10:34.0,Shooting foul by S. Curry (drawn by A. Shved),,3-2,,
10:34.0,A. Shved misses free throw 1 of 3,,3-2,,
10:34.0,Offensive rebound by Team,,3-2,,
10:34.0,A. Shved makes free throw 2 of 3,1,4-2,,
10:34.0,A. Shved makes free throw 3 of 3,1,5-2,,
10:16.0,,,5-2,,A. Bogut misses 2-pt shot from 6 ft
10:15.0,Defensive rebound by A. Shved,,5-2,,
9:52.0,A. Shved misses 3-pt shot from 25 ft,,5-2,,
9:51.0,,,5-2,,Defensive rebound by K. Thompson
9:38.0,,,5-5,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson)
9:29.0,Turnover by A. Bargnani (lost ball; steal by D. Green),,5-5,,
9:23.0,,,5-8,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
8:59.0,L. Amundson makes 2-pt shot from 15 ft (assist by L. Thomas),2,7-8,,
8:53.0,,,7-8,,S. Curry misses 3-pt shot from 26 ft
8:52.0,Defensive rebound by A. Bargnani,,7-8,,
8:41.0,A. Bargnani misses 2-pt shot from 18 ft,,7-8,,
8:39.0,,,7-8,,Defensive rebound by A. Bogut
8:36.0,,,7-8,,H. Barnes misses 2-pt shot from 1 ft (block by A. Bargnani)
8:33.0,,,7-8,,Offensive rebound by H. Barnes
8:26.0,,,7-8,,K. Thompson misses 2-pt shot from 12 ft
8:25.0,Defensive rebound by L. Amundson,,7-8,,
8:04.0,L. Galloway makes 3-pt shot from 26 ft,3,10-8,,
7:55.0,,,10-10,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
7:35.0,A. Bargnani misses 2-pt shot from 11 ft,,10-10,,
7:34.0,Offensive rebound by Team,,10-10,,
7:27.0,A. Shved misses 2-pt shot from 14 ft,,10-10,,
7:26.0,,,10-10,,Defensive rebound by D. Green
7:22.0,,,10-10,,Turnover by D. Green (lost ball; steal by A. Shved)
7:14.0,L. Galloway makes 2-pt shot from 20 ft (assist by A. Shved),2,12-10,,
7:07.0,,,12-12,2,H. Barnes makes 2-pt shot from 18 ft
6:43.0,A. Bargnani makes 2-pt shot from 17 ft,2,14-12,,
6:32.0,,,14-12,,S. Curry misses 2-pt shot from 3 ft
6:30.0,Defensive rebound by L. Amundson,,14-12,,
6:17.0,A. Bargnani makes 2-pt shot from 15 ft (assist by L. Galloway),2,16-12,,
6:02.0,,,16-14,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
6:02.0,,,16-14,,Shooting foul by A. Bargnani (drawn by K. Thompson)
6:02.0,,,16-15,1,K. Thompson makes free throw 1 of 1
5:46.0,A. Shved misses 2-pt shot from 15 ft,,16-15,,
5:45.0,Offensive rebound by A. Bargnani,,16-15,,
5:45.0,A. Bargnani misses 2-pt shot at rim,,16-15,,
5:42.0,,,16-15,,Defensive rebound by D. Green
5:36.0,,,16-15,,K. Thompson misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by L. Galloway,,16-15,,
5:31.0,New York full timeout,,16-15,,
5:31.0,C. Aldrich enters the game for L. Amundson,,16-15,,
5:28.0,,,16-15,,Personal foul by D. Green (drawn by A. Bargnani)
5:16.0,L. Galloway misses 2-pt shot from 18 ft,,16-15,,
5:15.0,Offensive rebound by C. Aldrich,,16-15,,
5:13.0,C. Aldrich misses 2-pt shot from 6 ft,,16-15,,
5:11.0,Offensive rebound by A. Shved,,16-15,,
5:09.0,Turnover by A. Shved (bad pass; steal by S. Curry),,16-15,,
4:45.0,,,16-15,,Turnover by Team (shot clock)
4:26.0,A. Shved makes 2-pt shot from 2 ft,2,18-15,,
4:16.0,,,18-18,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
3:58.0,A. Bargnani misses 2-pt shot from 9 ft,,18-18,,
3:57.0,Offensive rebound by C. Aldrich,,18-18,,
3:56.0,Shooting foul by A. Bogut (drawn by C. Aldrich),,18-18,,
3:56.0,C. Aldrich makes free throw 1 of 2,1,19-18,,
3:56.0,,,19-18,,A. Iguodala enters the game for H. Barnes
3:56.0,T. Hardaway enters the game for A. Shved,,19-18,,
