time,San Antonio,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Duncan (C. Joseph gains possession),,,,Jump ball: A. Davis vs. T. Duncan (C. Joseph gains possession)
11:50.0,,,0-0,,Personal foul by O. Asik (drawn by T. Duncan)
11:37.0,C. Joseph makes 2-pt shot from 20 ft (assist by T. Duncan),2,2-0,,
11:21.0,,,2-0,,A. Davis misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by K. Anderson,,2-0,,
11:11.0,Turnover by T. Duncan (bad pass; steal by A. Davis),,2-0,,
10:59.0,,,2-0,,L. Babbitt misses 3-pt shot from 26 ft
10:57.0,Defensive rebound by T. Splitter,,2-0,,
10:39.0,T. Duncan misses 2-pt shot from 18 ft,,2-0,,
10:38.0,,,2-0,,Defensive rebound by J. Holiday
10:30.0,,,2-0,,J. Holiday misses 2-pt shot from 16 ft
10:29.0,Defensive rebound by T. Duncan,,2-0,,
10:16.0,T. Splitter misses 2-pt shot from 4 ft,,2-0,,
10:14.0,,,2-0,,Defensive rebound by A. Davis
10:01.0,,,2-0,,O. Asik misses 2-pt shot from 2 ft (block by T. Duncan)
9:59.0,Defensive rebound by K. Anderson,,2-0,,
9:52.0,T. Duncan makes 2-pt shot from 2 ft (assist by K. Anderson),2,4-0,,
9:27.0,,,4-2,2,J. Holiday makes 2-pt shot from 1 ft (assist by T. Evans)
9:09.0,T. Duncan makes 2-pt shot from 1 ft (assist by D. Green),2,6-2,,
8:58.0,,,6-2,,Turnover by A. Davis (lost ball; steal by T. Duncan)
8:52.0,K. Anderson misses 2-pt shot from 1 ft (block by J. Holiday),,6-2,,
8:50.0,,,6-2,,Defensive rebound by J. Holiday
8:44.0,,,6-4,2,T. Evans makes 2-pt shot from 1 ft
8:25.0,T. Duncan makes 2-pt shot from 4 ft,2,8-4,,
8:14.0,,,8-4,,Turnover by J. Holiday (bad pass)
7:51.0,K. Anderson misses 2-pt shot from 4 ft,,8-4,,
7:48.0,,,8-4,,Defensive rebound by O. Asik
7:41.0,,,8-4,,T. Evans misses 2-pt shot from 2 ft (block by D. Green)
7:39.0,Defensive rebound by D. Green,,8-4,,
7:39.0,Turnover by K. Anderson (traveling),,8-4,,
7:27.0,,,8-4,,J. Holiday misses 2-pt shot from 13 ft
7:26.0,Defensive rebound by K. Anderson,,8-4,,
7:17.0,Turnover by T. Duncan (bad pass),,8-4,,
7:17.0,M. Belinelli enters the game for K. Anderson,,8-4,,
7:06.0,,,8-6,2,O. Asik makes 2-pt shot from 2 ft (assist by J. Holiday)
6:50.0,T. Duncan makes 2-pt shot from 4 ft,2,10-6,,
6:32.0,,,10-8,2,A. Davis makes 2-pt shot from 2 ft (assist by O. Asik)
6:32.0,San Antonio full timeout,,10-8,,
6:07.0,T. Duncan makes 2-pt shot from 14 ft (assist by C. Joseph),2,12-8,,
5:53.0,,,12-8,,Shooting foul by T. Splitter (drawn by A. Davis)
5:53.0,,,12-9,1,A. Davis makes free throw 1 of 2
5:53.0,M. Ginobili enters the game for C. Joseph,,12-9,,
5:53.0,B. Diaw enters the game for T. Splitter,,12-9,,
5:53.0,,,12-10,1,A. Davis makes free throw 2 of 2
