time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (M. Conley gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (M. Conley gains possession)
11:37.0,Z. Randolph makes 2-pt shot from 8 ft (assist by M. Gasol),2,2-0,,
11:17.0,,,2-0,,Turnover by D. Green (offensive foul)
11:17.0,,,2-0,,Offensive foul by D. Green
10:55.0,M. Gasol misses 2-pt shot from 18 ft,,2-0,,
10:54.0,,,2-0,,Defensive rebound by A. Bogut
10:39.0,,,2-2,2,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry)
10:16.0,Z. Randolph misses 2-pt shot from 8 ft,,2-2,,
10:15.0,,,2-2,,Defensive rebound by A. Bogut
10:06.0,,,2-4,2,S. Curry makes 2-pt shot from 22 ft
9:56.0,M. Conley makes 3-pt shot from 26 ft,3,5-4,,
9:39.0,Personal foul by Z. Randolph (drawn by S. Curry),,5-4,,
9:27.0,,,5-4,,D. Green misses 3-pt shot from 27 ft
9:26.0,Defensive rebound by T. Allen,,5-4,,
9:11.0,M. Conley makes 2-pt shot from 12 ft,2,7-4,,
8:55.0,,,7-4,,Turnover by D. Green (bad pass; steal by T. Allen)
8:51.0,Shooting foul by D. Green (drawn by Z. Randolph),,7-4,,
8:51.0,,,7-4,,Technical foul by D. Green (drawn by Z. Randolph)
8:51.0,C. Lee makes technical free throw,1,8-4,,
8:51.0,,,8-4,,D. Lee enters the game for D. Green
8:51.0,Z. Randolph makes free throw 1 of 2,1,9-4,,
8:51.0,Z. Randolph makes free throw 2 of 2,1,10-4,,
8:36.0,,,10-6,2,A. Bogut makes 2-pt shot from 10 ft (assist by S. Curry)
8:17.0,C. Lee misses 2-pt shot from 10 ft (block by A. Bogut),,10-6,,
8:17.0,Offensive rebound by Team,,10-6,,
8:11.0,Z. Randolph misses 2-pt shot from 13 ft,,10-6,,
8:10.0,,,10-6,,Defensive rebound by S. Curry
7:59.0,,,10-6,,Turnover by S. Curry (bad pass; steal by C. Lee)
7:51.0,M. Conley makes 2-pt shot from 16 ft,2,12-6,,
7:42.0,,,12-6,,Shooting foul by M. Gasol (drawn by H. Barnes)
7:42.0,,,12-7,1,H. Barnes makes free throw 1 of 2
7:42.0,,,12-8,1,H. Barnes makes free throw 2 of 2
7:23.0,M. Conley makes 2-pt shot from 15 ft,2,14-8,,
7:06.0,,,14-8,,H. Barnes misses 2-pt shot from 14 ft
7:05.0,Defensive rebound by M. Gasol,,14-8,,
6:48.0,Z. Randolph misses 2-pt shot from 20 ft,,14-8,,
