time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Mozgov (K. Irving gains possession),,,,Jump ball: A. Bogut vs. T. Mozgov (K. Irving gains possession)
11:48.0,,,0-2,2,J. Smith makes 2-pt shot at rim (assist by L. James)
11:29.0,H. Barnes makes 3-pt shot from 22 ft (assist by K. Thompson),3,3-2,,
11:15.0,,,3-2,,Shooting foul by H. Barnes (drawn by L. James)
11:15.0,,,3-3,1,L. James makes free throw 1 of 2
11:15.0,,,3-4,1,L. James makes free throw 2 of 2
11:00.0,D. Green misses 2-pt shot from 16 ft,,3-4,,
10:59.0,,,3-4,,Defensive rebound by T. Mozgov
10:44.0,,,3-4,,T. Mozgov misses 2-pt shot from 9 ft
10:43.0,Defensive rebound by D. Green,,3-4,,
10:39.0,Shooting foul by K. Irving (drawn by D. Green),,3-4,,
10:39.0,D. Green misses free throw 1 of 2,,3-4,,
10:39.0,Offensive rebound by Team,,3-4,,
10:39.0,D. Green makes free throw 2 of 2,1,4-4,,
10:20.0,,,4-6,2,L. James makes 2-pt shot from 6 ft
10:08.0,Turnover by K. Thompson (bad pass; steal by K. Irving),,4-6,,
10:03.0,,,4-8,2,K. Irving makes 2-pt shot at rim
9:54.0,S. Curry makes 3-pt shot from 24 ft (assist by A. Bogut),3,7-8,,
9:32.0,,,7-8,,Shooting foul by K. Thompson (drawn by J. Smith)
9:32.0,,,7-9,1,J. Smith makes free throw 1 of 2
9:32.0,,,7-10,1,J. Smith makes free throw 2 of 2
9:15.0,S. Curry misses 3-pt shot from 26 ft,,7-10,,
9:14.0,,,7-10,,Defensive rebound by K. Love
9:07.0,,,7-10,,L. James misses 2-pt shot from 4 ft (block by A. Bogut)
9:05.0,Defensive rebound by H. Barnes,,7-10,,
8:56.0,H. Barnes misses 3-pt shot from 24 ft,,7-10,,
8:54.0,,,7-10,,Defensive rebound by K. Love
8:43.0,,,7-10,,Shooting foul by D. Green (drawn by L. James)
8:43.0,,,7-10,,L. James misses free throw 1 of 2
8:43.0,,,7-10,,Offensive rebound by Team
8:43.0,,,7-11,1,L. James makes free throw 2 of 2
8:28.0,D. Green misses 3-pt shot from 25 ft,,7-11,,
8:26.0,,,7-11,,Defensive rebound by T. Mozgov
8:15.0,,,7-11,,T. Mozgov misses 2-pt shot from 3 ft (block by A. Bogut)
8:13.0,Defensive rebound by A. Bogut,,7-11,,
8:02.0,A. Bogut makes 2-pt shot from 5 ft (assist by H. Barnes),2,9-11,,
7:48.0,,,9-11,,K. Irving misses 3-pt shot from 23 ft
7:47.0,,,9-11,,Offensive rebound by J. Smith
7:44.0,,,9-11,,K. Love misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by K. Thompson,,9-11,,
7:34.0,Turnover by K. Thompson (lost ball; steal by J. Smith),,9-11,,
7:29.0,,,9-13,2,L. James makes 2-pt shot at rim (assist by J. Smith)
7:21.0,D. Green makes 2-pt shot at rim (assist by H. Barnes),2,11-13,,
6:57.0,,,11-13,,Turnover by L. James (traveling)
6:48.0,A. Bogut misses 2-pt shot from 3 ft (block by T. Mozgov),,11-13,,
6:46.0,Offensive rebound by A. Bogut,,11-13,,
6:41.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Bogut),3,14-13,,
6:23.0,,,14-13,,Turnover by J. Smith (bad pass; steal by S. Curry)
6:15.0,K. Thompson misses 3-pt shot from 24 ft,,14-13,,
6:14.0,,,14-13,,Defensive rebound by T. Mozgov
5:56.0,,,14-15,2,T. Mozgov makes 2-pt shot at rim (assist by J. Smith)
5:42.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,16-15,,
5:39.0,,,16-15,,Cleveland full timeout
5:39.0,,,16-15,,I. Shumpert enters the game for L. James
5:39.0,A. Iguodala enters the game for H. Barnes,,16-15,,
5:30.0,,,16-15,,Shooting foul by D. Green (drawn by K. Love)
5:30.0,,,16-16,1,K. Love makes free throw 1 of 2
5:30.0,D. Lee enters the game for D. Green,,16-16,,
5:30.0,,,16-17,1,K. Love makes free throw 2 of 2
5:07.0,Turnover by A. Bogut (3 sec),,16-17,,
4:49.0,,,16-17,,K. Love misses 2-pt shot from 11 ft
4:47.0,Defensive rebound by S. Curry,,16-17,,
4:42.0,S. Curry makes 3-pt shot from 25 ft,3,19-17,,
4:29.0,,,19-20,3,K. Irving makes 3-pt shot from 24 ft
4:19.0,Shooting foul by T. Mozgov (drawn by D. Lee),,19-20,,
4:19.0,D. Lee makes free throw 1 of 2,1,20-20,,
4:19.0,,,20-20,,T. Thompson enters the game for T. Mozgov
4:19.0,D. Lee makes free throw 2 of 2,1,21-20,,
4:05.0,,,21-20,,Shooting foul by A. Bogut (drawn by K. Irving)
4:05.0,,,21-21,1,K. Irving makes free throw 1 of 2
4:05.0,M. Speights enters the game for A. Bogut,,21-21,,
4:05.0,,,21-22,1,K. Irving makes free throw 2 of 2
3:51.0,D. Lee makes 2-pt shot from 1 ft (assist by S. Curry),2,23-22,,
3:38.0,,,23-22,,K. Irving misses 2-pt shot from 5 ft
3:37.0,Defensive rebound by S. Curry,,23-22,,
3:32.0,Shooting foul by J. Smith (drawn by S. Curry),,23-22,,
3:32.0,S. Curry makes free throw 1 of 3,1,24-22,,
3:32.0,S. Curry makes free throw 2 of 3,1,25-22,,
3:32.0,L. Barbosa enters the game for K. Thompson,,25-22,,
3:32.0,S. Curry makes free throw 3 of 3,1,26-22,,
3:12.0,,,26-22,,J. Smith misses 2-pt shot from 9 ft
3:10.0,Defensive rebound by Team,,26-22,,
2:54.0,L. Barbosa misses 3-pt shot from 25 ft,,26-22,,
2:53.0,,,26-22,,Defensive rebound by T. Thompson
2:46.0,,,26-22,,Shooting foul by S. Curry (drawn by K. Irving)
2:46.0,Golden State full timeout,,26-22,,
2:46.0,,,26-22,,L. James enters the game for J. Smith
2:46.0,,,26-23,1,K. Irving makes free throw 1 of 2
2:46.0,,,26-24,1,K. Irving makes free throw 2 of 2
2:32.0,Shooting foul by K. Love (drawn by D. Lee),,26-24,,
2:32.0,D. Lee misses free throw 1 of 2,,26-24,,
2:32.0,Offensive rebound by Team,,26-24,,
2:32.0,D. Lee makes free throw 2 of 2,1,27-24,,
2:22.0,,,27-26,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
2:07.0,D. Lee makes 2-pt shot from 1 ft (assist by M. Speights),2,29-26,,
1:53.0,,,29-26,,K. Irving misses 3-pt shot from 25 ft
1:51.0,,,29-26,,Offensive rebound by T. Thompson
1:48.0,,,29-26,,T. Thompson misses 2-pt shot from 2 ft
1:46.0,,,29-26,,Offensive rebound by T. Thompson
1:46.0,,,29-26,,T. Thompson misses 2-pt shot at rim
1:44.0,Defensive rebound by A. Iguodala,,29-26,,
1:30.0,S. Curry misses 3-pt shot from 24 ft,,29-26,,
1:29.0,,,29-26,,Defensive rebound by K. Irving
1:28.0,,,29-26,,Turnover by K. Irving (bad pass)
1:28.0,,,29-26,,T. Mozgov enters the game for K. Love
1:11.0,M. Speights misses 2-pt shot from 15 ft,,29-26,,
1:09.0,,,29-26,,Defensive rebound by L. James
0:57.0,,,29-28,2,L. James makes 2-pt shot from 1 ft
0:47.0,D. Lee makes 2-pt shot from 20 ft (assist by A. Iguodala),2,31-28,,
0:37.0,,,31-30,2,L. James makes 2-pt shot at rim
0:29.0,D. Lee makes 2-pt shot from 1 ft (assist by S. Curry),2,33-30,,
0:10.0,,,33-30,,Shooting foul by M. Speights (drawn by L. James)
0:10.0,,,33-31,1,L. James makes free throw 1 of 2
0:10.0,,,33-31,,M. Dellavedova enters the game for K. Irving
0:10.0,K. Thompson enters the game for M. Speights,,33-31,,
0:10.0,,,33-31,,J. Smith enters the game for T. Mozgov
0:10.0,,,33-32,1,L. James makes free throw 2 of 2
0:02.0,S. Curry misses 2-pt shot from 21 ft,,33-32,,
0:01.0,Offensive rebound by D. Lee,,33-32,,
0:01.0,D. Lee misses 2-pt shot at rim,,33-32,,
0:00.0,,,33-32,,Defensive rebound by T. Thompson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by D. Lee (lost ball; steal by T. Mozgov),,33-32,,
11:22.0,,,33-32,,Turnover by L. James (bad pass; steal by M. Speights)
11:18.0,L. Barbosa makes 2-pt shot from 1 ft (assist by M. Speights),2,35-32,,
10:49.0,,,35-32,,M. Dellavedova misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by S. Livingston,,35-32,,
10:43.0,Turnover by L. Barbosa (bad pass),,35-32,,
10:28.0,,,35-32,,L. James misses 2-pt shot from 20 ft
10:26.0,,,35-32,,Offensive rebound by I. Shumpert
10:16.0,,,35-35,3,L. James makes 3-pt shot from 24 ft
9:57.0,S. Livingston misses 2-pt shot from 12 ft,,35-35,,
9:54.0,,,35-35,,Defensive rebound by T. Mozgov
9:35.0,,,35-35,,I. Shumpert misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by D. Lee,,35-35,,
9:27.0,D. Lee makes 2-pt shot at rim (assist by A. Iguodala),2,37-35,,
9:08.0,,,37-37,2,T. Mozgov makes 2-pt shot from 18 ft (assist by M. Dellavedova)
8:55.0,L. Barbosa misses 2-pt shot from 6 ft,,37-37,,
8:52.0,,,37-37,,Defensive rebound by T. Mozgov
8:42.0,,,37-37,,Shooting foul by A. Iguodala (drawn by L. James)
8:42.0,,,37-39,2,L. James makes 2-pt shot at rim
8:42.0,Official timeout,,37-39,,
8:42.0,D. Green enters the game for D. Lee,,37-39,,
8:42.0,A. Bogut enters the game for M. Speights,,37-39,,
8:42.0,,,37-39,,K. Love enters the game for T. Thompson
8:42.0,,,37-40,1,L. James makes free throw 1 of 1
8:23.0,S. Livingston misses 2-pt shot from 6 ft,,37-40,,
8:22.0,,,37-40,,Defensive rebound by L. James
8:11.0,,,37-43,3,L. James makes 3-pt shot from 24 ft
7:58.0,L. Barbosa misses 3-pt shot from 23 ft,,37-43,,
7:56.0,Offensive rebound by D. Green,,37-43,,
7:40.0,A. Iguodala makes 2-pt shot from 11 ft,2,39-43,,
7:27.0,Personal foul by A. Iguodala (drawn by L. James),,39-43,,
