time,Cleveland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Varejao (K. Irving gains possession),,,,Jump ball: A. Davis vs. A. Varejao (K. Irving gains possession)
11:42.0,A. Varejao makes 2-pt shot from 2 ft (assist by K. Love),2,2-0,,
11:20.0,,,2-2,2,J. Holiday makes 2-pt shot from 9 ft
11:00.0,Shooting foul by J. Holiday (drawn by A. Varejao),,2-2,,
11:00.0,A. Varejao makes free throw 1 of 2,1,3-2,,
11:00.0,A. Varejao misses free throw 2 of 2,,3-2,,
10:59.0,,,3-2,,Defensive rebound by L. Babbitt
10:46.0,,,3-4,2,A. Davis makes 2-pt shot from 14 ft (assist by T. Evans)
10:46.0,,,3-4,,Shooting foul by A. Varejao (drawn by A. Davis)
10:46.0,,,3-4,,A. Davis misses free throw 1 of 1
10:45.0,Defensive rebound by A. Varejao,,3-4,,
10:30.0,L. James makes 2-pt shot at rim (assist by S. Marion),2,5-4,,
10:18.0,,,5-6,2,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday)
9:57.0,L. James makes 2-pt shot from 2 ft,2,7-6,,
9:45.0,,,7-8,2,A. Davis makes 2-pt shot from 16 ft
9:45.0,,,7-8,,Shooting foul by A. Varejao (drawn by A. Davis)
9:45.0,T. Thompson enters the game for A. Varejao,,7-8,,
9:45.0,,,7-8,,A. Davis misses free throw 1 of 1
9:44.0,Defensive rebound by K. Love,,7-8,,
9:30.0,L. James misses 2-pt shot from 13 ft,,7-8,,
9:29.0,,,7-8,,Defensive rebound by A. Davis
9:14.0,,,7-11,3,T. Evans makes 3-pt shot from 25 ft (assist by J. Holiday)
8:58.0,Shooting foul by J. Holiday (drawn by K. Love),,7-11,,
8:58.0,K. Love makes free throw 1 of 3,1,8-11,,
8:58.0,K. Love makes free throw 2 of 3,1,9-11,,
8:58.0,,,9-11,,A. Rivers enters the game for J. Holiday
8:58.0,K. Love makes free throw 3 of 3,1,10-11,,
8:41.0,,,10-13,2,A. Rivers makes 2-pt shot from 1 ft (assist by T. Evans)
8:27.0,K. Love makes 2-pt shot from 15 ft (assist by K. Irving),2,12-13,,
8:07.0,,,12-13,,O. Asik misses 2-pt shot from 1 ft (block by T. Thompson)
8:05.0,Defensive rebound by T. Thompson,,12-13,,
8:02.0,L. James makes 2-pt shot from 2 ft,2,14-13,,
8:02.0,Shooting foul by L. Babbitt (drawn by L. James),,14-13,,
8:02.0,L. James makes free throw 1 of 1,1,15-13,,
7:48.0,,,15-13,,T. Evans misses 2-pt shot from 1 ft
7:45.0,Defensive rebound by T. Thompson,,15-13,,
7:33.0,T. Thompson misses 2-pt shot from 2 ft,,15-13,,
7:32.0,,,15-13,,Defensive rebound by O. Asik
7:25.0,,,15-13,,Shooting foul by K. Irving (drawn by A. Rivers)
7:25.0,,,15-14,1,A. Rivers makes free throw 1 of 2
7:25.0,,,15-15,1,A. Rivers makes free throw 2 of 2
7:15.0,L. James makes 2-pt shot from 14 ft,2,17-15,,
6:52.0,,,17-17,2,A. Davis makes 2-pt shot from 6 ft
6:37.0,S. Marion misses 3-pt shot from 23 ft,,17-17,,
6:36.0,,,17-17,,Defensive rebound by O. Asik
6:11.0,,,17-17,,A. Rivers misses 2-pt shot from 13 ft
6:10.0,Defensive rebound by S. Marion,,17-17,,
6:04.0,K. Irving misses 2-pt shot from 3 ft,,17-17,,
6:02.0,,,17-17,,Defensive rebound by O. Asik
5:50.0,,,17-17,,T. Evans misses 2-pt shot from 2 ft (block by K. Love)
5:47.0,Defensive rebound by T. Thompson,,17-17,,
5:44.0,K. Irving misses 3-pt shot from 25 ft,,17-17,,
5:44.0,Offensive rebound by Team,,17-17,,
5:44.0,,,17-17,,Loose ball foul by O. Asik (drawn by S. Marion)
5:44.0,,,17-17,,New Orleans full timeout
5:30.0,,,17-17,,Def 3 sec tech foul by T. Evans
5:30.0,K. Love makes technical free throw,1,18-17,,
5:30.0,,,18-17,,R. Anderson enters the game for A. Davis
5:17.0,L. James misses 2-pt shot from 16 ft,,18-17,,
5:16.0,,,18-17,,Defensive rebound by A. Rivers
5:06.0,,,18-17,,L. Babbitt misses 2-pt shot from 18 ft
5:05.0,,,18-17,,Offensive rebound by O. Asik
5:04.0,,,18-17,,Shooting foul by T. Thompson (drawn by O. Asik)
5:04.0,,,18-18,1,O. Asik makes free throw 1 of 2
5:04.0,,,18-18,,D. Cunningham enters the game for L. Babbitt
5:04.0,D. Waiters enters the game for S. Marion,,18-18,,
5:04.0,,,18-19,1,O. Asik makes free throw 2 of 2
4:52.0,L. James makes 2-pt shot from 19 ft,2,20-19,,
4:31.0,,,20-21,2,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Evans)
4:08.0,D. Waiters misses 2-pt shot from 18 ft,,20-21,,
4:07.0,Offensive rebound by K. Love,,20-21,,
4:03.0,L. James makes 2-pt shot at rim,2,22-21,,
3:49.0,M. Dellavedova enters the game for K. Irving,,22-21,,
3:39.0,,,22-23,2,T. Evans makes 2-pt shot from 3 ft
3:39.0,Shooting block foul by K. Love (drawn by T. Evans),,22-23,,
3:39.0,,,22-23,,T. Evans misses free throw 1 of 1
3:37.0,,,22-23,,Offensive rebound by D. Cunningham
3:25.0,,,22-23,,Turnover by A. Rivers (bad pass; steal by D. Waiters)
3:16.0,Shooting foul by A. Rivers (drawn by K. Love),,22-23,,
3:16.0,K. Love misses free throw 1 of 2,,22-23,,
3:16.0,Offensive rebound by Team,,22-23,,
3:16.0,,,22-23,,A. Ajinca enters the game for O. Asik
3:16.0,K. Love makes free throw 2 of 2,1,23-23,,
2:54.0,,,23-23,,R. Anderson misses 2-pt shot from 16 ft
2:53.0,Defensive rebound by L. James,,23-23,,
2:38.0,Shooting foul by D. Cunningham (drawn by K. Love),,23-23,,
2:38.0,Cleveland full timeout,,23-23,,
2:38.0,K. Love makes free throw 1 of 2,1,24-23,,
2:38.0,K. Love makes free throw 2 of 2,1,25-23,,
2:25.0,,,25-26,3,R. Anderson makes 3-pt shot from 25 ft (assist by D. Cunningham)
2:07.0,L. James misses 2-pt shot from 1 ft (block by D. Cunningham),,25-26,,
2:06.0,,,25-26,,Defensive rebound by D. Cunningham
2:03.0,,,25-26,,Turnover by T. Evans (lost ball; steal by K. Love)
2:03.0,Shooting foul by D. Cunningham (drawn by K. Love),,25-26,,
2:03.0,K. Love makes free throw 1 of 2,1,26-26,,
2:03.0,K. Love makes free throw 2 of 2,1,27-26,,
1:39.0,,,27-28,2,T. Evans makes 2-pt shot from 1 ft
1:29.0,,,27-28,,Personal foul by A. Rivers (drawn by L. James)
1:29.0,L. James makes free throw 1 of 2,1,28-28,,
1:29.0,,,28-28,,L. Babbitt enters the game for D. Cunningham
1:29.0,L. James misses free throw 2 of 2,,28-28,,
1:28.0,,,28-28,,Defensive rebound by A. Ajinca
1:20.0,Personal foul by D. Waiters (drawn by T. Evans),,28-28,,
1:20.0,,,28-29,1,T. Evans makes free throw 1 of 2
1:20.0,,,28-29,,J. Fredette enters the game for A. Rivers
1:20.0,,,28-29,,T. Evans misses free throw 2 of 2
1:19.0,Defensive rebound by K. Love,,28-29,,
1:02.0,L. James makes 2-pt shot from 20 ft,2,30-29,,
0:38.0,,,30-29,,T. Evans misses 2-pt shot from 2 ft (block by L. James)
0:37.0,,,30-29,,Offensive rebound by R. Anderson
0:37.0,,,30-29,,Shooting foul by K. Love (drawn by R. Anderson)
0:37.0,,,30-30,1,R. Anderson makes free throw 1 of 2
0:37.0,J. Jones enters the game for K. Love,,30-30,,
0:37.0,,,30-31,1,R. Anderson makes free throw 2 of 2
0:32.0,L. James makes 2-pt shot from 2 ft,2,32-31,,
0:32.0,Shooting foul by A. Ajinca (drawn by L. James),,32-31,,
0:32.0,L. James makes free throw 1 of 1,1,33-31,,
0:15.0,,,33-33,2,T. Evans makes 2-pt shot from 2 ft
0:04.0,Turnover by L. James (lost ball; steal by R. Anderson),,33-33,,
0:00.0,,,33-33,,T. Evans misses 3-pt shot from 47 ft
0:00.0,,,33-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,33-33,,Technical foul by T. Evans
12:00.0,,,33-33,,Technical foul by Team
12:00.0,L. James makes technical free throw,1,34-33,,
12:00.0,L. James makes technical free throw,1,35-33,,
12:00.0,K. Irving enters the game for L. James,,35-33,,
11:43.0,,,35-33,,T. Evans misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by K. Irving,,35-33,,
11:22.0,T. Thompson makes 2-pt shot from 2 ft (assist by K. Irving),2,37-33,,
11:07.0,,,37-33,,R. Anderson misses 2-pt shot from 17 ft
11:06.0,Defensive rebound by J. Jones,,37-33,,
10:58.0,D. Waiters misses 2-pt shot from 19 ft,,37-33,,
10:57.0,,,37-33,,Defensive rebound by Team
10:46.0,,,37-35,2,J. Fredette makes 2-pt shot from 2 ft
10:30.0,K. Irving misses 2-pt shot from 20 ft,,37-35,,
10:29.0,,,37-35,,Defensive rebound by L. Babbitt
10:18.0,,,37-37,2,J. Fredette makes 2-pt shot from 2 ft
9:56.0,K. Irving misses 2-pt shot at rim,,37-37,,
9:55.0,Offensive rebound by T. Thompson,,37-37,,
9:55.0,T. Thompson misses 2-pt shot from 1 ft,,37-37,,
9:53.0,,,37-37,,Defensive rebound by J. Fredette
9:47.0,,,37-37,,J. Fredette misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by J. Jones,,37-37,,
9:35.0,M. Dellavedova misses 3-pt shot from 26 ft,,37-37,,
9:34.0,,,37-37,,Defensive rebound by T. Evans
9:31.0,Personal foul by M. Dellavedova (drawn by T. Evans),,37-37,,
9:31.0,,,37-37,,J. Holiday enters the game for L. Babbitt
9:31.0,A. Varejao enters the game for T. Thompson,,37-37,,
9:19.0,,,37-40,3,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans)
9:01.0,D. Waiters makes 2-pt shot from 18 ft,2,39-40,,
8:42.0,,,39-42,2,J. Holiday makes 2-pt shot from 2 ft
8:39.0,Official timeout,,39-42,,
8:39.0,K. Love enters the game for J. Jones,,39-42,,
8:22.0,A. Varejao misses 2-pt shot from 4 ft,,39-42,,
8:22.0,,,39-42,,Defensive rebound by J. Withey
8:07.0,,,39-42,,J. Withey misses 2-pt shot from 1 ft
8:06.0,Defensive rebound by A. Varejao,,39-42,,
7:49.0,K. Irving misses 2-pt shot from 18 ft,,39-42,,
7:48.0,Offensive rebound by M. Dellavedova,,39-42,,
7:42.0,M. Dellavedova misses 3-pt shot from 22 ft,,39-42,,
7:41.0,,,39-42,,Defensive rebound by J. Holiday
7:28.0,,,39-44,2,J. Withey makes 2-pt shot from 2 ft (assist by T. Evans)
7:28.0,,,39-44,,Shooting foul by D. Waiters (drawn by J. Withey)
7:28.0,L. James enters the game for M. Dellavedova,,39-44,,
7:28.0,S. Marion enters the game for D. Waiters,,39-44,,
7:28.0,,,39-44,,J. Withey misses free throw 1 of 1
7:28.0,Defensive rebound by L. James,,39-44,,
7:12.0,K. Love misses 2-pt shot from 17 ft,,39-44,,
7:11.0,,,39-44,,Defensive rebound by J. Withey
7:05.0,,,39-44,,T. Evans misses 2-pt shot from 1 ft
7:04.0,Defensive rebound by K. Love,,39-44,,
6:59.0,S. Marion makes 2-pt shot at rim (assist by L. James),2,41-44,,
