time,LA Lakers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. A. Len (W. Ellington gains possession),,,,Jump ball: J. Hill vs. A. Len (W. Ellington gains possession)
11:42.0,W. Johnson makes 2-pt shot from 17 ft (assist by J. Hill),2,2-0,,
11:16.0,,,2-0,,Shooting foul by E. Davis (drawn by A. Len)
11:16.0,,,2-1,1,A. Len makes free throw 1 of 2
11:16.0,,,2-2,1,A. Len makes free throw 2 of 2
11:05.0,,,2-2,,Def 3 sec tech foul by M. Morris
11:05.0,W. Johnson makes technical free throw,1,3-2,,
10:52.0,J. Hill misses 2-pt shot from 19 ft,,3-2,,
10:51.0,,,3-2,,Defensive rebound by P. Tucker
10:43.0,,,3-2,,P. Tucker misses 3-pt shot from 24 ft
10:41.0,,,3-2,,Offensive rebound by G. Dragic
10:37.0,,,3-4,2,G. Dragic makes 2-pt shot from 16 ft
10:18.0,J. Hill misses 2-pt shot from 7 ft,,3-4,,
10:15.0,,,3-4,,Defensive rebound by A. Len
10:05.0,,,3-4,,Shooting foul by J. Hill (drawn by A. Len)
10:05.0,,,3-5,1,A. Len makes free throw 1 of 2
10:05.0,,,3-6,1,A. Len makes free throw 2 of 2
9:48.0,,,3-6,,Personal foul by E. Bledsoe (drawn by J. Lin)
9:42.0,J. Lin misses 2-pt shot from 1 ft,,3-6,,
9:40.0,Offensive rebound by E. Davis,,3-6,,
9:40.0,E. Davis misses 2-pt shot from 2 ft,,3-6,,
9:38.0,Offensive rebound by E. Davis,,3-6,,
9:38.0,E. Davis misses 2-pt shot from 1 ft,,3-6,,
9:38.0,Offensive rebound by E. Davis,,3-6,,
9:38.0,Shooting foul by M. Morris (drawn by E. Davis),,3-6,,
9:38.0,E. Davis makes free throw 1 of 2,1,4-6,,
9:38.0,E. Davis makes free throw 2 of 2,1,5-6,,
9:23.0,,,5-6,,M. Morris misses 2-pt shot from 13 ft
9:21.0,Defensive rebound by J. Lin,,5-6,,
9:06.0,Turnover by J. Hill (lost ball; steal by A. Len),,5-6,,
9:01.0,,,5-6,,G. Dragic misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by E. Davis,,5-6,,
8:52.0,J. Lin makes 3-pt shot from 25 ft,3,8-6,,
8:39.0,,,8-8,2,G. Dragic makes 2-pt shot at rim (assist by M. Morris)
8:17.0,Turnover by J. Hill (lost ball; steal by P. Tucker),,8-8,,
8:12.0,,,8-10,2,E. Bledsoe makes 2-pt shot from 1 ft
7:48.0,J. Hill makes 2-pt shot from 8 ft (assist by W. Johnson),2,10-10,,
7:41.0,,,10-10,,M. Morris misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by E. Davis,,10-10,,
7:31.0,Shooting foul by A. Len (drawn by E. Davis),,10-10,,
7:31.0,E. Davis misses free throw 1 of 2,,10-10,,
7:31.0,Offensive rebound by Team,,10-10,,
7:31.0,E. Davis misses free throw 2 of 2,,10-10,,
7:29.0,,,10-10,,Defensive rebound by A. Len
7:09.0,,,10-10,,Turnover by G. Dragic (bad pass)
6:57.0,E. Davis misses 2-pt shot from 3 ft (block by A. Len),,10-10,,
6:55.0,,,10-10,,Defensive rebound by G. Dragic
6:53.0,,,10-12,2,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe)
6:53.0,,,10-12,,Shooting foul by J. Lin (drawn by G. Dragic)
6:53.0,,,10-12,,G. Dragic misses free throw 1 of 1
6:52.0,Defensive rebound by E. Davis,,10-12,,
6:40.0,J. Lin makes 2-pt shot at rim,2,12-12,,
6:20.0,,,12-14,2,M. Morris makes 2-pt shot from 8 ft
6:13.0,J. Lin misses 2-pt shot from 1 ft (block by A. Len),,12-14,,
6:13.0,Offensive rebound by Team,,12-14,,
6:04.0,W. Ellington misses 2-pt shot from 15 ft,,12-14,,
6:01.0,,,12-14,,Defensive rebound by A. Len
5:46.0,,,12-14,,P. Tucker misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by W. Ellington,,12-14,,
5:38.0,W. Johnson misses 3-pt shot from 23 ft,,12-14,,
5:36.0,Offensive rebound by E. Davis,,12-14,,
5:33.0,W. Johnson makes 3-pt shot from 24 ft (assist by E. Davis),3,15-14,,
5:27.0,,,15-14,,Phoenix full timeout
5:27.0,,,15-14,,M. Morris enters the game for P. Tucker
5:27.0,,,15-14,,M. Plumlee enters the game for A. Len
5:27.0,C. Boozer enters the game for E. Davis,,15-14,,
5:27.0,T. Black enters the game for J. Hill,,15-14,,
5:20.0,,,15-14,,Shooting foul by J. Lin (drawn by E. Bledsoe)
5:20.0,,,15-15,1,E. Bledsoe makes free throw 1 of 2
5:20.0,J. Clarkson enters the game for J. Lin,,15-15,,
5:20.0,,,15-16,1,E. Bledsoe makes free throw 2 of 2
5:03.0,W. Ellington misses 3-pt shot from 25 ft,,15-16,,
5:00.0,,,15-16,,Defensive rebound by M. Morris
4:52.0,,,15-16,,M. Morris misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by W. Johnson,,15-16,,
4:36.0,Turnover by W. Johnson (discontinued dribble),,15-16,,
4:36.0,,,15-16,,I. Thomas enters the game for G. Dragic
4:25.0,,,15-16,,M. Morris misses 2-pt shot from 17 ft
4:23.0,Defensive rebound by C. Boozer,,15-16,,
4:01.0,Shooting foul by M. Morris (drawn by T. Black),,15-16,,
4:01.0,T. Black makes free throw 1 of 2,1,16-16,,
4:01.0,,,16-16,,B. Wright enters the game for M. Morris
4:01.0,N. Young enters the game for W. Ellington,,16-16,,
4:01.0,T. Black misses free throw 2 of 2,,16-16,,
4:00.0,Offensive rebound by C. Boozer,,16-16,,
3:45.0,,,16-16,,Personal foul by E. Bledsoe (drawn by J. Clarkson)
3:45.0,J. Clarkson makes free throw 1 of 2,1,17-16,,
3:45.0,,,17-16,,G. Green enters the game for E. Bledsoe
3:45.0,J. Clarkson makes free throw 2 of 2,1,18-16,,
3:30.0,,,18-19,3,G. Green makes 3-pt shot from 25 ft (assist by I. Thomas)
3:16.0,,,18-19,,Personal foul by G. Green (drawn by N. Young)
3:16.0,N. Young makes free throw 1 of 2,1,19-19,,
3:16.0,R. Kelly enters the game for W. Johnson,,19-19,,
3:16.0,N. Young makes free throw 2 of 2,1,20-19,,
3:02.0,,,20-19,,M. Morris misses 2-pt shot from 1 ft
2:59.0,Defensive rebound by N. Young,,20-19,,
2:50.0,R. Kelly makes 3-pt shot from 25 ft (assist by N. Young),3,23-19,,
2:33.0,,,23-21,2,M. Plumlee makes 2-pt shot from 1 ft
2:16.0,C. Boozer misses 2-pt shot from 6 ft,,23-21,,
2:14.0,,,23-21,,Defensive rebound by G. Green
2:08.0,,,23-21,,G. Green misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by T. Black,,23-21,,
2:00.0,N. Young makes 2-pt shot from 15 ft,2,25-21,,
1:42.0,,,25-24,3,M. Morris makes 3-pt shot from 25 ft (assist by I. Thomas)
1:24.0,R. Kelly misses 2-pt shot from 8 ft,,25-24,,
1:22.0,,,25-24,,Defensive rebound by B. Wright
1:17.0,,,25-24,,I. Thomas misses 2-pt shot from 16 ft
1:14.0,Defensive rebound by C. Boozer,,25-24,,
1:03.0,C. Boozer misses 2-pt shot from 6 ft,,25-24,,
1:01.0,,,25-24,,Defensive rebound by B. Wright
0:57.0,,,25-26,2,I. Thomas makes 2-pt shot at rim
0:37.0,Shooting foul by B. Wright (drawn by C. Boozer),,25-26,,
0:37.0,LA Lakers full timeout,,25-26,,
0:37.0,C. Boozer makes free throw 1 of 2,1,26-26,,
0:37.0,C. Boozer misses free throw 2 of 2,,26-26,,
0:36.0,,,26-26,,Defensive rebound by M. Plumlee
0:28.0,,,26-26,,Turnover by I. Thomas (bad pass)
0:05.0,J. Clarkson misses 3-pt shot from 25 ft,,26-26,,
0:03.0,,,26-26,,Defensive rebound by M. Plumlee
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,26-28,2,G. Green makes 2-pt shot at rim
11:10.0,C. Boozer makes 2-pt shot from 14 ft,2,28-28,,
10:53.0,,,28-31,3,I. Thomas makes 3-pt shot from 26 ft (assist by M. Morris)
10:30.0,Shooting foul by M. Plumlee (drawn by R. Kelly),,28-31,,
10:30.0,R. Kelly makes free throw 1 of 2,1,29-31,,
10:30.0,,,29-31,,G. Dragic enters the game for M. Plumlee
10:30.0,R. Kelly misses free throw 2 of 2,,29-31,,
10:29.0,,,29-31,,Defensive rebound by G. Green
10:19.0,,,29-31,,M. Morris misses 2-pt shot from 17 ft
10:17.0,Defensive rebound by T. Black,,29-31,,
9:57.0,T. Black misses 2-pt shot from 4 ft,,29-31,,
9:54.0,Offensive rebound by J. Clarkson,,29-31,,
9:54.0,J. Clarkson makes 2-pt shot at rim,2,31-31,,
9:47.0,,,31-31,,Turnover by G. Green (bad pass; steal by N. Young)
9:39.0,T. Black makes 2-pt shot from 1 ft (assist by N. Young),2,33-31,,
9:25.0,,,33-31,,G. Green misses 2-pt shot from 8 ft (block by T. Black)
9:25.0,,,33-31,,Offensive rebound by Team
9:23.0,,,33-33,2,G. Dragic makes 2-pt shot from 15 ft (assist by G. Green)
9:03.0,Shooting foul by M. Morris (drawn by C. Boozer),,33-33,,
9:03.0,C. Boozer misses free throw 1 of 2,,33-33,,
9:03.0,Offensive rebound by Team,,33-33,,
9:03.0,,,33-33,,P. Tucker enters the game for M. Morris
9:03.0,C. Boozer misses free throw 2 of 2,,33-33,,
9:02.0,,,33-33,,Defensive rebound by B. Wright
8:50.0,,,33-33,,G. Green misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by J. Clarkson,,33-33,,
8:40.0,J. Clarkson misses 2-pt shot from 4 ft (block by B. Wright),,33-33,,
8:37.0,,,33-33,,Defensive rebound by G. Dragic
8:35.0,,,33-35,2,G. Dragic makes 2-pt shot at rim
8:26.0,Turnover by N. Young (lost ball; steal by G. Green),,33-35,,
8:21.0,,,33-35,,B. Wright misses 2-pt shot from 5 ft
8:16.0,Defensive rebound by N. Young,,33-35,,
8:07.0,N. Young misses 3-pt shot from 25 ft,,33-35,,
