time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. R. Gobert (S. Ibaka gains possession)
11:42.0,,,0-0,,A. Roberson misses 3-pt shot from 22 ft
11:41.0,Defensive rebound by G. Hayward,,0-0,,
11:23.0,D. Favors makes 2-pt shot at rim,2,2-0,,
11:01.0,,,2-3,3,R. Westbrook makes 3-pt shot from 24 ft (assist by K. Durant)
10:38.0,Turnover by T. Burke (bad pass; steal by S. Ibaka),,2-3,,
10:28.0,,,2-5,2,K. Durant makes 2-pt shot from 8 ft
10:12.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke),2,4-5,,
9:57.0,Violation by D. Favors (kicked ball),,4-5,,
9:52.0,,,4-5,,Shooting foul by R. Gobert (drawn by R. Westbrook)
9:52.0,,,4-6,1,R. Westbrook makes free throw 1 of 2
9:52.0,,,4-7,1,R. Westbrook makes free throw 2 of 2
9:37.0,T. Burke makes 3-pt shot from 25 ft (assist by R. Gobert),3,7-7,,
9:21.0,,,7-7,,Turnover by S. Adams (bad pass; steal by T. Burke)
9:15.0,Turnover by T. Burke (bad pass; steal by A. Roberson),,7-7,,
8:58.0,,,7-7,,S. Ibaka misses 2-pt shot from 18 ft
8:57.0,Defensive rebound by T. Burke,,7-7,,
8:45.0,G. Hayward misses 2-pt shot from 1 ft (block by S. Adams),,7-7,,
8:43.0,,,7-7,,Defensive rebound by S. Ibaka
8:41.0,,,7-7,,Shooting foul by J. Ingles (drawn by R. Westbrook)
8:41.0,,,7-8,1,R. Westbrook makes free throw 1 of 2
8:41.0,,,7-9,1,R. Westbrook makes free throw 2 of 2
8:33.0,,,7-9,,Personal foul by K. Durant (drawn by T. Burke)
8:20.0,D. Favors misses 2-pt shot from 14 ft,,7-9,,
8:18.0,Offensive rebound by R. Gobert,,7-9,,
8:18.0,R. Gobert makes 2-pt shot from 1 ft,2,9-9,,
8:01.0,,,9-9,,Turnover by K. Durant (bad pass; steal by R. Gobert)
7:56.0,Turnover by D. Favors (bad pass; steal by A. Roberson),,9-9,,
7:50.0,,,9-9,,S. Adams misses 2-pt shot at rim (block by R. Gobert)
7:49.0,Defensive rebound by R. Gobert,,9-9,,
7:38.0,G. Hayward misses 3-pt shot from 24 ft,,9-9,,
7:37.0,,,9-9,,Defensive rebound by K. Durant
7:34.0,,,9-11,2,A. Roberson makes 2-pt shot at rim (assist by K. Durant)
7:10.0,G. Hayward makes 2-pt shot from 8 ft,2,11-11,,
6:57.0,,,11-11,,S. Ibaka misses 2-pt shot from 18 ft
6:56.0,Defensive rebound by J. Ingles,,11-11,,
6:42.0,D. Favors makes 2-pt shot at rim (assist by R. Gobert),2,13-11,,
6:41.0,,,13-11,,Oklahoma City full timeout
6:41.0,,,13-11,,K. Perkins enters the game for S. Adams
6:30.0,,,13-11,,K. Durant misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by J. Ingles,,13-11,,
6:03.0,T. Burke misses 2-pt shot from 20 ft,,13-11,,
6:02.0,,,13-11,,Defensive rebound by K. Durant
5:54.0,,,13-13,2,S. Ibaka makes 2-pt shot from 12 ft (assist by K. Durant)
5:37.0,Offensive foul by D. Favors,,13-13,,
5:37.0,Turnover by D. Favors (offensive foul),,13-13,,
5:37.0,,,13-13,,D. Waiters enters the game for A. Roberson
5:27.0,,,13-15,2,K. Durant makes 2-pt shot from 1 ft
5:13.0,J. Ingles misses 3-pt shot from 24 ft,,13-15,,
5:12.0,,,13-15,,Defensive rebound by S. Ibaka
5:06.0,,,13-17,2,D. Waiters makes 2-pt shot from 17 ft
4:50.0,G. Hayward makes 3-pt shot from 24 ft (assist by J. Ingles),3,16-17,,
4:24.0,,,16-17,,K. Perkins misses 2-pt shot from 11 ft
4:22.0,Defensive rebound by D. Favors,,16-17,,
4:14.0,D. Favors misses 2-pt shot from 2 ft (block by S. Ibaka),,16-17,,
4:13.0,,,16-17,,Defensive rebound by K. Perkins
4:08.0,,,16-19,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
3:48.0,,,16-19,,Personal foul by S. Ibaka (drawn by G. Hayward)
3:48.0,D. Exum enters the game for T. Burke,,16-19,,
3:40.0,Turnover by G. Hayward (lost ball; steal by K. Durant),,16-19,,
3:37.0,,,16-19,,Turnover by K. Perkins (lost ball; steal by G. Hayward)
3:25.0,G. Hayward makes 2-pt shot from 19 ft,2,18-19,,
3:12.0,,,18-19,,Turnover by K. Perkins (bad pass; steal by R. Gobert)
2:55.0,Turnover by G. Hayward (bad pass; steal by R. Westbrook),,18-19,,
2:49.0,,,18-21,2,D. Waiters makes 2-pt shot from 14 ft (assist by K. Durant)
2:49.0,Utah full timeout,,18-21,,
2:49.0,,,18-21,,A. Morrow enters the game for K. Durant
2:49.0,,,18-21,,N. Collison enters the game for S. Ibaka
2:49.0,T. Booker enters the game for D. Favors,,18-21,,
2:49.0,E. Millsap enters the game for J. Ingles,,18-21,,
2:38.0,Turnover by D. Exum (lost ball; steal by D. Waiters),,18-21,,
2:33.0,,,18-23,2,R. Westbrook makes 2-pt shot at rim (assist by D. Waiters)
2:19.0,Turnover by E. Millsap (lost ball; steal by D. Waiters),,18-23,,
2:15.0,,,18-23,,Turnover by D. Waiters (bad pass; steal by G. Hayward)
2:09.0,E. Millsap misses 2-pt shot from 1 ft (block by K. Perkins),,18-23,,
2:07.0,Offensive rebound by T. Booker,,18-23,,
1:57.0,G. Hayward misses 2-pt shot from 19 ft,,18-23,,
1:56.0,,,18-23,,Defensive rebound by N. Collison
1:35.0,,,18-23,,Turnover by D. Waiters (lost ball; steal by E. Millsap)
1:23.0,E. Millsap makes 3-pt shot from 22 ft (assist by D. Exum),3,21-23,,
1:06.0,,,21-25,2,D. Waiters makes 2-pt shot from 17 ft
1:06.0,,,21-25,,Shooting foul by D. Exum (drawn by D. Waiters)
1:06.0,,,21-25,,R. Jackson enters the game for R. Westbrook
1:06.0,,,21-25,,D. Waiters misses free throw 1 of 1
1:06.0,Defensive rebound by R. Gobert,,21-25,,
0:50.0,Shooting foul by K. Perkins (drawn by G. Hayward),,21-25,,
0:50.0,G. Hayward makes 2-pt shot from 7 ft,2,23-25,,
0:50.0,G. Hayward makes free throw 1 of 1,1,24-25,,
0:32.0,,,24-27,2,D. Waiters makes 2-pt shot from 16 ft
0:16.0,D. Exum makes 3-pt shot from 25 ft (assist by R. Gobert),3,27-27,,
0:00.0,,,27-27,,D. Waiters misses 2-pt shot from 16 ft
0:00.0,Defensive rebound by Team,,27-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Favors makes 2-pt shot from 18 ft (assist by T. Burke),2,29-27,,
11:23.0,,,29-27,,D. Waiters misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by D. Exum,,29-27,,
11:13.0,E. Millsap makes 3-pt shot from 24 ft (assist by D. Exum),3,32-27,,
10:50.0,,,32-27,,K. Perkins misses 2-pt shot from 3 ft (block by D. Favors)
10:48.0,Defensive rebound by D. Favors,,32-27,,
10:40.0,E. Millsap makes 3-pt shot from 24 ft (assist by D. Favors),3,35-27,,
10:28.0,,,35-27,,Turnover by R. Jackson (lost ball; steal by T. Booker)
10:27.0,,,35-27,,Personal take foul by D. Waiters (drawn by D. Exum)
