time,Brooklyn,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession)
11:37.0,,,0-0,,M. Conley misses 2-pt shot from 1 ft (block by K. Garnett)
11:35.0,Defensive rebound by M. Plumlee,,0-0,,
11:19.0,Turnover by J. Johnson (bad pass; steal by M. Conley),,0-0,,
11:17.0,,,0-2,2,M. Conley makes 2-pt shot at rim
10:55.0,J. Jack makes 2-pt shot from 15 ft (assist by M. Plumlee),2,2-2,,
10:40.0,,,2-4,2,M. Gasol makes 2-pt shot from 12 ft (assist by C. Lee)
10:15.0,A. Anderson makes 3-pt shot from 26 ft,3,5-4,,
10:00.0,,,5-6,2,Z. Randolph makes 2-pt shot from 15 ft (assist by M. Conley)
9:45.0,J. Jack misses 2-pt shot from 16 ft,,5-6,,
9:44.0,,,5-6,,Defensive rebound by M. Gasol
9:30.0,,,5-8,2,C. Lee makes 2-pt shot from 14 ft
9:14.0,K. Garnett misses 2-pt shot from 21 ft,,5-8,,
9:14.0,Offensive rebound by Team,,5-8,,
9:14.0,,,5-8,,Loose ball foul by J. Green (drawn by J. Johnson)
9:07.0,Turnover by J. Jack (bad pass; steal by Z. Randolph),,5-8,,
9:03.0,,,5-10,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
8:47.0,Turnover by J. Johnson (bad pass; steal by M. Gasol),,5-10,,
8:41.0,,,5-10,,C. Lee misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by M. Plumlee,,5-10,,
8:35.0,J. Jack misses 2-pt shot from 12 ft,,5-10,,
8:32.0,,,5-10,,Defensive rebound by M. Gasol
8:22.0,,,5-10,,Z. Randolph misses 2-pt shot from 20 ft
8:22.0,,,5-10,,Offensive rebound by M. Gasol
8:22.0,Loose ball foul by M. Plumlee (drawn by M. Gasol),,5-10,,
8:15.0,,,5-12,2,Z. Randolph makes 2-pt shot at rim (assist by J. Green)
8:02.0,J. Johnson misses 2-pt shot from 21 ft,,5-12,,
8:01.0,Offensive rebound by M. Plumlee,,5-12,,
8:01.0,,,5-12,,Loose ball foul by J. Green (drawn by M. Plumlee)
7:54.0,J. Jack misses 2-pt shot from 8 ft,,5-12,,
7:53.0,Offensive rebound by M. Plumlee,,5-12,,
7:42.0,M. Plumlee makes 2-pt shot at rim,2,7-12,,
7:14.0,,,7-12,,J. Green misses 2-pt shot from 5 ft (block by K. Garnett)
7:12.0,Defensive rebound by J. Johnson,,7-12,,
7:07.0,J. Johnson misses 2-pt shot from 6 ft (block by J. Green),,7-12,,
7:03.0,,,7-12,,Defensive rebound by M. Gasol
6:59.0,,,7-14,2,Z. Randolph makes 2-pt shot at rim
6:58.0,Brooklyn full timeout,,7-14,,
6:58.0,B. Lopez enters the game for M. Plumlee,,7-14,,
