time,New York,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. P. Gasol (J. Noah gains possession),,,,Jump ball: L. Amundson vs. P. Gasol (J. Noah gains possession)
11:39.0,,,0-2,2,A. Brooks makes 2-pt shot from 6 ft
11:20.0,A. Bargnani misses 3-pt shot from 24 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by P. Gasol
11:02.0,,,0-4,2,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah)
10:45.0,L. Thomas makes 3-pt shot from 22 ft (assist by S. Larkin),3,3-4,,
10:29.0,,,3-4,,J. Noah misses 2-pt shot from 7 ft (block by L. Amundson)
10:27.0,Defensive rebound by L. Galloway,,3-4,,
10:10.0,L. Galloway makes 2-pt shot from 4 ft,2,5-4,,
9:52.0,,,5-6,2,P. Gasol makes 2-pt shot from 15 ft (assist by A. Brooks)
9:33.0,Turnover by A. Bargnani (bad pass; steal by J. Butler),,5-6,,
9:29.0,,,5-8,2,J. Butler makes 2-pt shot from 2 ft
9:13.0,A. Bargnani makes 2-pt shot from 19 ft (assist by L. Thomas),2,7-8,,
8:47.0,,,7-11,3,A. Brooks makes 3-pt shot from 25 ft
8:27.0,L. Galloway makes 2-pt shot from 14 ft,2,9-11,,
8:07.0,,,9-11,,J. Noah misses 2-pt shot at rim (block by L. Amundson)
8:06.0,,,9-11,,Offensive rebound by M. Dunleavy
8:03.0,,,9-13,2,J. Noah makes 2-pt shot from 2 ft (assist by A. Brooks)
7:46.0,L. Galloway misses 3-pt shot from 25 ft,,9-13,,
7:45.0,,,9-13,,Defensive rebound by P. Gasol
7:28.0,,,9-13,,Shooting foul by L. Amundson (drawn by P. Gasol)
7:28.0,,,9-15,2,P. Gasol makes 2-pt shot from 5 ft (assist by J. Butler)
7:28.0,,,9-15,,P. Gasol misses free throw 1 of 1
7:26.0,Defensive rebound by L. Galloway,,9-15,,
7:15.0,A. Bargnani misses 2-pt shot from 3 ft,,9-15,,
7:14.0,,,9-15,,Defensive rebound by M. Dunleavy
7:04.0,,,9-17,2,J. Butler makes 2-pt shot from 8 ft (assist by P. Gasol)
6:56.0,New York full timeout,,9-17,,
6:39.0,L. Amundson misses 2-pt shot from 2 ft (block by J. Noah),,9-17,,
6:37.0,Offensive rebound by A. Bargnani,,9-17,,
6:36.0,A. Bargnani misses 2-pt shot from 4 ft,,9-17,,
6:35.0,,,9-17,,Defensive rebound by J. Noah
6:13.0,,,9-17,,M. Dunleavy misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by A. Bargnani,,9-17,,
6:03.0,L. Thomas misses 2-pt shot from 15 ft,,9-17,,
6:02.0,Offensive rebound by L. Amundson,,9-17,,
5:59.0,L. Thomas misses 2-pt shot from 18 ft,,9-17,,
5:58.0,,,9-17,,Defensive rebound by J. Noah
5:52.0,,,9-17,,Shooting foul by L. Galloway (drawn by J. Butler)
5:52.0,,,9-18,1,J. Butler makes free throw 1 of 2
5:52.0,C. Aldrich enters the game for L. Amundson,,9-18,,
5:52.0,R. Ledo enters the game for L. Galloway,,9-18,,
5:52.0,,,9-19,1,J. Butler makes free throw 2 of 2
5:37.0,A. Bargnani misses 2-pt shot from 16 ft,,9-19,,
5:36.0,,,9-19,,Defensive rebound by M. Dunleavy
5:28.0,,,9-19,,A. Brooks misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by A. Bargnani,,9-19,,
5:13.0,L. Thomas makes 2-pt shot from 17 ft (assist by C. Aldrich),2,11-19,,
4:56.0,,,11-19,,P. Gasol misses 2-pt shot from 17 ft
4:55.0,Defensive rebound by C. Aldrich,,11-19,,
4:46.0,S. Larkin misses 3-pt shot from 25 ft,,11-19,,
4:45.0,,,11-19,,Defensive rebound by P. Gasol
4:29.0,,,11-19,,M. Dunleavy misses 2-pt shot from 6 ft
4:27.0,,,11-19,,Offensive rebound by P. Gasol
4:27.0,,,11-19,,P. Gasol misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by C. Aldrich,,11-19,,
4:14.0,R. Ledo misses 2-pt shot from 1 ft,,11-19,,
4:13.0,Offensive rebound by C. Aldrich,,11-19,,
4:12.0,C. Aldrich makes 2-pt shot from 2 ft,2,13-19,,
3:56.0,Personal foul by L. Thomas (drawn by J. Butler),,13-19,,
3:56.0,J. Smith enters the game for A. Bargnani,,13-19,,
3:56.0,,,13-19,,T. Gibson enters the game for J. Noah
3:56.0,C. Early enters the game for L. Thomas,,13-19,,
3:50.0,,,13-21,2,P. Gasol makes 2-pt shot from 1 ft (assist by A. Brooks)
3:23.0,S. Larkin misses 2-pt shot from 18 ft,,13-21,,
3:22.0,,,13-21,,Defensive rebound by P. Gasol
3:10.0,,,13-23,2,P. Gasol makes 2-pt shot from 14 ft (assist by A. Brooks)
2:53.0,J. Smith misses 2-pt shot from 13 ft,,13-23,,
2:52.0,,,13-23,,Defensive rebound by J. Butler
2:42.0,,,13-23,,Chicago full timeout
2:42.0,,,13-23,,K. Hinrich enters the game for A. Brooks
2:41.0,Personal foul by C. Early (drawn by J. Butler),,13-23,,
2:33.0,,,13-25,2,M. Dunleavy makes 2-pt shot from 18 ft (assist by K. Hinrich)
2:19.0,S. Larkin makes 2-pt shot from 19 ft (assist by C. Early),2,15-25,,
2:01.0,,,15-25,,N. Mirotic enters the game for M. Dunleavy
2:00.0,Personal foul by C. Aldrich (drawn by P. Gasol),,15-25,,
2:00.0,,,15-26,1,P. Gasol makes free throw 1 of 2
2:00.0,,,15-26,,P. Gasol misses free throw 2 of 2
1:59.0,Defensive rebound by R. Ledo,,15-26,,
1:43.0,,,15-26,,Personal foul by N. Mirotic (drawn by C. Early)
1:36.0,R. Ledo misses 3-pt shot from 24 ft,,15-26,,
1:33.0,,,15-26,,Defensive rebound by T. Gibson
1:26.0,,,15-26,,K. Hinrich misses 3-pt shot from 24 ft
1:24.0,,,15-26,,Offensive rebound by T. Gibson
1:24.0,,,15-28,2,T. Gibson makes 2-pt shot from 1 ft
1:05.0,J. Smith misses 2-pt shot from 19 ft,,15-28,,
1:04.0,,,15-28,,Defensive rebound by P. Gasol
0:54.0,,,15-28,,Turnover by P. Gasol (bad pass; steal by C. Early)
0:32.0,J. Smith misses 2-pt shot from 2 ft,,15-28,,
0:31.0,Offensive rebound by R. Ledo,,15-28,,
0:31.0,R. Ledo misses 2-pt shot at rim,,15-28,,
0:30.0,,,15-28,,Defensive rebound by J. Butler
0:16.0,,,15-28,,Turnover by P. Gasol (lost ball; steal by C. Early)
0:12.0,C. Early makes 2-pt shot at rim,2,17-28,,
0:00.0,,,17-28,,N. Mirotic misses 3-pt shot from 22 ft
0:00.0,,,17-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,C. Early misses 3-pt shot from 25 ft,,17-28,,
11:36.0,,,17-28,,Defensive rebound by J. Noah
11:28.0,,,17-28,,Turnover by J. Noah (bad pass)
11:13.0,C. Aldrich misses 2-pt shot from 5 ft,,17-28,,
11:13.0,Offensive rebound by Team,,17-28,,
11:13.0,,,17-28,,Loose ball foul by T. Snell (drawn by J. Smith)
11:04.0,C. Aldrich makes 2-pt shot from 6 ft (assist by J. Smith),2,19-28,,
10:52.0,Personal foul by R. Ledo (drawn by T. Gibson),,19-28,,
10:44.0,,,19-28,,Turnover by T. Gibson (3 sec)
10:28.0,L. Galloway misses 2-pt shot from 20 ft,,19-28,,
10:27.0,,,19-28,,Defensive rebound by N. Mirotic
10:14.0,,,19-31,3,N. Mirotic makes 3-pt shot from 22 ft (assist by T. Snell)
10:05.0,Shooting foul by J. Noah (drawn by C. Aldrich),,19-31,,
10:05.0,C. Aldrich makes free throw 1 of 2,1,20-31,,
10:05.0,C. Aldrich makes free throw 2 of 2,1,21-31,,
9:43.0,,,21-31,,T. Snell misses 3-pt shot from 25 ft
9:40.0,Jump ball: C. Early vs. J. Noah (T. Gibson gains possession),,,,Jump ball: C. Early vs. J. Noah (T. Gibson gains possession)
9:40.0,,,21-31,,Offensive rebound by Team
9:36.0,,,21-31,,T. Snell misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by R. Ledo,,21-31,,
9:24.0,Shooting foul by K. Hinrich (drawn by R. Ledo),,21-31,,
9:24.0,R. Ledo makes free throw 1 of 2,1,22-31,,
9:24.0,R. Ledo makes free throw 2 of 2,1,23-31,,
9:06.0,,,23-31,,J. Noah misses 2-pt shot from 2 ft
9:05.0,Defensive rebound by J. Smith,,23-31,,
8:59.0,C. Early misses 2-pt shot from 1 ft (block by N. Mirotic),,23-31,,
8:58.0,,,23-31,,Defensive rebound by T. Snell
8:44.0,,,23-33,2,N. Mirotic makes 2-pt shot from 5 ft
8:44.0,,,23-33,,Shooting foul by C. Early (drawn by N. Mirotic)
8:44.0,,,23-33,,Chicago full timeout
8:44.0,,,23-33,,A. Brooks enters the game for T. Gibson
8:44.0,A. Bargnani enters the game for J. Smith,,23-33,,
8:44.0,L. Thomas enters the game for C. Early,,23-33,,
