time,Phoenix,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. B. Wright (D. Lee gains possession),,,,Jump ball: A. Bogut vs. B. Wright (D. Lee gains possession)
11:41.0,Personal foul by M. Morris (drawn by H. Barnes),,0-0,,
11:36.0,,,0-0,,Turnover by S. Curry (bad pass)
11:11.0,M. Morris makes 2-pt shot from 14 ft,2,2-0,,
11:01.0,,,2-3,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Lee)
10:51.0,M. Morris makes 2-pt shot from 12 ft (assist by P. Tucker),2,4-3,,
10:29.0,,,4-3,,K. Thompson misses 2-pt shot from 11 ft
10:28.0,,,4-3,,Offensive rebound by Team
10:26.0,,,4-3,,K. Thompson misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by B. Wright,,4-3,,
10:18.0,B. Wright misses 2-pt shot from 2 ft,,4-3,,
10:14.0,Offensive rebound by B. Wright,,4-3,,
10:11.0,B. Wright misses 2-pt shot from 2 ft (block by A. Bogut),,4-3,,
10:09.0,,,4-3,,Defensive rebound by A. Bogut
10:05.0,,,4-3,,Shooting foul by M. Morris (drawn by D. Lee)
10:05.0,,,4-4,1,D. Lee makes free throw 1 of 2
10:05.0,,,4-4,,D. Lee misses free throw 2 of 2
10:03.0,Defensive rebound by M. Morris,,4-4,,
9:49.0,Turnover by B. Wright (back court),,4-4,,
9:34.0,,,4-4,,K. Thompson misses 2-pt shot from 13 ft
9:33.0,Defensive rebound by B. Wright,,4-4,,
9:27.0,P. Tucker makes 2-pt shot from 9 ft (assist by E. Bledsoe),2,6-4,,
9:13.0,,,6-4,,Turnover by S. Curry (bad pass)
8:52.0,M. Morris misses 2-pt shot from 21 ft,,6-4,,
8:51.0,,,6-4,,Defensive rebound by D. Lee
8:44.0,,,6-4,,S. Curry misses 2-pt shot from 9 ft
8:43.0,Defensive rebound by M. Morris,,6-4,,
8:27.0,E. Bledsoe misses 2-pt shot from 12 ft,,6-4,,
8:26.0,,,6-4,,Defensive rebound by D. Lee
8:21.0,,,6-4,,S. Curry misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by B. Wright,,6-4,,
8:06.0,M. Morris misses 2-pt shot from 3 ft,,6-4,,
8:05.0,Offensive rebound by B. Wright,,6-4,,
8:04.0,B. Wright misses 2-pt shot from 2 ft (block by A. Bogut),,6-4,,
8:02.0,,,6-4,,Defensive rebound by H. Barnes
7:54.0,,,6-4,,S. Curry misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by E. Bledsoe,,6-4,,
7:49.0,Phoenix full timeout,,6-4,,
7:39.0,M. Morris makes 2-pt shot from 16 ft (assist by M. Morris),2,8-4,,
7:24.0,,,8-4,,H. Barnes misses 3-pt shot from 25 ft
7:23.0,,,8-4,,Offensive rebound by S. Curry
7:18.0,,,8-4,,D. Lee misses 2-pt shot from 4 ft (block by B. Wright)
7:16.0,Defensive rebound by M. Morris,,8-4,,
7:13.0,M. Morris makes 2-pt shot from 1 ft (assist by M. Morris),2,10-4,,
6:59.0,,,10-6,2,A. Bogut makes 2-pt shot from 2 ft (assist by H. Barnes)
6:55.0,Turnover by M. Morris (bad pass),,10-6,,
6:55.0,T. Warren enters the game for M. Morris,,10-6,,
6:51.0,,,10-8,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
6:27.0,P. Tucker misses 2-pt shot from 15 ft,,10-8,,
6:26.0,,,10-8,,Defensive rebound by A. Bogut
6:21.0,,,10-10,2,D. Lee makes 2-pt shot from 1 ft (assist by A. Bogut)
6:03.0,E. Bledsoe misses 2-pt shot from 7 ft,,10-10,,
6:02.0,,,10-10,,Defensive rebound by A. Bogut
5:50.0,,,10-12,2,K. Thompson makes 2-pt shot from 19 ft (assist by A. Bogut)
5:30.0,Shooting foul by A. Bogut (drawn by B. Wright),,10-12,,
5:30.0,B. Wright misses free throw 1 of 2,,10-12,,
5:30.0,Offensive rebound by Team,,10-12,,
5:30.0,B. Wright makes free throw 2 of 2,1,11-12,,
5:15.0,,,11-14,2,A. Bogut makes 2-pt shot from 9 ft (assist by K. Thompson)
4:51.0,B. Wright misses 2-pt shot from 5 ft,,11-14,,
4:50.0,,,11-14,,Defensive rebound by Team
4:38.0,,,11-14,,H. Barnes misses 3-pt shot from 22 ft
4:36.0,,,11-14,,Offensive rebound by A. Bogut
4:33.0,,,11-14,,S. Curry misses 2-pt shot from 2 ft
4:31.0,,,11-14,,Offensive rebound by A. Bogut
4:31.0,,,11-16,2,A. Bogut makes 2-pt shot at rim
4:18.0,B. Wright makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,13-16,,
4:06.0,,,13-16,,H. Barnes misses 2-pt shot from 6 ft
4:05.0,,,13-16,,Offensive rebound by D. Lee
4:05.0,,,13-18,2,D. Lee makes 2-pt shot at rim
3:47.0,,,13-18,,Personal foul by K. Thompson (drawn by P. Tucker)
3:47.0,,,13-18,,A. Iguodala enters the game for H. Barnes
3:47.0,,,13-18,,L. Barbosa enters the game for K. Thompson
3:47.0,R. Bullock enters the game for P. Tucker,,13-18,,
3:36.0,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe),2,15-18,,
3:18.0,,,15-18,,L. Barbosa misses 2-pt shot from 10 ft (block by E. Bledsoe)
3:16.0,Defensive rebound by M. Morris,,15-18,,
3:11.0,Turnover by M. Morris (lost ball; steal by L. Barbosa),,15-18,,
3:06.0,,,15-21,3,S. Curry makes 3-pt shot from 27 ft (assist by L. Barbosa)
2:51.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by R. Bullock),3,18-21,,
2:33.0,,,18-21,,Turnover by S. Curry (lost ball)
2:33.0,,,18-21,,Golden State full timeout
2:33.0,M. Morris enters the game for M. Morris,,18-21,,
2:33.0,,,18-21,,M. Speights enters the game for A. Bogut
2:13.0,E. Bledsoe misses 2-pt shot from 16 ft,,18-21,,
2:11.0,,,18-21,,Defensive rebound by S. Curry
1:57.0,,,18-21,,Turnover by A. Iguodala (bad pass; steal by B. Wright)
1:51.0,B. Wright makes 2-pt shot at rim,2,20-21,,
1:34.0,,,20-23,2,S. Curry makes 2-pt shot from 10 ft
1:23.0,T. Warren misses 2-pt shot from 13 ft,,20-23,,
1:22.0,,,20-23,,Defensive rebound by L. Barbosa
1:15.0,,,20-23,,M. Speights misses 2-pt shot from 18 ft
1:12.0,Defensive rebound by T. Warren,,20-23,,
1:01.0,B. Wright makes 2-pt shot at rim (assist by T. Warren),2,22-23,,
0:51.0,,,22-25,2,D. Lee makes 2-pt shot from 9 ft (assist by S. Curry)
0:32.0,E. Bledsoe misses 2-pt shot from 14 ft,,22-25,,
0:31.0,,,22-25,,Defensive rebound by S. Curry
0:08.0,,,22-27,2,M. Speights makes 2-pt shot from 3 ft (assist by L. Barbosa)
0:00.0,M. Morris misses 3-pt shot from 25 ft,,22-27,,
0:00.0,Offensive rebound by Team,,22-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,22-27,,Personal foul by L. Barbosa (drawn by R. Bullock)
11:36.0,A. Goodwin misses 2-pt shot from 2 ft,,22-27,,
11:35.0,,,22-27,,Defensive rebound by J. McAdoo
11:18.0,,,22-29,2,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston)
10:58.0,E. Barron misses 2-pt shot from 9 ft,,22-29,,
10:56.0,,,22-29,,Defensive rebound by S. Livingston
10:47.0,,,22-29,,Shooting foul by A. Goodwin (drawn by S. Livingston)
10:47.0,,,22-30,1,S. Livingston makes free throw 1 of 2
10:47.0,,,22-30,,S. Livingston misses free throw 2 of 2
10:45.0,Defensive rebound by E. Barron,,22-30,,
10:36.0,M. Morris misses 3-pt shot from 26 ft,,22-30,,
10:34.0,,,22-30,,Defensive rebound by J. McAdoo
10:19.0,,,22-32,2,M. Speights makes 2-pt shot from 17 ft (assist by S. Livingston)
9:57.0,M. Morris misses 2-pt shot from 1 ft,,22-32,,
9:56.0,,,22-32,,Defensive rebound by J. McAdoo
9:53.0,,,22-32,,Turnover by A. Iguodala (bad pass)
9:41.0,Shooting foul by J. McAdoo (drawn by E. Barron),,22-32,,
9:41.0,E. Barron misses free throw 1 of 2,,22-32,,
9:41.0,Offensive rebound by Team,,22-32,,
9:41.0,E. Barron misses free throw 2 of 2,,22-32,,
9:40.0,,,22-32,,Defensive rebound by M. Speights
9:26.0,,,22-34,2,M. Speights makes 2-pt shot from 18 ft (assist by A. Iguodala)
9:14.0,R. Bullock misses 2-pt shot at rim (block by J. McAdoo),,22-34,,
9:13.0,,,22-34,,Defensive rebound by A. Iguodala
9:05.0,,,22-36,2,J. McAdoo makes 2-pt shot from 6 ft (assist by A. Iguodala)
9:05.0,,,22-36,,Shooting foul by E. Barron (drawn by J. McAdoo)
9:05.0,G. Green enters the game for E. Barron,,22-36,,
9:05.0,,,22-36,,J. McAdoo misses free throw 1 of 1
9:03.0,Defensive rebound by M. Morris,,22-36,,
8:50.0,M. Morris misses 2-pt shot from 3 ft,,22-36,,
8:50.0,Offensive rebound by Team,,22-36,,
8:50.0,,,22-36,,Personal foul by L. Barbosa (drawn by R. Bullock)
8:50.0,Official timeout,,22-36,,
8:50.0,,,22-36,,K. Thompson enters the game for L. Barbosa
8:50.0,R. Bullock makes free throw 1 of 2,1,23-36,,
8:50.0,R. Bullock misses free throw 2 of 2,,23-36,,
8:49.0,,,23-36,,Defensive rebound by M. Speights
8:32.0,,,23-36,,M. Speights misses 2-pt shot from 11 ft
8:31.0,Defensive rebound by M. Morris,,23-36,,
8:18.0,Shooting foul by M. Speights (drawn by M. Morris),,23-36,,
8:18.0,M. Morris makes 2-pt shot from 2 ft,2,25-36,,
8:18.0,M. Morris makes free throw 1 of 1,1,26-36,,
8:06.0,,,26-38,2,S. Livingston makes 2-pt shot from 8 ft
8:06.0,,,26-38,,Shooting foul by A. Goodwin (drawn by S. Livingston)
8:06.0,,,26-39,1,S. Livingston makes free throw 1 of 1
7:47.0,A. Goodwin misses 2-pt shot from 15 ft,,26-39,,
7:46.0,,,26-39,,Defensive rebound by J. McAdoo
7:40.0,,,26-39,,A. Iguodala misses 2-pt shot from 17 ft
7:37.0,Defensive rebound by R. Bullock,,26-39,,
7:30.0,G. Green misses 3-pt shot from 23 ft,,26-39,,
7:29.0,Offensive rebound by M. Morris,,26-39,,
7:29.0,M. Morris makes 2-pt shot from 1 ft,2,28-39,,
7:08.0,,,28-39,,K. Thompson misses 2-pt shot from 18 ft
7:07.0,Defensive rebound by M. Morris,,28-39,,
6:59.0,G. Green misses 3-pt shot from 25 ft,,28-39,,
6:57.0,,,28-39,,Defensive rebound by M. Speights
6:55.0,,,28-39,,Turnover by M. Speights (bad pass)
6:55.0,,,28-39,,H. Barnes enters the game for M. Speights
6:55.0,P. Tucker enters the game for M. Morris,,28-39,,
6:55.0,E. Bledsoe enters the game for A. Goodwin,,28-39,,
6:45.0,M. Morris misses 2-pt shot from 11 ft,,28-39,,
6:44.0,Offensive rebound by P. Tucker,,28-39,,
6:40.0,,,28-39,,Personal foul by H. Barnes (drawn by P. Tucker)
6:40.0,P. Tucker makes free throw 1 of 2,1,29-39,,
6:40.0,P. Tucker misses free throw 2 of 2,,29-39,,
6:39.0,,,29-39,,Defensive rebound by J. McAdoo
6:23.0,,,29-39,,A. Iguodala misses 3-pt shot from 26 ft
6:22.0,Defensive rebound by E. Bledsoe,,29-39,,
6:20.0,G. Green misses 2-pt shot from 2 ft (block by A. Iguodala),,29-39,,
6:19.0,Offensive rebound by Team,,29-39,,
6:14.0,Turnover by E. Bledsoe (bad pass; steal by A. Iguodala),,29-39,,
6:11.0,Personal foul by E. Bledsoe (drawn by A. Iguodala),,29-39,,
6:06.0,,,29-39,,Shooting foul by M. Morris (drawn by J. McAdoo)
6:06.0,,,29-40,1,J. McAdoo makes free throw 1 of 2
6:06.0,,,29-40,,J. McAdoo misses free throw 2 of 2
6:04.0,Defensive rebound by G. Green,,29-40,,
5:48.0,E. Bledsoe makes 2-pt shot from 3 ft,2,31-40,,
5:48.0,Shooting foul by J. McAdoo (drawn by E. Bledsoe),,31-40,,
5:48.0,,,31-40,,Golden State full timeout
5:48.0,,,31-40,,S. Curry enters the game for A. Iguodala
5:48.0,E. Bledsoe makes free throw 1 of 1,1,32-40,,
5:32.0,,,32-42,2,S. Livingston makes 2-pt shot from 15 ft (assist by H. Barnes)
5:18.0,E. Bledsoe makes 2-pt shot from 16 ft,2,34-42,,
5:03.0,,,34-42,,J. McAdoo misses 2-pt shot at rim
5:02.0,,,34-42,,Offensive rebound by J. McAdoo
5:01.0,,,34-42,,J. McAdoo misses 2-pt shot from 1 ft
4:59.0,Defensive rebound by P. Tucker,,34-42,,
4:55.0,M. Morris misses 2-pt shot from 1 ft,,34-42,,
4:54.0,,,34-42,,Defensive rebound by K. Thompson
4:33.0,,,34-42,,S. Curry misses 2-pt shot from 19 ft
4:32.0,Defensive rebound by G. Green,,34-42,,
4:08.0,E. Bledsoe misses 3-pt shot from 25 ft,,34-42,,
4:07.0,,,34-42,,Defensive rebound by S. Curry
4:00.0,,,34-42,,K. Thompson misses 3-pt shot from 26 ft
3:59.0,Defensive rebound by E. Bledsoe,,34-42,,
3:51.0,G. Green makes 2-pt shot from 1 ft,2,36-42,,
3:24.0,,,36-44,2,K. Thompson makes 2-pt shot from 1 ft
3:05.0,P. Tucker misses 2-pt shot from 3 ft,,36-44,,
3:05.0,Offensive rebound by Team,,36-44,,
3:05.0,B. Wright enters the game for M. Morris,,36-44,,
3:05.0,,,36-44,,F. Ezeli enters the game for J. McAdoo
3:02.0,G. Green misses 3-pt shot from 23 ft,,36-44,,
3:01.0,Offensive rebound by B. Wright,,36-44,,
