time,Utah,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. R. Lopez (J. Ingles gains possession),,,,Jump ball: D. Favors vs. R. Lopez (J. Ingles gains possession)
11:41.0,D. Exum misses 2-pt shot from 11 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by D. Lillard
11:29.0,,,0-2,2,L. Aldridge makes 2-pt shot from 22 ft (assist by D. Lillard)
11:12.0,D. Favors makes 2-pt shot from 17 ft (assist by G. Hayward),2,2-2,,
10:56.0,,,2-4,2,R. Lopez makes 2-pt shot at rim (assist by N. Batum)
10:34.0,D. Favors misses 2-pt shot from 17 ft,,2-4,,
10:33.0,Offensive rebound by G. Hayward,,2-4,,
10:21.0,,,2-4,,Personal foul by W. Matthews (drawn by J. Ingles)
10:21.0,T. Booker enters the game for E. Kanter,,2-4,,
10:14.0,G. Hayward misses 2-pt shot from 4 ft,,2-4,,
10:13.0,,,2-4,,Defensive rebound by N. Batum
10:10.0,Shooting block foul by D. Exum (drawn by D. Lillard),,2-4,,
10:10.0,,,2-5,1,D. Lillard makes free throw 1 of 2
10:10.0,,,2-6,1,D. Lillard makes free throw 2 of 2
9:50.0,T. Booker makes 2-pt shot from 17 ft,2,4-6,,
9:28.0,,,4-8,2,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard)
9:02.0,T. Booker makes 2-pt shot from 5 ft,2,6-8,,
8:45.0,,,6-10,2,L. Aldridge makes 2-pt shot from 18 ft (assist by N. Batum)
8:24.0,T. Booker misses 2-pt shot from 2 ft,,6-10,,
8:23.0,,,6-10,,Defensive rebound by N. Batum
8:16.0,,,6-10,,L. Aldridge misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by D. Exum,,6-10,,
8:03.0,J. Ingles misses 2-pt shot from 21 ft,,6-10,,
8:01.0,Offensive rebound by G. Hayward,,6-10,,
7:49.0,J. Ingles misses 2-pt shot from 3 ft,,6-10,,
7:48.0,,,6-10,,Defensive rebound by L. Aldridge
7:46.0,E. Kanter enters the game for T. Booker,,6-10,,
7:39.0,,,6-10,,Turnover by L. Aldridge (bad pass; steal by J. Ingles)
7:29.0,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward),2,8-10,,
7:14.0,,,8-10,,N. Batum misses 2-pt shot from 8 ft (block by G. Hayward)
7:12.0,,,8-10,,Offensive rebound by R. Lopez
7:11.0,,,8-12,2,R. Lopez makes 2-pt shot from 3 ft
6:47.0,D. Favors misses 2-pt shot from 7 ft,,8-12,,
6:46.0,,,8-12,,Defensive rebound by W. Matthews
6:37.0,,,8-14,2,R. Lopez makes 2-pt shot from 10 ft (assist by W. Matthews)
6:21.0,D. Favors makes 2-pt shot from 2 ft,2,10-14,,
6:04.0,,,10-14,,D. Lillard misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by J. Ingles,,10-14,,
5:48.0,E. Kanter makes 2-pt shot from 2 ft,2,12-14,,
5:48.0,,,12-14,,Portland full timeout
5:48.0,,,12-14,,S. Blake enters the game for W. Matthews
5:48.0,,,12-14,,C. Kaman enters the game for R. Lopez
5:27.0,,,12-16,2,D. Lillard makes 2-pt shot from 1 ft
5:16.0,Turnover by J. Ingles (bad pass; steal by L. Aldridge),,12-16,,
5:03.0,,,12-16,,D. Lillard misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by J. Ingles,,12-16,,
4:48.0,D. Exum misses 2-pt shot from 19 ft,,12-16,,
4:47.0,,,12-16,,Defensive rebound by N. Batum
4:45.0,R. Gobert enters the game for E. Kanter,,12-16,,
4:36.0,,,12-18,2,L. Aldridge makes 2-pt shot from 18 ft
4:16.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,14-18,,
4:01.0,,,14-18,,Turnover by S. Blake (bad pass; steal by D. Exum)
3:56.0,D. Exum misses 2-pt shot from 1 ft,,14-18,,
3:56.0,Offensive rebound by Team,,14-18,,
3:56.0,T. Burke enters the game for D. Exum,,14-18,,
3:42.0,D. Favors misses 2-pt shot from 19 ft,,14-18,,
3:41.0,,,14-18,,Defensive rebound by C. Kaman
3:28.0,,,14-18,,D. Lillard misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by R. Gobert,,14-18,,
3:22.0,,,14-18,,Personal foul by D. Lillard (drawn by G. Hayward)
3:11.0,G. Hayward makes 2-pt shot from 16 ft,2,16-18,,
2:54.0,,,16-21,3,S. Blake makes 3-pt shot from 25 ft (assist by D. Lillard)
2:45.0,G. Hayward misses 2-pt shot from 1 ft (block by L. Aldridge),,16-21,,
2:45.0,,,16-21,,Defensive rebound by Team
2:45.0,Utah full timeout,,16-21,,
2:45.0,E. Millsap enters the game for J. Ingles,,16-21,,
2:45.0,,,16-21,,W. Matthews enters the game for D. Lillard
2:45.0,,,16-21,,A. Crabbe enters the game for N. Batum
2:26.0,,,16-23,2,L. Aldridge makes 2-pt shot from 15 ft
1:58.0,G. Hayward makes 3-pt shot from 29 ft (assist by D. Favors),3,19-23,,
1:42.0,E. Kanter enters the game for D. Favors,,19-23,,
1:34.0,,,19-23,,W. Matthews misses 2-pt shot from 11 ft
1:33.0,Defensive rebound by E. Kanter,,19-23,,
1:20.0,E. Kanter makes 2-pt shot from 20 ft (assist by T. Burke),2,21-23,,
1:01.0,,,21-23,,W. Matthews misses 2-pt shot from 1 ft (block by R. Gobert)
1:01.0,,,21-23,,Offensive rebound by L. Aldridge
1:01.0,,,21-23,,Shooting foul by E. Millsap (drawn by L. Aldridge)
1:01.0,,,21-24,1,L. Aldridge makes free throw 1 of 2
1:01.0,,,21-25,1,L. Aldridge makes free throw 2 of 2
0:50.0,Turnover by E. Kanter (traveling),,21-25,,
0:31.0,,,21-25,,C. Kaman misses 2-pt shot from 3 ft
0:30.0,,,21-25,,Offensive rebound by L. Aldridge
0:30.0,,,21-27,2,L. Aldridge makes 2-pt shot at rim
0:14.0,,,21-27,,Personal foul by S. Blake (drawn by T. Burke)
0:04.0,Shooting foul by A. Crabbe (drawn by G. Hayward),,21-27,,
0:04.0,G. Hayward makes free throw 1 of 2,1,22-27,,
0:04.0,G. Hayward makes free throw 2 of 2,1,23-27,,
0:00.0,,,23-27,,S. Blake misses 2-pt shot from 14 ft
0:00.0,,,23-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,23-27,,C. Kaman misses 2-pt shot from 15 ft
11:46.0,,,23-27,,Offensive rebound by M. Leonard
11:43.0,,,23-27,,Turnover by S. Blake (bad pass; steal by D. Exum)
11:29.0,E. Kanter makes 2-pt shot from 3 ft (assist by T. Burke),2,25-27,,
11:18.0,,,25-27,,W. Matthews misses 3-pt shot from 25 ft
11:17.0,,,25-27,,Offensive rebound by C. Kaman
11:07.0,,,25-27,,A. Crabbe misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by T. Burke,,25-27,,
10:59.0,E. Millsap misses 3-pt shot from 22 ft,,25-27,,
10:58.0,,,25-27,,Defensive rebound by C. Kaman
10:55.0,,,25-27,,Turnover by W. Matthews (bad pass; steal by E. Millsap)
10:38.0,E. Millsap misses 2-pt shot from 21 ft,,25-27,,
10:37.0,,,25-27,,Defensive rebound by A. Crabbe
10:23.0,J. Ingles enters the game for E. Millsap,,25-27,,
10:20.0,,,25-29,2,M. Leonard makes 2-pt shot from 18 ft (assist by W. Matthews)
10:04.0,T. Booker makes 2-pt shot from 16 ft,2,27-29,,
9:51.0,,,27-29,,Turnover by M. Leonard (traveling)
9:35.0,T. Burke makes 2-pt shot from 16 ft,2,29-29,,
9:14.0,,,29-31,2,W. Matthews makes 2-pt shot from 1 ft (assist by C. Kaman)
9:00.0,Turnover by T. Booker (lost ball),,29-31,,
8:58.0,Loose ball foul by T. Booker (drawn by S. Blake),,29-31,,
8:58.0,,,29-31,,C. McCollum enters the game for A. Crabbe
8:58.0,E. Millsap enters the game for J. Ingles,,29-31,,
8:46.0,Official timeout,,29-31,,
8:46.0,,,29-31,,R. Lopez enters the game for C. Kaman
8:43.0,,,29-31,,M. Leonard misses 2-pt shot from 20 ft
8:42.0,,,29-31,,Offensive rebound by W. Matthews
8:26.0,,,29-31,,M. Leonard misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by D. Exum,,29-31,,
8:07.0,T. Burke misses 2-pt shot from 13 ft,,29-31,,
8:06.0,,,29-31,,Defensive rebound by M. Leonard
8:02.0,Personal foul by D. Exum (drawn by S. Blake),,29-31,,
8:02.0,J. Ingles enters the game for D. Exum,,29-31,,
8:02.0,,,29-31,,D. Lillard enters the game for W. Matthews
8:02.0,,,29-31,,N. Batum enters the game for S. Blake
8:02.0,R. Gobert enters the game for T. Booker,,29-31,,
7:58.0,Personal foul by E. Millsap (drawn by D. Lillard),,29-31,,
7:47.0,,,29-33,2,D. Lillard makes 2-pt shot from 1 ft
7:32.0,E. Kanter misses 2-pt shot from 15 ft,,29-33,,
7:32.0,,,29-33,,Defensive rebound by Team
7:32.0,Loose ball foul by R. Gobert (drawn by R. Lopez),,29-33,,
7:13.0,,,29-33,,Turnover by D. Lillard (lost ball; steal by R. Gobert)
6:55.0,T. Burke makes 2-pt shot from 17 ft,2,31-33,,
6:45.0,,,31-33,,C. McCollum misses 2-pt shot from 15 ft
6:44.0,,,31-33,,Offensive rebound by M. Leonard
6:34.0,,,31-33,,D. Lillard misses 3-pt shot from 24 ft
6:33.0,,,31-33,,Offensive rebound by Team
6:33.0,D. Favors enters the game for E. Kanter,,31-33,,
6:16.0,,,31-33,,Turnover by M. Leonard (3 sec)
5:56.0,D. Favors misses 2-pt shot from 6 ft,,31-33,,
5:54.0,,,31-33,,Defensive rebound by M. Leonard
5:37.0,,,31-35,2,N. Batum makes 2-pt shot from 2 ft (assist by D. Lillard)
5:24.0,T. Burke misses 2-pt shot from 14 ft,,31-35,,
5:23.0,Offensive rebound by D. Favors,,31-35,,
5:23.0,Shooting foul by M. Leonard (drawn by D. Favors),,31-35,,
5:23.0,,,31-35,,Portland full timeout
5:23.0,,,31-35,,L. Aldridge enters the game for M. Leonard
5:23.0,G. Hayward enters the game for T. Burke,,31-35,,
5:23.0,D. Favors makes free throw 1 of 2,1,32-35,,
5:23.0,D. Favors misses free throw 2 of 2,,32-35,,
5:22.0,,,32-35,,Defensive rebound by L. Aldridge
5:00.0,,,32-35,,R. Lopez misses 2-pt shot from 7 ft
5:00.0,,,32-35,,Offensive rebound by Team
5:00.0,Loose ball foul by G. Hayward (drawn by N. Batum),,32-35,,
5:00.0,,,32-36,1,N. Batum makes free throw 1 of 2
5:00.0,,,32-37,1,N. Batum makes free throw 2 of 2
4:46.0,D. Favors misses 2-pt shot from 2 ft (block by R. Lopez),,32-37,,
4:44.0,,,32-37,,Defensive rebound by N. Batum
4:32.0,,,32-37,,N. Batum misses 2-pt shot from 13 ft
4:31.0,Defensive rebound by R. Gobert,,32-37,,
4:20.0,J. Ingles misses 2-pt shot from 10 ft,,32-37,,
4:17.0,Offensive rebound by R. Gobert,,32-37,,
4:17.0,R. Gobert makes 2-pt shot at rim,2,34-37,,
3:57.0,,,34-39,2,L. Aldridge makes 2-pt shot from 15 ft
3:39.0,Shooting foul by C. McCollum (drawn by D. Favors),,34-39,,
3:39.0,D. Favors makes free throw 1 of 2,1,35-39,,
3:39.0,D. Favors misses free throw 2 of 2,,35-39,,
3:38.0,,,35-39,,Defensive rebound by D. Lillard
3:29.0,,,35-42,3,N. Batum makes 3-pt shot from 25 ft
3:22.0,Utah full timeout,,35-42,,
3:22.0,,,35-42,,W. Matthews enters the game for C. McCollum
3:22.0,T. Burke enters the game for E. Millsap,,35-42,,
3:08.0,G. Hayward misses 2-pt shot from 1 ft,,35-42,,
3:07.0,Offensive rebound by G. Hayward,,35-42,,
3:07.0,G. Hayward makes 2-pt shot from 1 ft,2,37-42,,
2:51.0,,,37-42,,Turnover by R. Lopez (bad pass)
2:51.0,,,37-42,,Loose ball foul by L. Aldridge (drawn by R. Gobert)
2:42.0,Shooting foul by R. Lopez (drawn by D. Favors),,37-42,,
2:42.0,D. Favors misses free throw 1 of 2,,37-42,,
2:42.0,Offensive rebound by Team,,37-42,,
2:42.0,,,37-42,,C. Kaman enters the game for R. Lopez
2:42.0,D. Favors makes free throw 2 of 2,1,38-42,,
2:18.0,,,38-42,,L. Aldridge misses 3-pt shot from 25 ft
