time,Toronto,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: J. Valanciunas vs. N. Vucevic (C. Frye gains possession)
11:35.0,,,0-0,,Shooting foul by T. Ross (drawn by E. Payton)
11:35.0,,,0-1,1,E. Payton makes free throw 1 of 2
11:35.0,,,0-2,1,E. Payton makes free throw 2 of 2
11:22.0,K. Lowry makes 2-pt shot from 1 ft,2,2-2,,
10:58.0,,,2-4,2,N. Vucevic makes 2-pt shot from 14 ft (assist by T. Harris)
10:40.0,D. DeRozan makes 2-pt shot from 14 ft,2,4-4,,
10:30.0,,,4-7,3,C. Frye makes 3-pt shot from 24 ft (assist by N. Vucevic)
10:10.0,J. Valanciunas makes 2-pt shot from 2 ft,2,6-7,,
9:56.0,,,6-7,,C. Frye misses 3-pt shot from 23 ft
9:54.0,Defensive rebound by D. DeRozan,,6-7,,
9:40.0,A. Johnson misses 3-pt shot from 28 ft,,6-7,,
9:39.0,,,6-7,,Defensive rebound by E. Payton
9:33.0,,,6-7,,T. Harris misses 2-pt shot from 2 ft
9:31.0,Defensive rebound by K. Lowry,,6-7,,
9:17.0,D. DeRozan makes 2-pt shot from 1 ft,2,8-7,,
9:05.0,Personal foul by A. Johnson (drawn by C. Frye),,8-7,,
8:57.0,,,8-7,,E. Payton misses 2-pt shot from 5 ft
8:55.0,,,8-7,,Offensive rebound by N. Vucevic
8:55.0,,,8-9,2,N. Vucevic makes 2-pt shot from 1 ft
8:43.0,T. Ross misses 2-pt shot from 11 ft (block by T. Harris),,8-9,,
8:41.0,Offensive rebound by A. Johnson,,8-9,,
8:40.0,A. Johnson makes 2-pt shot from 1 ft,2,10-9,,
8:32.0,,,10-11,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
8:13.0,D. DeRozan misses 2-pt shot from 15 ft,,10-11,,
8:12.0,,,10-11,,Defensive rebound by N. Vucevic
7:59.0,,,10-11,,Turnover by T. Harris (bad pass)
7:38.0,J. Valanciunas misses 2-pt shot from 6 ft,,10-11,,
7:35.0,,,10-11,,Defensive rebound by N. Vucevic
7:30.0,,,10-13,2,E. Payton makes 2-pt shot at rim
7:14.0,,,10-13,,Personal foul by E. Fournier (drawn by D. DeRozan)
6:59.0,T. Ross misses 3-pt shot from 22 ft,,10-13,,
6:57.0,Offensive rebound by J. Valanciunas,,10-13,,
6:57.0,J. Valanciunas makes 2-pt shot from 1 ft,2,12-13,,
6:45.0,,,12-13,,Turnover by E. Payton (bad pass)
6:34.0,Shooting foul by E. Payton (drawn by K. Lowry),,12-13,,
6:34.0,K. Lowry makes free throw 1 of 2,1,13-13,,
6:34.0,K. Lowry makes free throw 2 of 2,1,14-13,,
6:17.0,,,14-13,,T. Harris misses 2-pt shot from 5 ft (block by T. Ross)
6:17.0,,,14-13,,Offensive rebound by Team
6:14.0,,,14-13,,T. Harris misses 2-pt shot from 20 ft
6:13.0,Defensive rebound by D. DeRozan,,14-13,,
6:09.0,,,14-13,,Personal foul by E. Payton (drawn by K. Lowry)
6:09.0,,,14-13,,L. Ridnour enters the game for E. Payton
6:02.0,D. DeRozan misses 2-pt shot from 16 ft,,14-13,,
6:01.0,Offensive rebound by Team,,14-13,,
5:54.0,Turnover by J. Valanciunas (traveling),,14-13,,
5:54.0,,,14-13,,Orlando full timeout
5:43.0,,,14-13,,C. Frye misses 3-pt shot from 27 ft
5:41.0,Defensive rebound by J. Valanciunas,,14-13,,
5:33.0,,,14-13,,Def 3 sec tech foul by N. Vucevic
5:33.0,D. DeRozan makes technical free throw,1,15-13,,
5:21.0,D. DeRozan misses 2-pt shot from 17 ft,,15-13,,
5:19.0,Offensive rebound by D. DeRozan,,15-13,,
5:15.0,D. DeRozan makes 2-pt shot at rim,2,17-13,,
5:02.0,,,17-15,2,E. Fournier makes 2-pt shot at rim
4:45.0,A. Johnson makes 2-pt shot from 17 ft,2,19-15,,
4:25.0,,,19-15,,T. Harris misses 2-pt shot from 13 ft
4:23.0,Defensive rebound by A. Johnson,,19-15,,
4:16.0,K. Lowry misses 3-pt shot from 28 ft,,19-15,,
4:15.0,,,19-15,,Defensive rebound by T. Harris
4:08.0,,,19-15,,Turnover by T. Harris (bad pass; steal by T. Ross)
3:51.0,Turnover by J. Valanciunas (lost ball; steal by N. Vucevic),,19-15,,
3:46.0,,,19-15,,T. Harris misses 2-pt shot from 2 ft
3:43.0,,,19-15,,Offensive rebound by L. Ridnour
3:43.0,,,19-17,2,L. Ridnour makes 2-pt shot at rim
3:36.0,Toronto full timeout,,19-17,,
3:36.0,P. Patterson enters the game for A. Johnson,,19-17,,
3:36.0,T. Hansbrough enters the game for J. Valanciunas,,19-17,,
3:36.0,,,19-17,,A. Gordon enters the game for C. Frye
3:28.0,Shooting foul by A. Gordon (drawn by D. DeRozan),,19-17,,
3:28.0,D. DeRozan makes free throw 1 of 2,1,20-17,,
3:28.0,L. Williams enters the game for T. Ross,,20-17,,
3:28.0,D. DeRozan makes free throw 2 of 2,1,21-17,,
3:17.0,,,21-19,2,N. Vucevic makes 2-pt shot from 1 ft (assist by L. Ridnour)
2:55.0,K. Lowry misses 2-pt shot from 18 ft,,21-19,,
2:53.0,Offensive rebound by T. Hansbrough,,21-19,,
2:51.0,Shooting foul by A. Gordon (drawn by L. Williams),,21-19,,
2:51.0,L. Williams makes free throw 1 of 3,1,22-19,,
2:51.0,L. Williams makes free throw 2 of 3,1,23-19,,
2:51.0,J. Johnson enters the game for D. DeRozan,,23-19,,
2:51.0,,,23-19,,B. Gordon enters the game for E. Fournier
2:51.0,L. Williams makes free throw 3 of 3,1,24-19,,
2:41.0,,,24-19,,Turnover by L. Ridnour (bad pass; steal by K. Lowry)
2:39.0,,,24-19,,Personal foul by L. Ridnour (drawn by K. Lowry)
2:39.0,K. Lowry misses free throw 1 of 2,,24-19,,
2:39.0,Offensive rebound by Team,,24-19,,
2:39.0,K. Lowry makes free throw 2 of 2,1,25-19,,
2:28.0,,,25-21,2,T. Harris makes 2-pt shot at rim (assist by A. Gordon)
2:12.0,Shooting foul by A. Gordon (drawn by J. Johnson),,25-21,,
2:12.0,J. Johnson makes free throw 1 of 2,1,26-21,,
2:12.0,,,26-21,,D. Dedmon enters the game for N. Vucevic
2:12.0,G. Vasquez enters the game for K. Lowry,,26-21,,
2:12.0,,,26-21,,M. Harkless enters the game for A. Gordon
2:12.0,J. Johnson makes free throw 2 of 2,1,27-21,,
1:57.0,,,27-21,,Shooting foul by J. Johnson (drawn by T. Harris)
1:57.0,,,27-22,1,T. Harris makes free throw 1 of 2
1:57.0,,,27-22,,T. Harris misses free throw 2 of 2
1:57.0,Defensive rebound by P. Patterson,,27-22,,
1:39.0,T. Hansbrough misses 2-pt shot from 2 ft,,27-22,,
1:38.0,,,27-22,,Defensive rebound by T. Harris
1:28.0,,,27-24,2,L. Ridnour makes 2-pt shot from 3 ft
1:18.0,G. Vasquez makes 2-pt shot from 5 ft (assist by L. Williams),2,29-24,,
1:09.0,,,29-24,,Offensive foul by T. Harris
1:09.0,,,29-24,,Turnover by T. Harris (offensive foul)
0:57.0,L. Williams misses 2-pt shot from 16 ft,,29-24,,
0:56.0,,,29-24,,Defensive rebound by D. Dedmon
0:45.0,,,29-24,,L. Ridnour misses 2-pt shot from 19 ft
0:44.0,Defensive rebound by G. Vasquez,,29-24,,
0:37.0,G. Vasquez misses 3-pt shot from 26 ft,,29-24,,
0:35.0,,,29-24,,Defensive rebound by T. Harris
0:18.0,,,29-26,2,B. Gordon makes 2-pt shot from 20 ft (assist by L. Ridnour)
0:01.0,L. Williams misses 2-pt shot from 11 ft (block by D. Dedmon),,29-26,,
0:00.0,Offensive rebound by Team,,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,29-26,,Personal foul by C. Frye (drawn by G. Vasquez)
11:37.0,P. Patterson misses 3-pt shot from 26 ft,,29-26,,
11:36.0,Offensive rebound by T. Hansbrough,,29-26,,
11:34.0,Turnover by J. Johnson (bad pass),,29-26,,
11:15.0,,,29-26,,C. Frye misses 2-pt shot from 21 ft
11:14.0,Defensive rebound by P. Patterson,,29-26,,
11:09.0,,,29-26,,Personal foul by M. Harkless (drawn by G. Vasquez)
11:01.0,Shooting foul by D. Dedmon (drawn by J. Johnson),,29-26,,
11:01.0,J. Johnson misses free throw 1 of 2,,29-26,,
11:01.0,Offensive rebound by Team,,29-26,,
11:01.0,J. Johnson makes free throw 2 of 2,1,30-26,,
10:45.0,,,30-26,,B. Gordon misses 2-pt shot from 12 ft
10:44.0,Defensive rebound by P. Patterson,,30-26,,
10:26.0,J. Johnson makes 2-pt shot from 2 ft (assist by P. Patterson),2,32-26,,
10:11.0,Personal foul by T. Hansbrough (drawn by E. Payton),,32-26,,
10:09.0,,,32-26,,Shooting foul by L. Williams (drawn by E. Payton)
10:09.0,,,32-26,,E. Payton misses free throw 1 of 2
10:09.0,,,32-26,,Offensive rebound by Team
10:09.0,,,32-26,,E. Payton misses free throw 2 of 2
10:08.0,Defensive rebound by J. Johnson,,32-26,,
9:49.0,Turnover by L. Williams (bad pass; steal by M. Harkless),,32-26,,
9:45.0,,,32-28,2,E. Payton makes 2-pt shot from 1 ft (assist by M. Harkless)
9:27.0,Offensive foul by T. Hansbrough,,32-28,,
9:27.0,Turnover by T. Hansbrough (offensive foul),,32-28,,
9:12.0,,,32-28,,E. Payton misses 2-pt shot at rim
9:10.0,,,32-28,,Offensive rebound by E. Payton
9:10.0,,,32-28,,M. Harkless misses 2-pt shot from 1 ft
9:07.0,,,32-28,,Offensive rebound by D. Dedmon
