time,New York,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. N. Vucevic (J. Calderon gains possession),,,,Jump ball: L. Amundson vs. N. Vucevic (J. Calderon gains possession)
11:43.0,J. Smith makes 2-pt shot from 16 ft (assist by J. Calderon),2,2-0,,
11:22.0,,,2-2,2,N. Vucevic makes 2-pt shot from 9 ft
10:57.0,J. Smith makes 2-pt shot from 12 ft (assist by L. Galloway),2,4-2,,
10:41.0,,,4-2,,Shooting foul by L. Galloway (drawn by V. Oladipo)
10:41.0,,,4-3,1,V. Oladipo makes free throw 1 of 2
10:41.0,,,4-4,1,V. Oladipo makes free throw 2 of 2
10:32.0,Turnover by J. Smith (bad pass),,4-4,,
10:15.0,,,4-6,2,N. Vucevic makes 2-pt shot from 10 ft
10:01.0,J. Calderon makes 2-pt shot from 18 ft,2,6-6,,
9:55.0,,,6-8,2,E. Payton makes 2-pt shot from 5 ft
9:55.0,,,6-8,,Shooting foul by L. Amundson (drawn by E. Payton)
9:55.0,,,6-9,1,E. Payton makes free throw 1 of 1
9:35.0,J. Smith makes 3-pt shot from 22 ft (assist by J. Calderon),3,9-9,,
9:24.0,,,9-9,,Shooting foul by L. Amundson (drawn by V. Oladipo)
9:24.0,,,9-10,1,V. Oladipo makes free throw 1 of 2
9:24.0,C. Aldrich enters the game for L. Amundson,,9-10,,
9:24.0,,,9-11,1,V. Oladipo makes free throw 2 of 2
9:10.0,Shooting foul by E. Payton (drawn by C. Aldrich),,9-11,,
9:10.0,C. Aldrich makes free throw 1 of 2,1,10-11,,
9:10.0,C. Aldrich misses free throw 2 of 2,,10-11,,
9:09.0,,,10-11,,Defensive rebound by N. Vucevic
8:57.0,,,10-11,,Turnover by N. Vucevic (bad pass)
8:42.0,Turnover by J. Smith (lost ball; steal by C. Frye),,10-11,,
8:27.0,,,10-11,,E. Fournier misses 2-pt shot at rim (block by C. Aldrich)
8:23.0,Defensive rebound by L. Galloway,,10-11,,
8:20.0,J. Calderon makes 2-pt shot from 2 ft (assist by L. Galloway),2,12-11,,
8:08.0,,,12-13,2,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Fournier)
7:41.0,J. Smith makes 2-pt shot from 5 ft,2,14-13,,
7:28.0,,,14-13,,C. Frye misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by J. Calderon,,14-13,,
7:09.0,J. Calderon misses 2-pt shot from 21 ft,,14-13,,
7:08.0,,,14-13,,Defensive rebound by V. Oladipo
6:48.0,,,14-16,3,E. Fournier makes 3-pt shot from 25 ft
6:37.0,New York full timeout,,14-16,,
6:33.0,Turnover by T. Hardaway (bad pass; steal by V. Oladipo),,14-16,,
6:28.0,,,14-16,,E. Fournier misses 2-pt shot from 19 ft
6:27.0,Defensive rebound by C. Aldrich,,14-16,,
6:16.0,,,14-16,,Personal foul by E. Fournier (drawn by C. Aldrich)
6:10.0,L. Galloway misses 2-pt shot from 2 ft,,14-16,,
6:09.0,,,14-16,,Defensive rebound by N. Vucevic
6:03.0,,,14-16,,V. Oladipo misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by J. Smith,,14-16,,
5:50.0,C. Aldrich makes 2-pt shot from 7 ft (assist by J. Calderon),2,16-16,,
5:32.0,,,16-16,,Shooting foul by C. Aldrich (drawn by N. Vucevic)
5:32.0,,,16-17,1,N. Vucevic makes free throw 1 of 2
5:32.0,,,16-18,1,N. Vucevic makes free throw 2 of 2
5:08.0,C. Aldrich misses 2-pt shot from 2 ft,,16-18,,
5:07.0,,,16-18,,Defensive rebound by N. Vucevic
5:03.0,Personal foul by L. Galloway (drawn by E. Payton),,16-18,,
5:03.0,,,16-19,1,E. Payton makes free throw 1 of 2
5:03.0,P. Prigioni enters the game for L. Galloway,,16-19,,
5:03.0,,,16-19,,E. Payton misses free throw 2 of 2
5:02.0,,,16-19,,Offensive rebound by E. Payton
4:54.0,,,16-22,3,C. Frye makes 3-pt shot from 26 ft (assist by V. Oladipo)
4:35.0,C. Aldrich misses 2-pt shot from 7 ft,,16-22,,
4:33.0,,,16-22,,Defensive rebound by N. Vucevic
4:22.0,,,16-22,,V. Oladipo misses 2-pt shot from 9 ft
4:21.0,Defensive rebound by J. Smith,,16-22,,
4:11.0,C. Aldrich misses 2-pt shot from 1 ft (block by V. Oladipo),,16-22,,
4:09.0,Offensive rebound by Team,,16-22,,
4:09.0,Jump ball: C. Aldrich vs. V. Oladipo (P. Prigioni gains possession),,,,Jump ball: C. Aldrich vs. V. Oladipo (P. Prigioni gains possession)
3:54.0,T. Hardaway misses 3-pt shot from 26 ft,,16-22,,
3:53.0,Offensive rebound by P. Prigioni,,16-22,,
3:45.0,J. Calderon misses 3-pt shot from 24 ft,,16-22,,
3:44.0,,,16-22,,Defensive rebound by Team
3:34.0,,,16-22,,C. Frye misses 3-pt shot from 26 ft
3:33.0,Defensive rebound by C. Aldrich,,16-22,,
3:18.0,Shooting foul by C. Frye (drawn by J. Smith),,16-22,,
3:18.0,J. Smith makes free throw 1 of 2,1,17-22,,
3:18.0,,,17-22,,A. Gordon enters the game for C. Frye
3:18.0,J. Smith makes free throw 2 of 2,1,18-22,,
2:56.0,,,18-22,,N. Vucevic misses 2-pt shot from 13 ft
2:55.0,Defensive rebound by J. Smith,,18-22,,
2:49.0,T. Hardaway makes 2-pt shot from 2 ft (assist by J. Calderon),2,20-22,,
2:45.0,,,20-22,,Orlando full timeout
2:45.0,,,20-22,,L. Ridnour enters the game for E. Payton
2:45.0,S. Larkin enters the game for J. Smith,,20-22,,
2:45.0,A. Stoudemire enters the game for J. Calderon,,20-22,,
2:45.0,A. Bargnani enters the game for C. Aldrich,,20-22,,
2:30.0,,,20-22,,N. Vucevic misses 2-pt shot from 8 ft
2:29.0,Defensive rebound by A. Bargnani,,20-22,,
2:24.0,,,20-22,,Personal foul by A. Gordon (drawn by S. Larkin)
2:24.0,,,20-22,,W. Green enters the game for E. Fournier
2:08.0,T. Hardaway misses 2-pt shot from 8 ft,,20-22,,
2:07.0,,,20-22,,Defensive rebound by N. Vucevic
1:58.0,,,20-24,2,A. Gordon makes 2-pt shot from 2 ft
1:47.0,,,20-24,,Personal foul by V. Oladipo (drawn by T. Hardaway)
1:47.0,T. Hardaway makes free throw 1 of 2,1,21-24,,
1:47.0,T. Hardaway makes free throw 2 of 2,1,22-24,,
1:27.0,Personal foul by T. Hardaway (drawn by W. Green),,22-24,,
1:27.0,,,22-24,,W. Green misses free throw 1 of 2
1:27.0,,,22-24,,Offensive rebound by Team
1:27.0,,,22-24,,K. O'Quinn enters the game for N. Vucevic
1:27.0,C. Early enters the game for T. Hardaway,,22-24,,
1:27.0,,,22-25,1,W. Green makes free throw 2 of 2
1:08.0,A. Bargnani misses 2-pt shot from 19 ft,,22-25,,
1:06.0,,,22-25,,Defensive rebound by L. Ridnour
0:57.0,,,22-25,,Turnover by V. Oladipo (step out of bounds)
0:41.0,A. Bargnani makes 2-pt shot from 9 ft (assist by P. Prigioni),2,24-25,,
0:35.0,,,24-25,,W. Green misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by A. Bargnani,,24-25,,
0:15.0,A. Bargnani misses 2-pt shot from 15 ft,,24-25,,
0:14.0,,,24-25,,Defensive rebound by V. Oladipo
0:00.0,,,24-27,2,V. Oladipo makes 2-pt shot from 17 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-27,,K. O'Quinn misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by P. Prigioni,,24-27,,
11:28.0,C. Early makes 3-pt shot from 23 ft (assist by S. Larkin),3,27-27,,
11:11.0,,,27-27,,Turnover by A. Gordon (offensive foul)
11:11.0,,,27-27,,Offensive charge foul by A. Gordon
10:55.0,Turnover by A. Stoudemire (offensive foul),,27-27,,
10:55.0,Offensive charge foul by A. Stoudemire,,27-27,,
10:38.0,,,27-27,,B. Gordon misses 2-pt shot from 17 ft (block by P. Prigioni)
10:35.0,Defensive rebound by C. Early,,27-27,,
10:29.0,Shooting foul by L. Ridnour (drawn by A. Bargnani),,27-27,,
10:29.0,A. Bargnani makes free throw 1 of 2,1,28-27,,
10:29.0,A. Bargnani makes free throw 2 of 2,1,29-27,,
10:16.0,Personal foul by C. Early (drawn by B. Gordon),,29-27,,
10:16.0,,,29-27,,D. Dedmon enters the game for A. Gordon
10:13.0,,,29-27,,Offensive foul by K. O'Quinn
10:13.0,,,29-27,,Turnover by K. O'Quinn (offensive foul)
9:50.0,P. Prigioni misses 3-pt shot from 25 ft,,29-27,,
9:48.0,,,29-27,,Defensive rebound by L. Ridnour
9:42.0,Personal foul by A. Stoudemire (drawn by L. Ridnour),,29-27,,
9:31.0,,,29-27,,Shooting foul by C. Early (drawn by W. Green)
9:31.0,,,29-28,1,W. Green makes free throw 1 of 2
9:31.0,,,29-29,1,W. Green makes free throw 2 of 2
9:14.0,C. Early misses 2-pt shot from 14 ft (block by W. Green),,29-29,,
9:14.0,Offensive rebound by Team,,29-29,,
9:07.0,A. Bargnani makes 2-pt shot from 15 ft (assist by P. Prigioni),2,31-29,,
8:59.0,,,31-29,,W. Green misses 2-pt shot from 1 ft
8:58.0,,,31-29,,Offensive rebound by D. Dedmon
8:58.0,,,31-31,2,D. Dedmon makes 2-pt shot at rim
8:49.0,Offensive foul by A. Stoudemire,,31-31,,
8:49.0,Turnover by A. Stoudemire (offensive foul),,31-31,,
8:49.0,Official timeout,,31-31,,
8:49.0,T. Hardaway enters the game for P. Prigioni,,31-31,,
8:49.0,J. Calderon enters the game for A. Stoudemire,,31-31,,
8:49.0,J. Smith enters the game for C. Early,,31-31,,
8:40.0,,,31-33,2,L. Ridnour makes 2-pt shot from 18 ft
8:25.0,Shooting foul by K. O'Quinn (drawn by A. Bargnani),,31-33,,
8:25.0,A. Bargnani misses free throw 1 of 2,,31-33,,
8:25.0,Offensive rebound by Team,,31-33,,
8:25.0,,,31-33,,N. Vucevic enters the game for K. O'Quinn
8:25.0,A. Bargnani makes free throw 2 of 2,1,32-33,,
8:16.0,,,32-33,,Turnover by N. Vucevic (bad pass)
7:53.0,A. Bargnani misses 2-pt shot from 16 ft,,32-33,,
7:51.0,,,32-33,,Defensive rebound by N. Vucevic
7:45.0,,,32-33,,B. Gordon misses 2-pt shot from 20 ft
7:43.0,Defensive rebound by A. Bargnani,,32-33,,
7:28.0,J. Smith makes 2-pt shot from 14 ft,2,34-33,,
7:06.0,,,34-33,,Turnover by L. Ridnour (step out of bounds)
7:06.0,,,34-33,,E. Payton enters the game for L. Ridnour
7:06.0,,,34-33,,V. Oladipo enters the game for W. Green
6:50.0,A. Bargnani misses 2-pt shot from 14 ft (block by D. Dedmon),,34-33,,
6:47.0,,,34-33,,Defensive rebound by N. Vucevic
6:41.0,,,34-35,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
6:34.0,Shooting foul by N. Vucevic (drawn by T. Hardaway),,34-35,,
6:34.0,T. Hardaway misses free throw 1 of 2,,34-35,,
6:34.0,Offensive rebound by Team,,34-35,,
6:34.0,T. Hardaway makes free throw 2 of 2,1,35-35,,
6:19.0,,,35-35,,Turnover by V. Oladipo (lost ball; steal by S. Larkin)
6:03.0,Turnover by A. Bargnani (traveling),,35-35,,
5:44.0,,,35-35,,Turnover by E. Payton (bad pass; steal by J. Calderon)
5:39.0,J. Calderon misses 2-pt shot from 2 ft,,35-35,,
5:37.0,,,35-35,,Defensive rebound by V. Oladipo
