time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (J. Noah gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (J. Noah gains possession)
11:36.0,P. Gasol misses 2-pt shot from 6 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by M. Carter-Williams
11:27.0,,,0-0,,E. Ilyasova misses 2-pt shot from 14 ft
11:26.0,Defensive rebound by J. Butler,,0-0,,
11:11.0,J. Butler misses 3-pt shot from 23 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by G. Antetokounmpo
10:50.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 11 ft
10:34.0,P. Gasol makes 2-pt shot at rim (assist by J. Noah),2,2-2,,
10:09.0,,,2-2,,K. Middleton misses 3-pt shot from 24 ft
10:08.0,,,2-2,,Offensive rebound by Z. Pachulia
9:53.0,,,2-2,,Z. Pachulia misses 2-pt shot from 15 ft
9:52.0,,,2-2,,Offensive rebound by E. Ilyasova
9:41.0,,,2-5,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
9:34.0,Chicago full timeout,,2-5,,
9:28.0,A. Brooks makes 2-pt shot at rim,2,4-5,,
9:04.0,,,4-5,,K. Middleton misses 2-pt shot from 7 ft
9:03.0,,,4-5,,Offensive rebound by K. Middleton
8:58.0,,,4-5,,E. Ilyasova misses 3-pt shot from 25 ft
8:57.0,,,4-5,,Offensive rebound by M. Carter-Williams
8:52.0,,,4-5,,G. Antetokounmpo misses 2-pt shot from 5 ft
8:50.0,,,4-5,,Offensive rebound by G. Antetokounmpo
8:50.0,,,4-7,2,G. Antetokounmpo makes 2-pt shot at rim
8:28.0,Shooting foul by M. Carter-Williams (drawn by A. Brooks),,4-7,,
8:28.0,A. Brooks misses free throw 1 of 2,,4-7,,
8:28.0,Offensive rebound by Team,,4-7,,
8:28.0,A. Brooks misses free throw 2 of 2,,4-7,,
