time,San Antonio,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession)
11:43.0,,,0-0,,Turnover by J. Redick (bad pass; steal by K. Leonard)
11:32.0,T. Duncan misses 2-pt shot from 6 ft (block by D. Jordan),,0-0,,
11:29.0,Offensive rebound by D. Green,,0-0,,
11:23.0,D. Green makes 2-pt shot from 2 ft,2,2-0,,
11:06.0,,,2-2,2,B. Griffin makes 2-pt shot from 5 ft
10:53.0,D. Green misses 3-pt shot from 25 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by C. Paul
10:35.0,,,2-2,,B. Griffin misses 2-pt shot at rim (block by T. Duncan)
10:33.0,Defensive rebound by D. Green,,2-2,,
10:17.0,D. Green misses 3-pt shot from 25 ft,,2-2,,
10:16.0,,,2-2,,Defensive rebound by C. Paul
10:05.0,,,2-2,,J. Redick misses 2-pt shot from 21 ft
10:04.0,Defensive rebound by K. Leonard,,2-2,,
9:58.0,K. Leonard misses 2-pt shot from 19 ft,,2-2,,
9:57.0,,,2-2,,Defensive rebound by C. Paul
9:51.0,,,2-5,3,C. Paul makes 3-pt shot from 25 ft
9:28.0,T. Duncan makes 2-pt shot from 8 ft (assist by T. Parker),2,4-5,,
9:28.0,Shooting foul by D. Jordan (drawn by T. Duncan),,4-5,,
9:28.0,T. Duncan misses free throw 1 of 1,,4-5,,
9:27.0,,,4-5,,Defensive rebound by J. Redick
9:15.0,,,4-8,3,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul)
8:54.0,T. Splitter misses 2-pt shot from 3 ft (block by D. Jordan),,4-8,,
8:52.0,Offensive rebound by T. Splitter,,4-8,,
8:48.0,D. Green misses 2-pt shot from 10 ft,,4-8,,
8:47.0,,,4-8,,Defensive rebound by D. Jordan
8:39.0,,,4-10,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
8:39.0,,,4-10,,Shooting foul by T. Splitter (drawn by B. Griffin)
8:39.0,San Antonio full timeout,,4-10,,
8:39.0,,,4-11,1,B. Griffin makes free throw 1 of 1
8:24.0,T. Splitter makes 2-pt shot from 2 ft (assist by T. Duncan),2,6-11,,
8:11.0,,,6-13,2,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin)
7:53.0,T. Duncan makes 2-pt shot from 8 ft (assist by T. Splitter),2,8-13,,
7:31.0,,,8-13,,Turnover by B. Griffin (bad pass; steal by T. Splitter)
7:31.0,Turnover by K. Leonard (traveling),,8-13,,
7:18.0,,,8-16,3,J. Redick makes 3-pt shot from 25 ft (assist by M. Barnes)
7:01.0,T. Parker misses 2-pt shot from 18 ft,,8-16,,
7:00.0,,,8-16,,Defensive rebound by B. Griffin
6:54.0,,,8-16,,B. Griffin misses 2-pt shot from 1 ft
6:52.0,Defensive rebound by T. Duncan,,8-16,,
6:47.0,Turnover by T. Parker (lost ball; steal by M. Barnes),,8-16,,
6:43.0,,,8-16,,Shooting foul by K. Leonard (drawn by B. Griffin)
6:43.0,,,8-17,1,B. Griffin makes free throw 1 of 2
6:43.0,M. Ginobili enters the game for D. Green,,8-17,,
6:43.0,A. Baynes enters the game for T. Splitter,,8-17,,
6:43.0,,,8-18,1,B. Griffin makes free throw 2 of 2
6:34.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,10-18,,
6:13.0,,,10-18,,B. Griffin misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by M. Ginobili,,10-18,,
6:05.0,T. Parker misses 3-pt shot from 23 ft,,10-18,,
6:04.0,,,10-18,,Defensive rebound by D. Jordan
5:59.0,,,10-20,2,M. Barnes makes 2-pt shot from 2 ft (assist by D. Jordan)
5:44.0,Shooting foul by M. Barnes (drawn by K. Leonard),,10-20,,
5:44.0,K. Leonard makes free throw 1 of 2,1,11-20,,
5:44.0,K. Leonard misses free throw 2 of 2,,11-20,,
5:43.0,,,11-20,,Defensive rebound by M. Barnes
5:33.0,,,11-20,,C. Paul misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by M. Ginobili,,11-20,,
5:22.0,M. Ginobili misses 3-pt shot from 25 ft,,11-20,,
5:20.0,Offensive rebound by T. Duncan,,11-20,,
5:11.0,A. Baynes misses 2-pt shot from 2 ft,,11-20,,
5:10.0,,,11-20,,Defensive rebound by D. Jordan
4:58.0,,,11-20,,Turnover by C. Paul (bad pass; steal by T. Duncan)
4:55.0,Offensive charge foul by K. Leonard,,11-20,,
4:55.0,Turnover by K. Leonard (offensive foul),,11-20,,
4:55.0,,,11-20,,LA Clippers full timeout
4:55.0,B. Diaw enters the game for T. Duncan,,11-20,,
4:55.0,D. Green enters the game for K. Leonard,,11-20,,
4:36.0,,,11-20,,B. Griffin misses 2-pt shot from 3 ft
4:35.0,Defensive rebound by B. Diaw,,11-20,,
4:27.0,A. Baynes makes 2-pt shot from 1 ft (assist by B. Diaw),2,13-20,,
4:27.0,Shooting foul by M. Barnes (drawn by A. Baynes),,13-20,,
4:27.0,,,13-20,,J. Crawford enters the game for M. Barnes
4:27.0,A. Baynes makes free throw 1 of 1,1,14-20,,
4:15.0,,,14-20,,B. Griffin misses 2-pt shot from 6 ft
