time,Cleveland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. T. Mozgov (T. Parker gains possession),,,,Jump ball: T. Duncan vs. T. Mozgov (T. Parker gains possession)
11:42.0,,,0-2,2,K. Leonard makes 2-pt shot from 16 ft (assist by T. Duncan)
11:23.0,K. Irving makes 2-pt shot from 11 ft (assist by K. Love),2,2-2,,
11:07.0,,,2-5,3,D. Green makes 3-pt shot from 24 ft (assist by T. Splitter)
10:50.0,K. Love makes 3-pt shot from 24 ft (assist by J. Smith),3,5-5,,
10:36.0,,,5-7,2,T. Parker makes 2-pt shot from 7 ft
10:24.0,K. Irving misses 2-pt shot from 3 ft (block by T. Duncan),,5-7,,
10:23.0,,,5-7,,Defensive rebound by T. Parker
10:06.0,,,5-7,,D. Green misses 2-pt shot from 13 ft
10:05.0,Defensive rebound by T. Mozgov,,5-7,,
9:47.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,7-7,,
9:31.0,,,7-9,2,T. Parker makes 2-pt shot from 15 ft
9:15.0,L. James misses 2-pt shot from 2 ft,,7-9,,
9:14.0,Offensive rebound by T. Mozgov,,7-9,,
9:11.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,10-9,,
8:51.0,,,10-11,2,D. Green makes 2-pt shot from 15 ft (assist by K. Leonard)
8:34.0,K. Love misses 3-pt shot from 23 ft,,10-11,,
8:33.0,Offensive rebound by T. Mozgov,,10-11,,
8:29.0,J. Smith makes 3-pt shot from 24 ft (assist by T. Mozgov),3,13-11,,
8:16.0,,,13-14,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
8:02.0,T. Mozgov misses 2-pt shot at rim,,13-14,,
8:01.0,,,13-14,,Defensive rebound by K. Leonard
7:53.0,,,13-16,2,K. Leonard makes 2-pt shot from 9 ft
7:28.0,T. Mozgov makes 2-pt shot from 10 ft (assist by J. Smith),2,15-16,,
7:11.0,,,15-16,,Turnover by T. Duncan (lost ball; steal by L. James)
7:02.0,Shooting foul by D. Green (drawn by T. Mozgov),,15-16,,
7:02.0,T. Mozgov misses free throw 1 of 2,,15-16,,
7:02.0,Offensive rebound by Team,,15-16,,
7:02.0,T. Mozgov makes free throw 2 of 2,1,16-16,,
6:47.0,,,16-18,2,T. Parker makes 2-pt shot from 9 ft (assist by T. Duncan)
6:31.0,K. Irving misses 2-pt shot from 13 ft,,16-18,,
6:30.0,,,16-18,,Defensive rebound by D. Green
6:25.0,,,16-18,,D. Green misses 3-pt shot from 25 ft
6:24.0,,,16-18,,Offensive rebound by K. Leonard
6:17.0,,,16-18,,T. Splitter misses 2-pt shot from 2 ft
6:16.0,,,16-18,,Offensive rebound by T. Duncan
6:16.0,,,16-20,2,T. Duncan makes 2-pt shot at rim
6:04.0,L. James makes 2-pt shot from 18 ft,2,18-20,,
6:03.0,,,18-20,,San Antonio full timeout
6:03.0,,,18-20,,M. Ginobili enters the game for D. Green
6:03.0,,,18-20,,B. Diaw enters the game for T. Splitter
5:36.0,,,18-20,,K. Leonard misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by J. Smith,,18-20,,
5:28.0,L. James misses 3-pt shot from 25 ft,,18-20,,
5:27.0,,,18-20,,Defensive rebound by B. Diaw
5:20.0,,,18-20,,B. Diaw misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by K. Irving,,18-20,,
4:59.0,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James),2,20-20,,
4:40.0,,,20-20,,B. Diaw misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by J. Smith,,20-20,,
4:24.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,22-20,,
4:15.0,,,22-22,2,T. Parker makes 2-pt shot from 4 ft
4:08.0,Cleveland full timeout,,22-22,,
4:08.0,I. Shumpert enters the game for L. James,,22-22,,
4:04.0,Shooting foul by T. Duncan (drawn by K. Love),,22-22,,
4:04.0,K. Love makes free throw 1 of 2,1,23-22,,
4:04.0,,,23-22,,M. Belinelli enters the game for K. Leonard
4:04.0,K. Love makes free throw 2 of 2,1,24-22,,
3:49.0,,,24-24,2,T. Duncan makes 2-pt shot from 1 ft (assist by M. Ginobili)
3:36.0,K. Irving makes 2-pt shot from 6 ft,2,26-24,,
3:18.0,,,26-24,,T. Parker misses 2-pt shot from 6 ft
3:17.0,Defensive rebound by T. Mozgov,,26-24,,
3:02.0,T. Mozgov misses 2-pt shot from 8 ft,,26-24,,
3:01.0,,,26-24,,Defensive rebound by M. Ginobili
2:54.0,,,26-24,,Turnover by T. Parker (lost ball; steal by K. Irving)
2:46.0,I. Shumpert misses 3-pt shot from 22 ft,,26-24,,
2:45.0,,,26-24,,Defensive rebound by T. Parker
2:40.0,,,26-24,,T. Parker misses 2-pt shot from 2 ft
2:39.0,,,26-24,,Offensive rebound by M. Belinelli
2:39.0,,,26-24,,M. Belinelli misses 2-pt shot from 1 ft
2:38.0,Defensive rebound by I. Shumpert,,26-24,,
2:23.0,K. Love misses 2-pt shot from 3 ft,,26-24,,
2:21.0,Offensive rebound by K. Love,,26-24,,
2:21.0,K. Love misses 2-pt shot from 1 ft,,26-24,,
2:20.0,,,26-24,,Defensive rebound by M. Ginobili
2:08.0,,,26-24,,Shooting foul by I. Shumpert (drawn by T. Parker)
2:08.0,,,26-25,1,T. Parker makes free throw 1 of 2
2:08.0,T. Thompson enters the game for T. Mozgov,,26-25,,
2:08.0,J. Jones enters the game for K. Love,,26-25,,
2:08.0,,,26-25,,T. Splitter enters the game for T. Duncan
2:08.0,,,26-25,,T. Parker misses free throw 2 of 2
2:07.0,Defensive rebound by I. Shumpert,,26-25,,
1:55.0,K. Irving makes 2-pt shot from 2 ft,2,28-25,,
1:37.0,,,28-27,2,B. Diaw makes 2-pt shot from 5 ft
1:26.0,K. Irving misses 2-pt shot from 5 ft,,28-27,,
1:25.0,Offensive rebound by T. Thompson,,28-27,,
1:25.0,T. Thompson makes 2-pt shot at rim,2,30-27,,
1:09.0,,,30-27,,Turnover by T. Splitter (bad pass; steal by K. Irving)
1:03.0,Turnover by K. Irving (bad pass; steal by T. Splitter),,30-27,,
0:55.0,,,30-27,,Shooting foul by T. Thompson (drawn by T. Splitter)
0:55.0,,,30-27,,T. Splitter misses free throw 1 of 2
0:55.0,,,30-27,,Offensive rebound by Team
0:55.0,,,30-27,,P. Mills enters the game for T. Parker
0:55.0,,,30-27,,K. Leonard enters the game for M. Ginobili
0:55.0,M. Dellavedova enters the game for K. Irving,,30-27,,
0:55.0,L. James enters the game for J. Smith,,30-27,,
0:55.0,Violation by M. Dellavedova (lane),,30-27,,
0:55.0,,,30-28,1,T. Splitter makes free throw 2 of 2
0:31.0,L. James misses 2-pt shot from 20 ft,,30-28,,
0:30.0,,,30-28,,Defensive rebound by M. Belinelli
0:09.0,,,30-31,3,P. Mills makes 3-pt shot from 24 ft
0:00.0,L. James misses 2-pt shot from 21 ft,,30-31,,
0:00.0,Offensive rebound by Team,,30-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,32-31,,
11:24.0,,,32-33,2,T. Splitter makes 2-pt shot at rim (assist by B. Diaw)
11:13.0,,,32-33,,Shooting block foul by K. Leonard (drawn by L. James)
11:13.0,L. James makes 2-pt shot from 5 ft,2,34-33,,
11:13.0,L. James makes free throw 1 of 1,1,35-33,,
10:52.0,,,35-33,,M. Belinelli misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by T. Thompson,,35-33,,
10:41.0,I. Shumpert misses 2-pt shot from 16 ft,,35-33,,
10:40.0,,,35-33,,Defensive rebound by K. Leonard
10:34.0,,,35-33,,K. Leonard misses 2-pt shot from 16 ft
10:33.0,Defensive rebound by Team,,35-33,,
10:21.0,Shooting foul by T. Splitter (drawn by L. James),,35-33,,
10:21.0,L. James makes free throw 1 of 2,1,36-33,,
10:21.0,,,36-33,,M. Bonner enters the game for B. Diaw
10:21.0,L. James makes free throw 2 of 2,1,37-33,,
10:04.0,,,37-35,2,K. Leonard makes 2-pt shot at rim (assist by P. Mills)
10:00.0,Shooting foul by T. Splitter (drawn by L. James),,37-35,,
10:00.0,L. James makes free throw 1 of 2,1,38-35,,
10:00.0,L. James makes free throw 2 of 2,1,39-35,,
9:47.0,,,39-37,2,M. Belinelli makes 2-pt shot from 16 ft
9:36.0,I. Shumpert makes 2-pt shot from 16 ft,2,41-37,,
9:21.0,,,41-39,2,K. Leonard makes 2-pt shot from 4 ft
9:04.0,L. James misses 2-pt shot from 16 ft,,41-39,,
9:03.0,,,41-39,,Defensive rebound by Team
9:03.0,K. Love enters the game for J. Jones,,41-39,,
8:48.0,,,41-39,,K. Leonard misses 2-pt shot from 17 ft
8:47.0,Defensive rebound by I. Shumpert,,41-39,,
8:41.0,Offensive charge foul by I. Shumpert,,41-39,,
8:41.0,Turnover by I. Shumpert (offensive foul),,41-39,,
8:41.0,Official timeout,,41-39,,
8:41.0,J. Smith enters the game for L. James,,41-39,,
8:41.0,K. Irving enters the game for I. Shumpert,,41-39,,
8:27.0,,,41-42,3,P. Mills makes 3-pt shot from 22 ft (assist by K. Leonard)
8:09.0,K. Love misses 2-pt shot from 19 ft,,41-42,,
8:08.0,,,41-42,,Defensive rebound by P. Mills
8:00.0,,,41-42,,Shooting foul by J. Smith (drawn by K. Leonard)
8:00.0,,,41-43,1,K. Leonard makes free throw 1 of 2
8:00.0,,,41-44,1,K. Leonard makes free throw 2 of 2
7:51.0,Offensive foul by J. Smith,,41-44,,
7:51.0,Turnover by J. Smith (offensive foul),,41-44,,
7:51.0,,,41-44,,T. Duncan enters the game for T. Splitter
7:51.0,,,41-44,,T. Parker enters the game for M. Belinelli
7:51.0,T. Mozgov enters the game for T. Thompson,,41-44,,
7:34.0,,,41-44,,Turnover by K. Leonard (bad pass; steal by M. Dellavedova)
7:25.0,Turnover by J. Smith (lost ball),,41-44,,
7:03.0,,,41-46,2,T. Parker makes 2-pt shot from 9 ft (assist by K. Leonard)
6:48.0,K. Irving makes 2-pt shot from 17 ft,2,43-46,,
6:30.0,,,43-48,2,K. Leonard makes 2-pt shot from 7 ft (assist by T. Parker)
6:16.0,Shooting foul by T. Parker (drawn by K. Irving),,43-48,,
6:16.0,K. Irving makes free throw 1 of 2,1,44-48,,
6:16.0,L. James enters the game for J. Smith,,44-48,,
6:16.0,K. Irving makes free throw 2 of 2,1,45-48,,
5:57.0,,,45-48,,T. Parker misses 2-pt shot from 4 ft
5:57.0,Defensive rebound by Team,,45-48,,
5:57.0,,,45-48,,San Antonio full timeout
5:57.0,,,45-48,,D. Green enters the game for K. Leonard
5:40.0,K. Love misses 2-pt shot from 1 ft (block by T. Duncan),,45-48,,
5:40.0,,,45-48,,Defensive rebound by T. Duncan
5:30.0,,,45-50,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
5:12.0,K. Irving makes 2-pt shot from 2 ft,2,47-50,,
4:54.0,,,47-52,2,T. Parker makes 2-pt shot from 4 ft
4:31.0,L. James misses 2-pt shot from 16 ft,,47-52,,
4:29.0,,,47-52,,Defensive rebound by T. Parker
4:28.0,Personal foul by M. Dellavedova (drawn by T. Parker),,47-52,,
4:28.0,J. Smith enters the game for M. Dellavedova,,47-52,,
4:28.0,,,47-52,,K. Leonard enters the game for P. Mills
4:07.0,,,47-52,,M. Bonner misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by L. James,,47-52,,
3:56.0,K. Irving makes 2-pt shot from 4 ft,2,49-52,,
3:44.0,,,49-54,2,T. Parker makes 2-pt shot from 20 ft
3:36.0,K. Irving makes 2-pt shot from 2 ft,2,51-54,,
3:36.0,,,51-54,,Shooting block foul by T. Parker (drawn by K. Irving)
3:36.0,K. Irving makes free throw 1 of 1,1,52-54,,
3:22.0,,,52-56,2,T. Parker makes 2-pt shot from 7 ft
3:05.0,K. Irving makes 3-pt shot from 25 ft,3,55-56,,
2:42.0,,,55-56,,Turnover by T. Parker (lost ball; steal by K. Irving)
2:38.0,Turnover by L. James (bad pass),,55-56,,
2:38.0,Cleveland full timeout,,55-56,,
2:38.0,,,55-56,,B. Diaw enters the game for M. Bonner
2:26.0,,,55-56,,D. Green misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by L. James,,55-56,,
2:16.0,T. Mozgov misses 2-pt shot from 2 ft (block by T. Duncan),,55-56,,
2:14.0,,,55-56,,Offensive rebound by T. Duncan
2:14.0,Jump ball: T. Duncan vs. T. Mozgov (B. Diaw gains possession),,,,Jump ball: T. Duncan vs. T. Mozgov (B. Diaw gains possession)
2:08.0,,,55-56,,San Antonio full timeout
1:57.0,,,55-56,,D. Green misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by K. Love,,55-56,,
1:34.0,J. Smith makes 3-pt shot from 26 ft,3,58-56,,
1:17.0,,,58-58,2,K. Leonard makes 2-pt shot from 9 ft (assist by T. Parker)
0:57.0,J. Smith misses 3-pt shot from 24 ft,,58-58,,
0:56.0,,,58-58,,Defensive rebound by D. Green
0:45.0,,,58-60,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
0:45.0,,,58-60,,Shooting foul by K. Irving (drawn by T. Duncan)
0:45.0,Technical foul by J. Smith,,58-60,,
0:45.0,,,58-61,1,D. Green makes technical free throw
0:45.0,M. Dellavedova enters the game for J. Smith,,58-61,,
0:45.0,,,58-62,1,T. Duncan makes free throw 1 of 1
0:37.0,K. Irving makes 2-pt shot from 4 ft,2,60-62,,
0:28.0,,,60-64,2,T. Parker makes 2-pt shot from 8 ft
0:06.0,K. Irving misses 2-pt shot from 2 ft (block by K. Leonard),,60-64,,
0:06.0,Offensive rebound by Team,,60-64,,
0:06.0,Cleveland full timeout,,60-64,,
0:04.0,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James),2,62-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,62-64,,Personal foul by K. Leonard (drawn by L. James)
11:47.0,Personal foul by L. James,,62-64,,
11:30.0,K. Love misses 3-pt shot from 24 ft,,62-64,,
11:29.0,Offensive rebound by T. Mozgov,,62-64,,
11:27.0,Turnover by T. Mozgov (lost ball; steal by D. Green),,62-64,,
11:15.0,,,62-66,2,T. Splitter makes 2-pt shot from 1 ft (assist by T. Duncan)
10:37.0,K. Irving misses 2-pt shot from 21 ft,,62-66,,
10:36.0,,,62-66,,Defensive rebound by D. Green
10:13.0,,,62-66,,Turnover by T. Parker (lost ball; steal by K. Irving)
10:06.0,K. Irving misses 2-pt shot at rim,,62-66,,
10:05.0,Offensive rebound by T. Mozgov,,62-66,,
10:05.0,T. Mozgov makes 2-pt shot from 1 ft,2,64-66,,
9:50.0,Personal foul by L. James (drawn by T. Duncan),,64-66,,
9:50.0,,,64-67,1,T. Duncan makes free throw 1 of 2
9:50.0,,,64-67,,T. Duncan misses free throw 2 of 2
9:49.0,Defensive rebound by L. James,,64-67,,
9:30.0,Turnover by J. Smith (bad pass; steal by T. Duncan),,64-67,,
9:26.0,,,64-67,,Offensive charge foul by T. Splitter
9:26.0,,,64-67,,Turnover by T. Splitter (offensive foul)
9:13.0,L. James misses 3-pt shot from 26 ft,,64-67,,
9:12.0,,,64-67,,Defensive rebound by D. Green
8:59.0,,,64-69,2,D. Green makes 2-pt shot from 2 ft (assist by T. Duncan)
8:43.0,,,64-69,,Personal foul by T. Duncan (drawn by T. Mozgov)
8:43.0,T. Mozgov misses free throw 1 of 2,,64-69,,
8:43.0,Offensive rebound by Team,,64-69,,
8:43.0,T. Mozgov makes free throw 2 of 2,1,65-69,,
8:27.0,,,65-71,2,T. Parker makes 2-pt shot from 9 ft (assist by T. Duncan)
8:03.0,J. Smith misses 3-pt shot from 24 ft (block by D. Green),,65-71,,
8:02.0,,,65-71,,Defensive rebound by K. Leonard
7:58.0,,,65-71,,Turnover by K. Leonard (bad pass)
7:49.0,K. Love misses 2-pt shot from 1 ft (block by T. Duncan),,65-71,,
7:47.0,Offensive rebound by K. Love,,65-71,,
7:44.0,K. Love misses 2-pt shot from 2 ft (block by D. Green),,65-71,,
7:43.0,,,65-71,,Defensive rebound by K. Leonard
7:39.0,,,65-71,,Shooting foul by T. Mozgov (drawn by K. Leonard)
7:39.0,,,65-72,1,K. Leonard makes free throw 1 of 2
7:39.0,,,65-73,1,K. Leonard makes free throw 2 of 2
7:23.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,68-73,,
6:59.0,Jump ball: T. Duncan vs. L. James (J. Smith gains possession),,,,Jump ball: T. Duncan vs. L. James (J. Smith gains possession)
6:59.0,,,68-73,,Turnover by T. Parker (bad pass; steal by L. James)
6:46.0,Turnover by T. Mozgov (lost ball; steal by D. Green),,68-73,,
6:36.0,,,68-75,2,T. Parker makes 2-pt shot at rim
6:20.0,K. Irving makes 3-pt shot from 25 ft,3,71-75,,
6:20.0,,,71-75,,San Antonio full timeout
6:20.0,,,71-75,,B. Diaw enters the game for T. Splitter
6:20.0,T. Thompson enters the game for T. Mozgov,,71-75,,
6:04.0,,,71-75,,T. Duncan misses 2-pt shot at rim (block by L. James)
6:03.0,Defensive rebound by T. Thompson,,71-75,,
5:48.0,K. Irving misses 2-pt shot from 19 ft,,71-75,,
5:47.0,Offensive rebound by T. Thompson,,71-75,,
5:45.0,T. Thompson misses 2-pt shot from 1 ft (block by D. Green),,71-75,,
5:43.0,,,71-75,,Defensive rebound by T. Duncan
5:31.0,,,71-75,,B. Diaw misses 2-pt shot from 1 ft
5:30.0,Defensive rebound by K. Love,,71-75,,
5:18.0,J. Smith misses 2-pt shot from 4 ft,,71-75,,
5:18.0,,,71-75,,Defensive rebound by T. Duncan
5:18.0,,,71-75,,M. Ginobili enters the game for D. Green
5:17.0,Jump ball: T. Duncan vs. J. Smith (B. Diaw gains possession),,,,Jump ball: T. Duncan vs. J. Smith (B. Diaw gains possession)
5:01.0,,,71-77,2,K. Leonard makes 2-pt shot from 11 ft (assist by M. Ginobili)
4:31.0,L. James makes 2-pt shot from 20 ft,2,73-77,,
4:13.0,,,73-77,,M. Ginobili misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by L. James,,73-77,,
3:58.0,L. James misses 2-pt shot from 15 ft,,73-77,,
3:57.0,,,73-77,,Defensive rebound by T. Parker
3:49.0,,,73-80,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
