time,Washington,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Plumlee (P. Pierce gains possession),,,,Jump ball: M. Gortat vs. M. Plumlee (P. Pierce gains possession)
11:42.0,B. Beal misses 2-pt shot from 21 ft,,0-0,,
11:41.0,Offensive rebound by M. Gortat,,0-0,,
11:31.0,B. Beal misses 3-pt shot from 24 ft,,0-0,,
11:30.0,Offensive rebound by Team,,0-0,,
11:30.0,,,0-0,,Loose ball foul by M. Plumlee (drawn by M. Gortat)
11:17.0,N. Hilario misses 2-pt shot from 1 ft,,0-0,,
11:16.0,Offensive rebound by M. Gortat,,0-0,,
11:14.0,M. Gortat makes 2-pt shot from 2 ft,2,2-0,,
10:48.0,,,2-2,2,K. Garnett makes 2-pt shot from 19 ft (assist by J. Jack)
10:36.0,Turnover by P. Pierce (bad pass),,2-2,,
10:19.0,,,2-2,,J. Johnson misses 2-pt shot from 13 ft
10:18.0,Defensive rebound by M. Gortat,,2-2,,
10:08.0,P. Pierce misses 3-pt shot from 23 ft,,2-2,,
10:07.0,Offensive rebound by N. Hilario,,2-2,,
10:05.0,B. Beal makes 3-pt shot from 23 ft (assist by N. Hilario),3,5-2,,
9:50.0,,,5-2,,Turnover by M. Plumlee (traveling)
9:32.0,M. Gortat misses 2-pt shot from 15 ft,,5-2,,
9:31.0,,,5-2,,Defensive rebound by K. Garnett
9:25.0,,,5-2,,M. Plumlee misses 2-pt shot at rim
9:24.0,,,5-2,,Offensive rebound by B. Bogdanovic
9:12.0,,,5-4,2,B. Bogdanovic makes 2-pt shot from 9 ft
9:12.0,,,5-4,,Shooting foul by N. Hilario (drawn by B. Bogdanovic)
9:12.0,,,5-5,1,B. Bogdanovic makes free throw 1 of 1
8:58.0,J. Wall misses 2-pt shot from 17 ft,,5-5,,
8:57.0,,,5-5,,Defensive rebound by M. Plumlee
8:43.0,,,5-5,,K. Garnett misses 2-pt shot from 17 ft
8:42.0,Defensive rebound by B. Beal,,5-5,,
8:36.0,Turnover by P. Pierce (lost ball; steal by J. Johnson),,5-5,,
8:19.0,,,5-5,,M. Plumlee misses 2-pt shot from 7 ft
8:18.0,Defensive rebound by M. Gortat,,5-5,,
8:13.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,7-5,,
8:11.0,,,7-5,,Brooklyn full timeout
7:48.0,,,7-7,2,K. Garnett makes 2-pt shot from 16 ft (assist by J. Johnson)
7:28.0,P. Pierce misses 2-pt shot from 14 ft,,7-7,,
7:26.0,,,7-7,,Defensive rebound by B. Bogdanovic
7:18.0,,,7-9,2,J. Jack makes 2-pt shot from 13 ft
6:58.0,P. Pierce misses 2-pt shot from 1 ft,,7-9,,
6:57.0,,,7-9,,Defensive rebound by Team
6:42.0,,,7-11,2,K. Garnett makes 2-pt shot from 19 ft (assist by J. Jack)
6:23.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat),3,10-11,,
6:04.0,,,10-11,,Turnover by J. Jack (bad pass; steal by J. Wall)
5:52.0,Turnover by N. Hilario (bad pass; steal by J. Johnson),,10-11,,
5:52.0,Personal foul by P. Pierce (drawn by J. Johnson),,10-11,,
5:52.0,,,10-11,,Brooklyn full timeout
5:40.0,,,10-13,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
5:22.0,Shooting foul by K. Garnett (drawn by N. Hilario),,10-13,,
5:22.0,N. Hilario makes free throw 1 of 2,1,11-13,,
5:22.0,,,11-13,,B. Lopez enters the game for M. Plumlee
5:22.0,N. Hilario misses free throw 2 of 2,,11-13,,
5:21.0,,,11-13,,Defensive rebound by K. Garnett
5:08.0,,,11-13,,J. Johnson misses 2-pt shot from 19 ft
5:07.0,,,11-13,,Offensive rebound by Team
5:04.0,,,11-13,,Turnover by K. Garnett (bad pass; steal by J. Wall)
5:01.0,Turnover by J. Wall (lost ball),,11-13,,
4:47.0,,,11-15,2,J. Johnson makes 2-pt shot from 19 ft (assist by B. Lopez)
4:28.0,B. Beal misses 3-pt shot from 24 ft,,11-15,,
4:27.0,,,11-15,,Defensive rebound by K. Garnett
4:09.0,,,11-15,,B. Lopez misses 2-pt shot from 16 ft
4:08.0,Defensive rebound by P. Pierce,,11-15,,
4:05.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,13-15,,
3:45.0,,,13-15,,J. Jack misses 2-pt shot from 18 ft
3:43.0,Defensive rebound by M. Gortat,,13-15,,
3:31.0,J. Wall misses 2-pt shot from 8 ft,,13-15,,
3:29.0,,,13-15,,Defensive rebound by J. Jack
3:15.0,,,13-15,,B. Lopez misses 2-pt shot from 9 ft (block by M. Gortat)
3:14.0,Defensive rebound by P. Pierce,,13-15,,
3:09.0,P. Pierce misses 3-pt shot from 25 ft,,13-15,,
3:08.0,,,13-15,,Defensive rebound by K. Garnett
3:01.0,,,13-15,,Turnover by J. Johnson (bad pass; steal by B. Beal)
2:54.0,N. Hilario makes 2-pt shot from 2 ft (assist by B. Beal),2,15-15,,
2:28.0,,,15-18,3,J. Johnson makes 3-pt shot from 25 ft
2:23.0,Washington full timeout,,15-18,,
2:23.0,,,15-18,,M. Plumlee enters the game for K. Garnett
2:23.0,R. Butler enters the game for B. Beal,,15-18,,
2:23.0,K. Humphries enters the game for N. Hilario,,15-18,,
2:23.0,,,15-18,,A. Anderson enters the game for J. Johnson
2:16.0,Shooting foul by B. Lopez (drawn by M. Gortat),,15-18,,
2:16.0,M. Gortat misses free throw 1 of 2,,15-18,,
2:16.0,Offensive rebound by Team,,15-18,,
2:16.0,O. Porter enters the game for P. Pierce,,15-18,,
2:16.0,M. Gortat misses free throw 2 of 2,,15-18,,
2:15.0,Offensive rebound by K. Humphries,,15-18,,
2:14.0,K. Humphries makes 2-pt shot from 2 ft,2,17-18,,
1:54.0,,,17-20,2,B. Lopez makes 2-pt shot from 10 ft (assist by J. Jack)
1:54.0,,,17-20,,Shooting foul by K. Humphries (drawn by B. Lopez)
1:54.0,,,17-21,1,B. Lopez makes free throw 1 of 1
1:34.0,R. Butler misses 2-pt shot from 15 ft,,17-21,,
1:33.0,Offensive rebound by O. Porter,,17-21,,
1:31.0,O. Porter misses 2-pt shot from 5 ft,,17-21,,
1:30.0,,,17-21,,Defensive rebound by M. Plumlee
1:19.0,,,17-21,,A. Anderson misses 3-pt shot from 22 ft
1:18.0,Defensive rebound by J. Wall,,17-21,,
1:15.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,19-21,,
1:00.0,,,19-23,2,J. Jack makes 2-pt shot from 20 ft
0:56.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,21-23,,
0:39.0,,,21-23,,Shooting foul by K. Humphries (drawn by M. Plumlee)
0:39.0,,,21-24,1,M. Plumlee makes free throw 1 of 2
0:39.0,,,21-24,,M. Plumlee misses free throw 2 of 2
0:39.0,,,21-24,,Offensive rebound by B. Lopez
0:39.0,,,21-26,2,B. Lopez makes 2-pt shot from 2 ft
0:33.0,J. Wall misses 2-pt shot from 18 ft,,21-26,,
0:32.0,,,21-26,,Defensive rebound by A. Anderson
0:14.0,,,21-26,,J. Jack misses 2-pt shot at rim
0:13.0,Defensive rebound by M. Gortat,,21-26,,
0:06.0,,,21-26,,Personal foul by A. Anderson (drawn by J. Wall)
0:06.0,,,21-26,,D. Morris enters the game for J. Jack
0:02.0,J. Wall makes 2-pt shot from 17 ft,2,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,23-28,2,J. Johnson makes 2-pt shot from 20 ft
