time,Indiana,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. R. Hibbert (L. Galloway gains possession),,,,Jump ball: L. Amundson vs. R. Hibbert (L. Galloway gains possession)
11:46.0,,,0-0,,S. Larkin misses 2-pt shot from 7 ft
11:44.0,Defensive rebound by R. Hibbert,,0-0,,
11:27.0,C. Miles misses 3-pt shot from 25 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by L. Galloway
11:11.0,,,0-0,,L. Amundson misses 2-pt shot from 6 ft
11:09.0,Defensive rebound by D. West,,0-0,,
11:02.0,R. Hibbert makes 2-pt shot from 5 ft (assist by C. Miles),2,2-0,,
10:46.0,,,2-0,,L. Thomas misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by R. Hibbert,,2-0,,
10:32.0,C. Miles misses 2-pt shot from 1 ft (block by L. Amundson),,2-0,,
10:30.0,,,2-0,,Defensive rebound by A. Bargnani
10:22.0,,,2-0,,L. Galloway misses 3-pt shot from 23 ft
10:20.0,Defensive rebound by D. West,,2-0,,
10:05.0,G. Hill misses 2-pt shot from 15 ft,,2-0,,
10:04.0,,,2-0,,Defensive rebound by A. Bargnani
9:51.0,,,2-0,,L. Amundson misses 2-pt shot from 3 ft
9:50.0,Defensive rebound by R. Hibbert,,2-0,,
9:37.0,,,2-0,,Personal foul by L. Amundson (drawn by R. Hibbert)
9:32.0,C. Miles makes 2-pt shot at rim (assist by D. West),2,4-0,,
9:14.0,,,4-2,2,A. Bargnani makes 2-pt shot from 21 ft
9:07.0,,,4-2,,Personal foul by L. Galloway (drawn by S. Hill)
9:02.0,D. West makes 2-pt shot at rim (assist by G. Hill),2,6-2,,
8:47.0,,,6-2,,Turnover by L. Galloway (bad pass; steal by G. Hill)
8:44.0,Offensive foul by G. Hill,,6-2,,
8:44.0,Turnover by G. Hill (offensive foul),,6-2,,
8:24.0,,,6-4,2,L. Galloway makes 2-pt shot from 19 ft (assist by L. Amundson)
7:59.0,G. Hill makes 2-pt shot from 1 ft (assist by D. West),2,8-4,,
7:59.0,Shooting foul by S. Larkin (drawn by G. Hill),,8-4,,
7:59.0,G. Hill makes free throw 1 of 1,1,9-4,,
7:49.0,,,9-4,,Shooting foul by R. Hibbert (drawn by L. Galloway)
7:49.0,,,9-5,1,L. Galloway makes free throw 1 of 2
7:49.0,,,9-6,1,L. Galloway makes free throw 2 of 2
7:33.0,S. Hill misses 3-pt shot from 23 ft,,9-6,,
7:31.0,,,9-6,,Defensive rebound by S. Larkin
7:08.0,,,9-8,2,L. Amundson makes 2-pt shot from 3 ft
6:52.0,R. Hibbert makes 2-pt shot at rim (assist by D. West),2,11-8,,
6:30.0,,,11-8,,A. Bargnani misses 2-pt shot from 19 ft
6:28.0,Defensive rebound by G. Hill,,11-8,,
6:18.0,Shooting foul by L. Amundson (drawn by R. Hibbert),,11-8,,
6:18.0,R. Hibbert makes free throw 1 of 2,1,12-8,,
6:18.0,,,12-8,,C. Aldrich enters the game for L. Amundson
6:18.0,,,12-8,,T. Hardaway enters the game for L. Galloway
6:18.0,R. Hibbert misses free throw 2 of 2,,12-8,,
6:17.0,,,12-8,,Defensive rebound by L. Thomas
6:08.0,Personal foul by D. West (drawn by A. Bargnani),,12-8,,
5:54.0,,,12-8,,Offensive foul by C. Aldrich
5:54.0,,,12-8,,Turnover by C. Aldrich (offensive foul)
5:54.0,,,12-8,,New York full timeout
5:54.0,R. Stuckey enters the game for S. Hill,,12-8,,
5:42.0,G. Hill misses 2-pt shot from 2 ft,,12-8,,
5:40.0,Offensive rebound by R. Hibbert,,12-8,,
5:38.0,R. Hibbert makes 2-pt shot from 1 ft,2,14-8,,
5:20.0,,,14-8,,L. Thomas misses 2-pt shot from 9 ft
5:18.0,Defensive rebound by R. Hibbert,,14-8,,
5:10.0,R. Hibbert misses 2-pt shot from 2 ft,,14-8,,
5:09.0,Offensive rebound by R. Hibbert,,14-8,,
5:08.0,R. Hibbert misses 2-pt shot from 1 ft (block by C. Aldrich),,14-8,,
5:07.0,,,14-8,,Defensive rebound by L. Thomas
5:00.0,,,14-8,,S. Larkin misses 2-pt shot from 15 ft
4:59.0,,,14-8,,Offensive rebound by Team
4:59.0,Loose ball foul by R. Stuckey (drawn by C. Aldrich),,14-8,,
4:59.0,P. George enters the game for C. Miles,,14-8,,
4:59.0,I. Mahinmi enters the game for R. Hibbert,,14-8,,
4:47.0,,,14-8,,T. Hardaway misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by D. West,,14-8,,
4:33.0,I. Mahinmi misses 2-pt shot from 18 ft,,14-8,,
4:31.0,,,14-8,,Defensive rebound by T. Hardaway
4:27.0,,,14-8,,T. Hardaway misses 2-pt shot from 2 ft (block by I. Mahinmi)
4:25.0,Defensive rebound by P. George,,14-8,,
