time,Golden State,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,H. Barnes misses 2-pt shot from 7 ft,,0-0,,
12:00.0,Jump ball: A. Bogut vs. D. Jordan (D. Lee gains possession),,,,Jump ball: A. Bogut vs. D. Jordan (D. Lee gains possession)
11:36.0,,,0-0,,Defensive rebound by B. Griffin
11:17.0,,,0-2,2,B. Griffin makes 2-pt shot from 7 ft (assist by J. Redick)
11:02.0,K. Thompson misses 3-pt shot from 24 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by D. Jordan
10:51.0,,,0-4,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
10:37.0,Offensive foul by A. Bogut,,0-4,,
10:37.0,Turnover by A. Bogut (offensive foul),,0-4,,
10:21.0,,,0-7,3,M. Barnes makes 3-pt shot from 23 ft (assist by B. Griffin)
10:08.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,2-7,,
9:43.0,,,2-7,,C. Paul misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by A. Bogut,,2-7,,
9:38.0,Shooting foul by B. Griffin (drawn by H. Barnes),,2-7,,
9:38.0,H. Barnes misses free throw 1 of 2,,2-7,,
9:38.0,Offensive rebound by Team,,2-7,,
9:38.0,H. Barnes makes free throw 2 of 2,1,3-7,,
9:29.0,,,3-9,2,J. Redick makes 2-pt shot from 15 ft (assist by B. Griffin)
9:17.0,D. Lee makes 2-pt shot at rim (assist by S. Curry),2,5-9,,
9:03.0,,,5-9,,Shooting foul by K. Thompson (drawn by J. Redick)
9:03.0,,,5-10,1,J. Redick makes free throw 1 of 2
9:03.0,,,5-11,1,J. Redick makes free throw 2 of 2
8:55.0,H. Barnes misses 3-pt shot from 25 ft,,5-11,,
8:53.0,Offensive rebound by D. Lee,,5-11,,
8:44.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson),3,8-11,,
8:28.0,,,8-11,,D. Jordan misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by H. Barnes,,8-11,,
8:20.0,S. Curry misses 3-pt shot from 26 ft,,8-11,,
8:18.0,,,8-11,,Defensive rebound by D. Jordan
8:12.0,,,8-13,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
7:56.0,H. Barnes misses 2-pt shot from 4 ft,,8-13,,
7:54.0,,,8-13,,Defensive rebound by D. Jordan
7:39.0,,,8-13,,M. Barnes misses 3-pt shot from 24 ft
7:37.0,,,8-13,,Offensive rebound by M. Barnes
7:34.0,,,8-13,,M. Barnes misses 2-pt shot from 3 ft
7:33.0,Defensive rebound by H. Barnes,,8-13,,
7:26.0,K. Thompson misses 3-pt shot from 24 ft,,8-13,,
7:23.0,,,8-13,,Defensive rebound by D. Jordan
7:13.0,,,8-13,,B. Griffin misses 2-pt shot from 16 ft
7:12.0,Defensive rebound by K. Thompson,,8-13,,
6:58.0,A. Bogut misses 2-pt shot from 7 ft,,8-13,,
6:56.0,,,8-13,,Defensive rebound by D. Jordan
6:41.0,,,8-15,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
6:30.0,S. Curry misses 2-pt shot from 1 ft,,8-15,,
6:28.0,Offensive rebound by A. Bogut,,8-15,,
6:28.0,A. Bogut makes 2-pt shot at rim,2,10-15,,
6:10.0,,,10-15,,J. Redick misses 2-pt shot from 18 ft
6:08.0,Defensive rebound by K. Thompson,,10-15,,
5:55.0,K. Thompson misses 2-pt shot from 15 ft,,10-15,,
5:53.0,,,10-15,,Defensive rebound by M. Barnes
5:43.0,,,10-17,2,C. Paul makes 2-pt shot from 1 ft
5:33.0,S. Curry misses 2-pt shot from 19 ft,,10-17,,
