time,Philadelphia,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Noel (J. Wall gains possession),,,,Jump ball: M. Gortat vs. N. Noel (J. Wall gains possession)
11:33.0,,,0-0,,N. Hilario misses 2-pt shot from 3 ft
11:32.0,,,0-0,,Offensive rebound by O. Porter
11:30.0,,,0-2,2,O. Porter makes 2-pt shot from 2 ft
11:03.0,J. Sampson misses 3-pt shot from 25 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by N. Hilario
10:54.0,,,0-4,2,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall)
10:30.0,J. Sampson misses 2-pt shot from 1 ft,,0-4,,
10:29.0,,,0-4,,Defensive rebound by M. Gortat
10:17.0,,,0-4,,J. Wall misses 2-pt shot from 16 ft
10:15.0,Defensive rebound by N. Noel,,0-4,,
10:12.0,Turnover by I. Smith (bad pass; steal by O. Porter),,0-4,,
10:02.0,,,0-6,2,M. Gortat makes 2-pt shot from 1 ft (assist by N. Hilario)
10:02.0,,,0-6,,Shooting foul by J. Grant (drawn by M. Gortat)
10:02.0,,,0-7,1,M. Gortat makes free throw 1 of 1
9:55.0,I. Smith makes 2-pt shot from 2 ft,2,2-7,,
9:32.0,,,2-7,,B. Beal misses 2-pt shot from 9 ft
9:31.0,,,2-7,,Offensive rebound by Team
9:31.0,,,2-7,,Turnover by Team (shot clock)
9:17.0,Turnover by J. Sampson (bad pass; steal by J. Wall),,2-7,,
9:05.0,,,2-9,2,N. Hilario makes 2-pt shot from 17 ft (assist by B. Beal)
8:50.0,I. Smith makes 2-pt shot from 1 ft,2,4-9,,
8:36.0,,,4-11,2,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall)
8:17.0,J. Grant misses 3-pt shot from 28 ft,,4-11,,
8:16.0,,,4-11,,Defensive rebound by J. Wall
8:03.0,,,4-11,,B. Beal misses 2-pt shot from 14 ft
8:02.0,Defensive rebound by J. Sampson,,4-11,,
7:56.0,J. Grant misses 2-pt shot from 1 ft,,4-11,,
7:55.0,,,4-11,,Defensive rebound by N. Hilario
7:50.0,,,4-13,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:49.0,Philadelphia full timeout,,4-13,,
7:49.0,R. Covington enters the game for J. Sampson,,4-13,,
7:36.0,N. Noel makes 2-pt shot from 1 ft (assist by F. Aldemir),2,6-13,,
7:17.0,,,6-15,2,B. Beal makes 2-pt shot from 15 ft (assist by M. Gortat)
6:58.0,I. Smith makes 2-pt shot from 4 ft,2,8-15,,
6:41.0,,,8-15,,Turnover by J. Wall (bad pass; steal by N. Noel)
6:19.0,I. Smith makes 2-pt shot from 1 ft (assist by N. Noel),2,10-15,,
6:12.0,Personal foul by R. Covington (drawn by J. Wall),,10-15,,
6:12.0,J. Richardson enters the game for J. Grant,,10-15,,
5:57.0,,,10-17,2,M. Gortat makes 2-pt shot from 3 ft (assist by B. Beal)
5:43.0,,,10-17,,Personal foul by M. Gortat (drawn by N. Noel)
5:43.0,H. Sims enters the game for F. Aldemir,,10-17,,
5:34.0,J. Richardson misses 3-pt shot from 26 ft,,10-17,,
5:33.0,Offensive rebound by Team,,10-17,,
5:32.0,,,10-17,,D. Gooden enters the game for N. Hilario
5:29.0,H. Sims misses 2-pt shot from 17 ft,,10-17,,
5:28.0,,,10-17,,Defensive rebound by M. Gortat
5:17.0,,,10-19,2,J. Wall makes 2-pt shot from 16 ft
4:59.0,Offensive foul by H. Sims,,10-19,,
4:59.0,Turnover by H. Sims (offensive foul),,10-19,,
4:35.0,,,10-19,,B. Beal misses 2-pt shot from 2 ft
4:34.0,Defensive rebound by R. Covington,,10-19,,
4:15.0,I. Canaan enters the game for I. Smith,,10-19,,
4:15.0,R. Covington misses 3-pt shot from 23 ft,,10-19,,
4:15.0,,,10-19,,Defensive rebound by M. Gortat
4:06.0,,,10-21,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
3:54.0,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel),3,13-21,,
3:31.0,,,13-21,,B. Beal misses 2-pt shot from 17 ft
3:30.0,,,13-21,,Offensive rebound by D. Gooden
3:29.0,,,13-21,,D. Gooden misses 2-pt shot at rim
3:28.0,,,13-21,,Offensive rebound by O. Porter
3:24.0,,,13-21,,Offensive foul by J. Wall
3:24.0,,,13-21,,Turnover by J. Wall (offensive foul)
3:24.0,L. Mbah a Moute enters the game for N. Noel,,13-21,,
3:24.0,,,13-21,,R. Butler enters the game for B. Beal
3:08.0,H. Sims misses 2-pt shot from 7 ft,,13-21,,
3:07.0,,,13-21,,Defensive rebound by Team
2:45.0,,,13-23,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
2:25.0,H. Sims makes 2-pt shot from 1 ft (assist by R. Covington),2,15-23,,
2:15.0,,,15-25,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
2:01.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,15-25,,
2:00.0,,,15-25,,Defensive rebound by J. Wall
1:55.0,Personal foul by L. Mbah a Moute (drawn by M. Gortat),,15-25,,
1:55.0,,,15-25,,Washington full timeout
1:44.0,,,15-27,2,J. Wall makes 2-pt shot from 1 ft
1:35.0,Shooting foul by D. Gooden (drawn by H. Sims),,15-27,,
1:35.0,H. Sims misses free throw 1 of 2,,15-27,,
1:35.0,Offensive rebound by Team,,15-27,,
1:35.0,H. Sims makes free throw 2 of 2,1,16-27,,
1:26.0,,,16-29,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
1:12.0,I. Canaan makes 3-pt shot from 24 ft,3,19-29,,
0:58.0,,,19-31,2,D. Gooden makes 2-pt shot from 17 ft (assist by O. Porter)
0:46.0,Turnover by J. Richardson (lost ball; steal by D. Gooden),,19-31,,
0:40.0,,,19-31,,J. Wall misses 2-pt shot from 21 ft
0:37.0,,,19-31,,Offensive rebound by M. Gortat
0:22.0,,,19-31,,Turnover by J. Wall (lost ball)
0:22.0,,,19-31,,R. Sessions enters the game for J. Wall
0:03.0,I. Canaan makes 2-pt shot from 17 ft,2,21-31,,
0:02.0,,,21-31,,O. Porter misses 2-pt shot at rim
0:01.0,Defensive rebound by J. Richardson,,21-31,,
0:01.0,J. Richardson misses 3-pt shot from 32 ft,,21-31,,
0:00.0,Offensive rebound by Team,,21-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,L. Mbah a Moute misses 3-pt shot from 27 ft,,21-31,,
11:47.0,,,21-31,,Defensive rebound by Team
11:26.0,,,21-33,2,B. Beal makes 2-pt shot from 17 ft
11:07.0,T. Robinson misses 2-pt shot from 1 ft,,21-33,,
11:06.0,,,21-33,,Defensive rebound by B. Beal
10:55.0,,,21-35,2,K. Seraphin makes 2-pt shot from 5 ft (assist by D. Gooden)
10:31.0,H. Thompson misses 3-pt shot from 27 ft,,21-35,,
10:30.0,,,21-35,,Defensive rebound by B. Beal
10:06.0,,,21-35,,B. Beal misses 3-pt shot from 26 ft
10:06.0,,,21-35,,Offensive rebound by Team
10:06.0,,,21-35,,Turnover by Team (shot clock)
9:48.0,L. Mbah a Moute misses 2-pt shot from 5 ft,,21-35,,
9:47.0,,,21-35,,Defensive rebound by D. Gooden
9:38.0,,,21-35,,R. Butler misses 2-pt shot from 4 ft
9:38.0,,,21-35,,Offensive rebound by K. Seraphin
9:38.0,,,21-35,,Shooting foul by L. Mbah a Moute (drawn by K. Seraphin)
9:38.0,,,21-35,,K. Seraphin misses free throw 1 of 2
9:38.0,,,21-35,,Offensive rebound by Team
9:38.0,,,21-35,,K. Seraphin misses free throw 2 of 2
9:38.0,Defensive rebound by I. Canaan,,21-35,,
9:13.0,I. Canaan misses 3-pt shot from 27 ft,,21-35,,
9:12.0,,,21-35,,Defensive rebound by R. Butler
9:06.0,,,21-37,2,D. Gooden makes 2-pt shot from 19 ft (assist by R. Sessions)
8:52.0,Offensive foul by N. Noel,,21-37,,
8:52.0,Turnover by N. Noel (offensive foul),,21-37,,
8:52.0,Official timeout,,21-37,,
8:36.0,,,21-39,2,K. Seraphin makes 2-pt shot from 3 ft
8:09.0,L. Mbah a Moute misses 2-pt shot from 18 ft (block by B. Beal),,21-39,,
8:07.0,,,21-39,,Defensive rebound by B. Beal
8:06.0,,,21-41,2,B. Beal makes 2-pt shot at rim
7:47.0,T. Robinson makes 2-pt shot from 2 ft,2,23-41,,
7:26.0,,,23-44,3,D. Gooden makes 3-pt shot from 27 ft (assist by R. Sessions)
7:06.0,H. Thompson misses 3-pt shot from 24 ft,,23-44,,
7:05.0,Offensive rebound by T. Robinson,,23-44,,
7:05.0,T. Robinson misses 2-pt shot from 1 ft,,23-44,,
7:02.0,Offensive rebound by N. Noel,,23-44,,
6:56.0,Shooting foul by K. Seraphin (drawn by H. Thompson),,23-44,,
6:56.0,H. Thompson makes free throw 1 of 2,1,24-44,,
6:56.0,J. Grant enters the game for L. Mbah a Moute,,24-44,,
6:56.0,H. Thompson makes free throw 2 of 2,1,25-44,,
6:41.0,,,25-44,,Turnover by D. Gooden (lost ball; steal by T. Robinson)
6:35.0,N. Noel makes 2-pt shot at rim (assist by T. Robinson),2,27-44,,
6:26.0,,,27-46,2,K. Seraphin makes 2-pt shot at rim (assist by R. Sessions)
6:12.0,T. Robinson misses 2-pt shot from 2 ft,,27-46,,
6:11.0,,,27-46,,Defensive rebound by K. Seraphin
6:03.0,,,27-46,,Turnover by R. Sessions (lost ball; steal by T. Robinson)
5:57.0,H. Thompson makes 3-pt shot from 24 ft (assist by I. Canaan),3,30-46,,
5:41.0,,,30-46,,Shooting foul by T. Robinson (drawn by R. Butler)
5:41.0,,,30-46,,Washington full timeout
5:41.0,,,30-46,,K. Humphries enters the game for D. Gooden
5:41.0,F. Aldemir enters the game for T. Robinson,,30-46,,
5:41.0,,,30-46,,R. Butler misses free throw 1 of 2
5:41.0,,,30-46,,Offensive rebound by Team
5:41.0,,,30-47,1,R. Butler makes free throw 2 of 2
5:28.0,F. Aldemir makes 2-pt shot at rim (assist by N. Noel),2,32-47,,
5:16.0,,,32-47,,Shooting foul by F. Aldemir (drawn by B. Beal)
5:16.0,,,32-48,1,B. Beal makes free throw 1 of 2
5:16.0,I. Smith enters the game for I. Canaan,,32-48,,
5:16.0,,,32-49,1,B. Beal makes free throw 2 of 2
5:00.0,,,32-49,,Personal foul by K. Seraphin (drawn by N. Noel)
4:46.0,Shooting foul by R. Butler (drawn by J. Grant),,32-49,,
4:46.0,J. Grant makes free throw 1 of 2,1,33-49,,
4:46.0,,,33-49,,O. Porter enters the game for R. Butler
4:46.0,,,33-49,,J. Wall enters the game for R. Sessions
4:46.0,J. Grant makes free throw 2 of 2,1,34-49,,
4:34.0,,,34-49,,Shooting foul by F. Aldemir (drawn by B. Beal)
4:34.0,,,34-51,2,B. Beal makes 2-pt shot from 2 ft (assist by K. Humphries)
4:34.0,,,34-51,,B. Beal misses free throw 1 of 1
4:32.0,Defensive rebound by N. Noel,,34-51,,
4:25.0,,,34-51,,Personal foul by O. Porter (drawn by J. Grant)
4:11.0,N. Noel misses 2-pt shot from 2 ft,,34-51,,
4:09.0,,,34-51,,Defensive rebound by O. Porter
4:04.0,,,34-53,2,K. Humphries makes 2-pt shot at rim (assist by J. Wall)
3:44.0,I. Smith misses 2-pt shot from 4 ft,,34-53,,
3:44.0,Offensive rebound by N. Noel,,34-53,,
3:42.0,,,34-53,,Personal foul by K. Seraphin (drawn by N. Noel)
3:42.0,N. Noel makes free throw 1 of 2,1,35-53,,
3:42.0,,,35-53,,M. Gortat enters the game for K. Seraphin
3:42.0,N. Noel misses free throw 2 of 2,,35-53,,
3:41.0,,,35-53,,Defensive rebound by O. Porter
3:33.0,,,35-56,3,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal)
3:23.0,N. Noel makes 2-pt shot from 1 ft (assist by I. Smith),2,37-56,,
3:23.0,Shooting foul by K. Humphries (drawn by N. Noel),,37-56,,
3:23.0,N. Noel makes free throw 1 of 1,1,38-56,,
3:06.0,,,38-58,2,K. Humphries makes 2-pt shot from 17 ft (assist by B. Beal)
2:45.0,I. Smith misses 2-pt shot from 4 ft,,38-58,,
2:44.0,,,38-58,,Defensive rebound by J. Wall
2:35.0,,,38-58,,Shooting foul by I. Smith (drawn by M. Gortat)
2:35.0,Philadelphia full timeout,,38-58,,
2:35.0,R. Covington enters the game for H. Thompson,,38-58,,
2:35.0,,,38-59,1,M. Gortat makes free throw 1 of 2
2:35.0,,,38-59,,M. Gortat misses free throw 2 of 2
2:33.0,Defensive rebound by F. Aldemir,,38-59,,
2:17.0,J. Grant misses 3-pt shot from 27 ft,,38-59,,
2:16.0,,,38-59,,Defensive rebound by M. Gortat
2:08.0,,,38-61,2,B. Beal makes 2-pt shot from 14 ft
1:45.0,J. Grant misses 3-pt shot from 27 ft,,38-61,,
1:44.0,,,38-61,,Defensive rebound by B. Beal
1:36.0,,,38-61,,B. Beal misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by I. Smith,,38-61,,
1:29.0,I. Smith makes 2-pt shot from 1 ft,2,40-61,,
1:12.0,,,40-63,2,K. Humphries makes 2-pt shot from 19 ft (assist by M. Gortat)
1:00.0,R. Covington misses 3-pt shot from 26 ft,,40-63,,
0:59.0,Offensive rebound by Team,,40-63,,
0:59.0,,,40-63,,Loose ball foul by K. Humphries (drawn by N. Noel)
0:59.0,N. Noel misses free throw 1 of 2,,40-63,,
0:59.0,Offensive rebound by Team,,40-63,,
0:59.0,,,40-63,,M. Webster enters the game for B. Beal
0:59.0,L. Mbah a Moute enters the game for F. Aldemir,,40-63,,
0:59.0,N. Noel makes free throw 2 of 2,1,41-63,,
0:47.0,,,41-63,,O. Porter misses 2-pt shot from 1 ft (block by N. Noel)
0:44.0,Defensive rebound by R. Covington,,41-63,,
0:43.0,,,41-63,,Clear path foul by M. Webster
0:43.0,J. Grant misses clear path free throw 1 of 2,,41-63,,
0:43.0,Offensive rebound by Team,,41-63,,
0:43.0,H. Sims enters the game for N. Noel,,41-63,,
0:43.0,J. Grant makes clear path free throw 2 of 2,1,42-63,,
0:28.0,H. Sims misses 2-pt shot from 1 ft (block by M. Gortat),,42-63,,
0:26.0,,,42-63,,Defensive rebound by M. Gortat
0:05.0,,,42-65,2,J. Wall makes 2-pt shot from 15 ft
0:04.0,Philadelphia full timeout,,42-65,,
0:01.0,L. Mbah a Moute misses 3-pt shot from 28 ft,,42-65,,
0:00.0,Offensive rebound by Team,,42-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Grant misses 2-pt shot from 22 ft,,42-65,,
11:41.0,,,42-65,,Defensive rebound by J. Wall
11:18.0,,,42-65,,O. Porter misses 3-pt shot from 24 ft
11:17.0,,,42-65,,Offensive rebound by N. Hilario
11:09.0,Personal foul by J. Grant (drawn by N. Hilario),,42-65,,
10:59.0,,,42-65,,B. Beal misses 2-pt shot from 15 ft
10:58.0,,,42-65,,Offensive rebound by M. Gortat
10:53.0,,,42-68,3,J. Wall makes 3-pt shot from 26 ft (assist by M. Gortat)
10:32.0,Turnover by L. Mbah a Moute (bad pass),,42-68,,
10:17.0,,,42-70,2,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall)
10:17.0,Philadelphia full timeout,,42-70,,
10:04.0,,,42-70,,Personal foul by B. Beal (drawn by J. Grant)
9:52.0,I. Smith makes 2-pt shot from 6 ft,2,44-70,,
9:33.0,,,44-70,,Turnover by J. Wall (bad pass)
9:21.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,44-70,,
9:20.0,,,44-70,,Defensive rebound by M. Gortat
9:09.0,,,44-70,,N. Hilario misses 2-pt shot from 13 ft
9:07.0,Defensive rebound by I. Smith,,44-70,,
8:59.0,R. Covington misses 3-pt shot from 28 ft,,44-70,,
8:58.0,Offensive rebound by N. Noel,,44-70,,
8:56.0,N. Noel makes 2-pt shot from 1 ft,2,46-70,,
8:41.0,,,46-72,2,B. Beal makes 2-pt shot from 12 ft (assist by N. Hilario)
8:25.0,N. Noel misses 2-pt shot from 1 ft,,46-72,,
8:24.0,,,46-72,,Defensive rebound by M. Gortat
8:17.0,,,46-74,2,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall)
8:00.0,I. Smith makes 3-pt shot from 25 ft (assist by R. Covington),3,49-74,,
7:51.0,,,49-76,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
7:40.0,,,49-76,,Personal foul by M. Gortat (drawn by N. Noel)
7:33.0,I. Smith makes 2-pt shot from 5 ft,2,51-76,,
7:21.0,,,51-78,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:04.0,Turnover by I. Smith (bad pass; steal by N. Hilario),,51-78,,
6:57.0,,,51-78,,B. Beal misses 3-pt shot from 26 ft
6:56.0,,,51-78,,Offensive rebound by O. Porter
6:52.0,,,51-78,,O. Porter misses 2-pt shot from 10 ft
6:51.0,Defensive rebound by I. Smith,,51-78,,
6:44.0,I. Smith misses 3-pt shot from 25 ft,,51-78,,
6:43.0,,,51-78,,Defensive rebound by M. Gortat
6:38.0,,,51-78,,Shooting foul by I. Smith (drawn by O. Porter)
6:38.0,,,51-79,1,O. Porter makes free throw 1 of 2
6:38.0,,,51-80,1,O. Porter makes free throw 2 of 2
6:14.0,I. Smith misses 2-pt shot from 4 ft,,51-80,,
6:13.0,Offensive rebound by R. Covington,,51-80,,
6:11.0,R. Covington misses 2-pt shot from 1 ft,,51-80,,
6:10.0,,,51-80,,Defensive rebound by N. Hilario
6:04.0,,,51-80,,J. Wall misses 3-pt shot from 22 ft
6:03.0,Defensive rebound by Team,,51-80,,
5:43.0,Shooting foul by M. Gortat (drawn by N. Noel),,51-80,,
5:43.0,N. Noel makes free throw 1 of 2,1,52-80,,
5:43.0,N. Noel misses free throw 2 of 2,,52-80,,
5:41.0,,,52-80,,Defensive rebound by N. Hilario
5:33.0,Personal foul by J. Grant (drawn by O. Porter),,52-80,,
5:33.0,,,52-80,,D. Gooden enters the game for N. Hilario
5:33.0,H. Thompson enters the game for J. Grant,,52-80,,
5:26.0,,,52-80,,Turnover by M. Gortat (bad pass; steal by R. Covington)
5:20.0,R. Covington makes 2-pt shot at rim,2,54-80,,
5:20.0,Shooting foul by O. Porter (drawn by R. Covington),,54-80,,
5:20.0,R. Covington makes free throw 1 of 1,1,55-80,,
4:59.0,,,55-82,2,B. Beal makes 2-pt shot from 1 ft (assist by D. Gooden)
4:46.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,55-82,,
4:45.0,Offensive rebound by L. Mbah a Moute,,55-82,,
4:44.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,55-82,,
4:43.0,,,55-82,,Defensive rebound by M. Gortat
4:38.0,,,55-82,,J. Wall misses 2-pt shot from 18 ft
4:37.0,,,55-82,,Offensive rebound by Team
4:37.0,T. Robinson enters the game for L. Mbah a Moute,,55-82,,
4:30.0,,,55-82,,M. Gortat misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by N. Noel,,55-82,,
4:20.0,I. Smith misses 2-pt shot from 1 ft,,55-82,,
4:19.0,,,55-82,,Defensive rebound by D. Gooden
4:12.0,,,55-82,,O. Porter misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by N. Noel,,55-82,,
4:04.0,H. Thompson misses 3-pt shot from 26 ft,,55-82,,
4:02.0,,,55-82,,Defensive rebound by M. Gortat
3:52.0,,,55-84,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
3:52.0,,,55-84,,Shooting foul by T. Robinson (drawn by B. Beal)
3:52.0,I. Canaan enters the game for I. Smith,,55-84,,
3:52.0,F. Aldemir enters the game for N. Noel,,55-84,,
3:52.0,,,55-84,,B. Beal misses free throw 1 of 1
3:50.0,Defensive rebound by F. Aldemir,,55-84,,
3:43.0,R. Covington misses 3-pt shot from 26 ft,,55-84,,
3:41.0,,,55-84,,Defensive rebound by M. Gortat
3:28.0,,,55-86,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:28.0,,,55-86,,Shooting foul by F. Aldemir (drawn by M. Gortat)
3:28.0,,,55-86,,R. Butler enters the game for B. Beal
3:28.0,,,55-87,1,M. Gortat makes free throw 1 of 1
3:13.0,F. Aldemir makes 2-pt shot from 18 ft (assist by H. Thompson),2,57-87,,
2:53.0,,,57-90,3,D. Gooden makes 3-pt shot from 25 ft (assist by J. Wall)
2:51.0,Philadelphia full timeout,,57-90,,
2:51.0,,,57-90,,R. Sessions enters the game for J. Wall
2:35.0,R. Covington misses 2-pt shot from 11 ft,,57-90,,
2:34.0,,,57-90,,Defensive rebound by D. Gooden
2:10.0,,,57-90,,R. Sessions misses 2-pt shot from 5 ft
2:09.0,Defensive rebound by T. Robinson,,57-90,,
1:55.0,F. Aldemir misses 2-pt shot from 18 ft,,57-90,,
1:54.0,Offensive rebound by H. Thompson,,57-90,,
1:37.0,Turnover by I. Canaan (bad pass),,57-90,,
1:13.0,,,57-90,,D. Gooden misses 2-pt shot from 10 ft (block by T. Robinson)
1:10.0,Defensive rebound by R. Covington,,57-90,,
1:05.0,R. Covington misses 2-pt shot from 4 ft,,57-90,,
1:04.0,Offensive rebound by H. Thompson,,57-90,,
1:03.0,Turnover by H. Thompson (bad pass; steal by R. Butler),,57-90,,
1:00.0,,,57-90,,Shooting foul by H. Thompson (drawn by R. Butler)
1:00.0,,,57-90,,R. Butler misses free throw 1 of 2
1:00.0,,,57-90,,Offensive rebound by Team
1:00.0,J. Sampson enters the game for R. Covington,,57-90,,
1:00.0,,,57-90,,K. Seraphin enters the game for M. Gortat
1:00.0,,,57-91,1,R. Butler makes free throw 2 of 2
0:48.0,H. Thompson makes 2-pt shot from 6 ft,2,59-91,,
0:25.0,,,59-93,2,K. Seraphin makes 2-pt shot from 18 ft (assist by R. Sessions)
0:07.0,I. Canaan makes 3-pt shot from 26 ft,3,62-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,62-93,,Turnover by O. Porter (bad pass; steal by I. Canaan)
11:33.0,I. Canaan misses 3-pt shot from 26 ft,,62-93,,
11:31.0,,,62-93,,Defensive rebound by K. Seraphin
11:19.0,,,62-93,,Shooting foul by I. Canaan (drawn by R. Sessions)
11:19.0,,,62-94,1,R. Sessions makes free throw 1 of 2
11:19.0,,,62-95,1,R. Sessions makes free throw 2 of 2
11:02.0,H. Thompson makes 3-pt shot from 25 ft (assist by I. Canaan),3,65-95,,
10:47.0,,,65-95,,Turnover by O. Porter (bad pass)
10:42.0,T. Robinson makes 2-pt shot from 1 ft (assist by I. Canaan),2,67-95,,
10:42.0,Shooting foul by D. Gooden (drawn by T. Robinson),,67-95,,
10:42.0,,,67-95,,Violation by K. Seraphin (def goaltending)
10:42.0,T. Robinson misses free throw 1 of 1,,67-95,,
10:40.0,,,67-95,,Defensive rebound by K. Seraphin
10:29.0,Personal foul by F. Aldemir (drawn by K. Seraphin),,67-95,,
10:15.0,,,67-95,,R. Butler misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by F. Aldemir,,67-95,,
10:06.0,I. Canaan makes 2-pt shot from 1 ft,2,69-95,,
