time,Indiana,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. R. Hibbert (S. Williams gains possession),,,,Jump ball: C. Bosh vs. R. Hibbert (S. Williams gains possession)
11:46.0,,,0-2,2,D. Wade makes 2-pt shot from 7 ft
11:46.0,,,0-2,,Shooting foul by S. Hill (drawn by D. Wade)
11:46.0,,,0-3,1,D. Wade makes free throw 1 of 1
11:33.0,S. Hill misses 2-pt shot from 2 ft,,0-3,,
11:32.0,Offensive rebound by Team,,0-3,,
11:25.0,Turnover by C. Copeland (lost ball; steal by L. Deng),,0-3,,
11:20.0,,,0-5,2,D. Wade makes 2-pt shot from 1 ft (assist by N. Cole)
11:09.0,,,0-5,,Personal foul by C. Bosh (drawn by L. Scola)
11:02.0,D. Sloan makes 3-pt shot from 24 ft (assist by R. Hibbert),3,3-5,,
10:45.0,,,3-5,,C. Bosh misses 2-pt shot from 16 ft
10:44.0,Defensive rebound by L. Scola,,3-5,,
10:40.0,Turnover by D. Sloan (bad pass; steal by C. Bosh),,3-5,,
10:35.0,,,3-7,2,N. Cole makes 2-pt shot from 1 ft
10:18.0,Turnover by R. Hibbert (bad pass),,3-7,,
10:03.0,,,3-7,,L. Deng misses 2-pt shot from 19 ft
10:02.0,Defensive rebound by D. Sloan,,3-7,,
9:41.0,D. Sloan makes 2-pt shot from 9 ft,2,5-7,,
9:20.0,,,5-10,3,S. Williams makes 3-pt shot from 24 ft (assist by N. Cole)
8:51.0,R. Hibbert makes 2-pt shot from 11 ft,2,7-10,,
8:31.0,,,7-10,,C. Bosh misses 2-pt shot from 20 ft
8:30.0,Defensive rebound by L. Scola,,7-10,,
8:10.0,C. Copeland misses 3-pt shot from 25 ft,,7-10,,
8:09.0,Offensive rebound by S. Hill,,7-10,,
8:08.0,Shooting foul by C. Bosh (drawn by S. Hill),,7-10,,
8:08.0,S. Hill makes free throw 1 of 2,1,8-10,,
8:08.0,,,8-10,,C. Andersen enters the game for C. Bosh
8:08.0,,,8-10,,Violation by Team (delay of game)
8:08.0,S. Hill makes free throw 2 of 2,1,9-10,,
7:46.0,,,9-10,,D. Wade misses 2-pt shot from 18 ft
7:45.0,Defensive rebound by S. Hill,,9-10,,
7:28.0,R. Hibbert makes 2-pt shot from 18 ft (assist by L. Scola),2,11-10,,
7:09.0,,,11-12,2,D. Wade makes 2-pt shot from 17 ft
6:50.0,L. Scola makes 2-pt shot from 19 ft (assist by C. Copeland),2,13-12,,
6:35.0,,,13-12,,C. Andersen misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by L. Scola,,13-12,,
6:22.0,L. Scola misses 2-pt shot from 20 ft,,13-12,,
6:21.0,,,13-12,,Defensive rebound by C. Andersen
6:15.0,,,13-14,2,S. Williams makes 2-pt shot from 19 ft (assist by N. Cole)
5:58.0,Shooting foul by S. Williams (drawn by S. Hill),,13-14,,
5:58.0,,,13-14,,Miami full timeout
5:58.0,S. Hill makes free throw 1 of 2,1,14-14,,
5:58.0,S. Hill makes free throw 2 of 2,1,15-14,,
5:47.0,,,15-14,,L. Deng misses 2-pt shot from 7 ft (block by C. Copeland)
5:46.0,Defensive rebound by D. Sloan,,15-14,,
5:41.0,C. Copeland misses 3-pt shot from 25 ft,,15-14,,
5:40.0,,,15-14,,Defensive rebound by Team
5:39.0,Loose ball foul by L. Scola (drawn by S. Williams),,15-14,,
5:22.0,,,15-14,,D. Wade misses 2-pt shot from 15 ft
5:21.0,,,15-14,,Offensive rebound by D. Wade
5:19.0,,,15-16,2,D. Wade makes 2-pt shot from 2 ft
4:58.0,C. Copeland makes 3-pt shot from 25 ft (assist by L. Scola),3,18-16,,
4:35.0,,,18-18,2,D. Wade makes 2-pt shot from 3 ft
4:15.0,C. Copeland makes 2-pt shot from 2 ft,2,20-18,,
3:55.0,,,20-21,3,L. Deng makes 3-pt shot from 22 ft (assist by N. Cole)
3:36.0,Indiana full timeout,,20-21,,
3:36.0,,,20-21,,M. Chalmers enters the game for S. Williams
3:36.0,,,20-21,,J. McRoberts enters the game for D. Wade
3:36.0,L. Allen enters the game for L. Scola,,20-21,,
3:29.0,R. Hibbert misses 2-pt shot from 12 ft,,20-21,,
3:28.0,,,20-21,,Defensive rebound by L. Deng
3:19.0,,,20-21,,N. Cole misses 2-pt shot from 10 ft
3:18.0,,,20-21,,Offensive rebound by L. Deng
3:17.0,,,20-23,2,L. Deng makes 2-pt shot from 1 ft
2:58.0,,,20-23,,Personal foul by J. McRoberts (drawn by L. Allen)
2:58.0,D. Rudez enters the game for C. Copeland,,20-23,,
2:45.0,Shooting foul by M. Chalmers (drawn by S. Hill),,20-23,,
2:45.0,S. Hill makes free throw 1 of 2,1,21-23,,
2:45.0,S. Hill misses free throw 2 of 2,,21-23,,
2:44.0,,,21-23,,Defensive rebound by M. Chalmers
2:25.0,,,21-25,2,M. Chalmers makes 2-pt shot from 4 ft
2:02.0,R. Hibbert misses 2-pt shot from 9 ft,,21-25,,
2:01.0,,,21-25,,Defensive rebound by Team
2:01.0,,,21-25,,S. Napier enters the game for N. Cole
2:01.0,A. Price enters the game for S. Hill,,21-25,,
1:47.0,,,21-25,,L. Deng misses 2-pt shot from 2 ft
1:46.0,Defensive rebound by R. Hibbert,,21-25,,
1:37.0,Turnover by D. Sloan (bad pass; steal by J. McRoberts),,21-25,,
1:23.0,,,21-25,,M. Chalmers misses 2-pt shot at rim
1:22.0,Defensive rebound by D. Rudez,,21-25,,
1:18.0,A. Price misses 2-pt shot from 13 ft,,21-25,,
1:17.0,Offensive rebound by A. Price,,21-25,,
1:06.0,A. Price makes 3-pt shot from 25 ft (assist by D. Sloan),3,24-25,,
0:47.0,,,24-25,,Shooting foul by D. Sloan (drawn by M. Chalmers)
0:47.0,,,24-25,,M. Chalmers misses free throw 1 of 2
0:47.0,,,24-25,,Offensive rebound by Team
0:47.0,,,24-25,,J. Ennis enters the game for L. Deng
0:47.0,,,24-26,1,M. Chalmers makes free throw 2 of 2
0:27.0,A. Price misses 3-pt shot from 24 ft,,24-26,,
0:26.0,,,24-26,,Defensive rebound by C. Andersen
0:06.0,,,24-26,,Turnover by S. Napier (bad pass; steal by D. Sloan)
0:02.0,D. Sloan misses 2-pt shot from 1 ft (block by J. Ennis),,24-26,,
0:01.0,Offensive rebound by Team,,24-26,,
0:01.0,L. Allen misses 2-pt shot from 18 ft,,24-26,,
0:00.0,Offensive rebound by Team,,24-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
