time,Atlanta,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Horford (J. Teague gains possession),,,,Jump ball: D. Dedmon vs. A. Horford (J. Teague gains possession)
11:47.0,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap),2,2-0,,
11:31.0,,,2-2,2,T. Harris makes 2-pt shot from 11 ft
11:10.0,D. Carroll misses 3-pt shot from 25 ft,,2-2,,
11:09.0,,,2-2,,Defensive rebound by V. Oladipo
11:01.0,,,2-2,,T. Harris misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by K. Korver,,2-2,,
10:44.0,J. Teague misses 2-pt shot from 1 ft,,2-2,,
10:43.0,,,2-2,,Defensive rebound by N. Vucevic
10:35.0,,,2-2,,E. Payton misses 2-pt shot from 2 ft (block by K. Korver)
10:33.0,Defensive rebound by A. Horford,,2-2,,
10:25.0,P. Millsap makes 2-pt shot from 5 ft,2,4-2,,
10:06.0,,,4-4,2,N. Vucevic makes 2-pt shot from 1 ft (assist by T. Harris)
9:57.0,,,4-4,,Personal foul by D. Dedmon (drawn by A. Horford)
9:45.0,P. Millsap misses 2-pt shot from 2 ft,,4-4,,
9:44.0,,,4-4,,Defensive rebound by D. Dedmon
9:34.0,,,4-6,2,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Payton)
9:14.0,Turnover by D. Carroll (lost ball),,4-6,,
9:06.0,,,4-6,,E. Payton misses 2-pt shot from 2 ft (block by P. Millsap)
9:04.0,Defensive rebound by P. Millsap,,4-6,,
8:58.0,D. Carroll misses 3-pt shot from 22 ft,,4-6,,
8:56.0,,,4-6,,Defensive rebound by E. Payton
8:48.0,,,4-8,2,V. Oladipo makes 2-pt shot from 19 ft
8:33.0,K. Korver misses 3-pt shot from 25 ft,,4-8,,
8:32.0,,,4-8,,Defensive rebound by Team
8:21.0,,,4-8,,N. Vucevic misses 2-pt shot from 18 ft
8:19.0,Defensive rebound by K. Korver,,4-8,,
8:11.0,P. Millsap misses 3-pt shot from 25 ft,,4-8,,
8:09.0,,,4-8,,Defensive rebound by N. Vucevic
7:59.0,,,4-8,,Shooting foul by A. Horford (drawn by V. Oladipo)
7:59.0,,,4-9,1,V. Oladipo makes free throw 1 of 2
7:59.0,,,4-10,1,V. Oladipo makes free throw 2 of 2
7:48.0,,,4-10,,Violation by V. Oladipo (kicked ball)
7:36.0,Turnover by A. Horford (lost ball; steal by D. Dedmon),,4-10,,
7:31.0,,,4-12,2,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Payton)
7:16.0,A. Horford makes 2-pt shot from 5 ft,2,6-12,,
7:15.0,Technical foul by A. Horford,,6-12,,
7:15.0,,,6-13,1,V. Oladipo makes technical free throw
7:00.0,,,6-13,,E. Payton misses 2-pt shot from 18 ft
6:59.0,Defensive rebound by D. Carroll,,6-13,,
6:48.0,A. Horford misses 2-pt shot from 19 ft,,6-13,,
6:47.0,Offensive rebound by P. Millsap,,6-13,,
6:41.0,D. Carroll misses 3-pt shot from 25 ft,,6-13,,
6:40.0,Offensive rebound by P. Millsap,,6-13,,
6:27.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,8-13,,
6:12.0,,,8-13,,Turnover by T. Harris (step out of bounds)
5:56.0,J. Teague misses 3-pt shot from 25 ft,,8-13,,
5:54.0,,,8-13,,Defensive rebound by T. Harris
5:48.0,,,8-15,2,N. Vucevic makes 2-pt shot from 2 ft (assist by T. Harris)
5:48.0,Atlanta full timeout,,8-15,,
5:23.0,J. Teague misses 2-pt shot from 11 ft,,8-15,,
5:22.0,,,8-15,,Defensive rebound by D. Dedmon
5:04.0,,,8-17,2,E. Payton makes 2-pt shot from 4 ft (assist by N. Vucevic)
4:41.0,J. Teague makes 3-pt shot from 25 ft (assist by D. Carroll),3,11-17,,
4:25.0,P. Antic enters the game for A. Horford,,11-17,,
4:25.0,K. Bazemore enters the game for K. Korver,,11-17,,
4:17.0,,,11-17,,Turnover by V. Oladipo (step out of bounds)
4:06.0,Turnover by J. Teague (bad pass; steal by V. Oladipo),,11-17,,
4:06.0,Personal foul by P. Antic (drawn by V. Oladipo),,11-17,,
4:06.0,,,11-17,,W. Green enters the game for D. Dedmon
4:06.0,D. Schroder enters the game for J. Teague,,11-17,,
3:50.0,,,11-19,2,N. Vucevic makes 2-pt shot from 17 ft
3:29.0,P. Antic misses 3-pt shot from 25 ft,,11-19,,
3:28.0,,,11-19,,Defensive rebound by V. Oladipo
3:23.0,,,11-19,,Shooting foul by K. Bazemore (drawn by V. Oladipo)
3:23.0,,,11-20,1,V. Oladipo makes free throw 1 of 2
3:23.0,,,11-21,1,V. Oladipo makes free throw 2 of 2
3:09.0,D. Schroder misses 2-pt shot from 6 ft,,11-21,,
3:07.0,Offensive rebound by Team,,11-21,,
2:58.0,P. Millsap makes 2-pt shot from 7 ft,2,13-21,,
2:32.0,,,13-23,2,T. Harris makes 2-pt shot from 18 ft
2:18.0,Shooting foul by E. Payton (drawn by P. Millsap),,13-23,,
2:18.0,,,13-23,,Orlando full timeout
2:18.0,P. Millsap makes free throw 1 of 2,1,14-23,,
2:18.0,P. Millsap makes free throw 2 of 2,1,15-23,,
2:06.0,,,15-23,,T. Harris misses 2-pt shot from 17 ft
2:05.0,Defensive rebound by P. Millsap,,15-23,,
1:54.0,D. Schroder misses 2-pt shot from 19 ft,,15-23,,
1:52.0,Offensive rebound by P. Millsap,,15-23,,
1:52.0,P. Millsap makes 2-pt shot from 1 ft,2,17-23,,
1:40.0,,,17-23,,N. Vucevic misses 2-pt shot from 17 ft
1:38.0,,,17-23,,Offensive rebound by E. Payton
1:35.0,,,17-25,2,E. Payton makes 2-pt shot from 2 ft
1:22.0,Shooting foul by E. Payton (drawn by D. Schroder),,17-25,,
1:22.0,D. Schroder makes free throw 1 of 2,1,18-25,,
1:22.0,A. Horford enters the game for P. Millsap,,18-25,,
1:22.0,K. Korver enters the game for D. Carroll,,18-25,,
1:22.0,,,18-25,,L. Ridnour enters the game for E. Payton
1:22.0,D. Schroder misses free throw 2 of 2,,18-25,,
1:21.0,Offensive rebound by A. Horford,,18-25,,
1:17.0,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford),3,21-25,,
1:03.0,,,21-25,,V. Oladipo misses 2-pt shot from 4 ft
1:01.0,Defensive rebound by P. Antic,,21-25,,
0:48.0,Turnover by D. Schroder (bad pass),,21-25,,
0:38.0,,,21-28,3,T. Harris makes 3-pt shot from 25 ft (assist by V. Oladipo)
0:16.0,K. Bazemore misses 2-pt shot from 2 ft,,21-28,,
0:15.0,Offensive rebound by K. Bazemore,,21-28,,
0:15.0,K. Bazemore makes 2-pt shot from 2 ft,2,23-28,,
0:00.0,,,23-31,3,W. Green makes 3-pt shot from 24 ft (assist by N. Vucevic)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,23-33,2,A. Nicholson makes 2-pt shot from 20 ft (assist by W. Green)
11:25.0,D. Schroder misses 2-pt shot from 8 ft (block by L. Ridnour),,23-33,,
11:22.0,Offensive rebound by D. Schroder,,23-33,,
11:18.0,D. Schroder misses 2-pt shot from 15 ft,,23-33,,
11:17.0,,,23-33,,Defensive rebound by A. Gordon
10:56.0,,,23-33,,C. Frye misses 2-pt shot from 7 ft (block by A. Horford)
10:54.0,Defensive rebound by A. Horford,,23-33,,
10:48.0,Offensive charge foul by T. Sefolosha,,23-33,,
10:48.0,Turnover by T. Sefolosha (offensive foul),,23-33,,
10:36.0,,,23-33,,L. Ridnour misses 2-pt shot from 19 ft
10:35.0,Defensive rebound by P. Antic,,23-33,,
10:26.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,26-33,,
10:03.0,,,26-35,2,A. Nicholson makes 2-pt shot from 7 ft (assist by A. Gordon)
9:48.0,K. Korver misses 3-pt shot from 26 ft,,26-35,,
9:46.0,Offensive rebound by A. Horford,,26-35,,
9:44.0,K. Korver misses 3-pt shot from 24 ft,,26-35,,
9:42.0,,,26-35,,Defensive rebound by C. Frye
9:29.0,,,26-35,,W. Green misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by A. Horford,,26-35,,
9:16.0,D. Schroder misses 3-pt shot from 26 ft,,26-35,,
9:14.0,,,26-35,,Defensive rebound by A. Gordon
9:06.0,,,26-35,,L. Ridnour misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by K. Korver,,26-35,,
8:57.0,Turnover by A. Horford (lost ball; steal by A. Gordon),,26-35,,
8:45.0,,,26-35,,Shooting foul by P. Antic (drawn by A. Nicholson)
8:45.0,Official timeout,,26-35,,
8:45.0,E. Brand enters the game for P. Antic,,26-35,,
8:45.0,J. Teague enters the game for D. Schroder,,26-35,,
8:45.0,,,26-36,1,A. Nicholson makes free throw 1 of 2
8:45.0,,,26-37,1,A. Nicholson makes free throw 2 of 2
8:27.0,E. Brand misses 2-pt shot from 14 ft,,26-37,,
8:26.0,,,26-37,,Defensive rebound by L. Ridnour
8:12.0,,,26-37,,A. Nicholson misses 2-pt shot from 15 ft
8:10.0,Defensive rebound by J. Teague,,26-37,,
8:02.0,,,26-37,,Personal foul by A. Gordon (drawn by T. Sefolosha)
8:02.0,D. Schroder enters the game for T. Sefolosha,,26-37,,
7:46.0,A. Horford misses 2-pt shot from 16 ft,,26-37,,
7:45.0,,,26-37,,Defensive rebound by W. Green
7:37.0,,,26-39,2,W. Green makes 2-pt shot from 1 ft
7:28.0,D. Schroder makes 2-pt shot from 2 ft,2,28-39,,
7:20.0,,,28-39,,A. Nicholson misses 3-pt shot from 22 ft
7:18.0,,,28-39,,Offensive rebound by C. Frye
7:18.0,,,28-41,2,C. Frye makes 2-pt shot from 1 ft
7:11.0,J. Teague misses 2-pt shot from 2 ft,,28-41,,
7:10.0,Offensive rebound by Team,,28-41,,
