time,San Antonio,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Nurkic (T. Parker gains possession),,,,Jump ball: T. Duncan vs. J. Nurkic (T. Parker gains possession)
11:44.0,D. Green misses 3-pt shot from 25 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by W. Chandler
11:28.0,,,0-2,2,W. Chandler makes 2-pt shot at rim (assist by T. Lawson)
11:16.0,K. Leonard misses 2-pt shot from 19 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by K. Faried
11:08.0,,,0-2,,J. Nurkic misses 2-pt shot from 1 ft
11:07.0,Defensive rebound by T. Parker,,0-2,,
10:45.0,T. Splitter makes 2-pt shot from 2 ft (assist by T. Duncan),2,2-2,,
10:24.0,,,2-2,,Shooting foul by K. Leonard (drawn by A. Afflalo)
10:24.0,,,2-2,,A. Afflalo misses free throw 1 of 2
10:24.0,,,2-2,,Offensive rebound by Team
10:24.0,,,2-3,1,A. Afflalo makes free throw 2 of 2
9:58.0,D. Green misses 2-pt shot from 13 ft,,2-3,,
9:56.0,,,2-3,,Defensive rebound by W. Chandler
9:43.0,,,2-5,2,W. Chandler makes 2-pt shot from 9 ft
9:29.0,T. Parker misses 2-pt shot from 18 ft,,2-5,,
9:27.0,,,2-5,,Defensive rebound by W. Chandler
9:15.0,,,2-5,,Turnover by J. Nurkic (lost ball; steal by T. Splitter)
9:08.0,D. Green misses 3-pt shot from 22 ft,,2-5,,
9:06.0,Offensive rebound by K. Leonard,,2-5,,
9:03.0,D. Green misses 3-pt shot from 22 ft,,2-5,,
9:02.0,Offensive rebound by Team,,2-5,,
9:02.0,,,2-5,,Loose ball foul by A. Afflalo (drawn by T. Splitter)
8:55.0,Turnover by D. Green (lost ball; steal by A. Afflalo),,2-5,,
8:50.0,,,2-7,2,K. Faried makes 2-pt shot at rim (assist by A. Afflalo)
8:34.0,T. Duncan misses 2-pt shot from 19 ft,,2-7,,
8:32.0,,,2-7,,Defensive rebound by A. Afflalo
8:26.0,,,2-7,,Turnover by A. Afflalo (bad pass)
8:14.0,T. Duncan misses 2-pt shot from 11 ft,,2-7,,
8:13.0,,,2-7,,Defensive rebound by W. Chandler
8:07.0,,,2-7,,W. Chandler misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by K. Leonard,,2-7,,
7:59.0,K. Leonard misses 3-pt shot from 25 ft,,2-7,,
7:58.0,,,2-7,,Defensive rebound by J. Nurkic
7:50.0,,,2-9,2,W. Chandler makes 2-pt shot from 2 ft
7:50.0,San Antonio full timeout,,2-9,,
7:50.0,P. Mills enters the game for K. Leonard,,2-9,,
7:50.0,A. Baynes enters the game for T. Splitter,,2-9,,
7:50.0,M. Ginobili enters the game for D. Green,,2-9,,
7:50.0,C. Joseph enters the game for T. Parker,,2-9,,
7:26.0,T. Duncan misses 2-pt shot from 12 ft,,2-9,,
7:24.0,,,2-9,,Defensive rebound by A. Afflalo
7:13.0,,,2-9,,Turnover by A. Afflalo (lost ball; steal by C. Joseph)
7:09.0,,,2-9,,Personal foul by A. Afflalo (drawn by P. Mills)
7:09.0,,,2-9,,J. Nelson enters the game for A. Afflalo
6:58.0,C. Joseph misses 2-pt shot from 8 ft,,2-9,,
6:57.0,,,2-9,,Defensive rebound by J. Nurkic
6:49.0,,,2-9,,Shooting foul by T. Duncan (drawn by K. Faried)
6:49.0,,,2-10,1,K. Faried makes free throw 1 of 2
