time,Phoenix,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Plumlee (M. Morris gains possession),,,,Jump ball: T. Mozgov vs. M. Plumlee (M. Morris gains possession)
11:41.0,M. Morris misses 2-pt shot from 14 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by W. Chandler
11:26.0,,,0-2,2,A. Afflalo makes 2-pt shot from 13 ft
11:08.0,E. Bledsoe misses 2-pt shot from 21 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by A. Afflalo
10:57.0,,,0-2,,A. Afflalo misses 2-pt shot from 16 ft
10:56.0,Defensive rebound by G. Dragic,,0-2,,
10:47.0,G. Dragic misses 2-pt shot from 18 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by T. Lawson
10:36.0,,,0-2,,W. Chandler misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by Team,,0-2,,
10:36.0,,,0-2,,Loose ball foul by K. Faried (drawn by M. Morris)
10:15.0,M. Morris makes 2-pt shot from 12 ft (assist by G. Dragic),2,2-2,,
9:58.0,,,2-2,,W. Chandler misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by M. Morris,,2-2,,
9:44.0,G. Dragic misses 2-pt shot at rim,,2-2,,
9:43.0,,,2-2,,Defensive rebound by T. Mozgov
9:33.0,,,2-4,2,T. Lawson makes 2-pt shot from 17 ft
9:24.0,E. Bledsoe misses 2-pt shot from 5 ft,,2-4,,
9:23.0,,,2-4,,Defensive rebound by K. Faried
9:16.0,,,2-6,2,W. Chandler makes 2-pt shot at rim (assist by K. Faried)
9:02.0,M. Morris misses 2-pt shot from 8 ft,,2-6,,
9:01.0,,,2-6,,Defensive rebound by K. Faried
8:48.0,,,2-8,2,T. Mozgov makes 2-pt shot at rim
8:42.0,Phoenix full timeout,,2-8,,
8:30.0,M. Morris makes 2-pt shot from 13 ft,2,4-8,,
8:12.0,,,4-10,2,K. Faried makes 2-pt shot at rim
7:59.0,Shooting foul by A. Afflalo (drawn by G. Dragic),,4-10,,
7:59.0,G. Dragic misses free throw 1 of 2,,4-10,,
7:59.0,Offensive rebound by Team,,4-10,,
7:59.0,G. Dragic makes free throw 2 of 2,1,5-10,,
7:42.0,,,5-10,,Offensive charge foul by W. Chandler
7:42.0,,,5-10,,Turnover by W. Chandler (offensive foul)
7:32.0,Offensive foul by M. Plumlee,,5-10,,
7:32.0,Turnover by M. Plumlee (offensive foul),,5-10,,
7:13.0,,,5-10,,A. Afflalo misses 2-pt shot from 8 ft
7:12.0,Defensive rebound by G. Dragic,,5-10,,
7:06.0,G. Dragic makes 2-pt shot at rim,2,7-10,,
6:59.0,,,7-10,,T. Lawson misses 2-pt shot from 2 ft (block by M. Morris)
6:58.0,,,7-10,,Offensive rebound by Team
6:58.0,,,7-10,,J. Hickson enters the game for K. Faried
6:50.0,,,7-10,,J. Hickson misses 2-pt shot from 5 ft
6:49.0,,,7-10,,Offensive rebound by J. Hickson
6:44.0,,,7-12,2,J. Hickson makes 2-pt shot from 2 ft
