time,Miami,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. D. Howard (M. Chalmers gains possession),,,,Jump ball: C. Bosh vs. D. Howard (M. Chalmers gains possession)
11:43.0,Shooting foul by J. Harden (drawn by C. Bosh),,0-0,,
11:43.0,C. Bosh makes free throw 1 of 2,1,1-0,,
11:43.0,C. Bosh makes free throw 2 of 2,1,2-0,,
11:20.0,,,2-0,,J. Harden misses 3-pt shot from 23 ft
11:19.0,Defensive rebound by D. Wade,,2-0,,
11:15.0,Turnover by D. Wade (bad pass; steal by D. Motiejunas),,2-0,,
11:09.0,,,2-3,3,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley)
10:48.0,Turnover by C. Bosh (bad pass; steal by T. Ariza),,2-3,,
10:45.0,,,2-5,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by T. Ariza)
10:24.0,C. Bosh misses 3-pt shot from 24 ft,,2-5,,
10:23.0,,,2-5,,Defensive rebound by D. Howard
10:17.0,,,2-5,,Turnover by J. Harden (bad pass; steal by L. Deng)
10:13.0,Shooting foul by P. Beverley (drawn by D. Wade),,2-5,,
10:13.0,D. Wade makes free throw 1 of 2,1,3-5,,
10:13.0,D. Wade makes free throw 2 of 2,1,4-5,,
9:58.0,,,4-5,,D. Howard misses 2-pt shot from 5 ft
9:57.0,Defensive rebound by C. Andersen,,4-5,,
9:49.0,Turnover by C. Bosh (bad pass; steal by T. Ariza),,4-5,,
9:48.0,Clear path foul by M. Chalmers,,4-5,,
9:48.0,,,4-6,1,P. Beverley makes clear path free throw 1 of 2
9:48.0,,,4-7,1,P. Beverley makes clear path free throw 2 of 2
9:28.0,,,4-9,2,T. Ariza makes 2-pt shot from 4 ft (assist by D. Motiejunas)
9:04.0,Turnover by L. Deng (bad pass),,4-9,,
8:52.0,,,4-9,,Turnover by J. Harden (bad pass)
8:31.0,C. Bosh makes 2-pt shot from 21 ft (assist by M. Chalmers),2,6-9,,
8:24.0,,,6-9,,Turnover by D. Howard (traveling)
8:11.0,D. Wade makes 2-pt shot from 16 ft (assist by M. Chalmers),2,8-9,,
8:01.0,,,8-9,,P. Beverley misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by C. Bosh,,8-9,,
7:49.0,L. Deng makes 2-pt shot from 1 ft (assist by M. Chalmers),2,10-9,,
7:39.0,,,10-9,,T. Ariza misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by M. Chalmers,,10-9,,
7:32.0,L. Deng misses 2-pt shot at rim,,10-9,,
7:31.0,Offensive rebound by L. Deng,,10-9,,
7:31.0,L. Deng makes 2-pt shot at rim,2,12-9,,
7:21.0,,,12-9,,Offensive foul by D. Motiejunas
7:21.0,,,12-9,,Turnover by D. Motiejunas (offensive foul)
7:21.0,D. Granger enters the game for C. Bosh,,12-9,,
7:01.0,D. Wade misses 2-pt shot from 17 ft,,12-9,,
7:00.0,,,12-9,,Defensive rebound by D. Howard
6:50.0,,,12-11,2,D. Motiejunas makes 2-pt shot from 8 ft
6:50.0,,,12-11,,Shooting foul by D. Granger (drawn by D. Motiejunas)
6:50.0,,,12-12,1,D. Motiejunas makes free throw 1 of 1
6:34.0,D. Granger misses 3-pt shot from 25 ft,,12-12,,
6:32.0,Offensive rebound by L. Deng,,12-12,,
6:29.0,Turnover by L. Deng (bad pass; steal by T. Ariza),,12-12,,
6:25.0,,,12-14,2,J. Harden makes 2-pt shot from 2 ft
6:25.0,Miami full timeout,,12-14,,
6:07.0,Turnover by D. Wade (traveling),,12-14,,
6:01.0,,,12-14,,Turnover by P. Beverley (bad pass; steal by M. Chalmers)
5:53.0,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers),2,14-14,,
5:39.0,,,14-16,2,D. Motiejunas makes 2-pt shot from 7 ft (assist by T. Ariza)
5:19.0,L. Deng makes 2-pt shot from 15 ft (assist by C. Andersen),2,16-16,,
5:00.0,,,16-18,2,D. Motiejunas makes 2-pt shot from 6 ft
4:46.0,D. Wade misses 2-pt shot from 2 ft,,16-18,,
4:45.0,,,16-18,,Defensive rebound by T. Ariza
4:36.0,,,16-18,,J. Harden misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by L. Deng,,16-18,,
4:24.0,M. Chalmers misses 2-pt shot from 1 ft,,16-18,,
4:23.0,Offensive rebound by L. Deng,,16-18,,
4:21.0,M. Chalmers makes 3-pt shot from 24 ft (assist by L. Deng),3,19-18,,
4:05.0,,,19-18,,T. Ariza misses 2-pt shot from 1 ft
4:04.0,Defensive rebound by D. Wade,,19-18,,
3:45.0,Shooting foul by D. Howard (drawn by D. Granger),,19-18,,
3:45.0,D. Granger makes free throw 1 of 2,1,20-18,,
3:45.0,J. Ennis enters the game for M. Chalmers,,20-18,,
3:45.0,C. Bosh enters the game for C. Andersen,,20-18,,
3:45.0,,,20-18,,J. Terry enters the game for P. Beverley
3:45.0,,,20-18,,J. Smith enters the game for D. Howard
3:45.0,N. Cole enters the game for D. Wade,,20-18,,
3:45.0,D. Granger makes free throw 2 of 2,1,21-18,,
3:26.0,,,21-18,,D. Motiejunas misses 2-pt shot from 7 ft
3:25.0,Defensive rebound by L. Deng,,21-18,,
3:05.0,Turnover by D. Granger (bad pass; steal by J. Harden),,21-18,,
3:00.0,,,21-18,,J. Harden misses 2-pt shot from 1 ft
2:59.0,Defensive rebound by D. Granger,,21-18,,
2:53.0,J. Ennis misses 3-pt shot from 25 ft,,21-18,,
2:50.0,,,21-18,,Defensive rebound by Team
2:50.0,,,21-18,,Houston full timeout
2:50.0,,,21-18,,C. Brewer enters the game for T. Ariza
2:26.0,,,21-18,,J. Terry misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by C. Bosh,,21-18,,
2:05.0,C. Bosh makes 2-pt shot from 10 ft,2,23-18,,
1:45.0,,,23-21,3,C. Brewer makes 3-pt shot from 23 ft (assist by J. Harden)
1:26.0,,,23-21,,Shooting block foul by D. Motiejunas (drawn by C. Bosh)
1:26.0,C. Bosh makes free throw 1 of 2,1,24-21,,
1:26.0,,,24-21,,K. Papanikolaou enters the game for D. Motiejunas
1:26.0,S. Williams enters the game for L. Deng,,24-21,,
1:26.0,C. Bosh makes free throw 2 of 2,1,25-21,,
1:08.0,,,25-21,,J. Terry misses 2-pt shot from 2 ft
1:06.0,,,25-21,,Offensive rebound by K. Papanikolaou
0:59.0,,,25-23,2,J. Harden makes 2-pt shot at rim
0:37.0,N. Cole makes 2-pt shot from 23 ft,2,27-23,,
0:14.0,,,27-23,,J. Harden misses 2-pt shot from 15 ft
0:14.0,,,27-23,,Offensive rebound by K. Papanikolaou
0:14.0,Loose ball foul by J. Ennis (drawn by K. Papanikolaou),,27-23,,
0:00.0,,,27-23,,C. Brewer misses 3-pt shot from 23 ft
0:00.0,,,27-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,27-23,,Shooting foul by C. Bosh (drawn by D. Howard)
11:48.0,,,27-24,1,D. Howard makes free throw 1 of 2
11:48.0,,,27-25,1,D. Howard makes free throw 2 of 2
11:29.0,D. Granger misses 2-pt shot from 13 ft,,27-25,,
11:27.0,,,27-25,,Defensive rebound by K. Papanikolaou
11:20.0,,,27-25,,Turnover by J. Smith (bad pass)
11:08.0,,,27-25,,Violation by D. Howard (kicked ball)
10:56.0,,,27-25,,Personal foul by C. Brewer (drawn by N. Cole)
10:50.0,N. Cole makes 2-pt shot at rim,2,29-25,,
10:27.0,,,29-27,2,D. Howard makes 2-pt shot from 1 ft (assist by C. Brewer)
10:13.0,S. Williams misses 3-pt shot from 26 ft,,29-27,,
10:11.0,,,29-27,,Defensive rebound by C. Brewer
10:03.0,,,29-27,,J. Smith misses 2-pt shot from 1 ft
10:02.0,,,29-27,,Offensive rebound by D. Howard
10:02.0,,,29-29,2,D. Howard makes 2-pt shot at rim
9:45.0,C. Bosh misses 2-pt shot from 16 ft,,29-29,,
9:44.0,,,29-29,,Defensive rebound by J. Smith
9:36.0,,,29-29,,D. Howard misses 2-pt shot from 2 ft (block by J. Ennis)
9:35.0,,,29-29,,Offensive rebound by D. Howard
9:34.0,,,29-31,2,D. Howard makes 2-pt shot at rim
9:15.0,D. Granger misses 2-pt shot from 16 ft,,29-31,,
9:14.0,,,29-31,,Defensive rebound by D. Howard
9:06.0,,,29-34,3,C. Brewer makes 3-pt shot from 23 ft (assist by J. Terry)
9:05.0,Miami full timeout,,29-34,,
9:05.0,H. Whiteside enters the game for S. Williams,,29-34,,
9:04.0,Turnover by J. Ennis (bad pass; steal by C. Brewer),,29-34,,
9:00.0,,,29-36,2,K. Papanikolaou makes 2-pt shot at rim (assist by C. Brewer)
8:49.0,Turnover by N. Cole (bad pass),,29-36,,
8:32.0,,,29-38,2,D. Howard makes 2-pt shot from 6 ft
8:05.0,Shooting foul by J. Smith (drawn by J. Ennis),,29-38,,
8:05.0,J. Ennis misses free throw 1 of 2,,29-38,,
8:05.0,Offensive rebound by Team,,29-38,,
8:05.0,D. Wade enters the game for D. Granger,,29-38,,
8:05.0,M. Chalmers enters the game for N. Cole,,29-38,,
8:05.0,J. Ennis misses free throw 2 of 2,,29-38,,
8:03.0,Offensive rebound by H. Whiteside,,29-38,,
8:03.0,H. Whiteside makes 2-pt shot at rim,2,31-38,,
7:42.0,,,31-40,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Terry)
7:29.0,H. Whiteside makes 2-pt shot at rim (assist by M. Chalmers),2,33-40,,
7:06.0,,,33-42,2,D. Howard makes 2-pt shot from 2 ft
6:45.0,D. Wade makes 2-pt shot at rim,2,35-42,,
6:27.0,,,35-42,,Shooting foul by H. Whiteside (drawn by D. Howard)
6:27.0,,,35-42,,D. Howard misses free throw 1 of 2
6:27.0,,,35-42,,Offensive rebound by Team
6:27.0,L. Deng enters the game for J. Ennis,,35-42,,
6:27.0,,,35-42,,T. Ariza enters the game for K. Papanikolaou
6:27.0,,,35-42,,J. Harden enters the game for C. Brewer
6:27.0,,,35-42,,P. Beverley enters the game for J. Terry
6:27.0,,,35-42,,D. Howard misses free throw 2 of 2
6:26.0,Defensive rebound by Team,,35-42,,
6:26.0,,,35-42,,Loose ball foul by J. Smith (drawn by L. Deng)
6:05.0,C. Bosh misses 2-pt shot from 18 ft,,35-42,,
6:04.0,,,35-42,,Defensive rebound by D. Howard
5:53.0,,,35-42,,Shooting foul by H. Whiteside (drawn by D. Howard)
5:53.0,,,35-42,,Houston full timeout
5:53.0,,,35-42,,D. Motiejunas enters the game for J. Smith
5:53.0,C. Andersen enters the game for C. Bosh,,35-42,,
5:53.0,D. Granger enters the game for H. Whiteside,,35-42,,
5:53.0,,,35-42,,D. Howard misses free throw 1 of 2
5:53.0,,,35-42,,Offensive rebound by Team
5:53.0,,,35-42,,D. Howard misses free throw 2 of 2
5:53.0,Defensive rebound by C. Andersen,,35-42,,
5:39.0,D. Wade makes 2-pt shot from 16 ft,2,37-42,,
5:21.0,,,37-42,,D. Howard misses 2-pt shot from 7 ft
5:18.0,,,37-42,,Offensive rebound by D. Howard
5:16.0,,,37-44,2,D. Howard makes 2-pt shot from 6 ft
5:11.0,,,37-44,,Technical foul by D. Motiejunas
5:11.0,D. Wade makes technical free throw,1,38-44,,
4:57.0,Turnover by D. Granger (bad pass; steal by T. Ariza),,38-44,,
4:47.0,,,38-44,,Turnover by T. Ariza (bad pass; steal by D. Granger)
4:42.0,Shooting foul by T. Ariza (drawn by D. Wade),,38-44,,
4:42.0,D. Wade makes free throw 1 of 2,1,39-44,,
4:42.0,,,39-44,,J. Smith enters the game for D. Howard
4:42.0,D. Wade makes free throw 2 of 2,1,40-44,,
4:25.0,,,40-44,,P. Beverley misses 2-pt shot from 22 ft
4:24.0,Defensive rebound by D. Wade,,40-44,,
4:14.0,L. Deng makes 2-pt shot from 1 ft (assist by C. Andersen),2,42-44,,
4:03.0,,,42-46,2,J. Harden makes 2-pt shot at rim
3:35.0,D. Wade misses 2-pt shot from 21 ft,,42-46,,
3:34.0,,,42-46,,Defensive rebound by J. Harden
3:28.0,,,42-48,2,J. Smith makes 2-pt shot at rim (assist by D. Motiejunas)
3:21.0,Miami full timeout,,42-48,,
3:21.0,C. Bosh enters the game for C. Andersen,,42-48,,
3:12.0,D. Granger makes 3-pt shot from 22 ft (assist by D. Wade),3,45-48,,
2:58.0,,,45-51,3,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden)
2:42.0,C. Bosh makes 2-pt shot from 2 ft (assist by D. Wade),2,47-51,,
2:32.0,,,47-51,,Turnover by T. Ariza (bad pass)
2:32.0,,,47-51,,Houston full timeout
2:32.0,,,47-51,,D. Howard enters the game for J. Smith
2:20.0,D. Wade makes 2-pt shot from 15 ft,2,49-51,,
2:07.0,,,49-54,3,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza)
1:41.0,C. Bosh misses 3-pt shot from 24 ft,,49-54,,
1:40.0,,,49-54,,Defensive rebound by J. Harden
1:30.0,,,49-54,,D. Motiejunas misses 3-pt shot from 22 ft
1:29.0,,,49-54,,Offensive rebound by J. Harden
1:28.0,,,49-54,,J. Harden misses 2-pt shot from 2 ft
1:27.0,,,49-54,,Offensive rebound by D. Howard
1:27.0,Loose ball foul by M. Chalmers (drawn by D. Howard),,49-54,,
1:27.0,C. Andersen enters the game for D. Granger,,49-54,,
1:27.0,,,49-54,,J. Smith enters the game for D. Motiejunas
1:27.0,,,49-56,2,D. Howard makes 2-pt shot from 1 ft
1:27.0,,,49-57,1,D. Howard makes free throw 1 of 1
1:12.0,Shooting foul by P. Beverley (drawn by C. Andersen),,49-57,,
1:12.0,C. Andersen misses free throw 1 of 2,,49-57,,
1:12.0,Offensive rebound by Team,,49-57,,
1:12.0,N. Cole enters the game for M. Chalmers,,49-57,,
1:12.0,C. Andersen misses free throw 2 of 2,,49-57,,
1:12.0,,,49-57,,Defensive rebound by D. Howard
1:03.0,,,49-57,,Shooting foul by N. Cole (drawn by J. Harden)
1:03.0,,,49-58,1,J. Harden makes free throw 1 of 2
1:03.0,,,49-59,1,J. Harden makes free throw 2 of 2
0:46.0,C. Bosh misses 2-pt shot from 11 ft,,49-59,,
0:45.0,,,49-59,,Defensive rebound by J. Smith
0:41.0,,,49-61,2,J. Harden makes 2-pt shot at rim (assist by J. Smith)
0:27.0,D. Wade misses 2-pt shot from 15 ft,,49-61,,
0:26.0,,,49-61,,Defensive rebound by D. Howard
0:03.0,,,49-61,,J. Harden misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by D. Wade,,49-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,49-61,,T. Ariza misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by C. Andersen,,49-61,,
11:31.0,C. Bosh misses 2-pt shot from 18 ft,,49-61,,
11:30.0,,,49-61,,Defensive rebound by D. Howard
11:21.0,,,49-61,,Shooting foul by L. Deng (drawn by D. Howard)
11:21.0,,,49-62,1,D. Howard makes free throw 1 of 2
11:21.0,,,49-63,1,D. Howard makes free throw 2 of 2
11:06.0,L. Deng makes 2-pt shot from 18 ft (assist by C. Bosh),2,51-63,,
10:49.0,,,51-65,2,D. Howard makes 2-pt shot from 6 ft (assist by D. Motiejunas)
10:35.0,L. Deng misses 2-pt shot from 18 ft,,51-65,,
10:33.0,,,51-65,,Defensive rebound by J. Harden
10:27.0,,,51-68,3,J. Harden makes 3-pt shot from 24 ft
10:01.0,C. Andersen makes 2-pt shot from 1 ft (assist by D. Wade),2,53-68,,
9:46.0,,,53-70,2,J. Harden makes 2-pt shot from 1 ft
9:46.0,,,53-70,,Shooting foul by M. Chalmers (drawn by J. Harden)
9:46.0,,,53-71,1,J. Harden makes free throw 1 of 1
9:43.0,,,53-71,,Personal foul by D. Motiejunas (drawn by M. Chalmers)
9:39.0,,,53-71,,Personal foul by P. Beverley (drawn by M. Chalmers)
9:30.0,Turnover by L. Deng (bad pass; steal by T. Ariza),,53-71,,
9:24.0,,,53-74,3,P. Beverley makes 3-pt shot from 25 ft (assist by T. Ariza)
9:23.0,Miami full timeout,,53-74,,
9:15.0,C. Bosh misses 2-pt shot from 1 ft,,53-74,,
9:14.0,,,53-74,,Defensive rebound by T. Ariza
9:02.0,Violation by C. Andersen (kicked ball),,53-74,,
8:48.0,Shooting block foul by C. Bosh (drawn by D. Motiejunas),,53-74,,
8:48.0,,,53-74,,D. Motiejunas misses free throw 1 of 2
8:48.0,,,53-74,,Offensive rebound by Team
8:48.0,,,53-75,1,D. Motiejunas makes free throw 2 of 2
8:33.0,Turnover by C. Bosh (3 sec),,53-75,,
8:20.0,,,53-75,,D. Motiejunas misses 2-pt shot from 8 ft
8:19.0,,,53-75,,Offensive rebound by P. Beverley
8:15.0,,,53-75,,Offensive charge foul by T. Ariza
8:15.0,,,53-75,,Turnover by T. Ariza (offensive foul)
7:59.0,Turnover by C. Andersen (bad pass; steal by T. Ariza),,53-75,,
7:45.0,Violation by C. Andersen (kicked ball),,53-75,,
7:32.0,,,53-75,,T. Ariza misses 3-pt shot from 23 ft
7:31.0,Defensive rebound by L. Deng,,53-75,,
7:27.0,Turnover by L. Deng (traveling),,53-75,,
7:11.0,,,53-77,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by P. Beverley)
6:49.0,L. Deng misses 2-pt shot from 21 ft,,53-77,,
6:48.0,,,53-77,,Defensive rebound by P. Beverley
6:45.0,,,53-77,,Shooting foul by M. Chalmers (drawn by J. Harden)
6:45.0,,,53-78,1,J. Harden makes free throw 1 of 2
6:45.0,N. Cole enters the game for M. Chalmers,,53-78,,
6:45.0,,,53-79,1,J. Harden makes free throw 2 of 2
6:45.0,Miami full timeout,,53-79,,
6:29.0,Turnover by C. Bosh (lost ball),,53-79,,
6:08.0,,,53-79,,Turnover by D. Motiejunas (bad pass)
5:55.0,C. Bosh misses 3-pt shot from 26 ft,,53-79,,
5:54.0,Offensive rebound by Team,,53-79,,
5:53.0,,,53-79,,J. Smith enters the game for D. Howard
5:31.0,D. Wade misses 2-pt shot from 17 ft,,53-79,,
5:30.0,Offensive rebound by C. Bosh,,53-79,,
5:25.0,D. Wade makes 2-pt shot from 1 ft (assist by C. Bosh),2,55-79,,
5:04.0,,,55-79,,J. Harden misses 2-pt shot from 17 ft
5:03.0,,,55-79,,Offensive rebound by D. Motiejunas
4:51.0,,,55-81,2,J. Harden makes 2-pt shot from 1 ft
4:37.0,H. Whiteside enters the game for C. Andersen,,55-81,,
4:37.0,,,55-81,,C. Brewer enters the game for T. Ariza
4:37.0,D. Granger enters the game for L. Deng,,55-81,,
4:27.0,N. Cole misses 2-pt shot from 16 ft,,55-81,,
4:26.0,Offensive rebound by C. Bosh,,55-81,,
4:26.0,Shooting foul by D. Motiejunas (drawn by C. Bosh),,55-81,,
4:26.0,C. Bosh misses free throw 1 of 2,,55-81,,
4:26.0,Offensive rebound by Team,,55-81,,
4:26.0,C. Bosh makes free throw 2 of 2,1,56-81,,
4:15.0,,,56-81,,Turnover by J. Harden (bad pass; steal by D. Granger)
4:10.0,,,56-81,,K. Papanikolaou enters the game for D. Motiejunas
4:02.0,D. Wade misses 2-pt shot from 18 ft,,56-81,,
4:01.0,,,56-81,,Defensive rebound by Team
3:47.0,,,56-84,3,J. Harden makes 3-pt shot from 26 ft
3:33.0,C. Bosh makes 3-pt shot from 25 ft (assist by N. Cole),3,59-84,,
3:11.0,,,59-84,,J. Harden misses 2-pt shot from 19 ft
3:10.0,,,59-84,,Offensive rebound by K. Papanikolaou
3:05.0,,,59-84,,J. Smith misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by H. Whiteside,,59-84,,
2:52.0,Shooting foul by J. Smith (drawn by C. Bosh),,59-84,,
2:52.0,C. Bosh makes free throw 1 of 2,1,60-84,,
2:52.0,J. Ennis enters the game for D. Wade,,60-84,,
2:52.0,C. Bosh misses free throw 2 of 2,,60-84,,
2:52.0,,,60-84,,Defensive rebound by J. Harden
2:30.0,Personal foul by N. Cole (drawn by J. Harden),,60-84,,
2:30.0,,,60-85,1,J. Harden makes free throw 1 of 2
2:30.0,S. Williams enters the game for C. Bosh,,60-85,,
2:30.0,,,60-85,,J. Terry enters the game for P. Beverley
2:30.0,,,60-86,1,J. Harden makes free throw 2 of 2
2:16.0,D. Granger misses 3-pt shot from 24 ft,,60-86,,
2:15.0,,,60-86,,Defensive rebound by Team
2:15.0,,,60-86,,D. Howard enters the game for J. Harden
2:01.0,,,60-86,,Turnover by D. Howard (3 sec)
1:47.0,Shooting foul by C. Brewer (drawn by H. Whiteside),,60-86,,
1:47.0,H. Whiteside misses free throw 1 of 2,,60-86,,
1:47.0,Offensive rebound by Team,,60-86,,
1:47.0,H. Whiteside misses free throw 2 of 2,,60-86,,
1:47.0,,,60-86,,Defensive rebound by D. Howard
1:36.0,,,60-88,2,J. Smith makes 2-pt shot at rim (assist by J. Terry)
1:22.0,S. Williams misses 3-pt shot from 24 ft,,60-88,,
1:21.0,,,60-88,,Defensive rebound by C. Brewer
0:57.0,,,60-88,,D. Howard misses 2-pt shot at rim
0:56.0,Defensive rebound by H. Whiteside,,60-88,,
0:39.0,N. Cole misses 2-pt shot from 1 ft,,60-88,,
0:38.0,,,60-88,,Defensive rebound by C. Brewer
0:32.0,,,60-91,3,J. Terry makes 3-pt shot from 24 ft (assist by K. Papanikolaou)
0:18.0,N. Cole misses 2-pt shot from 10 ft,,60-91,,
0:16.0,,,60-91,,Defensive rebound by D. Howard
0:13.0,,,60-91,,Turnover by K. Papanikolaou (lost ball; steal by J. Ennis)
0:10.0,Shooting foul by D. Howard (drawn by H. Whiteside),,60-91,,
0:10.0,H. Whiteside misses free throw 1 of 2,,60-91,,
0:10.0,Offensive rebound by Team,,60-91,,
0:10.0,H. Whiteside misses free throw 2 of 2,,60-91,,
0:10.0,,,60-91,,Defensive rebound by J. Smith
0:02.0,,,60-94,3,C. Brewer makes 3-pt shot from 24 ft (assist by J. Smith)
0:02.0,Turnover by H. Whiteside (bad pass; steal by K. Papanikolaou),,60-94,,
0:02.0,,,60-94,,K. Papanikolaou misses 2-pt shot from 1 ft
0:00.0,,,60-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,D. Granger misses 2-pt shot from 20 ft,,60-94,,
11:49.0,,,60-94,,Defensive rebound by J. Smith
11:36.0,,,60-94,,C. Brewer misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by S. Williams,,60-94,,
11:13.0,H. Whiteside makes 2-pt shot at rim (assist by J. Ennis),2,62-94,,
10:57.0,,,62-94,,Turnover by K. Papanikolaou (lost ball; steal by S. Williams)
10:53.0,N. Cole makes 2-pt shot from 1 ft,2,64-94,,
10:24.0,,,64-94,,Turnover by J. Smith (lost ball)
10:09.0,,,64-94,,Violation by D. Motiejunas (kicked ball)
9:54.0,S. Williams misses 3-pt shot from 27 ft,,64-94,,
9:52.0,Offensive rebound by J. Ennis,,64-94,,
9:50.0,J. Ennis makes 2-pt shot from 7 ft,2,66-94,,
9:25.0,,,66-94,,D. Motiejunas misses 3-pt shot from 24 ft
9:23.0,,,66-94,,Offensive rebound by J. Smith
9:07.0,,,66-96,2,J. Smith makes 2-pt shot from 7 ft
9:07.0,Violation by H. Whiteside (def goaltending),,66-96,,
8:58.0,Turnover by N. Cole (bad pass; steal by C. Brewer),,66-96,,
8:53.0,,,66-96,,Houston full timeout
8:53.0,Personal foul by N. Cole (drawn by J. Terry),,66-96,,
8:53.0,A. Dawkins enters the game for D. Granger,,66-96,,
8:46.0,,,66-99,3,J. Terry makes 3-pt shot from 24 ft (assist by C. Brewer)
8:34.0,Turnover by H. Whiteside (lost ball; steal by D. Motiejunas),,66-99,,
8:31.0,,,66-99,,Shooting foul by S. Williams (drawn by C. Brewer)
8:31.0,,,66-100,1,C. Brewer makes free throw 1 of 2
8:31.0,U. Haslem enters the game for S. Williams,,66-100,,
8:31.0,,,66-101,1,C. Brewer makes free throw 2 of 2
8:18.0,A. Dawkins misses 3-pt shot from 26 ft,,66-101,,
8:17.0,,,66-101,,Defensive rebound by J. Smith
8:12.0,,,66-101,,Turnover by J. Smith (bad pass)
8:02.0,J. Ennis makes 3-pt shot from 24 ft (assist by N. Cole),3,69-101,,
7:46.0,,,69-101,,D. Motiejunas misses 2-pt shot at rim
7:45.0,,,69-101,,Offensive rebound by D. Motiejunas
7:45.0,,,69-101,,D. Motiejunas misses 2-pt shot at rim
7:44.0,Defensive rebound by H. Whiteside,,69-101,,
7:37.0,A. Dawkins misses 3-pt shot from 25 ft,,69-101,,
7:36.0,,,69-101,,Defensive rebound by K. Papanikolaou
7:26.0,,,69-101,,Shooting foul by U. Haslem (drawn by J. Smith)
7:26.0,,,69-101,,J. Smith misses free throw 1 of 2
7:26.0,,,69-101,,Offensive rebound by Team
7:26.0,,,69-101,,I. Canaan enters the game for J. Terry
7:26.0,,,69-101,,J. Dorsey enters the game for D. Motiejunas
7:26.0,,,69-101,,J. Smith misses free throw 2 of 2
7:25.0,Defensive rebound by J. Ennis,,69-101,,
7:12.0,H. Whiteside misses 2-pt shot from 2 ft (block by J. Smith),,69-101,,
