time,Memphis,pts.away,score,pts.home,Boston
1:22.0,,,88-88,,B. Bass enters the game for K. Olynyk
1:10.0,Z. Randolph misses 2-pt shot from 2 ft,,88-88,,
1:06.0,Offensive rebound by Z. Randolph,,88-88,,
0:52.0,Z. Randolph makes 2-pt shot from 2 ft (assist by T. Allen),2,90-88,,
0:52.0,,,90-88,,Boston full timeout
0:52.0,N. Calathes enters the game for M. Conley,,90-88,,
0:52.0,,,90-88,,E. Turner enters the game for B. Bass
0:52.0,,,90-88,,K. Olynyk enters the game for T. Zeller
0:52.0,C. Lee enters the game for Z. Randolph,,90-88,,
0:52.0,,,90-90,2,M. Smart makes 2-pt shot at rim (assist by E. Turner)
0:52.0,,,90-90,,Shooting foul by C. Lee (drawn by M. Smart)
0:52.0,,,90-90,,B. Bass enters the game for K. Olynyk
0:52.0,,,90-90,,T. Zeller enters the game for E. Turner
0:52.0,Z. Randolph enters the game for C. Lee,,90-90,,
0:52.0,,,90-91,1,M. Smart makes free throw 1 of 1
0:52.0,Memphis full timeout,,90-91,,
0:52.0,M. Conley enters the game for T. Allen,,90-91,,
0:52.0,C. Lee enters the game for N. Calathes,,90-91,,
0:42.0,J. Green misses 2-pt shot from 4 ft (block by T. Zeller),,90-91,,
0:40.0,,,90-91,,Defensive rebound by T. Zeller
0:40.0,Personal foul by M. Gasol (drawn by T. Zeller),,90-91,,
0:40.0,,,90-92,1,T. Zeller makes free throw 1 of 2
0:40.0,,,90-93,1,T. Zeller makes free throw 2 of 2
0:30.0,J. Green misses 2-pt shot at rim,,90-93,,
0:29.0,Offensive rebound by J. Green,,90-93,,
0:29.0,J. Green makes 2-pt shot at rim,2,92-93,,
0:08.0,,,92-95,2,A. Bradley makes 2-pt shot from 21 ft
0:08.0,Memphis full timeout,,92-95,,
0:08.0,,,92-95,,J. Jerebko enters the game for T. Zeller
0:02.0,M. Conley misses 3-pt shot from 28 ft,,92-95,,
0:00.0,,,92-95,,Defensive rebound by A. Bradley
0:00.0,End of 4th quarter,,,,End of 4th quarter
