time,Dallas,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. James (P. Millsap gains possession),,,,Jump ball: A. Horford vs. B. James (P. Millsap gains possession)
11:39.0,,,0-3,3,D. Carroll makes 3-pt shot from 23 ft (assist by A. Horford)
11:19.0,R. Jefferson makes 3-pt shot from 23 ft (assist by J. Barea),3,3-3,,
11:12.0,,,3-3,,Turnover by P. Millsap (bad pass)
11:04.0,R. Jefferson misses 3-pt shot from 24 ft,,3-3,,
11:03.0,,,3-3,,Defensive rebound by D. Carroll
11:00.0,Personal foul by M. Ellis (drawn by K. Korver),,3-3,,
10:42.0,,,3-3,,J. Teague misses 2-pt shot from 20 ft
10:41.0,Defensive rebound by D. Nowitzki,,3-3,,
10:27.0,R. Jefferson makes 2-pt shot at rim,2,5-3,,
10:06.0,,,5-3,,D. Carroll misses 2-pt shot from 19 ft
10:05.0,Defensive rebound by R. Jefferson,,5-3,,
9:57.0,D. Nowitzki misses 3-pt shot from 25 ft,,5-3,,
9:54.0,Offensive rebound by B. James,,5-3,,
9:52.0,J. Barea makes 2-pt shot from 16 ft (assist by B. James),2,7-3,,
9:39.0,,,7-3,,K. Korver misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by J. Barea,,7-3,,
9:35.0,Offensive foul by B. James,,7-3,,
9:35.0,Turnover by B. James (offensive foul),,7-3,,
9:21.0,,,7-3,,A. Horford misses 2-pt shot from 10 ft
9:19.0,Defensive rebound by D. Nowitzki,,7-3,,
9:11.0,J. Barea makes 2-pt shot from 20 ft,2,9-3,,
9:00.0,,,9-3,,Turnover by P. Millsap (lost ball)
8:40.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by M. Ellis),2,11-3,,
8:24.0,,,11-5,2,P. Millsap makes 2-pt shot from 19 ft
7:51.0,M. Ellis makes 2-pt shot from 19 ft (assist by D. Nowitzki),2,13-5,,
7:31.0,,,13-5,,A. Horford misses 2-pt shot from 8 ft (block by B. James)
7:31.0,,,13-5,,Offensive rebound by Team
7:28.0,,,13-5,,Shooting foul by R. Jefferson (drawn by J. Teague)
7:28.0,,,13-6,1,J. Teague makes free throw 1 of 2
7:28.0,,,13-7,1,J. Teague makes free throw 2 of 2
7:18.0,B. James makes 2-pt shot from 2 ft (assist by M. Ellis),2,15-7,,
7:04.0,,,15-9,2,K. Korver makes 2-pt shot from 19 ft (assist by D. Carroll)
6:40.0,R. Jefferson misses 2-pt shot from 12 ft (block by K. Korver),,15-9,,
6:38.0,,,15-9,,Defensive rebound by A. Horford
6:28.0,,,15-11,2,D. Carroll makes 2-pt shot from 1 ft (assist by A. Horford)
6:28.0,Dallas full timeout,,15-11,,
6:28.0,A. Aminu enters the game for D. Nowitzki,,15-11,,
6:18.0,Shooting foul by A. Horford (drawn by R. Jefferson),,15-11,,
6:18.0,R. Jefferson misses free throw 1 of 2,,15-11,,
6:18.0,Offensive rebound by Team,,15-11,,
6:18.0,R. Jefferson makes free throw 2 of 2,1,16-11,,
6:16.0,,,16-11,,Turnover by J. Teague (bad pass)
6:00.0,A. Aminu misses 3-pt shot from 23 ft,,16-11,,
5:58.0,,,16-11,,Defensive rebound by J. Teague
5:50.0,Personal foul by R. Jefferson (drawn by D. Carroll),,16-11,,
5:50.0,C. Villanueva enters the game for R. Jefferson,,16-11,,
5:47.0,,,16-11,,Offensive foul by A. Horford
5:47.0,,,16-11,,Turnover by A. Horford (offensive foul)
5:47.0,,,16-11,,P. Antic enters the game for A. Horford
5:47.0,,,16-11,,K. Bazemore enters the game for K. Korver
5:35.0,M. Ellis makes 2-pt shot from 20 ft (assist by B. James),2,18-11,,
5:28.0,,,18-11,,Shooting foul by J. Barea (drawn by J. Teague)
5:28.0,,,18-12,1,J. Teague makes free throw 1 of 2
5:28.0,D. Harris enters the game for J. Barea,,18-12,,
5:28.0,,,18-13,1,J. Teague makes free throw 2 of 2
5:15.0,M. Ellis makes 2-pt shot from 22 ft,2,20-13,,
5:02.0,,,20-13,,D. Carroll misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by B. James,,20-13,,
4:49.0,C. Villanueva misses 3-pt shot from 24 ft,,20-13,,
4:48.0,,,20-13,,Defensive rebound by K. Bazemore
4:34.0,,,20-13,,P. Millsap misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by B. James,,20-13,,
4:20.0,B. James makes 2-pt shot from 1 ft (assist by D. Harris),2,22-13,,
4:14.0,,,22-13,,Atlanta full timeout
4:14.0,,,22-13,,D. Schroder enters the game for J. Teague
4:04.0,,,22-13,,D. Schroder misses 2-pt shot from 1 ft
3:58.0,Defensive rebound by A. Aminu,,22-13,,
3:45.0,D. Harris misses 3-pt shot from 22 ft,,22-13,,
3:43.0,Offensive rebound by M. Ellis,,22-13,,
3:36.0,Shooting foul by D. Schroder (drawn by D. Harris),,22-13,,
3:36.0,D. Harris makes free throw 1 of 2,1,23-13,,
3:36.0,D. Harris makes free throw 2 of 2,1,24-13,,
3:11.0,,,24-13,,D. Schroder misses 2-pt shot from 11 ft
3:09.0,Defensive rebound by A. Aminu,,24-13,,
2:55.0,M. Ellis makes 2-pt shot from 20 ft (assist by B. James),2,26-13,,
2:33.0,,,26-13,,K. Bazemore misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by D. Harris,,26-13,,
2:25.0,M. Ellis misses 3-pt shot from 24 ft,,26-13,,
2:24.0,,,26-13,,Defensive rebound by P. Millsap
2:17.0,,,26-15,2,K. Bazemore makes 2-pt shot at rim (assist by P. Millsap)
1:58.0,D. Harris misses 2-pt shot from 15 ft,,26-15,,
1:56.0,,,26-15,,Defensive rebound by P. Millsap
1:38.0,,,26-15,,P. Millsap misses 2-pt shot from 5 ft
1:37.0,,,26-15,,Offensive rebound by P. Antic
1:37.0,J. Barea enters the game for B. James,,26-15,,
1:37.0,D. Nowitzki enters the game for M. Ellis,,26-15,,
1:37.0,,,26-15,,K. Korver enters the game for D. Carroll
1:37.0,,,26-15,,M. Scott enters the game for P. Millsap
1:30.0,,,26-17,2,M. Scott makes 2-pt shot from 19 ft (assist by K. Korver)
1:17.0,C. Villanueva makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,29-17,,
1:01.0,,,29-17,,P. Antic misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by A. Aminu,,29-17,,
0:49.0,C. Villanueva makes 2-pt shot from 9 ft (assist by J. Barea),2,31-17,,
0:32.0,,,31-20,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
0:10.0,J. Barea makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,34-20,,
0:03.0,,,34-22,2,D. Schroder makes 2-pt shot from 19 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Shooting foul by M. Scott (drawn by D. Harris),,34-22,,
11:50.0,D. Harris makes free throw 1 of 2,1,35-22,,
11:50.0,D. Harris makes free throw 2 of 2,1,36-22,,
11:42.0,,,36-25,3,D. Schroder makes 3-pt shot from 25 ft
11:30.0,,,36-25,,Violation by K. Bazemore (kicked ball)
11:30.0,,,36-25,,P. Millsap enters the game for P. Antic
11:25.0,,,36-25,,Personal foul by D. Schroder (drawn by D. Nowitzki)
11:10.0,C. Villanueva makes 3-pt shot from 22 ft (assist by J. Barea),3,39-25,,
10:46.0,,,39-27,2,K. Bazemore makes 2-pt shot at rim (assist by M. Scott)
10:31.0,C. Villanueva misses 3-pt shot from 24 ft,,39-27,,
10:29.0,,,39-27,,Defensive rebound by P. Millsap
