time,LA Lakers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. M. Plumlee (E. Bledsoe gains possession),,,,Jump ball: J. Hill vs. M. Plumlee (E. Bledsoe gains possession)
11:43.0,,,0-2,2,M. Plumlee makes 2-pt shot at rim (assist by E. Bledsoe)
11:28.0,K. Bryant misses 2-pt shot from 16 ft,,0-2,,
11:26.0,Offensive rebound by Team,,0-2,,
11:25.0,,,0-2,,Violation by M. Plumlee (def goaltending)
11:25.0,C. Boozer makes 2-pt shot from 2 ft (assist by W. Johnson),2,2-2,,
11:03.0,,,2-5,3,M. Morris makes 3-pt shot from 23 ft (assist by M. Morris)
10:51.0,J. Lin misses 2-pt shot from 19 ft,,2-5,,
10:49.0,Offensive rebound by J. Hill,,2-5,,
10:43.0,C. Boozer misses 2-pt shot from 15 ft,,2-5,,
10:41.0,,,2-5,,Defensive rebound by M. Plumlee
10:31.0,,,2-7,2,M. Plumlee makes 2-pt shot at rim (assist by E. Bledsoe)
10:08.0,,,2-7,,Personal foul by G. Dragic (drawn by K. Bryant)
10:01.0,K. Bryant makes 2-pt shot from 17 ft (assist by J. Lin),2,4-7,,
9:48.0,,,4-9,2,E. Bledsoe makes 2-pt shot from 16 ft
9:25.0,Turnover by C. Boozer (3 sec),,4-9,,
9:11.0,,,4-9,,M. Morris misses 2-pt shot from 16 ft
9:09.0,Defensive rebound by J. Hill,,4-9,,
8:51.0,K. Bryant misses 2-pt shot from 19 ft,,4-9,,
8:50.0,,,4-9,,Defensive rebound by G. Dragic
8:45.0,,,4-9,,G. Dragic misses 2-pt shot from 1 ft (block by W. Johnson)
8:42.0,Defensive rebound by J. Hill,,4-9,,
8:39.0,Shooting foul by M. Plumlee (drawn by K. Bryant),,4-9,,
8:39.0,K. Bryant makes free throw 1 of 2,1,5-9,,
8:39.0,K. Bryant makes free throw 2 of 2,1,6-9,,
8:18.0,,,6-9,,G. Dragic misses 3-pt shot from 22 ft
8:16.0,Defensive rebound by K. Bryant,,6-9,,
8:08.0,C. Boozer misses 2-pt shot from 2 ft,,6-9,,
8:06.0,,,6-9,,Defensive rebound by M. Plumlee
7:58.0,,,6-9,,E. Bledsoe misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by C. Boozer,,6-9,,
7:47.0,W. Johnson misses 2-pt shot from 18 ft,,6-9,,
7:45.0,,,6-9,,Defensive rebound by E. Bledsoe
7:39.0,,,6-12,3,M. Morris makes 3-pt shot from 23 ft (assist by E. Bledsoe)
7:24.0,K. Bryant misses 2-pt shot from 17 ft,,6-12,,
7:22.0,Offensive rebound by J. Hill,,6-12,,
7:22.0,J. Hill misses 2-pt shot at rim,,6-12,,
7:19.0,Offensive rebound by J. Hill,,6-12,,
7:18.0,K. Bryant makes 2-pt shot from 2 ft (assist by J. Hill),2,8-12,,
7:18.0,Shooting foul by M. Morris (drawn by K. Bryant),,8-12,,
7:18.0,,,8-12,,A. Len enters the game for M. Plumlee
7:18.0,K. Bryant makes free throw 1 of 1,1,9-12,,
7:02.0,,,9-14,2,G. Dragic makes 2-pt shot from 1 ft
6:42.0,C. Boozer misses 2-pt shot from 5 ft,,9-14,,
6:40.0,,,9-14,,Defensive rebound by A. Len
6:28.0,Personal foul by J. Hill (drawn by E. Bledsoe),,9-14,,
6:25.0,Personal foul by K. Bryant (drawn by M. Morris),,9-14,,
6:18.0,,,9-14,,M. Morris misses 3-pt shot from 24 ft
6:16.0,,,9-14,,Offensive rebound by M. Morris
6:14.0,,,9-14,,Turnover by M. Morris (lost ball; steal by K. Bryant)
6:08.0,,,9-14,,Personal block foul by M. Morris (drawn by K. Bryant)
5:58.0,J. Hill misses 2-pt shot from 19 ft,,9-14,,
5:56.0,,,9-14,,Defensive rebound by M. Morris
5:44.0,,,9-14,,M. Morris misses 3-pt shot from 24 ft
5:42.0,,,9-14,,Offensive rebound by E. Bledsoe
5:36.0,,,9-17,3,E. Bledsoe makes 3-pt shot from 24 ft
5:29.0,LA Lakers full timeout,,9-17,,
5:18.0,K. Bryant misses 2-pt shot from 14 ft,,9-17,,
5:14.0,,,9-17,,Defensive rebound by M. Morris
5:09.0,,,9-17,,A. Len misses 2-pt shot from 6 ft
5:06.0,Defensive rebound by K. Bryant,,9-17,,
4:59.0,C. Boozer misses 2-pt shot from 18 ft,,9-17,,
4:57.0,,,9-17,,Defensive rebound by E. Bledsoe
4:51.0,,,9-19,2,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:51.0,,,9-19,,Shooting foul by C. Boozer (drawn by M. Morris)
4:51.0,,,9-19,,I. Thomas enters the game for G. Dragic
4:51.0,E. Davis enters the game for J. Hill,,9-19,,
4:51.0,,,9-20,1,M. Morris makes free throw 1 of 1
4:44.0,,,9-20,,Personal foul by E. Bledsoe (drawn by W. Johnson)
4:44.0,W. Johnson makes free throw 1 of 2,1,10-20,,
4:44.0,R. Price enters the game for K. Bryant,,10-20,,
4:44.0,W. Johnson makes free throw 2 of 2,1,11-20,,
4:34.0,,,11-20,,M. Morris misses 3-pt shot from 25 ft
4:32.0,,,11-20,,Offensive rebound by Team
4:32.0,Loose ball foul by E. Davis (drawn by A. Len),,11-20,,
4:20.0,,,11-20,,M. Morris misses 2-pt shot from 1 ft
4:18.0,Defensive rebound by E. Davis,,11-20,,
4:07.0,W. Johnson misses 2-pt shot from 19 ft,,11-20,,
4:05.0,,,11-20,,Defensive rebound by A. Len
3:56.0,,,11-20,,M. Morris misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by J. Lin,,11-20,,
3:51.0,J. Lin makes 2-pt shot at rim,2,13-20,,
3:33.0,,,13-23,3,I. Thomas makes 3-pt shot from 25 ft
3:16.0,Shooting foul by E. Bledsoe (drawn by J. Lin),,13-23,,
3:16.0,,,13-23,,Violation by Team (delay of game)
3:16.0,J. Lin makes free throw 1 of 2,1,14-23,,
3:16.0,,,14-23,,G. Green enters the game for E. Bledsoe
3:16.0,J. Lin makes free throw 2 of 2,1,15-23,,
3:01.0,,,15-26,3,M. Morris makes 3-pt shot from 24 ft (assist by I. Thomas)
2:50.0,Turnover by J. Lin (bad pass; steal by M. Morris),,15-26,,
2:43.0,,,15-26,,M. Morris misses 3-pt shot from 25 ft
2:42.0,,,15-26,,Offensive rebound by M. Morris
2:42.0,,,15-28,2,M. Morris makes 2-pt shot from 1 ft
2:23.0,Turnover by C. Boozer (bad pass; steal by G. Green),,15-28,,
2:19.0,,,15-30,2,I. Thomas makes 2-pt shot from 2 ft (assist by G. Green)
2:11.0,LA Lakers full timeout,,15-30,,
