time,Minnesota,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. Z. Pachulia (B. Knight gains possession),,,,Jump ball: G. Dieng vs. Z. Pachulia (B. Knight gains possession)
11:39.0,,,0-0,,Z. Pachulia misses 2-pt shot from 12 ft
11:38.0,Defensive rebound by Z. LaVine,,0-0,,
11:24.0,,,0-0,,Def 3 sec tech foul by J. O'Bryant
11:24.0,Z. LaVine makes technical free throw,1,1-0,,
11:10.0,Turnover by S. Muhammad (back court),,1-0,,
10:56.0,,,1-2,2,J. O'Bryant makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:32.0,T. Young makes 2-pt shot from 17 ft (assist by Z. LaVine),2,3-2,,
10:08.0,,,3-2,,B. Knight misses 2-pt shot from 7 ft
10:08.0,,,3-2,,Offensive rebound by Team
10:00.0,,,3-2,,J. O'Bryant misses 2-pt shot from 12 ft
9:59.0,,,3-2,,Offensive rebound by Z. Pachulia
9:48.0,,,3-2,,K. Middleton misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by T. Young,,3-2,,
9:33.0,A. Wiggins makes 2-pt shot from 20 ft,2,5-2,,
9:18.0,,,5-2,,K. Middleton misses 2-pt shot from 17 ft
9:17.0,Defensive rebound by Z. LaVine,,5-2,,
9:09.0,A. Wiggins misses 2-pt shot from 18 ft,,5-2,,
9:08.0,,,5-2,,Defensive rebound by K. Middleton
9:01.0,,,5-2,,G. Antetokounmpo misses 2-pt shot at rim (block by G. Dieng)
9:00.0,,,5-2,,Offensive rebound by Z. Pachulia
8:58.0,Jump ball: Z. Pachulia vs. T. Young (B. Knight gains possession),,,,Jump ball: Z. Pachulia vs. T. Young (B. Knight gains possession)
8:40.0,,,5-2,,B. Knight misses 2-pt shot from 9 ft
8:39.0,,,5-2,,Offensive rebound by Z. Pachulia
8:39.0,,,5-4,2,Z. Pachulia makes 2-pt shot at rim
8:24.0,A. Wiggins misses 2-pt shot from 4 ft,,5-4,,
8:22.0,Offensive rebound by T. Young,,5-4,,
8:16.0,T. Young makes 2-pt shot from 8 ft,2,7-4,,
