time,Denver,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. J. Nurkic (L. Mbah a Moute gains possession),,,,Jump ball: N. Noel vs. J. Nurkic (L. Mbah a Moute gains possession)
11:45.0,,,0-0,,J. Sampson misses 2-pt shot at rim (block by J. Nurkic)
11:43.0,Defensive rebound by T. Lawson,,0-0,,
11:26.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nurkic),3,3-0,,
11:10.0,,,3-0,,R. Covington misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by T. Lawson,,3-0,,
10:59.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,6-0,,
10:39.0,,,6-0,,N. Noel misses 2-pt shot from 6 ft
10:38.0,Defensive rebound by K. Faried,,6-0,,
10:31.0,,,6-0,,Personal foul by N. Noel (drawn by K. Faried)
10:23.0,K. Faried misses 2-pt shot from 3 ft,,6-0,,
10:21.0,,,6-0,,Defensive rebound by N. Noel
10:12.0,,,6-0,,Shooting foul by J. Nurkic (drawn by R. Covington)
10:12.0,,,6-1,1,R. Covington makes free throw 1 of 2
10:12.0,,,6-2,1,R. Covington makes free throw 2 of 2
9:58.0,Turnover by A. Afflalo (bad pass; steal by J. Sampson),,6-2,,
9:56.0,,,6-2,,Turnover by N. Noel (bad pass; steal by A. Afflalo)
9:52.0,Turnover by A. Afflalo (bad pass; steal by J. Sampson),,6-2,,
9:46.0,,,6-2,,Turnover by J. Sampson (lost ball)
9:33.0,A. Afflalo makes 2-pt shot from 5 ft (assist by T. Lawson),2,8-2,,
9:19.0,,,8-4,2,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams)
9:03.0,,,8-4,,Personal foul by N. Noel (drawn by J. Nurkic)
8:48.0,A. Afflalo misses 2-pt shot from 20 ft,,8-4,,
8:46.0,,,8-4,,Defensive rebound by L. Mbah a Moute
8:38.0,,,8-6,2,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by M. Carter-Williams)
8:24.0,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson),3,11-6,,
8:08.0,,,11-8,2,J. Sampson makes 2-pt shot from 1 ft
7:59.0,Shooting foul by L. Mbah a Moute (drawn by J. Nurkic),,11-8,,
7:59.0,J. Nurkic misses free throw 1 of 2,,11-8,,
7:59.0,Offensive rebound by Team,,11-8,,
7:59.0,Turnover by K. Faried (lane violation.),,11-8,,
7:47.0,,,11-11,3,J. Sampson makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
7:32.0,A. Afflalo misses 2-pt shot from 10 ft,,11-11,,
7:31.0,,,11-11,,Defensive rebound by L. Mbah a Moute
7:25.0,,,11-14,3,R. Covington makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
7:08.0,W. Chandler makes 3-pt shot from 23 ft (assist by T. Lawson),3,14-14,,
6:52.0,,,14-14,,M. Carter-Williams misses 2-pt shot from 4 ft
6:50.0,Defensive rebound by K. Faried,,14-14,,
6:42.0,J. Nurkic makes 2-pt shot from 2 ft (assist by T. Lawson),2,16-14,,
6:37.0,,,16-16,2,N. Noel makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
6:37.0,,,16-16,,Shooting foul by A. Afflalo (drawn by N. Noel)
6:37.0,,,16-17,1,N. Noel makes free throw 1 of 1
6:22.0,A. Afflalo makes 2-pt shot from 13 ft,2,18-17,,
6:15.0,,,18-17,,Philadelphia full timeout
5:57.0,,,18-17,,Turnover by M. Carter-Williams (bad pass; steal by J. Nurkic)
5:52.0,K. Faried misses 2-pt shot from 3 ft,,18-17,,
5:52.0,,,18-17,,Defensive rebound by R. Covington
5:52.0,Loose ball foul by J. Nurkic (drawn by R. Covington),,18-17,,
5:52.0,,,18-17,,H. Thompson enters the game for J. Sampson
5:52.0,,,18-17,,H. Sims enters the game for N. Noel
5:52.0,J. Hickson enters the game for J. Nurkic,,18-17,,
5:39.0,,,18-17,,Turnover by R. Covington (bad pass; steal by K. Faried)
5:33.0,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson),3,21-17,,
5:16.0,,,21-19,2,M. Carter-Williams makes 2-pt shot from 1 ft
5:10.0,Shooting foul by R. Covington (drawn by T. Lawson),,21-19,,
5:10.0,T. Lawson makes free throw 1 of 2,1,22-19,,
5:10.0,,,22-19,,J. Grant enters the game for R. Covington
5:10.0,,,22-19,,K. McDaniels enters the game for L. Mbah a Moute
5:10.0,T. Lawson makes free throw 2 of 2,1,23-19,,
4:57.0,,,23-19,,H. Sims misses 2-pt shot from 1 ft (block by J. Hickson)
4:55.0,Defensive rebound by K. Faried,,23-19,,
4:39.0,W. Chandler misses 3-pt shot from 28 ft,,23-19,,
4:37.0,,,23-19,,Defensive rebound by J. Grant
4:31.0,Personal foul by K. Faried (drawn by J. Grant),,23-19,,
4:31.0,D. Gallinari enters the game for K. Faried,,23-19,,
4:17.0,,,23-21,2,K. McDaniels makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
4:00.0,W. Chandler misses 2-pt shot from 1 ft (block by J. Grant),,23-21,,
3:58.0,,,23-21,,Defensive rebound by M. Carter-Williams
3:52.0,,,23-24,3,K. McDaniels makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
3:35.0,D. Gallinari makes 3-pt shot from 24 ft (assist by T. Lawson),3,26-24,,
3:15.0,,,26-24,,Offensive charge foul by J. Grant
3:15.0,,,26-24,,Turnover by J. Grant (offensive foul)
3:15.0,,,26-24,,L. Drew enters the game for M. Carter-Williams
3:15.0,A. Gee enters the game for W. Chandler,,26-24,,
3:04.0,A. Afflalo misses 2-pt shot from 20 ft,,26-24,,
3:01.0,,,26-24,,Defensive rebound by J. Grant
